losses/policy_loss,charts/SPS,losses/approx_kl,losses/old_approx_kl,losses/clipfrac,charts/episodic_return,charts/learning_rate,_runtime,losses/entropy,losses/explained_variance,_timestamp,losses/value_loss,_step,charts/episodic_length,global_step
,,,,,,,25.278767824172974,,,1763260078.152767,,0,,0
,,,,,25.0,,26.203017473220825,,,1763260079.0770166,,7,25.0,152
,,,,,17.0,,26.724056243896484,,,1763260079.5980554,,33,17.0,699
-0.004562549293041229,1031.0,0.0003932435065507889,-0.005757739767432213,0.0,,0.00029953918419778347,26.93772292137146,0.6880788207054138,-0.010729074478149414,1763260079.811722,43.522926330566406,41,,896
,,,,,22.0,,27.063941478729248,,,1763260079.9379406,,47,22.0,1037
-0.004488132894039154,1034.0,0.000131276436150074,-0.002309226430952549,0.0,,0.00029915515915490687,27.554461002349854,0.6842758655548096,0.06622695922851562,1763260080.4284601,44.385704040527344,64,,1536
-0.0023001953959465027,1034.0,0.0005328124389052391,0.007585144601762295,0.0,19.0,0.00029900154913775623,27.800979614257812,0.6668469905853271,-0.02065432071685791,1763260080.6749787,16.349802017211914,74,19.0,1792
,,,,,37.0,,27.832764625549316,,,1763260080.7067637,,77,37.0,1863
,,,,,117.0,,28.17656683921814,,,1763260081.050566,,88,117.0,2219
-0.0045980289578437805,1047.0,0.000280831940472126,0.0016312813386321068,0.0,,0.00029838710906915367,28.75779938697815,0.5900752544403076,0.02163553237915039,1763260081.6317985,30.20391845703125,102,,2816
,,,,,49.0,,28.78186798095703,,,1763260081.655867,,104,49.0,2868
-0.00797078013420105,1074.0,9.21906903386116e-05,0.0048500774428248405,0.0,,0.00029723503394052386,30.47626495361328,0.6192566752433777,0.28990644216537476,1763260083.350264,58.34178924560547,133,,4736
,,,,,102.0,,31.216082096099854,,,1763260084.0900812,,147,102.0,5611
0.006037246435880661,1079.0,0.00030114036053419113,0.002155889756977558,0.0,,0.0002966205938719213,31.403630018234253,0.6100817322731018,0.18914055824279785,1763260084.2776291,67.69833374023438,149,,5760
,,,,,208.0,,31.42639708518982,,,1763260084.3003962,,150,208.0,5819
0.004423858597874641,1081.0,0.0015649572014808655,0.008931206539273262,0.0,,0.00029631337383762,31.869550943374634,0.6198298931121826,0.05403965711593628,1763260084.74355,70.86156463623047,155,,6272
0.009522534906864166,1082.0,0.0012450246140360832,0.010807554237544537,0.0,,0.0002962365688290447,31.982531309127808,0.596289336681366,0.13309848308563232,1763260084.8565304,48.781192779541016,157,,6400
,,,,,107.0,,32.90827989578247,,,1763260085.782279,,172,107.0,7447
-0.0029716528952121735,1095.0,4.581362009048462e-05,0.0002188403159379959,0.0,,0.00029447005363181233,34.60053110122681,0.5478676557540894,-0.00020003318786621094,1763260087.4745302,53.49424362182617,195,,9344
,,,,,323.0,,35.443387031555176,,,1763260088.3173862,,203,323.0,10091
-0.0017653927206993103,1032.0,3.368128091096878e-05,-0.0006401175633072853,0.0,,0.0002935483935289085,36.60348916053772,0.5793769359588623,-0.012402772903442383,1763260089.4774883,58.91758728027344,213,,10880
-0.009304307401180267,1015.0,0.0037488481029868126,0.005332120694220066,0.0,,0.00029331797850318253,37.15855360031128,0.5554662942886353,-0.02152383327484131,1763260090.0325527,55.06690216064453,217,,11264
-6.933510303497314e-05,972.0,2.1727755665779114e-06,-0.00019628088921308517,0.0,,0.0002927803434431553,38.57612872123718,0.5311407446861267,-0.0011987686157226562,1763260091.4501278,51.78867721557617,228,,12160
0.017866812646389008,954.0,0.002825791947543621,-0.007821187376976013,0.0,,0.00029254992841742933,39.21088933944702,0.6045404672622681,0.20121169090270996,1763260092.0848885,40.6030158996582,233,,12544
0.0027676597237586975,905.0,6.596837192773819e-05,-0.00018085632473230362,0.0,,0.0002917050733231008,41.478678941726685,0.5521406531333923,0.005447685718536377,1763260094.352678,44.17194747924805,251,,13952
,,,,,80.0,,42.21209168434143,,,1763260095.0860908,,259,80.0,14484
0.021463796496391296,895.0,0.0013542789965867996,-0.0037348978221416473,0.0,,0.00029109063325449824,42.79568314552307,0.5679677128791809,0.13022655248641968,1763260095.6696823,45.28968811035156,265,,14976
0.00046824291348457336,893.0,3.784056752920151e-05,-0.0008850721642374992,0.0,,0.00029078341322019696,43.41228795051575,0.5702388882637024,0.21126902103424072,1763260096.286287,33.23771286010742,273,,15488
0.00025944411754608154,892.0,5.4407864809036255e-06,0.0005161166191101074,0.0,,0.00029070660821162164,43.56353044509888,0.5221520662307739,-0.0021593570709228516,1763260096.4375296,40.94029235839844,274,,15616
,,,,,310.0,,45.02316379547119,,,1763260097.897163,,292,310.0,16871
-0.0050759389996528625,885.0,0.0002818722277879715,0.0009219199419021606,0.0,,0.000288632872980088,47.599162340164185,0.5814185738563538,0.6247901320457458,1763260100.4731615,22.713775634765625,321,,19072
,,,,,235.0,,48.15671133995056,,,1763260101.0307105,,327,235.0,19592
,,,,,354.0,,48.443416595458984,,,1763260101.3174157,,330,354.0,19946
0.00046525057405233383,889.0,2.8682872653007507e-05,0.0008296854794025421,0.0,,0.00028801843291148543,48.66598105430603,0.5664904117584229,0.06180167198181152,1763260101.5399802,31.1607666015625,332,,20096
-0.0008482839912176132,889.0,0.006383294239640236,-0.011426717042922974,0.037109375,,0.00028778801788575947,49.086578607559204,0.5758506059646606,0.4961588382720947,1763260101.9605777,30.541921615600586,337,,20480
0.002404604572802782,890.0,8.70637595653534e-05,0.002895975485444069,0.0,,0.00028763440786860883,49.355961084365845,0.5209764242172241,0.4018908739089966,1763260102.2299602,27.196533203125,340,,20736
