charts/learning_rate,charts/SPS,global_step,losses/clipfrac,_runtime,losses/value_loss,losses/entropy,charts/episodic_return,losses/policy_loss,losses/explained_variance,losses/approx_kl,losses/old_approx_kl,_step,charts/episodic_length,_timestamp
0.00020092165505047888,568.0,165248,0.001953125,317.0440707206726,0.00016607176803518087,0.43848729133605957,,0.007651923224329948,0.1256427764892578,0.002608140930533409,-0.003763088956475258,1818,,1763260375.5244598
0.0002006144350161776,568.0,165760,0.0,317.9116106033325,0.0002921384875662625,0.5077177286148071,,0.001453690230846405,-0.04781830310821533,0.0001072864979505539,0.0012865103781223297,1823,,1763260376.3919997
0.00019892472482752055,570.0,168576,0.0,321.9067256450653,0.000173856969922781,0.6012981534004211,,-0.012799881398677826,0.11713087558746338,0.0004224441945552826,-0.003471486270427704,1851,,1763260380.3871148
0.00019861750479321927,570.0,169088,0.0,322.5639946460724,0.00023498815426137298,0.5381010174751282,,-0.0003217272460460663,-0.01841604709625244,0.0008887955918908119,0.012685968540608883,1856,,1763260381.0443838
,,170271,,324.1979901790619,,,500.0,,,,,1868,500.0,1763260382.6783793
,,170771,,325.05673813819885,,,500.0,,,,,1873,500.0,1763260383.5371273
0.00019731183419935405,572.0,171264,0.00390625,325.84327363967896,0.0002787438570521772,0.4803221821784973,,0.00848272256553173,-0.0802459716796875,0.002863842062652111,0.008523388765752316,1877,,1763260384.3236628
0.0001967741991393268,572.0,172160,0.0,327.0950355529785,0.00013274996308609843,0.5095632076263428,,-0.0004825480282306671,-0.06375908851623535,0.0006819209083914757,-0.0013302108272910118,1886,,1763260385.5754247
0.00019623656407929957,573.0,173056,0.0,328.21703910827637,0.0002214214182458818,0.4858229458332062,,-0.00967259332537651,-0.03971755504608154,0.00142743531614542,-0.014218754135072231,1895,,1763260386.6974282
0.00019577573402784765,574.0,173824,0.0,329.2171037197113,331.9768981933594,0.5195887684822083,,-0.002892918884754181,-5.030632019042969e-05,0.0007369229570031166,-0.0006194273009896278,1903,,1763260387.6974928
0.0001955453190021217,574.0,174208,0.01171875,329.63097190856934,9.500085434410721e-05,0.5329174995422363,,-0.009351000189781189,-0.11706233024597168,0.0019337357953190804,0.027875229716300964,1906,,1763260388.111361
0.0001948540739249438,575.0,175360,0.0,330.9982018470764,211.22305297851562,0.5864598751068115,,-0.002796269953250885,2.181529998779297e-05,0.00041367020457983017,0.003913278691470623,1918,,1763260389.478591
0.00019470046390779316,576.0,175616,0.0,331.28802156448364,0.0003210112627130002,0.5608484745025635,,-0.00045951642096042633,0.011106789112091064,7.374491542577744e-05,-0.0011103758588433266,1920,,1763260389.7684107
0.00019316436373628676,578.0,178176,0.00390625,334.42675733566284,0.00012517273717094213,0.521273136138916,,-0.009246684610843658,-0.40158402919769287,0.0031555267050862312,-0.007262011058628559,1945,,1763260392.9071465
0.00019231950864195824,579.0,179584,0.0,336.06440711021423,0.00027780860546045005,0.523793637752533,,-0.0014077164232730865,0.05964195728302002,1.0091811418533325e-05,0.00012416206300258636,1959,,1763260394.5447962
,,180930,,337.9369626045227,,,159.0,,,,,1973,159.0,1763260396.4173517
0.00019078340847045183,580.0,182144,0.0,339.95784521102905,0.008819770999252796,0.5134323835372925,,-0.010074704885482788,-0.9400557279586792,0.0011191321536898613,-0.006319929845631123,1985,,1763260398.4382343
0.00019039938342757523,581.0,182784,0.001953125,340.9677023887634,0.00013541834778152406,0.5110309720039368,,0.014820265583693981,-0.37741994857788086,0.0016498267650604248,-0.015647992491722107,1991,,1763260399.4480915
,,183902,,342.7319655418396,,,500.0,,,,,2002,500.0,1763260401.2123547
,,184402,,343.54568457603455,,,500.0,,,,,2007,500.0,1763260402.0260737
0.00018886328325606883,581.0,185344,0.005859375,345.14840745925903,0.0002414669143036008,0.5078388452529907,,0.0003974400460720062,-0.1287769079208374,0.001054437831044197,0.0035820193588733673,2016,,1763260403.6287966
0.00018870967323891819,581.0,185600,0.0,345.5158054828644,0.0055740950629115105,0.5324736833572388,,-0.010944412089884281,-0.033020615577697754,0.0008488539606332779,0.012080851942300797,2019,,1763260403.9961946
0.0001884024532046169,581.0,186112,0.0,346.4020357131958,0.0052002412267029285,0.5469641089439392,,2.888403832912445e-05,-0.17883741855621338,0.0003026258200407028,-0.004337126389145851,2024,,1763260404.8824248
,,186402,,346.84528636932373,,,500.0,,,,,2027,500.0,1763260405.3256755
0.00018809523317031562,581.0,186624,0.001953125,347.22263073921204,0.005585154052823782,0.4677528738975525,,-0.03544212877750397,0.3083922266960144,0.0033404212445020676,0.017130976542830467,2029,,1763260405.7030199
0.00018778801313601434,582.0,187136,0.0,347.90176486968994,0.005243683233857155,0.5549961924552917,,-0.0037252791225910187,-0.05428183078765869,0.00020699575543403625,-0.0008536651730537415,2034,,1763260406.382154
0.00018709676805883646,583.0,188288,0.001953125,349.2923512458801,0.00024529083748348057,0.4542766213417053,,-0.010899778455495834,-0.3652007579803467,0.0014386167749762535,-0.0009459285065531731,2045,,1763260407.7727404
,,188902,,349.907648563385,,,500.0,,,,,2051,500.0,1763260408.3880377
0.00018671274301595986,583.0,188928,0.0,350.01279282569885,337.68572998046875,0.5254680514335632,,-0.0011236593127250671,6.4373016357421875e-06,7.292814552783966e-05,0.0002673603594303131,2052,,1763260408.493182
0.00018556068243924528,585.0,190848,0.0,352.27206230163574,0.00016856077127158642,0.5074823498725891,,-0.007243514060974121,-0.05978667736053467,0.000700698234140873,0.0032453397288918495,2070,,1763260410.7524514
,,191402,,352.9155614376068,,,500.0,,,,,2076,500.0,1763260411.3959506
0.00018417819228488952,586.0,193152,0.0,356.03252601623535,0.0017797406762838364,0.5136563777923584,,0.005000889301300049,-0.15370988845825195,0.0007311645895242691,0.006339581683278084,2093,,1763260414.5129151
0.0001841013872763142,586.0,193280,0.009765625,356.2325849533081,0.00021265889517962933,0.49727216362953186,,-0.013771098107099533,-0.5243774652481079,0.00580640509724617,0.030954118818044662,2094,,1763260414.712974
0.00018271889712195843,586.0,195584,0.0,360.1329667568207,0.004526766948401928,0.5671055316925049,,0.004294626414775848,0.030719995498657227,0.00027943868190050125,0.011716843582689762,2117,,1763260418.6133559
0.00018125960195902735,586.0,198016,0.0,364.34242272377014,26.680423736572266,0.4833999574184418,,0.0002150367945432663,-3.2782554626464844e-05,0.00010167714208364487,0.002603837288916111,2141,,1763260422.8228118
0.00018095238192472607,586.0,198528,0.0,365.16838693618774,0.0024100930895656347,0.5048523545265198,,-0.0006169453263282776,-2.3484230041503906e-05,3.539957106113434e-06,-0.00015958119183778763,2146,,1763260423.648776
0.00018087557691615075,586.0,198656,0.0,365.37996435165405,0.00040948778041638434,0.5375698804855347,,0.0025322996079921722,-0.0498424768447876,0.0014335336163640022,4.317332059144974e-05,2147,,1763260423.8603535
0.00018079877190757543,586.0,198784,0.0,365.57205176353455,2.518791370675899e-05,0.5032597184181213,,-0.007389143109321594,-0.09711337089538574,0.00038382597267627716,0.0022382456809282303,2148,,1763260424.052441
0.00018041474686469883,586.0,199424,0.0,366.7071077823639,289.38775634765625,0.514978289604187,,-0.0026663709431886673,4.3392181396484375e-05,0.000606984831392765,-0.004426191560924053,2155,,1763260425.187497
0.00017933947674464434,585.0,201216,0.0,369.8194851875305,0.00041544841951690614,0.5324782133102417,,0.0016102083027362823,0.05472296476364136,0.00012665335088968277,0.0032386062666773796,2172,,1763260428.2998743
0.00017857142665889114,586.0,202496,0.0,371.7122404575348,318.1600646972656,0.5487029552459717,,0.004964835941791534,-2.7179718017578125e-05,0.00031314045190811157,0.0007653199136257172,2185,,1763260430.1926296
0.00017811059660743922,587.0,203264,0.001953125,372.6052465438843,0.0001300166768487543,0.5519102215766907,,0.002163294702768326,-0.042235374450683594,0.002955416217446327,0.0008513033390045166,2192,,1763260431.0856357
,,203902,,373.2882752418518,,,500.0,,,,,2198,500.0,1763260431.7686644
0.00017772657156456262,587.0,203904,0.0,373.40660285949707,309.0308837890625,0.5873902440071106,,0.003979852423071861,1.2576580047607422e-05,0.000299687497317791,0.003908426500856876,2199,,1763260431.886992
0.00017695852147880942,588.0,205184,0.0078125,374.8872547149658,0.00026967961457557976,0.5889273285865784,,-0.011394007131457329,-0.0264357328414917,0.0013989955186843872,0.022778216749429703,2211,,1763260433.3676438
0.00017680491146165878,589.0,205440,0.0,375.2240390777588,491.8093566894531,0.5549207329750061,,-0.0055878907442092896,1.2278556823730469e-05,0.000821099616587162,-0.0069058919325470924,2214,,1763260433.7044282
0.00017642088641878217,589.0,206080,0.0,375.9685995578766,0.00017596103134565055,0.5251854658126831,,0.004743792116641998,-0.03468942642211914,0.002319781109690666,-0.018025709316134453,2220,,1763260434.4489887
0.00017626727640163153,589.0,206336,0.0,376.30624556541443,0.002874579280614853,0.510569155216217,,-0.015886588022112846,-0.07825088500976562,0.0010094903409481049,0.001904897391796112,2223,,1763260434.7866347
,,206586,,376.50761246681213,,,500.0,,,,,2225,500.0,1763260434.9880016
0.0001761136663844809,589.0,206592,0.0,376.64499831199646,281.7950439453125,0.5919055342674255,,0.001918083056807518,-2.5391578674316406e-05,0.00031570810824632645,-0.009120798669755459,2226,,1763260435.1253874
0.00017603686137590557,590.0,206720,0.0,376.78253984451294,0.004912407603114843,0.5097649097442627,,0.0021563321352005005,0.026819884777069092,0.0001504095271229744,0.0025996053591370583,2227,,1763260435.262929
0.0001758064463501796,590.0,207104,0.0,377.2267038822174,384.3853759765625,0.6170943379402161,,-0.01972304657101631,-2.288818359375e-05,0.0008530765771865845,-0.0009024254977703094,2231,,1763260435.707093
,,207586,,377.72630071640015,,,500.0,,,,,2235,500.0,1763260436.2066898
0.00017519200628157705,591.0,208128,0.0,378.47016310691833,184.21408081054688,0.5528374910354614,,0.004332888871431351,0.0003033280372619629,0.00037544313818216324,-0.0020930739119648933,2241,,1763260436.9505522
0.00017473117623012513,591.0,208896,0.0,379.3511493206024,0.00023008919379208237,0.5689229965209961,,-0.008060574531555176,0.05227607488632202,0.0004976186901330948,0.008012315258383751,2248,,1763260437.8315384
,,209086,,379.54185795783997,,,500.0,,,,,2250,500.0,1763260438.022247
0.00017442395619582385,592.0,209408,0.0,379.9423773288727,0.0003013784298673272,0.5899590253829956,,0.0006997305899858475,0.009419858455657959,0.0004672696813941002,0.000669463537633419,2253,,1763260438.4227664
0.0001734255056362599,593.0,211072,0.0,381.9496669769287,190.27914428710938,0.554030179977417,,0.0011335276067256927,0.0044648051261901855,0.0002691354602575302,-0.008341126143932343,2272,,1763260440.430056
0.00017288787057623267,594.0,211968,0.0,382.9918131828308,180.73403930664062,0.5122871398925781,,-0.006293211132287979,7.528066635131836e-05,0.00028202496469020844,-0.003857262432575226,2280,,1763260441.4722023
0.00017196621047332883,595.0,213504,0.0,384.73619651794434,230.80674743652344,0.5361900329589844,,-0.0020233169198036194,0.0003371238708496094,0.0007656840607523918,0.004005630500614643,2295,,1763260443.2165856
0.00017173579544760287,596.0,213888,0.0,385.16522908210754,0.00019086535030510277,0.5041266083717346,,-0.020239681005477905,0.28880006074905396,0.001572711393237114,-0.012016726657748222,2298,,1763260443.6456182
0.00017104455037042499,597.0,215040,0.0,386.47469878196716,382.4256591796875,0.5085194110870361,,-0.00138111412525177,7.224082946777344e-05,0.00048421788960695267,0.004290557466447353,2310,,1763260444.955088
0.00017089094035327435,597.0,215296,0.0,386.74795365333557,5.4730822739657015e-05,0.49925243854522705,,0.002557098865509033,-0.19881093502044678,0.0001027919352054596,-0.0012260377407073975,2312,,1763260445.2283428
0.00017050691531039774,598.0,215936,0.001953125,387.4569170475006,0.0002352178271394223,0.45258116722106934,,0.007915872149169445,0.01871591806411743,0.0007310314103960991,0.01721993461251259,2318,,1763260445.9373062
0.00017027650028467178,598.0,216320,0.0,387.88254141807556,0.00042448515887372196,0.4485580027103424,,-0.006544925272464752,-0.04946422576904297,0.00023668445646762848,0.0037046056240797043,2322,,1763260446.3629305
,,216456,,388.04363560676575,,,500.0,,,,,2324,500.0,1763260446.5240247
0.00016989247524179518,599.0,216960,0.0,388.61592841148376,208.38165283203125,0.532794177532196,,0.005768083035945892,-8.845329284667969e-05,5.1952898502349854e-05,0.0026617050170898438,2329,,1763260447.0963175
0.00016927803517319262,599.0,217984,0.0,389.80551838874817,141.33511352539062,0.591061532497406,,9.454600512981415e-05,1.2516975402832031e-06,0.00012730155140161514,-0.00218911562114954,2339,,1763260448.2859075
,,218456,,390.2480010986328,,,500.0,,,,,2343,500.0,1763260448.7283902
,,218956,,390.85651683807373,,,500.0,,,,,2348,500.0,1763260449.336906
0.00016835637507028878,601.0,219520,0.0,391.5328526496887,335.5189514160156,0.4866477847099304,,0.00023020803928375244,4.649162292480469e-05,4.581175744533539e-06,0.0009409049525856972,2354,,1763260450.0132418
,,220456,,392.55030632019043,,,500.0,,,,,2363,500.0,1763260451.0306954
0.0001662058348301798,604.0,223104,0.0,395.6048810482025,0.0036606674548238516,0.5080670118331909,,-0.021879352629184723,0.27451974153518677,0.0008944785222411156,0.0032846564427018166,2389,,1763260454.0852702
0.00016589861479587853,604.0,223616,0.0,396.227995634079,0.003691838588565588,0.48867928981781006,,-0.004105795174837112,-0.4302713871002197,0.0002431245520710945,0.0026682941243052483,2394,,1763260454.7083848
0.0001649769546929747,605.0,225152,0.0,398.14855098724365,0.0033317026682198048,0.48191070556640625,,-0.00012946128845214844,-0.3180196285247803,0.00010503549128770828,0.0033241277560591698,2409,,1763260456.62894
0.0001639016845729202,607.0,226944,0.0,400.25674271583557,4.679905032389797e-05,0.49409425258636475,,0.0004128068685531616,-0.1746058464050293,3.7143006920814514e-05,0.0012814905494451523,2426,,1763260458.7371318
0.00016367126954719424,607.0,227328,0.0,400.7185654640198,0.00020086640142835677,0.46546900272369385,,-0.004064328968524933,-0.2953526973724365,0.00013859756290912628,-0.0013314131647348404,2430,,1763260459.1989546
0.00016244238940998912,608.0,229376,0.0,403.43473863601685,9.350082837045193e-05,0.5729511380195618,,-0.0021294839680194855,0.055587708950042725,6.786268204450607e-05,0.0038321921601891518,2449,,1763260461.9151278
,,230956,,405.75259160995483,,,500.0,,,,,2465,500.0,1763260464.2329807
0.00015990783867891878,609.0,233600,0.0,409.69420194625854,0.0034558039624243975,0.5477166175842285,,-0.003961231559514999,-0.09313333034515381,0.0005213804543018341,0.004666194319725037,2491,,1763260468.174591
0.00015975422866176814,609.0,233856,0.0,410.074524641037,0.00015914361574687064,0.5716660618782043,,-0.005665261298418045,-0.2114882469177246,0.0009598368778824806,-0.005074559710919857,2493,,1763260468.5549138
0.00015898617857601494,610.0,235136,0.0,411.8198621273041,0.003928765654563904,0.48847144842147827,,-0.001711525022983551,-0.22957348823547363,0.0001951148733496666,-0.006715330295264721,2506,,1763260470.3002512
,,235956,,412.75119853019714,,,500.0,,,,,2514,500.0,1763260471.2315876
0.0001584485435159877,610.0,236032,0.0,412.8975200653076,222.45394897460938,0.5250207185745239,,-0.0020677149295806885,3.159046173095703e-05,8.954759687185287e-05,-0.003816661424934864,2515,,1763260471.3779092
0.0001581413234816864,611.0,236544,0.001953125,413.47468852996826,297.64862060546875,0.5315805673599243,,0.003989867866039276,-0.00014901161193847656,0.0007830848917365074,0.0065804654732346535,2520,,1763260471.9550776
0.0001572964683873579,612.0,237952,0.0,415.062016248703,0.0001697301195235923,0.4203295111656189,,-0.004016891121864319,-0.19109606742858887,0.00017715152353048325,0.001148301176726818,2533,,1763260473.5424054
0.0001569124433444813,612.0,238592,0.0,415.7861406803131,0.004412045236676931,0.5014934539794922,,0.003231741487979889,0.0037854909896850586,9.115412831306458e-05,0.0017360895872116089,2540,,1763260474.2665298
0.00015645161329302937,613.0,239360,0.0,416.6444296836853,6.854147068224847e-05,0.49311086535453796,,0.003942381590604782,-0.001736760139465332,0.000622953288257122,-0.005514058284461498,2547,,1763260475.1248188
0.0001550691231386736,615.0,241664,0.0,419.1292290687561,0.004208127968013287,0.5620973110198975,,-0.005267944186925888,0.0220487117767334,0.0005126772448420525,0.0032608164474368095,2570,,1763260477.6096182
0.00015499231813009828,615.0,241792,0.0,419.2608473300934,8.13512597233057e-05,0.5849555730819702,,-0.004235610365867615,-0.19441044330596924,0.0015722494572401047,-0.0066275764256715775,2571,,1763260477.7412364
0.000154685098095797,615.0,242304,0.0,419.8004524707794,0.0001337173889623955,0.5430727005004883,,-0.005519155412912369,-0.011193275451660156,0.0006423871964216232,0.010748954489827156,2576,,1763260478.2808416
0.00015460829308722168,616.0,242432,0.0,419.9161856174469,0.00014321019989438355,0.5111034512519836,,-0.0002771085128188133,-0.20985400676727295,0.0002613728865981102,0.0017156703397631645,2577,,1763260478.3965747
0.00015268816787283868,618.0,245632,0.0,423.38417983055115,0.0035693154204636812,0.48808661103248596,,-0.0004466269165277481,-0.368954062461853,9.390059858560562e-05,0.0027079815044999123,2608,,1763260481.864569
0.00015253455785568804,619.0,245888,0.0,423.65480494499207,0.00014720510807819664,0.5546352863311768,,-0.001454722136259079,-0.09358251094818115,0.00016267970204353333,-0.002582574263215065,2610,,1763260482.135194
0.0001513056777184829,620.0,247936,0.0,425.8101906776428,0.0001579254021635279,0.5069620013237,,-0.009272362105548382,-0.1699308156967163,0.0004713553935289383,0.0018386449664831161,2630,,1763260484.2905798
,,248456,,426.35892486572266,,,500.0,,,,,2636,500.0,1763260484.839314
0.00015038401761557907,621.0,249472,0.0,427.6469798088074,451.20159912109375,0.4685709774494171,,0.0014972183853387833,-1.0967254638671875e-05,0.00022090505808591843,-0.0005818968638777733,2646,,1763260486.127369
0.00015030721260700375,621.0,249600,0.0,427.7804374694824,0.003408929333090782,0.5353577136993408,,0.0005499199032783508,-0.05263495445251465,9.683426469564438e-05,0.007693423889577389,2647,,1763260486.2608266
0.00015023040759842843,622.0,249728,0.0,427.9143068790436,0.00016504542145412415,0.5139413475990295,,-0.00023553520441055298,0.054872334003448486,0.00017041806131601334,0.0006885146722197533,2648,,1763260486.394696
0.00014900154201313853,623.0,251776,0.0,430.1752381324768,0.00024763928377069533,0.4676951467990875,,-0.009673994034528732,-0.06122255325317383,0.0006483634933829308,0.0011441456153988838,2668,,1763260488.6556273
0.00014869432197883725,624.0,252288,0.0,430.7283456325531,0.0001178807724500075,0.47668540477752686,,0.007270313799381256,-0.058272600173950195,0.0006125112995505333,-0.0005810363218188286,2673,,1763260489.2087348
0.0001480798819102347,624.0,253312,0.0,431.84673833847046,9.846840112004429e-05,0.4440286457538605,,0.008024632930755615,-0.24111545085906982,0.0009735012426972389,0.01773965358734131,2683,,1763260490.3271275
0.00014784946688450873,625.0,253696,0.0,432.2750782966614,0.00364843406714499,0.5577836036682129,,-0.0036715157330036163,-0.025952577590942383,0.0001619020476937294,0.0051748426631093025,2687,,1763260490.7554674
0.0001476958568673581,625.0,253952,0.001953125,432.5615859031677,0.0001497584889875725,0.546245813369751,,-0.005574128590524197,0.0006436705589294434,0.0005692467093467712,0.011146441102027893,2689,,1763260491.041975
0.00014754224685020745,625.0,254208,0.0,432.8637754917145,0.0017836904153227806,0.528213381767273,,-0.0022471770644187927,-0.049625277519226074,0.00016282033175230026,0.00017371121793985367,2692,,1763260491.3441646
0.0001450844865757972,628.0,258304,0.0,437.24414896965027,0.0001485144894104451,0.5488536357879639,,-0.015014220029115677,0.06432795524597168,0.0013104695826768875,0.015404907986521721,2732,,1763260495.724538
,,260456,,439.55948090553284,,,500.0,,,,,2752,500.0,1763260498.03987
,,260956,,440.08451771736145,,,500.0,,,,,2757,500.0,1763260498.5649068
,,262456,,442.06763339042664,,,500.0,,,,,2772,500.0,1763260500.5480225
,,263456,,443.19986486434937,,,500.0,,,,,2782,500.0,1763260501.680254
0.00014193548122420907,632.0,263552,0.0,443.3367042541504,200.57374572753906,0.45339730381965637,,0.003309905529022217,0.0003388524055480957,0.00029312074184417725,0.001453237608075142,2783,,1763260501.8170934
0.0001413210411556065,632.0,264576,0.0,444.50378608703613,132.66134643554688,0.5766412615776062,,-0.005519391968846321,0.00023359060287475586,0.000422745943069458,0.01026393286883831,2793,,1763260502.9841752
0.0001394009159412235,635.0,267776,0.0,448.10728573799133,0.00010767971252789721,0.543290376663208,,-0.008014198392629623,-0.2439587116241455,0.00047198589891195297,-0.009026440791785717,2824,,1763260506.5876749
0.0001382488408125937,636.0,269696,0.0,450.22381234169006,0.004524522926658392,0.5268756747245789,,-0.011830851435661316,0.03773856163024902,0.0003688763827085495,-0.0013271216303110123,2843,,1763260508.7042015
0.0001374040002701804,637.0,271104,0.0078125,451.79801511764526,0.004758737049996853,0.5204340219497681,,-0.024838317185640335,-0.13445425033569336,0.0045832423493266106,-0.00719111692160368,2857,,1763260510.2784042
0.00013609831512439996,638.0,273280,0.0,454.14309573173523,448.3534240722656,0.4941765367984772,,-0.0007144808769226074,0.0017255544662475586,5.431473255157471e-06,-0.00014821253716945648,2882,,1763260512.6234848
0.00013571429008152336,639.0,273920,0.0,454.8780519962311,0.0016490262933075428,0.5538894534111023,,-0.009230617433786392,-1.6943247318267822,0.0018924614414572716,-0.003433794714510441,2890,,1763260513.358441
0.00013440860493574291,640.0,276096,0.0,457.2307255268097,0.0002720777993090451,0.5685924291610718,,-0.005576953291893005,0.004043757915496826,0.00022147595882415771,-0.003701731562614441,2911,,1763260515.7111146
0.00013294930977281183,642.0,278528,0.001953125,459.85451579093933,0.0001965569390449673,0.5862945318222046,,0.0049571692943573,-0.09861540794372559,0.0002925237640738487,0.0032329270616173744,2935,,1763260518.334905
0.0001321044546784833,643.0,279936,0.0,461.44725251197815,0.00016839669842738658,0.5316866040229797,,-0.0046806782484054565,-0.4978576898574829,0.0004059057682752609,-0.00468694232404232,2949,,1763260519.9276416
0.00013141320960130543,644.0,281088,0.0,462.69157218933105,0.00018406838353257626,0.5368572473526001,,-0.000882275402545929,-0.4420199394226074,6.565079092979431e-05,0.000499112531542778,2960,,1763260521.1719613
0.00013049154949840158,645.0,282624,0.0,464.3601744174957,0.00015710870502516627,0.49867576360702515,,-0.01003054715692997,-0.6350752115249634,0.00045650824904441833,0.004416009411215782,2975,,1763260522.8405635
0.00012964669440407306,646.0,284032,0.0,465.9415616989136,9.962423791876063e-05,0.5063543915748596,,-0.006773855537176132,-0.04162025451660156,0.0002665296196937561,0.0007737241685390472,2989,,1763260524.4219508
0.00012918586435262114,646.0,284800,0.0,466.8417658805847,0.0025905075017362833,0.5478725433349609,,-0.00039431825280189514,-0.2290210723876953,8.023157715797424e-05,0.00040573999285697937,2997,,1763260525.322155
0.00012834100925829262,647.0,286208,0.0,468.3917751312256,222.74032592773438,0.5995560884475708,,0.0006423182785511017,1.919269561767578e-05,0.00024656206369400024,-0.0021278150379657745,3011,,1763260526.8721642
0.00012580645852722228,650.0,290432,0.0,473.04454946517944,0.0002244256465928629,0.604297935962677,,-0.0015862584114074707,-0.2810579538345337,0.00020602717995643616,0.0031771622598171234,3051,,1763260531.5249386
,,290640,,473.2208893299103,,,500.0,,,,,3053,500.0,1763260531.7012784
0.00012488479842431843,651.0,291968,0.0,474.81598472595215,0.00020979010150767863,0.5038246512413025,,-0.006862599402666092,-0.3488236665725708,0.00042923353612422943,-0.0010228920727968216,3066,,1763260533.2963738
0.00012465438339859247,651.0,292352,0.0,475.26569962501526,0.003735930658876896,0.5370556116104126,,-0.0030800066888332367,-0.047287940979003906,0.00017585884779691696,-0.0032737525179982185,3070,,1763260533.7460887
,,293640,,476.68661642074585,,,500.0,,,,,3083,500.0,1763260535.1670055
0.00012296467320993543,653.0,295168,0.0,478.3846683502197,192.0914306640625,0.6071182489395142,,-0.0009174197912216187,-8.559226989746094e-05,6.746500730514526e-05,-0.0016904771327972412,3098,,1763260536.8650575
0.00012265745317563415,653.0,295680,0.0,478.93757915496826,135.4273681640625,0.541451632976532,,0.0005849823355674744,-1.704692840576172e-05,0.0005302103236317635,0.008327464573085308,3103,,1763260537.4179683
,,298140,,481.5159821510315,,,500.0,,,,,3127,500.0,1763260539.9963713
0.00012104454799555242,655.0,298368,0.0,481.7747004032135,0.0031309984624385834,0.5491547584533691,,-0.003107115626335144,-0.09626972675323486,0.00011324509978294373,0.0036081429570913315,3129,,1763260540.2550895
,,299640,,483.0243010520935,,,500.0,,,,,3141,500.0,1763260541.5046902
0.0001201996929012239,656.0,299776,0.0,483.28668189048767,0.002958643715828657,0.5678308010101318,,-0.004600459709763527,0.010107100009918213,0.0002737967297434807,-0.002426900900900364,3143,,1763260541.767071
,,300140,,483.57528471946716,,,500.0,,,,,3146,500.0,1763260542.0556738
,,301640,,485.2023837566376,,,500.0,,,,,3161,500.0,1763260543.6827729
0.00011850998271256685,658.0,302592,0.0,486.19776368141174,0.0001233276998391375,0.5048326849937439,,-0.007461026310920715,0.13126665353775024,0.0007560625672340393,0.009804859757423401,3170,,1763260544.6781528
0.00011774193262681365,659.0,303872,0.0,487.41894936561584,0.003396497806534171,0.5308001041412354,,-0.0007872581481933594,-0.07552468776702881,3.2141804695129395e-05,-0.0009707696735858917,3183,,1763260545.8993385
0.00011743471259251237,659.0,304384,0.0,487.91327476501465,0.0032140174880623817,0.4989967346191406,,-0.003275236114859581,-0.24377882480621338,0.0001003975048661232,-0.00231833104044199,3188,,1763260546.393664
0.0001155913996626623,662.0,307456,0.0,490.792227268219,0.00019886691006831825,0.5179082155227661,,-0.001084640622138977,-0.018372297286987305,5.1754526793956757e-05,0.0031554726883769035,3217,,1763260549.2726164
,,308140,,491.38645482063293,,,500.0,,,,,3224,500.0,1763260549.866844
0.00011374807945685461,664.0,310528,0.0,493.63933420181274,0.00025591274606995285,0.44713592529296875,,0.0005240440368652344,0.034177184104919434,0.00024189893156290054,-0.00022008921951055527,3247,,1763260552.1197233
0.00011359446943970397,664.0,310784,0.0,493.9104013442993,0.0037151798605918884,0.4431300461292267,,-0.005170175805687904,0.5907018184661865,0.0002329433336853981,-0.003972775302827358,3250,,1763260552.3907905
0.00011344085942255333,665.0,311040,0.0,494.1420633792877,0.0002270347613375634,0.4949425756931305,,-0.012114610522985458,-0.2809145450592041,0.00047212373465299606,0.00881913397461176,3252,,1763260552.6224525
0.00011328724940540269,665.0,311296,0.0,494.37592363357544,0.003044568467885256,0.5306521058082581,,-0.0009927451610565186,0.00684666633605957,8.64202156662941e-05,-0.0061131129041314125,3255,,1763260552.8563128
0.00011305683437967673,665.0,311680,0.0,494.7241213321686,135.00794982910156,0.5335022807121277,,0.0013736598193645477,-6.687641143798828e-05,0.00012186635285615921,0.0014462927356362343,3259,,1763260553.2045105
0.0001122119792853482,666.0,313088,0.0,496.0713334083557,0.00020565175509545952,0.5175257325172424,,-0.0008310750126838684,0.07775312662124634,0.0001304931938648224,0.0016863811761140823,3272,,1763260554.5517225
0.00011205836926819757,666.0,313344,0.0,496.30593252182007,0.003988880664110184,0.5049048662185669,,-0.0009539499878883362,-0.1160130500793457,4.956871271133423e-05,0.0019674357026815414,3275,,1763260554.7863216
0.00011198156425962225,666.0,313472,0.0,496.41993284225464,0.000332439987687394,0.5278977751731873,,0.002098824828863144,0.05970883369445801,8.74251127243042e-05,-0.0032891053706407547,3276,,1763260554.900322
0.00011075269139837474,668.0,315520,0.0,498.34680700302124,0.000155195826664567,0.48926156759262085,,-0.0016875974833965302,-0.11085331439971924,0.00012788083404302597,-0.006004461087286472,3296,,1763260556.8271961
0.0001105990813812241,668.0,315776,0.0,498.5772593021393,0.003936526831239462,0.5413440465927124,,-0.015391223132610321,-0.02178955078125,0.0008117565885186195,0.0030924705788493156,3299,,1763260557.0576484
0.00010821812611538917,671.0,319744,0.0,502.31104922294617,470.07965087890625,0.5208788514137268,,0.0036217011511325836,5.91278076171875e-05,0.00029955804347991943,-2.1452084183692932e-05,3338,,1763260560.7914383
