charts/learning_rate,charts/SPS,global_step,losses/clipfrac,_runtime,losses/value_loss,losses/entropy,charts/episodic_return,losses/policy_loss,losses/explained_variance,losses/approx_kl,losses/old_approx_kl,_step,charts/episodic_length,_timestamp
0.00027903224690817297,472.0,35072,0.0,100.62991619110107,6.634095668792725,0.5054129362106323,,-0.003049306571483612,-0.5723221302032471,7.360707968473434e-05,-0.00038825999945402145,515,,1763260159.1103053
,,36401,,103.23764634132385,,,290.0,,,,,530,290.0,1763260161.7180355
0.0002777265617623925,474.0,37248,0.0,104.95522332191467,4.47019624710083,0.4350472390651703,,0.0001049526035785675,0.01079404354095459,3.9703212678432465e-05,-0.0005368078127503395,539,,1763260163.4356124
,,38081,,106.50387811660767,,,500.0,,,,,547,500.0,1763260164.9842672
0.0002768049016594887,475.0,38784,0.0,108.0378520488739,3.495732545852661,0.4986121654510498,,0.0004972144961357117,0.11013472080230713,0.00010702759027481079,-0.0013112202286720276,555,,1763260166.5182412
0.0002765744866337627,475.0,39168,0.0,108.81083607673645,2.0384984016418457,0.5182361006736755,,-0.004919163882732391,0.9570831060409546,0.00015919748693704605,-0.002921030856668949,559,,1763260167.2912252
0.00027611368568614125,475.0,39936,0.0,110.41125297546387,2.884263038635254,0.4507592022418976,,-0.00028779078274965286,0.3648073673248291,0.00017668027430772781,0.004404156468808651,568,,1763260168.891642
0.00027450078050605953,477.0,42624,0.001953125,115.78828549385071,1.580410361289978,0.4118884801864624,,-0.002182967960834503,-0.1387256383895874,0.0017086649313569069,-0.002530383877456188,595,,1763260174.2686746
0.0002735791204031557,477.0,44160,0.0,118.99118661880493,1.761131763458252,0.47717005014419556,,0.00010273605585098267,0.6340179443359375,3.604963421821594e-05,-0.0006898678839206696,612,,1763260177.4715757
,,44304,,119.27388405799866,,,373.0,,,,,614,373.0,1763260177.7542732
0.0002725806552916765,477.0,45824,0.0,122.44592022895813,197.57305908203125,0.4812738299369812,,0.00029744952917099,0.015327274799346924,2.5826506316661835e-05,0.0001310473307967186,630,,1763260180.9263093
0.0002721966302487999,477.0,46464,0.0,123.67390894889832,0.9861133694648743,0.4839169979095459,,-0.0008943229913711548,0.2046809196472168,1.2611038982868195e-05,0.0013779914006590843,636,,1763260182.154298
0.00027196621522307396,477.0,46848,0.0,124.45465278625488,173.43093872070312,0.507466733455658,,-0.004137104377150536,-0.08474850654602051,0.00030704494565725327,0.005166073329746723,640,,1763260182.935042
0.0002713517751544714,478.0,47872,0.0,126.51885533332825,225.5658721923828,0.49169281125068665,,-0.0032641179859638214,0.02214229106903076,0.00023490190505981445,0.00012552738189697266,650,,1763260184.9992445
0.0002705069200601429,479.0,49280,0.0,129.28874731063843,0.7760988473892212,0.4722823202610016,,-0.0025214888155460358,-0.7412970066070557,8.558481931686401e-05,0.00018502213060855865,664,,1763260187.7691364
0.00026935484493151307,479.0,51200,0.0,133.31069493293762,167.133056640625,0.3935183882713318,,0.0010377652943134308,0.04617655277252197,0.0003284085541963577,-0.007510611787438393,684,,1763260191.791084
0.0002690476248972118,479.0,51712,0.0,134.3185911178589,1.43498957157135,0.43050408363342285,,0.0020405054092407227,0.7936198711395264,0.0020981039851903915,0.009179512038826942,689,,1763260192.7989802
,,52461,,135.76139330863953,,,180.0,,,,,698,180.0,1763260194.2417824
,,52756,,136.48622035980225,,,295.0,,,,,702,295.0,1763260194.9666095
0.00026812596479430795,479.0,53248,0.0,137.53359937667847,2.493713855743408,0.5164607167243958,,-0.0040107667446136475,0.6983796954154968,0.0009391577914357185,0.005292887799441814,707,,1763260196.0139885
0.0002668970846571028,478.0,55296,0.0,141.89286255836487,0.12567417323589325,0.4960730969905853,,-0.0005161017179489136,0.6224148273468018,1.2344680726528168e-05,-0.0004893774166703224,729,,1763260200.3732517
