losses/clipfrac,losses/value_loss,charts/episodic_length,charts/episodic_return,losses/entropy,losses/explained_variance,_step,_timestamp,losses/approx_kl,charts/learning_rate,charts/SPS,losses/old_approx_kl,losses/policy_loss,_runtime,global_step
,,,,,,0,1763260083.2139194,,,,,,24.779963493347168,0
0.0,30.28001594543457,29.0,29.0,0.6931422352790833,-0.0017807483673095703,7,1763260084.9745948,1.4290213584899902e-05,0.0003000000142492354,750.0,-0.00017560645937919617,0.00014965375885367393,26.54063892364502,128
0.0,18.734437942504883,,,0.6925296187400818,0.0104714035987854,33,1763260085.5025465,0.0003181658685207367,0.0002996927942149341,916.0,0.002997536212205887,-0.009602788835763931,27.06859064102173,640
,,17.0,17.0,,,41,1763260085.6383317,,,,,,27.204375743865967,788
,,23.0,23.0,,,47,1763260085.7648573,,,,,,27.330901384353638,927
0.0,56.04190444946289,,,0.6695156097412109,0.003665924072265625,64,1763260086.1708472,0.0014780256897211075,0.0002993087691720575,936.0,-0.008119547739624977,-0.013454407453536987,27.736891269683838,1280
0.0,33.81858444213867,,,0.6159324645996094,0.019887983798980713,74,1763260086.703937,0.0028892289847135544,0.00029915515915490687,808.0,0.0187859944999218,-0.019559741020202637,28.269981145858765,1536
,,31.0,31.0,,,77,1763260086.8041012,,,,,,28.370145320892334,1586
,,72.0,72.0,,,88,1763260087.565745,,,,,,29.131789207458496,2172
,,54.0,54.0,,,102,1763260088.3840392,,,,,,29.950083255767822,2570
0.0,56.47389221191406,,,0.6210870742797852,0.07940548658370972,104,1763260088.550905,0.0005852635949850082,0.000298463914077729,717.0,-0.0037090107798576355,0.004949256777763367,30.1169490814209,2688
,,116.0,116.0,,,133,1763260090.7437036,,,,,,32.30974769592285,4115
,,78.0,78.0,,,147,1763260092.1531103,,,,,,33.719154357910156,4923
,,85.0,85.0,,,149,1763260092.4357154,,,,,,34.00175952911377,5008
,,43.0,43.0,,,150,1763260092.4916816,,,,,,34.05772566795349,5051
,,49.0,49.0,,,155,1763260093.1377342,,,,,,34.70377826690674,5297
,,100.0,100.0,,,157,1763260093.4423847,,,,,,35.00842881202698,5397
,,89.0,89.0,,,172,1763260095.5194952,,,,,,37.0855393409729,6204
0.0,38.845821380615234,,,0.6199846863746643,0.07897371053695679,195,1763260099.6983137,0.0002100430428981781,0.00029562212876044214,498.0,-0.0005855467170476913,0.001377347856760025,41.264357805252075,7424
,,66.0,66.0,,,203,1763260100.755509,,,,,,42.321552991867065,7904
,,70.0,70.0,,,213,1763260102.2295465,,,,,,43.79559063911438,8538
0.0,60.035423278808594,,,0.6305495500564575,-0.07407581806182861,217,1763260103.0226135,0.001390867866575718,0.0002947772736661136,484.0,0.006390434689819813,-0.007319442927837372,44.58865761756897,8832
0.0,46.08614730834961,,,0.5955301523208618,0.6079590916633606,228,1763260104.6855261,4.841480404138565e-05,0.0002943164436146617,482.0,0.0015345336869359016,0.0009410418570041656,46.25157022476196,9600
0.0,26.216352462768555,,,0.6001594066619873,0.8088762760162354,233,1763260105.511219,1.2442469596862793e-05,0.00029408602858893573,482.0,0.00035432539880275726,6.719306111335754e-05,47.07726311683655,9984
0.017578125,68.62870025634766,,,0.5797085762023926,-0.0035619735717773438,251,1763260108.2688317,0.005695568397641182,0.00029331797850318253,480.0,0.013602158054709435,-0.011959083378314972,49.83487582206726,11264
0.0,25.394393920898438,,,0.5899129509925842,0.815035343170166,259,1763260109.444987,0.000388462096452713,0.00029301075846888125,477.0,-0.005862263962626457,-0.004611752927303314,51.01103115081787,11776
0.0,39.46082305908203,,,0.602087140083313,0.7785799503326416,265,1763260110.492608,0.0009517436847090721,0.00029270353843457997,478.0,0.002366132102906704,-0.007186487317085266,52.05865216255188,12288
0.0,57.92778396606445,,,0.6028727293014526,0.002358675003051758,273,1763260111.810052,0.0008181566372513771,0.00029231951339170337,478.0,0.007934928871691227,-0.0009314045310020447,53.37609601020813,12928
0.0,43.39686965942383,,,0.5996683835983276,0.5693129301071167,274,1763260112.036416,0.00035874079912900925,0.00029224270838312805,479.0,0.00016582664102315903,-0.007489968091249466,53.60246014595032,13056
0.0,21.027050018310547,,,0.542874276638031,0.7440264225006104,292,1763260115.1794221,0.0005046287551522255,0.0002913210482802242,480.0,0.0010588495060801506,-0.004316726699471474,56.745466232299805,14592
0.0,39.72881317138672,,,0.5385083556175232,0.27987730503082275,321,1763260120.0322974,6.323680281639099e-05,0.0002898617531172931,483.0,-0.001871153712272644,0.0015269676223397255,61.59834146499634,17024
,,321.0,321.0,,,327,1763260120.9737039,,,,,,62.53974795341492,17591
0.0,37.2166633605957,,,0.5690023899078369,-0.021440505981445312,330,1763260121.6093543,0.00033698324114084244,0.0002893241180572659,486.0,0.006210592575371265,0.005929460749030113,63.17539834976196,17920
,,500.0,500.0,,,332,1763260121.8941498,,,,,,63.46019387245178,18091
0.0,33.425743103027344,,,0.596228301525116,-0.0001322031021118164,337,1763260122.8520331,0.00030651409178972244,0.0002889400930143893,487.0,0.003159652464091778,-0.0005630627274513245,64.41807723045349,18560
0.0,45.26571273803711,,,0.563744306564331,0.23633193969726562,340,1763260123.3267777,0.0014357296749949455,0.00028878648299723864,488.0,-0.0007972130551934242,-0.011977985501289368,64.89282178878784,18816
0.0,91.04739379882812,,,0.6098870038986206,0.019448459148406982,370,1763260127.9834027,0.0004913192242383957,0.0002871735778171569,498.0,-0.004780681803822517,-0.0021958351135253906,69.54944682121277,21504
0.0,23.49720573425293,,,0.576210081577301,0.19608229398727417,396,1763260131.842598,0.00019369181245565414,0.00028586789267137647,503.0,0.0017597777768969536,0.0009517781436443329,73.40864205360413,23680
0.0,47.41926574707031,,,0.5932093858718872,-0.0020290613174438477,425,1763260137.1413074,0.0001262882724404335,0.0002844085975084454,498.0,-0.0024396097287535667,-0.001704573631286621,78.70735144615173,26112
0.0,106.68601989746094,,,0.547278881072998,0.26919102668762207,441,1763260140.3101857,6.830692291259766e-05,0.00028356374241411686,495.0,0.003518488258123398,-5.3860247135162354e-05,81.876229763031,27520
0.0,18.497650146484375,,,0.6134448051452637,-0.20678222179412842,450,1763260141.9985952,0.00036738626658916473,0.0002830261073540896,496.0,0.004234572872519493,-0.003754720091819763,83.56463932991028,28416
0.0,10.425151824951172,,,0.5924539566040039,0.8821092844009399,471,1763260145.2868533,0.002536870539188385,0.00028202764224261045,497.0,0.008660253137350082,-0.014024708420038223,86.85289740562439,30080
0.0,78.78612518310547,,,0.5504012107849121,0.5292381048202515,481,1763260146.7798333,3.2195821404457092e-06,0.00028156681219115853,497.0,-0.00022080633789300919,-8.834898471832275e-05,88.34587740898132,30848
0.0,13.069511413574219,,,0.5854686498641968,0.002352595329284668,490,1763260148.1003146,3.148801624774933e-06,0.00028118278714828193,497.0,-0.00034801755100488663,-0.00025344640016555786,89.66635870933533,31488
0.015625,46.29147720336914,,,0.5648319125175476,0.8219950199127197,504,1763260150.0410063,0.003356555476784706,0.0002806451520882547,496.0,0.0030865054577589035,0.005520263686776161,91.60705041885376,32384
,,261.0,261.0,,,515,1763260151.6516445,,,,,,93.21768856048584,33227
,,139.0,139.0,,,530,1763260154.0465355,,,,,,95.6125795841217,34377
0.013671875,5.361027717590332,,,0.6097133159637451,0.9744626879692078,539,1763260155.5502722,0.007534943521022797,0.00027903224690817297,495.0,-0.041933443397283554,-0.02607553079724312,97.11631631851196,35072
,,368.0,368.0,,,547,1763260156.6665945,,,,,,98.2326385974884,35640
0.0,65.10101318359375,,,0.6024750471115112,0.08425921201705933,555,1763260157.9049664,6.0930848121643066e-05,0.0002783410018309951,495.0,-0.0006758961826562881,-0.0005491673946380615,99.47101044654846,36224
0.0,7.740772247314453,,,0.626011312007904,0.059939801692962646,559,1763260158.637229,1.1548399925231934e-06,0.0002781105868052691,495.0,0.0003444179892539978,9.410828351974487e-05,100.20327305793762,36608
0.0,57.98609924316406,,,0.5731255412101746,0.6389057636260986,568,1763260160.0835707,0.0005940664559602737,0.0002776497567538172,496.0,-0.0013179033994674683,-0.007014386355876923,101.6496148109436,37376
,,152.0,152.0,,,595,1763260164.3772178,,,,,,105.94326186180115,39610
,,148.0,148.0,,,612,1763260166.6435654,,,,,,108.2096095085144,40635
,,141.0,141.0,,,614,1763260166.9261677,,,,,,108.49221181869507,40776
,,107.0,107.0,,,630,1763260169.2022123,,,,,,110.76825642585754,41731
,,179.0,179.0,,,636,1763260170.0348103,,,,,,111.60085439682007,42147
,,197.0,197.0,,,640,1763260170.594213,,,,,,112.16025710105896,42418
0.0,1.3188402652740479,,,0.5785789489746094,0.9915255308151245,650,1763260172.185146,0.001971951685845852,0.00027419356047175825,493.0,-0.011864102445542812,-0.01779380813241005,113.75119018554688,43136
0.0,8.783422470092773,,,0.5989333987236023,0.6163673996925354,664,1763260174.7656386,0.0021522575989365578,0.00027342551038600504,493.0,0.01780012995004654,-0.0032882317900657654,116.33168268203735,44416
0.0,461.8770446777344,,,0.5794636011123657,0.012685894966125488,684,1763260177.7434125,0.00011281296610832214,0.0002725806552916765,493.0,-0.001505967229604721,-0.0036577917635440826,119.30945658683777,45824
