charts/SPS,losses/old_approx_kl,_step,losses/entropy,losses/value_loss,charts/episodic_return,charts/learning_rate,_runtime,losses/approx_kl,_timestamp,losses/explained_variance,losses/clipfrac,losses/policy_loss,global_step,charts/episodic_length
,,0,,,,,24.422197341918945,,1763260054.8547623,,,,0,
,,7,,,16.0,,26.46950340270996,,1763260056.9020684,,,,119,16.0
,,33,,,21.0,,26.95947241783142,,1763260057.3920374,,,,538,21.0
,,41,,,13.0,,27.10881543159485,,1763260057.5413804,,,,729,13.0
,,47,,,19.0,,27.22488760948181,,1763260057.6574526,,,,826,19.0
,,64,,,54.0,,27.59222984313965,,1763260058.0247948,,,,1226,54.0
988.0,-0.0029351627454161644,74,0.6113563179969788,31.25257110595703,,0.00029915515915490687,27.94432806968689,0.001608830876648426,1763260058.376893,-0.0034568309783935547,0.0,0.0027202144265174866,1536,
,,77,,,60.0,,27.992442846298218,,1763260058.4250078,,,,1663,60.0
,,88,,,96.0,,28.42015552520752,,1763260058.8527205,,,,2081,96.0
1034.0,0.01888146437704563,102,0.5503730177879333,45.40519332885742,,0.00029838710906915367,29.112862586975098,0.003557519055902958,1763260059.5454276,0.09357255697250366,0.001953125,-0.007480410858988762,2816,
,,104,,,216.0,,29.227269649505615,,1763260059.6598346,,,,2947,216.0
1063.0,-0.003723887726664543,133,0.5497524738311768,37.33330154418945,,0.00029715822893194854,30.964986562728882,0.000149628147482872,1763260061.3975515,0.42017191648483276,0.0,0.0036764591932296753,4864,
,,147,,,42.0,,31.760826587677002,,1763260062.1933916,,,,5780,42.0
1074.0,0.002231365069746971,149,0.5858917236328125,44.98150634765625,,0.00029646698385477066,31.992005825042725,3.957003355026245e-05,1763260062.4245708,-0.008067965507507324,0.0,0.0026062503457069397,6016,
1075.0,-0.008523118682205677,150,0.6126471757888794,43.718505859375,,0.00029639017884619534,32.101470947265625,0.003116161562502384,1763260062.534036,0.5338751077651978,0.005859375,-0.026926718652248383,6144,
1079.0,-0.0005215108394622803,155,0.590427815914154,42.52202606201172,,0.0002961597638204694,32.438313007354736,0.0005440376698970795,1763260062.870878,0.030503392219543457,0.0,-0.004696948453783989,6528,
,,157,,,318.0,,32.555447578430176,,1763260062.9880126,,,,6671,318.0
,,172,,,96.0,,33.46178936958313,,1763260063.8943543,,,,7685,96.0
1044.0,-0.0027414262294769287,195,0.5631774663925171,31.39517593383789,,0.000294623663648963,35.09145450592041,0.00019815191626548767,1763260065.5240195,0.028583645820617676,0.0,-0.0010332763195037842,9088,
,,203,,,83.0,,35.66189002990723,,1763260066.094455,,,,9666,83.0
,,213,,,73.0,,36.273805379867554,,1763260066.7063704,,,,10214,73.0
,,217,,,114.0,,36.66840672492981,,1763260067.1009717,,,,10488,114.0
972.0,0.0012792600318789482,228,0.6036118268966675,21.51194190979004,,0.00029339478351175785,37.84373116493225,0.00023603346198797226,1763260068.2762961,0.7650067806243896,0.0,0.0005535166710615158,11136,
950.0,-0.011276055127382278,233,0.5767241716384888,33.07493591308594,,0.0002931643684860319,38.50889253616333,0.0010008737444877625,1763260068.9414575,0.05950319766998291,0.0,-0.010121580213308334,11520,
873.0,0.005645534954965115,251,0.5199060440063477,28.368656158447266,,0.00029254992841742933,40.745938777923584,0.00015219394117593765,1763260071.1785038,0.2758997678756714,0.0,0.0010116063058376312,12544,
852.0,-0.007502250373363495,259,0.5266239047050476,27.873035430908203,,0.00029224270838312805,41.70983576774597,0.00018130242824554443,1763260072.1424007,0.8327673077583313,0.0,0.002642318606376648,13056,
