charts/episodic_return,losses/entropy,losses/policy_loss,_timestamp,losses/clipfrac,losses/value_loss,losses/old_approx_kl,charts/episodic_length,charts/SPS,global_step,losses/approx_kl,charts/learning_rate,_runtime,_step,losses/explained_variance
,,,1763260055.7964356,,,,,,0,,,24.95767569541931,0,
38.0,,,1763260056.9941099,,,,38.0,,134,,,26.15534996986389,7,
31.0,,,1763260057.5285702,,,,31.0,,678,,,26.689810276031494,33,
40.0,,,1763260057.6783576,,,,40.0,,866,,,26.839597702026367,41,
17.0,,,1763260057.8137443,,,,17.0,,1007,,,26.974984407424927,47,
19.0,,,1763260058.4743848,,,,19.0,,1589,,,27.635624885559082,64,
,0.6228249073028564,-0.0003844350576400757,1763260059.0434885,0.0,58.4260368347168,-0.008181593380868435,,980.0,2176,0.00044766347855329514,0.00029877113411203027,28.204728603363037,74,-0.19223308563232422
84.0,0.5910642743110657,-0.02695567160844803,1763260059.1862388,0.0,35.02094650268555,0.012221425771713257,84.0,975.0,2304,0.0015766527503728867,0.00029869432910345495,28.34747886657715,77,0.08149927854537964
,0.5924015045166016,-0.011428110301494598,1763260059.7845495,0.0,37.93470001220703,0.008644402027130127,,994.0,2944,0.0008185077458620071,0.00029831030406057835,28.945789575576782,88,0.10573649406433105
235.0,,,1763260060.7887793,,,,235.0,,4071,,,29.950019359588623,102,
,0.5609322190284729,6.150081753730774e-05,1763260060.9887476,0.0,44.776153564453125,0.002015971578657627,,1014.0,4224,0.00010151509195566177,0.00029754225397482514,30.14998769760132,104,0.10032480955123901
,0.6422805190086365,-0.0008385125547647476,1763260063.1217518,0.0,41.07736587524414,-0.0001354822888970375,,1036.0,6528,8.226372301578522e-06,0.0002961597638204694,32.282991886138916,133,-0.030025482177734375
,0.5547123551368713,-0.0004074499011039734,1763260064.1076555,0.0,32.23640060424805,-0.0017459094524383545,,1036.0,7552,2.658553421497345e-05,0.0002955453237518668,33.268895626068115,147,0.025791525840759277
178.0,,,1763260064.2512553,,,,178.0,,7721,,,33.412495374679565,149,
,0.591962993144989,-1.9595026969909668e-05,1763260064.3705425,0.0,34.394874572753906,-0.00033941492438316345,,1034.0,7808,0.00047696009278297424,0.0002953917137347162,33.53178262710571,150,0.14109104871749878
,0.5578976273536682,0.0036166980862617493,1763260064.84259,0.0,38.00946044921875,0.0002820827066898346,,1037.0,8320,7.162429392337799e-05,0.0002950844937004149,34.00383019447327,155,0.12411421537399292
,0.5987969636917114,-0.00428510457277298,1763260064.9593117,0.0,35.95878601074219,0.0006930539384484291,,1038.0,8448,0.0005149291828274727,0.0002950076886918396,34.1205518245697,157,0.045954763889312744
,0.5757610201835632,-0.0007741674780845642,1763260066.2511077,0.0,40.11662292480469,-0.00013780873268842697,,1004.0,9472,4.774890840053558e-06,0.000294393248623237,35.4123477935791,172,0.061329543590545654
88.0,,,1763260068.533567,,,,88.0,,11090,,,37.694807052612305,195,
,0.5802443623542786,0.0006735716015100479,1763260069.4501753,0.0,23.870634078979492,0.0003667948767542839,,912.0,11520,0.0001489603891968727,0.0002931643684860319,38.61141538619995,203,0.1791936159133911
253.0,,,1763260070.8967755,,,,253.0,,12325,,,40.05801558494568,213,
,0.5832368731498718,0.008943945169448853,1763260071.4440343,0.0,22.631444931030273,0.0024711787700653076,,857.0,12544,0.0006524771451950073,0.00029254992841742933,40.60527443885803,217,0.33547157049179077
312.0,,,1763260072.8321347,,,,312.0,,13415,,,41.993374824523926,228,
,0.5791546702384949,-0.00017932802438735962,1763260073.5222435,0.0,26.285600662231445,0.0003547854721546173,,827.0,13824,3.475695848464966e-06,0.0002917818783316761,42.683483600616455,233,-0.0595393180847168
,0.521209716796875,0.0036043310537934303,1763260074.837342,0.0,49.0108757019043,-0.0037956489250063896,,831.0,14976,0.00020819064229726791,0.00029109063325449824,43.99858212471008,251,-0.011001348495483398
,0.5583421587944031,0.00508486432954669,1763260075.4651213,0.009765625,25.70499610900879,0.0017191804945468903,,837.0,15616,0.003237297758460045,0.00029070660821162164,44.62636137008667,259,-0.3046506643295288
,0.5164545774459839,-0.0064659640192985535,1763260075.9358318,0.0,21.28901481628418,-0.0041840560734272,,843.0,16128,0.00044252909719944,0.00029039938817732036,45.09707188606262,265,0.6385666728019714
,0.5302521586418152,-0.005011986941099167,1763260076.59287,0.046875,18.674060821533203,-0.004905560985207558,,848.0,16768,0.005799984559416771,0.00029001536313444376,45.75411009788513,273,0.6715649366378784
217.0,,,1763260076.6363215,,,,217.0,,16894,,,45.79756164550781,274,
,0.5451836585998535,0.0009688157588243484,1763260078.1887093,0.0,15.850664138793945,-0.0009195851162075996,,862.0,18432,0.00040700938552618027,0.0002890168980229646,47.3499493598938,292,0.8942590951919556
143.0,,,1763260080.4513247,,,,143.0,,20827,,,49.6125648021698,321,
,0.562329888343811,0.003542747348546982,1763260081.0275042,0.0,15.378162384033203,-0.0014349520206451416,,883.0,21376,0.0002255793660879135,0.00028725038282573223,50.18874430656433,327,-0.0009769201278686523
161.0,,,1763260081.2040832,,,,161.0,,21619,,,50.365323305130005,330,
133.0,,,1763260081.334007,,,,133.0,,21752,,,50.49524712562561,332,
207.0,,,1763260081.7473738,,,,207.0,,22125,,,50.90861392021179,337,
173.0,,,1763260081.956947,,,,173.0,,22298,,,51.11818718910217,340,
,0.4747515916824341,0.003998633474111557,1763260084.3095813,0.068359375,11.082700729370117,-0.019404247403144836,,894.0,24576,0.007558465003967285,0.0002853302576113492,53.470821380615234,370,0.9548380374908447
,0.500602126121521,0.005661763250827789,1763260084.7437255,0.0,8.67077922821045,-0.007357418537139893,,893.0,24960,0.0007758643478155136,0.00028509984258562326,53.90496563911438,375,0.9424188733100891
,0.5102173089981079,0.0024804770946502686,1763260086.307556,0.0,5.423888206481934,-0.002004471607506275,,898.0,26496,9.379815310239792e-05,0.0002841781824827194,55.46879601478577,396,0.9734389185905457
144.0,,,1763260088.6285238,,,,144.0,,28810,,,57.78976392745972,425,
,0.5962616801261902,0.00538301095366478,1763260090.2946243,0.0,7.102511882781982,-0.0030258595943450928,,906.0,30336,0.00042052194476127625,0.0002818740322254598,59.45586442947388,441,0.05558282136917114
500.0,,,1763260091.0547209,,,,500.0,,31174,,,60.21596097946167,450,
27.0,,,1763260093.3865929,,,,27.0,,33098,,,62.54783296585083,471,
224.0,,,1763260094.5781755,,,,224.0,,34020,,,63.739415645599365,481,
,0.5332586765289307,-0.0039341021329164505,1763260095.53144,0.0,5.305670738220215,0.0014870837330818176,,899.0,34816,0.00030473433434963226,0.0002791858569253236,64.69268012046814,490,-0.08013737201690674
,0.5529250502586365,0.000918947160243988,1763260097.2203836,0.0,4.832887649536133,0.006873135454952717,,896.0,36224,0.001009673811495304,0.0002783410018309951,66.3816237449646,504,-0.003504514694213867
,0.6017329692840576,-0.01007889211177826,1763260099.4128368,0.0,4.126340389251709,0.0010187719017267227,,877.0,37376,0.00036804191768169403,0.0002776497567538172,68.57407689094543,515,0.04825848340988159
211.0,,,1763260101.8879688,,,,211.0,,38608,,,71.04920887947083,530,
,0.56341552734375,0.0014255307614803314,1763260103.7407806,0.0,2.827648162841797,-0.0010888595134019852,,840.0,39424,0.0005295928567647934,0.0002764208766166121,72.90202069282532,539,0.33848631381988525
,0.5576655268669128,-0.0012004077434539795,1763260105.1875212,0.001953125,69.95023345947266,0.007936756126582623,,828.0,40064,0.004293435253202915,0.00027603688067756593,74.34876132011414,547,0.2824253439903259
165.0,,,1763260106.6033347,,,,165.0,,40791,,,75.76457476615906,555,
355.0,,,1763260107.51301,,,,355.0,,41146,,,76.67425012588501,559,
135.0,,,1763260109.440146,,,,135.0,,41749,,,78.60138607025146,568,
222.0,,,1763260114.7307298,,,,222.0,,44016,,,83.89196991920471,595,
,0.466272234916687,-0.007013075053691864,1763260117.7840784,0.0,0.9217526316642761,0.0009957458823919296,,743.0,45312,0.0001900848001241684,0.0002728878753259778,86.94531846046448,612,0.025685012340545654
359.0,,,1763260118.0954063,,,,359.0,,45503,,,87.25664639472961,614,
137.0,,,1763260120.735904,,,,137.0,,46631,,,89.89714407920837,630,
,0.5279631614685059,-0.012093009427189827,1763260122.0395246,0.01171875,1.836411714553833,-0.012681328691542149,,724.0,47232,0.006795245222747326,0.000271735800197348,91.2007646560669,636,0.03615677356719971
,0.5693801045417786,0.0017039701342582703,1763260122.6465023,0.0,204.83993530273438,-0.0014019384980201721,,721.0,47488,5.663186311721802e-05,0.00027158219018019736,91.80774235725403,640,-0.014524221420288086
,0.5368382930755615,0.0011219978332519531,1763260124.4906895,0.0,0.5056061744689941,-0.00107545405626297,,715.0,48384,5.054846405982971e-05,0.0002710445551201701,93.6519296169281,650,0.9316171407699585
,0.5436543226242065,0.0005538761615753174,1763260127.1690636,0.001953125,31.201820373535156,0.0005324389785528183,,706.0,49664,0.0015604551881551743,0.0002702765050344169,96.33030366897583,664,0.9090684056282043
,0.5541364550590515,0.004043709486722946,1763260130.8406057,0.0,200.50025939941406,-0.004349738359451294,,695.0,51456,0.00031916238367557526,0.00026920123491436243,100.0018458366394,684,0.11213928461074829
,0.5740242004394531,0.0060151927173137665,1763260131.786187,0.0,36.07679748535156,0.0032736854627728462,,693.0,51968,0.0007632290944457054,0.00026889401488006115,100.94742703437805,689,0.9283079504966736
,0.5817134976387024,-0.00779750756919384,1763260133.5742018,0.0,0.3503729999065399,-0.0029741348698735237,,688.0,52864,0.00016811955720186234,0.0002683563798200339,102.73544192314148,698,0.3667396306991577
,0.5300384759902954,-0.018762677907943726,1763260134.338563,0.0,0.11851444840431213,0.006244383752346039,,686.0,53248,0.0012651607394218445,0.00026812596479430795,103.49980306625366,702,-0.2568460702896118
,0.5258831977844238,-0.00328918918967247,1763260135.2411692,0.0,0.08063138276338577,0.0023903045803308487,,685.0,53760,0.0003966856747865677,0.00026781874476000667,104.40240931510925,707,-0.38764262199401855
,0.5000372529029846,-0.008090920746326447,1763260139.0881965,0.0,0.04182266816496849,0.00672233197838068,,678.0,55808,0.0006270678713917732,0.00026658986462280154,108.24943661689758,729,0.0951681137084961
,0.40843915939331055,-0.03060322254896164,1763260144.7263386,0.029296875,0.1809394657611847,2.2491440176963806e-05,,666.0,58624,0.008736317045986652,0.0002649001544341445,113.88757872581482,757,0.3779388666152954
,0.4006136655807495,-0.0032328665256500244,1763260145.5722606,0.0,253.7989501953125,0.008531815372407436,,664.0,59008,0.0004300614818930626,0.00026466973940841854,114.73350071907043,762,0.054914116859436035
,0.44920238852500916,-0.023902833461761475,1763260146.5591004,0.0078125,0.135684996843338,-0.006745804101228714,,663.0,59520,0.002642890438437462,0.00026436251937411726,115.72034049034119,767,0.9256689548492432
,0.40700575709342957,-0.0028565600514411926,1763260147.8826392,0.0,112.5721206665039,0.0001236824318766594,,660.0,60160,0.00036016758531332016,0.00026397849433124065,117.04387927055359,775,-0.0045087337493896484
359.0,,,1763260150.4277754,,,,359.0,,61496,,,119.5890154838562,788,
,0.4663243889808655,0.0038109347224235535,1763260150.649237,0.0,287.7054443359375,-0.007501212880015373,,656.0,61568,0.0002515967935323715,0.00026313363923691213,119.81047701835632,789,0.03023427724838257
462.0,,,1763260152.11165,,,,462.0,,62458,,,121.27289009094238,797,
,0.4752892255783081,0.004614502191543579,1763260153.7121036,0.001953125,0.073526531457901,0.022735245525836945,,652.0,63232,0.002635607495903969,0.00026213517412543297,122.87334370613098,806,0.40141230821609497
203.0,,,1763260155.18048,,,,203.0,,64046,,,124.34172010421753,815,
,0.5062949657440186,-0.010359488427639008,1763260164.5408533,0.0,0.0005146675975993276,0.003544619306921959,,640.0,68992,0.0007966738194227219,0.00025867894873954356,133.70209336280823,863,0.21498167514801025
,0.5338274836540222,0.0026771798729896545,1763260166.282464,0.0,0.005148342344909906,0.0016375966370105743,,638.0,69888,0.0003382079303264618,0.0002581413136795163,135.44370412826538,872,0.6005311608314514
,0.5232952237129211,0.0049923136830329895,1763260167.0327678,0.0,220.7234344482422,-0.005440911278128624,,637.0,70272,0.0004448499530553818,0.00025791089865379035,136.19400787353516,876,0.00011587142944335938
,0.46346503496170044,-0.0022439323365688324,1763260174.8708532,0.0,0.003688135417178273,0.012333042919635773,,629.0,74368,0.0017922818660736084,0.0002554531383793801,144.03209328651428,916,-0.14005863666534424
,0.452461838722229,0.011178223416209221,1763260176.120327,0.00390625,0.0002505230368115008,0.009119810536503792,,628.0,75008,0.0065523786470294,0.0002550691133365035,145.2815670967102,922,0.25180721282958984
,0.45796793699264526,-0.003279373049736023,1763260177.6389186,0.0,110.27975463867188,0.0004489067941904068,,627.0,75776,0.00024651363492012024,0.0002546082832850516,146.80015873908997,930,0.00031125545501708984
,0.46632251143455505,0.004233270883560181,1763260179.3787017,0.0078125,0.00023272293037734926,0.0030784420669078827,,625.0,76672,0.0024797245860099792,0.00025407064822502434,148.53994178771973,938,-1.9204161167144775
