global_step,_step,_timestamp,charts/SPS,losses/entropy,losses/value_loss,charts/learning_rate,_runtime,charts/episodic_return,losses/approx_kl,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,charts/episodic_length,losses/clipfrac
0,0,1763260066.8638167,,,,,36.90013766288757,,,,,,,
196,7,1763260067.7959895,,,,,37.83231043815613,105.0,,,,,105.0,
768,33,1763260069.4150617,435.0,0.6680890917778015,23.602712631225586,0.0002996159892063588,39.451382637023926,,0.0013926532119512558,-0.017649557441473007,0.016452966257929802,0.012915611267089844,,0.0
943,41,1763260069.7746682,,,,,39.81098914146423,55.0,,,,,55.0,
1227,47,1763260070.2418125,,,,,40.278133392333984,69.0,,,,,69.0,
1718,64,1763260071.5014932,,,,,41.537814140319824,38.0,,,,,38.0,
2150,74,1763260072.3373165,,,,,42.373637437820435,61.0,,,,,61.0,
2290,77,1763260072.6097271,,,,,42.646048069000244,81.0,,,,,81.0,
2688,88,1763260073.5238357,457.0,0.6305942535400391,45.0997428894043,0.000298463914077729,43.56015658378601,,7.938221096992493e-05,0.0013303905725479126,-0.00039685703814029694,0.0015560388565063477,,0.0
3213,102,1763260074.2959049,,,,,44.33222579956055,61.0,,,,,61.0,
3328,104,1763260074.4529395,489.0,0.6102946996688843,37.9070930480957,0.0002980798890348524,44.48926043510437,,4.1608698666095734e-05,-0.0012592189013957977,0.0006630653515458107,0.04300212860107422,,0.0
4915,133,1763260076.6312308,,,,,46.66755175590515,114.0,,,,,114.0,
5760,147,1763260078.029494,554.0,0.6165443658828735,32.91869354248047,0.0002966205938719213,48.06581497192383,,0.0008777044713497162,0.0016871839761734009,0.006659088656306267,0.4133712649345398,,0.0
5888,149,1763260078.232485,556.0,0.5417047739028931,34.256629943847656,0.000296543788863346,48.26880598068237,,0.00014064833521842957,0.0007438957691192627,-0.0055628251284360886,0.07563316822052002,,0.0
6016,150,1763260078.3851027,560.0,0.6180809140205383,38.172279357910156,0.00029646698385477066,48.42142367362976,,0.0004989039152860641,0.0033423490822315216,-0.004186628386378288,0.13880383968353271,,0.0
6400,155,1763260078.9183483,567.0,0.5885999202728271,43.73210906982422,0.0002962365688290447,48.95466923713684,,7.30566680431366e-05,0.0009678779169917107,-0.0013713669031858444,0.36173737049102783,,0.0
6528,157,1763260079.0878386,570.0,0.5908764600753784,39.407291412353516,0.0002961597638204694,49.12415957450867,,7.183384150266647e-05,-0.00282074511051178,0.0027317022904753685,0.1358867883682251,,0.0
7723,172,1763260080.5374591,,,,,50.57378005981445,118.0,,,,,118.0,
9344,195,1763260082.450868,631.0,0.5948463082313538,25.040401458740234,0.00029447005363181233,52.48718881607056,,0.0004512062296271324,-0.018504276871681213,0.008274535648524761,0.5327185392379761,,0.0
9812,203,1763260083.0077238,,,,,53.044044733047485,88.0,,,,,88.0,
10496,213,1763260083.9029553,645.0,0.5474665760993958,28.208499908447266,0.00029377880855463445,53.93927621841431,,0.003912016749382019,-0.019159644842147827,-0.004408570006489754,0.13765424489974976,,0.0703125
10752,217,1763260084.220859,648.0,0.5885102152824402,27.495166778564453,0.0002936251985374838,54.257179975509644,,0.0001835394650697708,0.0013242252171039581,-0.003795107826590538,0.2709406018257141,,0.0
11468,228,1763260084.9327357,,,,,54.969056606292725,141.0,,,,,141.0,
11904,233,1763260085.4181714,669.0,0.5742626786231995,31.53097152709961,0.00029293395346030593,55.45449233055115,,5.307607352733612e-05,-0.0019561033695936203,0.0008628461509943008,0.05993187427520752,,0.0
13184,251,1763260086.8154469,687.0,0.5939428806304932,22.351665496826172,0.0002921659033745527,56.851767778396606,,7.234327495098114e-05,-0.002192460000514984,0.0009144581854343414,0.10578995943069458,,0.0
13712,259,1763260087.405841,,,,,57.44216203689575,80.0,,,,,80.0,
14148,265,1763260087.9656358,,,,,58.00195670127869,126.0,,,,,126.0,
14668,273,1763260088.6054208,,,,,58.64174175262451,130.0,,,,,130.0,
14720,274,1763260088.7266455,698.0,0.5573185682296753,11.40349006652832,0.0002912442432716489,58.76296639442444,,0.0031666113063693047,-0.007748797535896301,0.015006535686552525,0.8848646283149719,,0.0
16256,292,1763260090.6787982,705.0,0.6203032732009888,21.04377555847168,0.00029032258316874504,60.71511912345886,,0.0001345425844192505,-0.0018797814846038818,0.001485561951994896,0.6158115863800049,,0.0
18560,321,1763260094.0049255,704.0,0.5588181018829346,61.653472900390625,0.0002889400930143893,64.04124641418457,,0.0005891751497983932,-0.004659323021769524,0.007193857803940773,0.04405325651168823,,0.0
18944,327,1763260094.8201263,697.0,0.5810250043869019,55.55033874511719,0.0002887096779886633,64.85644721984863,,8.738506585359573e-05,-0.006366938352584839,0.0025586457923054695,0.032250821590423584,,0.0
19178,330,1763260095.1705956,,,,,65.20691657066345,19.0,,,,,19.0,
19328,332,1763260095.6419342,690.0,0.5830708146095276,18.334484100341797,0.00028847926296293736,65.67825508117676,,2.3288652300834656e-05,0.001278955489397049,-0.0029771048575639725,0.1227770447731018,,0.0
19840,337,1763260096.635231,684.0,0.6003477573394775,16.8890323638916,0.0002881720429286361,66.67155194282532,,0.00022874772548675537,0.002870023250579834,0.007917681708931923,-0.119698166847229,,0.0
20096,340,1763260097.2073288,679.0,0.5628909468650818,23.298635482788086,0.00028801843291148543,67.24364972114563,,2.401880919933319e-05,0.0021439865231513977,-0.001137739047408104,0.0005685687065124512,,0.0
22528,370,1763260102.3268135,649.0,0.49919745326042175,55.74639129638672,0.00028655913774855435,72.36313438415527,,9.257625788450241e-05,0.0036082416772842407,-0.0020657656714320183,0.13506877422332764,,0.0
24603,396,1763260106.813346,,,,,76.84966683387756,233.0,,,,,233.0,
27170,425,1763260112.0365765,,,,,82.07289743423462,357.0,,,,,357.0,
28566,441,1763260114.6980898,,,,,84.73441076278687,120.0,,,,,120.0,
29312,450,1763260116.1306129,604.0,0.579037070274353,137.99375915527344,0.0002824884722940624,86.16693377494812,,0.00012706127017736435,-0.004297804087400436,0.007292653433978558,0.002569735050201416,,0.0
31086,471,1763260119.280215,,,,,89.31653594970703,164.0,,,,,164.0,
32077,481,1763260120.9779742,,,,,91.01429510116577,491.0,,,,,491.0,
32896,490,1763260122.5406044,599.0,0.5751664042472839,7.269247055053711,0.0002803379320539534,92.57692527770996,,0.0005316445603966713,-0.0019481182098388672,-0.0013139629736542702,0.20887809991836548,,0.0
34176,504,1763260124.7435982,598.0,0.5897305011749268,6.295574188232422,0.0002795698819682002,94.77991914749146,,0.0014709383249282837,0.013608735054731369,-0.004028709605336189,0.333809494972229,,0.0
35200,515,1763260126.4904597,598.0,0.5890123844146729,7.945390701293945,0.00027895544189959764,96.52678060531616,,0.00043807458132505417,-0.006620660424232483,0.004546386189758778,0.8893537521362305,,0.0
36231,530,1763260128.3845105,,,,,98.42083144187927,120.0,,,,,120.0,
37120,539,1763260129.825928,597.0,0.530228853225708,47.10445022583008,0.00027780336677096784,99.86224889755249,,0.0003187032416462898,0.0018347781151533127,-0.002349342219531536,0.010908663272857666,,0.0
37888,547,1763260131.0645804,597.0,0.6147478818893433,4.350030422210693,0.0002773425367195159,101.10090136528015,,2.4704262614250183e-05,2.1845102310180664e-05,-0.00032687559723854065,0.8200887441635132,,0.0
38656,555,1763260132.262767,598.0,0.5569664239883423,4.024507522583008,0.000276881706668064,102.29908800125122,,8.67275521159172e-05,0.0013094395399093628,0.0011548036709427834,0.10244995355606079,,0.0
39040,559,1763260132.854175,598.0,0.5621785521507263,27.35331916809082,0.00027665129164233804,102.8904960155487,,0.0002643978223204613,0.0009709373116493225,0.002806185744702816,0.43176454305648804,,0.0
39936,568,1763260134.2270577,599.0,0.5178293585777283,3.557157039642334,0.00027611368568614125,104.2633786201477,,0.00015339255332946777,-0.0028698332607746124,0.0016506817191839218,0.26733213663101196,,0.0
42624,595,1763260138.7917607,599.0,0.5499199628829956,2.867549419403076,0.00027450078050605953,108.8280816078186,,0.00011985376477241516,0.000454142689704895,0.0006256103515625,-0.09622740745544434,,0.0
44160,612,1763260141.7335002,596.0,0.6251065731048584,122.73887634277344,0.0002735791204031557,111.76982116699219,,5.111098289489746e-06,-0.00047057121992111206,0.0006533954292535782,0.0011647939682006836,,0.0
44288,614,1763260142.0028393,595.0,0.6045100688934326,79.02362060546875,0.00027350231539458036,112.03916025161743,,1.35079026222229e-05,0.001956656575202942,-0.0017437059432268143,0.0021274685859680176,,0.0
45609,630,1763260144.5225587,,,,,114.55887961387634,138.0,,,,,138.0,
46091,636,1763260145.464662,,,,,115.50098299980164,365.0,,,,,365.0,
46464,640,1763260146.1524496,591.0,0.5396139025688171,8.893041610717773,0.0002721966302487999,116.18877053260803,,5.659647285938263e-05,-0.004090599715709686,0.0006563812494277954,0.10553258657455444,,0.0
47488,650,1763260147.938453,591.0,0.579361617565155,2.0934207439422607,0.00027158219018019736,117.97477388381958,,0.0005433009937405586,0.0035590380430221558,0.0030957134440541267,0.6763570308685303,,0.0
48805,664,1763260150.0867727,,,,,120.1230936050415,485.0,,,,,485.0,
50688,684,1763260153.4826734,590.0,0.5566216111183167,1.2370542287826538,0.00026966206496581435,123.51899433135986,,3.187078982591629e-05,0.0006928890943527222,-0.002725689671933651,0.00545424222946167,,0.0
51200,689,1763260154.3432686,590.0,0.5102587938308716,1.3950161933898926,0.00026935484493151307,124.3795895576477,,6.827525794506073e-06,-0.000421721488237381,8.520949631929398e-05,-0.2718203067779541,,0.0
52096,698,1763260155.8956962,590.0,0.5389671921730042,278.0318603515625,0.00026881720987148583,125.9320170879364,,0.0008547324687242508,-0.0027679316699504852,0.00805816799402237,0.002749025821685791,,0.0
52480,702,1763260156.5841722,590.0,0.5734218955039978,0.9585064053535461,0.00026858679484575987,126.62049317359924,,6.754044443368912e-05,0.0008458346128463745,0.00046104099601507187,-0.13647997379302979,,0.0
52992,707,1763260157.4714496,589.0,0.5181514620780945,1.0102124214172363,0.0002682795748114586,127.50777053833008,,3.222282975912094e-05,0.003032892942428589,0.005081563256680965,-0.3269791603088379,,0.0
55168,729,1763260161.3177154,588.0,0.6009930372238159,0.6661313772201538,0.00026697388966567814,131.35403633117676,,0.001411491073668003,0.003554234281182289,0.008592597208917141,-0.2109360694885254,,0.0
57856,757,1763260165.9307609,588.0,0.5943277478218079,231.9456787109375,0.0002653609844855964,135.96708178520203,,0.00028899312019348145,0.010477102361619473,-0.0042667388916015625,4.202127456665039e-05,,0.0
58240,762,1763260166.629484,588.0,0.5338737964630127,55.22065734863281,0.00026513056945987046,136.66580486297607,,0.003607906401157379,-0.04619990289211273,0.02213345095515251,0.01732778549194336,,0.009765625
58752,767,1763260167.4933417,588.0,0.6003877520561218,0.38853687047958374,0.0002648233494255692,137.52966260910034,,0.0001885201781988144,0.000630691647529602,-0.0037062950432300568,-0.07879257202148438,,0.0
59520,775,1763260168.7943254,588.0,0.5631980895996094,0.39553144574165344,0.00026436251937411726,138.830646276474,,0.0005607223138213158,-0.00869702734053135,0.005867994390428066,-0.28233373165130615,,0.0
60596,788,1763260170.6589172,,,,,140.69523811340332,105.0,,,,,105.0,
61568,797,1763260172.2739928,588.0,0.5699971318244934,0.2349100559949875,0.00026313363923691213,142.31031370162964,,9.989738464355469e-05,7.725879549980164e-05,-0.0017095915973186493,-0.07225954532623291,,0.0
62464,806,1763260173.7779741,588.0,0.5916467905044556,0.19494889676570892,0.0002625960041768849,143.81429505348206,,0.00012561213225126266,-0.005588553845882416,0.0011101951822638512,-0.11778461933135986,,0.0
63360,815,1763260175.2667797,588.0,0.5866584777832031,0.137139230966568,0.00026205836911685765,145.3031005859375,,0.00020390469580888748,0.0053394511342048645,-0.0007693441584706306,0.2840235233306885,,0.0
68224,863,1763260183.2173827,590.0,0.5170828700065613,0.17782744765281677,0.0002591397787909955,153.25370359420776,,0.011578782461583614,-0.009524565190076828,0.009140174835920334,-0.9454388618469238,,0.056640625
68973,872,1763260184.396184,,,,,154.43250489234924,176.0,,,,,176.0,
69248,876,1763260185.042038,589.0,0.480599045753479,2.1518092155456543,0.0002585253387223929,155.0783588886261,,0.021749179810285568,-0.040636464953422546,0.07254435122013092,0.9972145557403564,,0.044921875
73856,922,1763260192.6575787,590.0,0.5606454610824585,0.0008946185698732734,0.0002557603584136814,162.69389963150024,,0.002302391454577446,0.003342084586620331,0.008010774850845337,-0.19198346138000488,,0.0078125
74624,930,1763260193.9291983,590.0,0.5784885287284851,88.05122375488281,0.00025529952836222947,163.9655191898346,,0.002301633358001709,-0.0108875073492527,-0.006384816020727158,-0.0006557703018188477,,0.00390625
75520,938,1763260195.4369438,590.0,0.5926240086555481,0.00024802793632261455,0.0002547618933022022,165.47326469421387,,0.00253940187394619,0.008973130024969578,0.008271267637610435,0.1589072346687317,,0.013671875
75776,941,1763260195.8701189,590.0,0.5707648396492004,0.0036335468757897615,0.0002546082832850516,165.90643978118896,,0.001229909248650074,-0.014613048173487186,0.005155126564204693,0.25783389806747437,,0.0
75904,942,1763260196.0772412,591.0,0.5305662751197815,0.0006807083846069872,0.00025453147827647626,166.11356210708618,,0.006971171125769615,-0.036597058176994324,-0.005698236636817455,-1.2423303127288818,,0.017578125
76544,948,1763260197.1489892,591.0,0.550182580947876,0.0003540715842973441,0.00025414745323359966,167.18531012535095,,0.009568181820213795,0.007735542953014374,0.042950503528118134,-1.8144235610961914,,0.0703125
79104,974,1763260201.5755165,590.0,0.5221953988075256,59.24260711669922,0.00025261135306209326,171.61183738708496,,0.0007436294108629227,0.005709052085876465,-0.013968193903565407,0.002176821231842041,,0.0
79744,980,1763260202.683987,590.0,0.5392310619354248,0.0038103105034679174,0.00025222732801921666,172.72030782699585,,0.0019470667466521263,-0.0006656572222709656,-0.002794465981423855,-0.14963722229003906,,0.001953125
80256,985,1763260203.55993,590.0,0.52645343542099,0.003587146056815982,0.00025192013708874583,173.59625101089478,,0.00019869394600391388,-0.0042826468124985695,-0.005061909556388855,0.02901589870452881,,0.0
