_step,_runtime,global_step,_timestamp,charts/episodic_length,charts/episodic_return,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss
0,24.695811986923218,0,1763260055.230147,,,,,,,,,,,
7,26.4715895652771,159,1763260057.0059245,20.0,20.0,,,,,,,,,
33,27.020112991333008,688,1763260057.554448,23.0,23.0,,,,,,,,,
41,27.16546058654785,863,1763260057.6997955,13.0,13.0,,,,,,,,,
47,27.29448390007019,1003,1763260057.8288188,26.0,26.0,,,,,,,,,
64,27.74281668663025,1408,1763260058.2771516,,,0.0014213090762495995,0.00364077091217041,0.013843509368598461,0.0,0.002636123448610306,0.6406119465827942,0.0002992319641634822,964.0,27.103376388549805
74,28.043320894241333,1745,1763260058.5776558,32.0,32.0,,,,,,,,,
77,28.162534952163696,1842,1763260058.6968699,31.0,31.0,,,,,,,,,
88,28.532617330551147,2198,1763260059.0669522,46.0,46.0,,,,,,,,,
102,29.176160097122192,2819,1763260059.710495,37.0,37.0,,,,,,,,,
104,29.292043924331665,2944,1763260059.8263788,,,5.898810923099518e-05,-0.028728365898132324,0.0008500628173351288,0.0,-0.004550844430923462,0.6236174702644348,0.00029831030406057835,978.0,43.575931549072266
133,30.968663215637207,4736,1763260061.502998,,,0.0001349225640296936,0.26053500175476074,-0.0007232334464788437,0.0,0.004001915454864502,0.5465322732925415,0.00029723503394052386,1010.0,33.95157241821289
147,31.97874689102173,5867,1763260062.5130818,283.0,283.0,,,,,,,,,
149,32.17140579223633,6016,1763260062.7057407,,,0.0016528526321053505,0.30373215675354004,0.023756887763738632,0.0,-0.026114828884601593,0.5805444717407227,0.00029646698385477066,1021.0,42.250370025634766
150,32.194546699523926,6028,1763260062.7288816,161.0,161.0,,,,,,,,,
155,32.64813184738159,6528,1763260063.1824667,,,0.00025755446404218674,0.1868305206298828,-0.0002960888668894768,0.0,0.0056076738983392715,0.574105441570282,0.0002961597638204694,1025.0,37.11281204223633
157,32.764222860336304,6656,1763260063.2985578,,,0.00022164080291986465,-0.13077843189239502,-0.0011275792494416237,0.0,0.004463724792003632,0.5824985504150391,0.00029608295881189406,1026.0,33.15192794799805
172,33.93904995918274,7961,1763260064.4733849,151.0,151.0,,,,,,,,,
195,36.00522518157959,9728,1763260066.53956,,,8.492916822433472e-05,0.14410066604614258,-0.0010019615292549133,0.0,0.002998989075422287,0.6088536977767944,0.0002942396386060864,1000.0,33.0832633972168
203,36.8707320690155,10368,1763260067.405067,,,6.432924419641495e-05,-0.0009455680847167969,-0.0020362036302685738,0.0,0.0049074068665504456,0.5546415448188782,0.00029385561356320977,979.0,30.48261260986328
213,38.01083993911743,11008,1763260068.5451748,,,0.0006573814898729324,0.5511306524276733,0.00459538958966732,0.0,0.0032900646328926086,0.6212010979652405,0.00029347158852033317,938.0,24.44388198852539
217,38.45158243179321,11264,1763260068.9859173,,,4.22745943069458e-05,0.5548899173736572,-0.0010777711868286133,0.0,0.00022456422448158264,0.6115403175354004,0.00029331797850318253,925.0,28.969589233398438
228,40.19745135307312,12165,1763260070.7317863,234.0,234.0,,,,,,,,,
233,40.83048963546753,12502,1763260071.3648245,92.0,92.0,,,,,,,,,
251,43.37421154975891,14080,1763260073.9085464,,,0.0003805719316005707,0.1639702320098877,-0.0005311425775289536,0.0,-0.0028529763221740723,0.5702350735664368,0.0002916282683145255,823.0,25.40604019165039
259,44.04624843597412,14744,1763260074.5805833,113.0,113.0,,,,,,,,,
265,44.65681266784668,15360,1763260075.1911476,,,4.8658810555934906e-05,0.22035253047943115,-0.0003170939162373543,0.0,-0.003559783101081848,0.5456921458244324,0.0002908602182287723,835.0,25.73031234741211
273,45.39976215362549,16128,1763260075.934097,,,6.431061774492264e-05,0.048416852951049805,5.688238888978958e-05,0.0,0.000961577519774437,0.6167342662811279,0.00029039938817732036,843.0,22.576406478881836
274,45.434568643569946,16227,1763260075.9689035,500.0,500.0,,,,,,,,,
292,46.9286732673645,17664,1763260077.4630082,,,6.130430847406387e-05,0.4425143599510193,0.0013437578454613686,0.0,0.0015420988202095032,0.5930150151252747,0.0002894777280744165,855.0,18.469385147094727
321,49.251107692718506,20096,1763260079.7854426,,,2.8761103749275208e-05,0.10371518135070801,0.0004630349576473236,0.0,-0.0010280385613441467,0.5775842070579529,0.00028801843291148543,874.0,17.098848342895508
327,49.76564955711365,20608,1763260080.2999845,,,9.719002991914749e-05,-0.013053059577941895,-0.0013297172263264656,0.0,-0.0022393763065338135,0.5508819222450256,0.00028771121287718415,877.0,16.995716094970703
330,49.99540972709656,20866,1763260080.5297446,462.0,462.0,,,,,,,,,
332,50.117740631103516,21008,1763260080.6520755,142.0,142.0,,,,,,,,,
337,50.5549693107605,21408,1763260081.0893042,180.0,180.0,,,,,,,,,
340,50.813905239105225,21652,1763260081.3482401,244.0,244.0,,,,,,,,,
370,53.47495436668396,24320,1763260084.0092893,,,0.00023515988141298294,-0.02728140354156494,0.004368153400719166,0.0,0.0022361502051353455,0.555738091468811,0.00028548386762849987,894.0,13.23925495147705
