losses/entropy,losses/approx_kl,charts/learning_rate,losses/explained_variance,losses/value_loss,_step,global_step,losses/old_approx_kl,charts/episodic_length,charts/episodic_return,losses/policy_loss,losses/clipfrac,_runtime,charts/SPS,_timestamp
,,,,,0,0,,,,,,24.89481830596924,,1763260055.6322672
0.6930999159812927,3.44645231962204e-05,0.0003000000142492354,-0.03511226177215576,19.390575408935547,7,128,0.001980554312467575,,,-0.0023623108863830566,0.0,26.251629114151,732.0,1763260056.989078
,,,,,33,648,,10.0,10.0,,,26.781622886657715,,1763260057.5190718
,,,,,41,826,,18.0,18.0,,,26.932420015335083,,1763260057.669869
,,,,,47,1007,,30.0,30.0,,,27.076576471328735,,1763260057.8140254
,,,,,64,1393,,15.0,15.0,,,27.480119228363037,,1763260058.2175682
,,,,,74,1740,,27.0,27.0,,,27.820993423461914,,1763260058.5584424
,,,,,77,1902,,64.0,64.0,,,27.9525203704834,,1763260058.6899693
,,,,,88,2268,,26.0,26.0,,,28.334850788116455,,1763260059.0722997
0.6239327192306519,0.0008123014122247696,0.000298463914077729,-0.08792722225189209,28.847122192382812,102,2688,-0.0009276103228330612,,,-0.012640520930290222,0.0,28.839837551116943,972.0,1763260059.5772865
0.6436581015586853,0.0001649642363190651,0.00029838710906915367,0.14449435472488403,43.00961685180664,104,2816,0.0023496588692069054,,,-0.0031123217195272446,0.0,28.962271690368652,975.0,1763260059.6997206
,,,,,133,4098,,42.0,42.0,,,30.180410146713257,,1763260060.917859
0.6240043640136719,0.00023677293211221695,0.00029723503394052386,-0.007483482360839844,38.07091522216797,147,4736,-0.002881010062992573,,,-0.007314443588256836,0.0,30.804956197738647,1001.0,1763260061.5424051
,,,,,149,4858,,54.0,54.0,,,30.85170602798462,,1763260061.589155
0.6012340784072876,4.035979509353638e-05,0.00029715822893194854,0.060823798179626465,30.238666534423828,150,4864,0.0018512029200792313,,,-0.0015020109713077545,0.0,30.92468762397766,1003.0,1763260061.6621366
0.638015627861023,0.00013655517250299454,0.0002970046189147979,-0.015835165977478027,31.0882625579834,155,5120,0.0021742945536971092,,,-0.0015000030398368835,0.0,31.15845036506653,1007.0,1763260061.8958993
,,,,,157,5242,,68.0,68.0,,,31.20389413833618,,1763260061.941343
,,,,,172,5965,,97.0,97.0,,,31.922029495239258,,1763260062.6594784
,,,,,195,7194,,25.0,25.0,,,33.09119510650635,,1763260063.828644
,,,,,203,7675,,116.0,116.0,,,33.476736068725586,,1763260064.214185
,,,,,213,8414,,279.0,279.0,,,34.17872166633606,,1763260064.9161706
,,,,,217,8690,,165.0,165.0,,,34.41711139678955,,1763260065.1545603
0.609499454498291,0.003201729618012905,0.000294393248623237,0.02952331304550171,32.113460540771484,228,9472,-0.00767140556126833,,,-0.023975417017936707,0.001953125,35.59334349632263,995.0,1763260066.3307924
0.5938003659248352,6.0277059674263e-05,0.00029416283359751105,0.25541722774505615,26.422128677368164,233,9856,-0.0010330155491828918,,,-0.0013051358982920647,0.0,36.012699842453,991.0,1763260066.7501488
0.5446023344993591,0.0007254863157868385,0.0002932411734946072,0.14290398359298706,24.826276779174805,251,11392,-0.0018477672711014748,,,0.005034185945987701,0.0,38.34231114387512,928.0,1763260069.07976
0.6136094927787781,0.0028961654752492905,0.0002928571484517306,0.34753477573394775,33.75066375732422,259,12032,0.008162785321474075,,,-0.05505687743425369,0.001953125,39.51298666000366,895.0,1763260070.2504356
,,,,,265,12534,,220.0,220.0,,,40.35973501205444,,1763260071.097184
,,,,,273,13061,,68.0,68.0,,,41.481106758117676,,1763260072.2185557
0.6244713068008423,8.903443813323975e-06,0.0002921659033745527,-0.021317481994628906,33.37480163574219,274,13184,0.00025730952620506287,,,-0.00011248886585235596,0.0,41.68458843231201,844.0,1763260072.4220374
0.5764889717102051,0.00024589337408542633,0.0002913210482802242,0.05086374282836914,24.44291114807129,292,14592,0.0010320451110601425,,,0.004663240164518356,0.0,43.62771797180176,831.0,1763260074.365167
0.5661411881446838,0.00021383259445428848,0.0002897849481087178,0.03342503309249878,22.732393264770508,321,17152,-0.0004096115007996559,,,-0.007353179156780243,0.0,46.05036473274231,858.0,1763260076.7878137
0.6042238473892212,0.0010153846815228462,0.0002894777280744165,0.19342470169067383,21.04644775390625,327,17664,-0.006643594242632389,,,0.001365935429930687,0.0,46.51811337471008,864.0,1763260077.2555623
,,,,,330,17998,,385.0,385.0,,,46.81784653663635,,1763260077.5552955
0.5983633399009705,0.00012486334890127182,0.00028924731304869056,0.002300560474395752,65.43403625488281,332,18048,-0.0002520298585295677,,,-0.0002533327788114548,0.0,46.91080403327942,866.0,1763260077.648253
,,,,,337,18528,,83.0,83.0,,,47.31505846977234,,1763260078.0525074
0.5618665814399719,0.00010424666106700897,0.00028886328800581396,0.009681344032287598,25.994352340698242,340,18688,-0.00040688924491405487,,,-0.000805094838142395,0.0,47.52406334877014,871.0,1763260078.2615123
,,,,,370,21093,,500.0,500.0,,,49.795514822006226,,1763260080.5329638
0.5024699568748474,6.948225200176239e-05,0.0002871735778171569,0.04703974723815918,17.594806671142578,375,21504,-0.0018275678157806396,,,0.0029852744191884995,0.0,50.24924182891846,889.0,1763260080.9866908
,,,,,396,23320,,227.0,227.0,,,52.068323850631714,,1763260082.8057728
,,,,,425,26076,,356.0,356.0,,,54.66758155822754,,1763260085.4050305
0.5911553502082825,2.019014209508896e-05,0.0002836405474226922,-0.00152587890625,73.70471954345703,441,27392,0.002203824929893017,,,-0.0022964999079704285,0.0,55.970314741134644,916.0,1763260086.7077637
