_runtime,losses/entropy,losses/old_approx_kl,charts/episodic_length,global_step,losses/approx_kl,losses/value_loss,losses/policy_loss,charts/episodic_return,losses/explained_variance,charts/SPS,losses/clipfrac,_timestamp,charts/learning_rate,_step
24.59459638595581,,,,0,,,,,,,,1763260055.2072995,,0
26.376307487487793,0.6931203007698059,-0.0002519320696592331,29.0,128,4.5612454414367676e-05,23.99748992919922,0.00014509307220578194,29.0,-0.0024133920669555664,774.0,0.0,1763260056.9890106,0.0003000000142492354,7
26.909367561340332,0.6923520565032959,0.007797840982675552,,640,0.0005829688161611557,21.47956085205078,-0.008154429495334625,,-0.015690922737121582,916.0,0.0,1763260057.5220706,0.0002996927942149341,33
27.055918216705322,,,63.0,815,,,,63.0,,,,1763260057.6686213,,41
27.18167996406555,,,22.0,933,,,,22.0,,,,1763260057.794383,,47
27.659200191497803,0.6423249244689941,0.013589384965598583,13.0,1408,0.003009272739291191,40.11894989013672,-0.023798644542694092,13.0,0.09012532234191895,972.0,0.001953125,1763260058.2719033,0.0002992319641634822,64
27.947939157485962,,,44.0,1697,,,,44.0,,,,1763260058.5606422,,74
28.080917596817017,,,106.0,1830,,,,106.0,,,,1763260058.6936207,,77
28.571539640426636,,,39.0,2333,,,,39.0,,,,1763260059.1842427,,88
29.128939390182495,,,71.0,2855,,,,71.0,,,,1763260059.7416425,,102
29.153733253479004,,,48.0,2919,,,,48.0,,,,1763260059.7664363,,104
30.39399743080139,,,68.0,4178,,,,68.0,,,,1763260061.0067005,,133
31.10390067100525,0.6174723505973816,0.0040272679179906845,,4864,0.00014955177903175354,29.504230499267578,-0.009156711399555206,,0.04975956678390503,994.0,0.0,1763260061.7166038,0.00029715822893194854,147
31.22594666481018,0.6363196969032288,-0.00044929422438144684,,4992,0.0006394721567630768,37.127830505371094,-0.0033267978578805923,,0.6702232360839844,995.0,0.0,1763260061.8386497,0.0002970814239233732,149
31.238303184509277,,,39.0,5015,,,,39.0,,,,1763260061.8510063,,150
31.47331476211548,0.6202051639556885,-0.0018714983016252518,,5248,5.249306559562683e-05,39.313865661621094,-0.0028000138700008392,,-0.05983936786651611,997.0,0.0,1763260062.0860178,0.0002969278139062226,155
31.6086585521698,,,219.0,5407,,,,219.0,,,,1763260062.2213616,,157
32.58481550216675,0.635629415512085,-0.011344975791871548,,6400,0.004356085322797298,42.566795349121094,0.010564552620053291,,-0.11630547046661377,1004.0,0.0,1763260063.1975186,0.0002962365688290447,172
33.70758771896362,0.6043521165847778,-0.006549720652401447,,7552,0.00033199694007635117,32.36627197265625,0.0031040553003549576,,-0.04339611530303955,1007.0,0.0,1763260064.3202908,0.0002955453237518668,195
34.31537914276123,0.5936052799224854,-0.0013980111107230186,,8192,7.921364158391953e-05,38.98200607299805,0.010752987116575241,,0.154005765914917,1010.0,0.0,1763260064.9280822,0.0002951612987089902,203
35.29076933860779,0.6224998831748962,-0.0014306223019957542,,8832,0.000142672099173069,28.168567657470703,0.0031728222966194153,,-0.003535747528076172,972.0,0.0,1763260065.9034724,0.0002947772736661136,213
35.685760498046875,0.6449264287948608,-0.009332068264484406,,9216,0.0020760130137205124,28.77341651916504,0.011516962200403214,,0.08561980724334717,972.0,0.0,1763260066.2984636,0.00029454685864038765,217
36.54702401161194,,,295.0,9983,,,,295.0,,,,1763260067.159727,,228
37.07043719291687,0.6012862920761108,0.00037742964923381805,,10240,0.0002592746168375015,23.18927001953125,0.0020679235458374023,,0.5558661222457886,942.0,0.0,1763260067.6831403,0.0002939324185717851,233
39.164342641830444,,,139.0,11501,,,,139.0,,,,1763260069.7770457,,251
40.46428179740906,0.5674402713775635,0.00033843331038951874,,12032,4.927627742290497e-05,31.470781326293945,-6.117299199104309e-05,,0.09832203388214111,844.0,0.0,1763260071.076985,0.0002928571484517306,259
41.38187217712402,0.5847876667976379,0.020736102014780045,,12544,0.01049697957932949,14.46515941619873,0.004098288714885712,,0.9116310477256775,826.0,0.064453125,1763260071.9945753,0.00029254992841742933,265
42.41928052902222,0.6294628381729126,0.0008122464641928673,,13184,0.00019325222820043564,19.328197479248047,-0.003161214292049408,,0.8987433314323425,813.0,0.0,1763260073.0319836,0.0002921659033745527,273
42.57243871688843,0.6233808398246765,0.00046839192509651184,,13312,0.00023669004440307617,24.118696212768555,-0.0033241640776395798,,0.3035082221031189,813.0,0.0,1763260073.1851418,0.0002920890983659774,274
44.18510127067566,,,143.0,14618,,,,143.0,,,,1763260074.7978044,,292
46.47710180282593,,,143.0,16981,,,,143.0,,,,1763260077.089805,,321
46.925129652023315,0.5879175066947937,-0.006872495636343956,,17408,0.0019356999546289444,38.0355224609375,-0.012781323865056038,,-0.0004156827926635742,840.0,0.0,1763260077.5378327,0.00028963133809156716,327
47.189717292785645,0.5256732106208801,-0.003439965657889843,,17664,0.0002998700365424156,32.65966033935547,-0.0027725882828235626,,-0.0007467269897460938,841.0,0.0,1763260077.8024204,0.0002894777280744165,330
47.35124135017395,,,254.0,17878,,,,254.0,,,,1763260077.9639444,,332
47.80353546142578,0.6077613830566406,0.0015608686953783035,,18304,4.867091774940491e-05,19.481340408325195,0.0013291090726852417,,0.06767004728317261,847.0,0.0,1763260078.4162385,0.0002890937030315399,337
48.049988985061646,0.5879032611846924,0.002270226366817951,,18560,2.6746653020381927e-05,20.54660415649414,-0.0008773729205131531,,0.046296894550323486,849.0,0.0,1763260078.662692,0.0002889400930143893,340
50.40309929847717,0.5396053194999695,0.00705304741859436,,20992,0.0008789077401161194,70.77932739257812,-0.010601922869682312,,0.014500975608825684,867.0,0.0,1763260081.0158024,0.0002874807978514582,370
50.89932465553284,0.6017078757286072,-0.003567177802324295,,21504,0.0001655295491218567,18.07244873046875,0.009100031107664108,,0.11654770374298096,871.0,0.0,1763260081.5120277,0.0002871735778171569,375
52.68655729293823,0.5844528675079346,-0.0047223977744579315,,23296,0.01102370209991932,37.36564636230469,0.030235737562179565,,0.21030312776565552,879.0,0.068359375,1763260083.2992604,0.00028609830769710243,396
55.18350100517273,0.5993161797523499,0.0015382161363959312,,25728,0.0002018241211771965,12.497376441955566,0.0020636729896068573,,0.06414401531219482,888.0,0.0,1763260085.796204,0.00028463901253417134,425
56.56194019317627,0.5707759857177734,-0.006445154547691345,,27136,0.0002856682986021042,10.934667587280273,-0.006654798984527588,,0.011669039726257324,894.0,0.0,1763260087.1746433,0.0002837941574398428,441
57.36446189880371,0.6007587909698486,-0.021903786808252335,,27904,0.004497106187045574,22.62215805053711,-0.015276361256837845,,0.6702632904052734,895.0,0.017578125,1763260087.977165,0.0002833333273883909,450
59.288453817367554,0.5727733969688416,-0.0016392562538385391,,29696,0.00040134042501449585,6.1960272789001465,0.0037639960646629333,,0.8139052391052246,897.0,0.0,1763260089.901157,0.0002822580572683364,471
60.05050873756409,,,371.0,30564,,,,371.0,,,,1763260090.6632118,,481
60.9755961894989,0.537045955657959,-0.01621248945593834,,31360,0.0025848019868135452,7.2860188484191895,0.019319631159305573,,0.7050526142120361,902.0,0.017578125,1763260091.5882993,0.00028125959215685725,490
62.425069093704224,0.5485253930091858,-0.0041476767510175705,,32384,0.00019447878003120422,8.122098922729492,0.004638096317648888,,0.8206502199172974,894.0,0.0,1763260093.0377722,0.0002806451520882547,504
63.43828463554382,,,130.0,33188,,,,130.0,,,,1763260094.0509877,,515
64.9129650592804,,,209.0,34357,,,,209.0,,,,1763260095.5256681,,530
65.85229349136353,0.5731666684150696,-0.002840057946741581,,35072,8.731801062822342e-05,2.6889543533325195,-0.0033036619424819946,,0.9974306225776672,884.0,0.0,1763260096.4649966,0.00027903224690817297,539
66.90438938140869,0.5364618301391602,-0.011512740515172482,,35712,0.006331629119813442,0.9162027835845947,-0.025018908083438873,,0.9962847828865051,877.0,0.0078125,1763260097.5170925,0.00027864822186529636,547
68.244544506073,,,367.0,36497,,,,367.0,,,,1763260098.8572476,,555
68.93534111976624,0.5802088379859924,0.00369236059486866,,36864,0.001231091096997261,1.4956789016723633,0.007092982530593872,,0.9965769648551941,862.0,0.0,1763260099.5480442,0.0002779569767881185,559
70.53003358840942,,,500.0,37775,,,,500.0,,,,1763260101.1427367,,568
75.54928517341614,0.5120061635971069,0.0029069334268569946,,40448,0.0001800786703824997,2.340576648712158,-0.0016653835773468018,,-0.17477846145629883,819.0,0.0,1763260106.1619883,0.00027580646565183997,595
79.46639323234558,0.5360395908355713,-0.009505459107458591,,42112,0.004562382586300373,2.1215484142303467,-0.0013069938868284225,,-0.6257961988449097,790.0,0.005859375,1763260110.0790963,0.0002748080005403608,612
79.8626458644867,0.6032841205596924,-0.005057765170931816,,42240,0.00029720552265644073,88.32933807373047,-0.00277009978890419,,-0.004670143127441406,787.0,0.0,1763260110.475349,0.0002747311955317855,614
83.05528116226196,0.5600399971008301,0.0002817939966917038,,43776,8.320435881614685e-06,145.60137939453125,-0.0005957111716270447,,0.3309814929962158,770.0,0.0,1763260113.6679842,0.00027380953542888165,630
84.26452541351318,0.5645927786827087,-0.00825551338493824,,44416,0.00115935318171978,1.2999364137649536,0.00291356910020113,,-0.10056114196777344,765.0,0.0,1763260114.8772285,0.00027342551038600504,636
85.01510715484619,0.5607715845108032,0.0013757646083831787,,44800,2.7388334274291992e-05,1.2945115566253662,0.0010079778730869293,,-0.00016391277313232422,761.0,0.0,1763260115.6278102,0.0002731950953602791,640
86.74114060401917,0.5212632417678833,0.0003841044381260872,,45696,8.014030754566193e-06,138.27133178710938,-0.00023708492517471313,,0.00956350564956665,754.0,0.0,1763260117.3538437,0.00027265746030025184,650
89.4576051235199,0.531682550907135,0.0014191167429089546,,47104,1.3199634850025177e-05,1.0164144039154053,-0.001146143302321434,,0.5408855676651001,744.0,0.0,1763260120.0703082,0.0002718126052059233,664
93.0917284488678,0.5827556848526001,-0.004892904311418533,,49024,0.0017385482788085938,0.8118501901626587,-0.003073630388826132,,0.8985869884490967,733.0,0.0,1763260123.7044315,0.0002706605300772935,684
93.89845299720764,0.5910106301307678,-0.029274307191371918,,49408,0.005855415016412735,51.173133850097656,0.004918249323964119,,0.4094511866569519,729.0,0.001953125,1763260124.511156,0.00027043011505156755,689
95.5985517501831,0.5055766701698303,0.011384982615709305,,50304,0.003151930868625641,0.35201019048690796,0.021435953676700592,,0.7302684783935547,724.0,0.00390625,1763260126.2112548,0.0002698924799915403,698
96.33313775062561,0.6070911884307861,0.025596298277378082,,50688,0.008436025120317936,0.26940295100212097,-0.01811588555574417,,0.7939184904098511,722.0,0.0078125,1763260126.9458408,0.00026966206496581435,702
97.2822699546814,0.576680600643158,-0.01541129034012556,,51200,0.005272365175187588,0.6123737692832947,-0.03223288804292679,,0.9247908592224121,720.0,0.005859375,1763260127.894973,0.00026935484493151307,707
101.15632605552673,0.6116501688957214,-5.367957055568695e-05,,53376,1.659989356994629e-05,0.10714585334062576,-0.0032411813735961914,,0.6974221467971802,712.0,0.0,1763260131.7690291,0.0002680491597857326,729
