charts/SPS,charts/episodic_length,_timestamp,global_step,losses/approx_kl,losses/explained_variance,charts/episodic_return,losses/entropy,losses/old_approx_kl,losses/clipfrac,charts/learning_rate,_step,losses/policy_loss,_runtime,losses/value_loss
594.0,,1763260209.0920148,74624,0.00102272629737854,-2.05855655670166,,0.48248034715652466,0.0009136851876974106,0.0,0.00025529952836222947,938,0.0015190616250038147,153.0870807170868,0.024258488789200783
594.0,,1763260209.5130076,74880,0.0015734219923615456,-0.43371522426605225,,0.45806410908699036,-0.00809317547827959,0.00390625,0.0002551459183450788,941,-0.0021412596106529236,153.50807356834412,0.0012977862497791648
,301.0,1763260209.5529618,74945,,,301.0,,,,,942,,153.54802775382996,
595.0,,1763260210.461605,75520,0.00012579653412103653,0.0317760705947876,,0.5799623727798462,0.0038416897878050804,0.0,0.0002547618933022022,948,-0.005212537944316864,154.45667099952698,504.9218444824219
598.0,,1763260214.3554323,78208,8.191633969545364e-05,-0.31588828563690186,,0.459580659866333,0.0024303076788783073,0.0,0.0002531489881221205,974,0.002496197819709778,158.3504981994629,0.0010426496155560017
599.0,,1763260215.2439773,78848,0.00012033060193061829,-0.25751829147338867,,0.5117616653442383,0.0009450800716876984,0.0,0.0002527649630792439,980,-0.004538264125585556,159.2390432357788,0.000285949936369434
599.0,,1763260216.003096,79360,0.001774217002093792,-0.9921096563339233,,0.5294069051742554,-0.0003062663599848747,0.0,0.0002524577430449426,985,-0.004160430282354355,159.9981620311737,0.00030885281739756465
600.0,,1763260217.516368,80384,0.0006477581337094307,0.048008620738983154,,0.47388023138046265,-0.00038315076380968094,0.0,0.0002518433320801705,995,-0.00982419028878212,161.51143383979797,0.00022588588763028383
600.0,,1763260217.7337189,80512,0.00029749423265457153,-0.0003027915954589844,,0.4372522830963135,-0.0068575553596019745,0.0,0.0002517665270715952,997,0.003611648455262184,161.7287847995758,778.775146484375
602.0,,1763260220.5031717,82432,0.0008366070687770844,-5.039092540740967,,0.40779268741607666,-0.010122841224074364,0.0,0.0002506144519429654,1015,0.0028470009565353394,164.49823760986328,0.000807773438282311
602.0,,1763260221.2383735,82944,0.0011615697294473648,-1.9408197402954102,,0.3702244162559509,0.0017942022532224655,0.0,0.0002503072319086641,1020,0.011681459844112396,165.2334394454956,0.0005642479518428445
603.0,,1763260222.7807415,83968,0.00024165958166122437,-0.00016105175018310547,,0.3902541697025299,0.00653071328997612,0.0,0.00024969279184006155,1031,0.0014395248144865036,166.77580738067627,357.1908874511719
,500.0,1763260225.587289,85945,,,500.0,,,,,1050,,169.58235502243042,
605.0,,1763260226.144434,86272,0.002623286098241806,-0.75087571144104,,0.5184389352798462,-0.01687411218881607,0.0,0.0002483103016857058,1053,-0.023542337119579315,170.13949990272522,0.0013602920807898045
605.0,,1763260226.8898003,86784,0.001297147013247013,-0.04881703853607178,,0.46227043867111206,-0.00316546019166708,0.001953125,0.0002480030816514045,1058,-0.0063209012150764465,170.88486623764038,0.0009700782247819006
607.0,,1763260230.4023302,89216,0.0018373839557170868,0.4225577712059021,,0.51195228099823,-0.0024174582213163376,0.001953125,0.0002465437864884734,1082,-0.005442440509796143,174.39739608764648,0.000725972349755466
608.0,,1763260230.5748305,89344,0.0013646911829710007,0.030809104442596436,,0.47789430618286133,-0.002143554389476776,0.0,0.0002464669814798981,1083,-0.0047640204429626465,174.56989645957947,0.00037257641088217497
607.0,,1763260232.0662699,90112,0.0007764538750052452,-0.6739773750305176,,0.515404224395752,-0.007605322636663914,0.0,0.0002460061514284462,1091,-0.00849185511469841,176.06133580207825,0.004287734627723694
608.0,,1763260234.2348359,91648,0.000412636436522007,-4.858190059661865,,0.47665077447891235,-0.00319001916795969,0.0,0.00024508449132554233,1106,0.00416024774312973,178.2299017906189,0.005324979312717915
609.0,,1763260236.0138016,92928,0.0007681995630264282,-2.4072892665863037,,0.5207188129425049,0.006935998797416687,0.0,0.00024431644123978913,1118,-0.008666180074214935,180.00886750221252,0.00034504715586081147
610.0,,1763260236.9618745,93568,0.00017071887850761414,-0.0002384185791015625,,0.5204732418060303,-0.005573263391852379,0.0,0.00024393241619691253,1125,-0.002206966280937195,180.95694041252136,0.010417505167424679
,500.0,1763260238.0812387,94445,,,500.0,,,,,1133,,182.07630467414856,
612.0,,1763260239.8455105,95616,0.0002494780346751213,-0.028936386108398438,,0.5259536504745483,0.002825903706252575,0.0,0.0002427035360597074,1145,0.004782404750585556,183.84057641029358,0.004134731832891703
613.0,,1763260242.5763524,97536,0.000643167644739151,0.00024199485778808594,,0.5130716562271118,7.469207048416138e-05,0.0,0.0002415514609310776,1164,0.0014512501657009125,186.57141828536987,312.8021545410156
613.0,,1763260242.7548852,97664,0.00035343505442142487,-0.22470355033874512,,0.4710330665111542,0.009851820766925812,0.0,0.00024147465592250228,1165,-0.00043753162026405334,186.74995112419128,0.003795259865000844
612.0,,1763260244.240174,98432,0.0011909808963537216,0.07020264863967896,,0.49791377782821655,0.005420677363872528,0.0,0.00024101382587105036,1172,0.00833662785589695,188.23523998260498,0.0002523640578147024
613.0,,1763260245.5068383,99328,7.26059079170227e-05,-0.312616229057312,,0.46336910128593445,0.003768470138311386,0.0,0.00024047619081102312,1181,-0.0015867911279201508,189.50190424919128,7.203866698546335e-05
614.0,,1763260246.182802,99840,0.0017105937004089355,-0.0715862512588501,,0.5905816555023193,0.020481616258621216,0.0,0.00024016897077672184,1186,-0.003915436565876007,190.1778678894043,0.00025897446903400123
,500.0,1763260247.6778042,100920,,,500.0,,,,,1197,,191.67287015914917,
615.0,,1763260249.8225985,102272,0.001068473793566227,0.000260770320892334,,0.5770559310913086,-0.0038549667224287987,0.0,0.00023870967561379075,1213,-0.0011555776000022888,193.81766438484192,634.209228515625
615.0,,1763260250.1735437,102528,0.00014933012425899506,-0.6636558771133423,,0.49662452936172485,-0.0044589899480342865,0.0,0.0002385560655966401,1215,-0.0013784319162368774,194.16860961914062,0.0015384454745799303
,500.0,1763260251.674365,103621,,,500.0,,,,,1226,,195.66943097114563,
,394.0,1763260252.2332125,104015,,,394.0,,,,,1230,,196.2282783985138,
616.0,,1763260252.793392,104320,0.0003022626042366028,0.008342504501342773,,0.4861047863960266,-0.0057006459683179855,0.0,0.00023748079547658563,1234,-0.0011097565293312073,196.7884578704834,396.1455078125
617.0,,1763260254.294059,105344,0.002156756818294525,-0.2652324438095093,,0.5806620717048645,-0.005075694993138313,0.0,0.00023686635540798306,1245,-0.020027266815304756,198.28912496566772,0.002946414751932025
617.0,,1763260255.5708792,106240,0.0006405366584658623,0.2845122218132019,,0.4663599133491516,0.00580254290252924,0.0,0.00023632872034795582,1254,0.002948187291622162,199.56594514846802,0.006012661848217249
619.0,,1763260258.1064951,108032,0.00020071305334568024,0.0003275275230407715,,0.440656840801239,-0.0005053337663412094,0.0,0.00023525345022790134,1271,-0.0009988285601139069,202.10156106948853,520.955810546875
