charts/SPS,losses/old_approx_kl,_step,charts/episodic_length,charts/episodic_return,losses/clipfrac,losses/policy_loss,_runtime,global_step,losses/approx_kl,_timestamp,losses/entropy,losses/value_loss,losses/explained_variance,charts/learning_rate
,,0,,,,,24.69079065322876,0,,1763260075.7153337,,,,
,,7,37.0,37.0,,,26.114176988601685,171,,1763260077.13872,,,,
,,33,54.0,54.0,,,26.642229318618774,767,,1763260077.6667724,,,,
,,41,18.0,18.0,,,26.854944705963135,944,,1763260077.8794878,,,,
,,47,36.0,36.0,,,27.006942749023438,1077,,1763260078.0314858,,,,
1019.0,0.009494681842625141,64,,,0.0,-0.008622512221336365,27.57438635826111,1664,0.0006118630990386009,1763260078.5989294,0.5539810657501221,101.768798828125,0.028553426265716553,0.00029907835414633155
,,74,47.0,47.0,,,27.847598552703857,2013,,1763260078.8721416,,,,
,,77,64.0,64.0,,,27.964192390441895,2147,,1763260078.9887354,,,,
1033.0,-0.002672244794666767,88,,,0.0,-0.00333375483751297,28.419941186904907,2560,0.0015205545350909233,1763260079.4444842,0.5895240902900696,135.41282653808594,-0.0457838773727417,0.0002985407190863043
,,102,145.0,145.0,,,29.262473583221436,3530,,1763260080.2870166,,,,
1053.0,-0.007833714596927166,104,,,0.0,-0.008698619902133942,29.465222358703613,3712,0.0006456440314650536,1763260080.4897654,0.6087791919708252,307.4126281738281,-0.06483328342437744,0.0002978494740091264
,,133,177.0,177.0,,,31.322120428085327,5765,,1763260082.3466635,,,,
1075.0,0.001330801285803318,147,,,0.0,-0.0015365835279226303,32.24814748764038,6784,0.00022408273071050644,1763260083.2726905,0.5869897603988647,81.88615417480469,0.018659651279449463,0.00029600615380331874
1076.0,0.00035168323665857315,149,,,0.0,-0.0037865620106458664,32.36093616485596,6912,5.187559872865677e-05,1763260083.3854792,0.5978104472160339,115.93209075927734,-0.031979918479919434,0.0002959293487947434
1078.0,-0.0032254783436656,150,,,0.0,-0.009959544986486435,32.47209310531616,7040,0.0008821720257401466,1763260083.4966362,0.6355723738670349,224.9073028564453,0.27554917335510254,0.0002958525437861681
,,155,203.0,203.0,,,32.742674827575684,7418,,1763260083.7672179,,,,
,,157,20.0,20.0,,,32.82126474380493,7438,,1763260083.8458078,,,,
,,172,246.0,246.0,,,33.78667235374451,8547,,1763260084.8112154,,,,
,,195,31.0,31.0,,,35.523659467697144,9989,,1763260086.5482025,,,,
1040.0,0.004481237381696701,203,,,0.0,-0.004340756684541702,36.152382373809814,10624,0.00014370493590831757,1763260087.1769254,0.6568761467933655,206.45950317382812,-0.004849076271057129,0.00029370200354605913
1036.0,0.0006096092984080315,213,,,0.0,-0.0005097463726997375,36.686251401901245,11136,2.0495615899562836e-05,1763260087.7107944,0.5899271368980408,101.52406311035156,0.0013598799705505371,0.00029339478351175785
1036.0,-0.0012730667367577553,217,,,0.0,0.0002680812031030655,36.93328309059143,11392,5.234964191913605e-06,1763260087.9578261,0.6207021474838257,102.58326721191406,-0.012077569961547852,0.0002932411734946072
,,228,121.0,121.0,,,37.607853174209595,12067,,1763260088.6323962,,,,
1033.0,-0.0015965206548571587,233,,,0.0,-0.00019672513008117676,37.95567607879639,12416,5.926843732595444e-05,1763260088.9802191,0.6110721826553345,88.23208618164062,0.016927480697631836,0.00029262673342600465
,,251,283.0,283.0,,,39.07129645347595,13682,,1763260090.0958395,,,,
,,259,168.0,168.0,,,39.67704892158508,14286,,1763260090.701592,,,,
,,265,151.0,151.0,,,40.01990056037903,14654,,1763260091.0444436,,,,
,,273,147.0,147.0,,,40.4957058429718,15214,,1763260091.520249,,,,
1038.0,0.0006677312776446342,274,,,0.0,-0.0015919730067253113,40.60911846160889,15232,8.002854883670807e-06,1763260091.6336615,0.544472336769104,74.37356567382812,0.1946684718132019,0.0002909370232373476
,,292,133.0,133.0,,,41.82958984375,16590,,1763260092.854133,,,,
1046.0,-0.0004485342651605606,321,,,0.0,-0.000340435653924942,44.046369552612305,18944,3.276951611042023e-05,1763260095.0709126,0.5789815783500671,123.29972076416016,0.13691872358322144,0.0002887096779886633
1048.0,-1.5934929251670837e-05,327,,,0.0,-0.001388397067785263,44.50051808357239,19456,8.475035429000854e-06,1763260095.5250611,0.6165357232093811,109.90201568603516,0.03979134559631348,0.00028840245795436203
1049.0,0.01778455823659897,330,,,0.0,-0.010407011955976486,44.72862386703491,19712,0.0016955733299255371,1763260095.753167,0.5872732996940613,96.4327392578125,0.7081345915794373,0.0002882488479372114
1047.0,0.009018066339194775,332,,,0.00390625,-0.014764434657990932,44.87628936767578,19840,0.0008640708401799202,1763260095.9008324,0.6129449009895325,127.03144073486328,0.384998619556427,0.0002881720429286361
1048.0,-0.0004975572228431702,337,,,0.0,0.0012537986040115356,45.22568726539612,20224,4.639849066734314e-06,1763260096.2502303,0.5910369157791138,135.73243713378906,0.14784789085388184,0.0002879416279029101
,,340,207.0,207.0,,,45.38095021247864,20468,,1763260096.4054933,,,,
,,370,226.0,226.0,,,47.40519738197327,22603,,1763260098.4297404,,,,
,,375,157.0,157.0,,,47.72850942611694,22932,,1763260098.7530525,,,,
1053.0,-0.0005682967603206635,396,,,0.0,-0.0011631585657596588,49.399373054504395,24704,3.345124423503876e-05,1763260100.423916,0.5826274156570435,76.14141082763672,0.0716942548751831,0.0002852534526027739
1055.0,0.029909757897257805,425,,,0.0,-0.020327329635620117,51.65139150619507,27136,0.002909379079937935,1763260102.6759346,0.5623213648796082,177.21142578125,-0.004106640815734863,0.0002837941574398428
1055.0,2.135336399078369e-05,441,,,0.0,0.0013802889734506607,52.99257206916809,28544,3.5371631383895874e-06,1763260104.017115,0.5653350353240967,133.21803283691406,0.08050042390823364,0.0002829493023455143
1055.0,0.00864139012992382,450,,,0.0,-0.00033752620220184326,53.718374252319336,29312,0.0013872701674699783,1763260104.7429173,0.5879387259483337,149.9678192138672,0.02732139825820923,0.0002824884722940624
1057.0,0.001192624680697918,471,,,0.0,0.0028034187853336334,55.34853196144104,31104,0.00012541469186544418,1763260106.373075,0.5787532925605774,37.33303451538086,0.8253178596496582,0.0002814132021740079
1058.0,0.007153665646910667,481,,,0.0078125,-0.0290539488196373,56.181504249572754,32000,0.0032116007059812546,1763260107.2060473,0.5747544169425964,11.603654861450195,0.9269781112670898,0.00028087556711398065
,,490,265.0,265.0,,,56.90763545036316,32781,,1763260107.9321785,,,,
1060.0,0.007931465283036232,504,,,0.0,-0.0053041353821754456,58.182480812072754,34176,0.0006196051836013794,1763260109.2070239,0.5755770206451416,94.79165649414062,0.49985271692276,0.0002795698819682002
,,515,145.0,145.0,,,59.15653038024902,35294,,1763260110.1810734,,,,
1061.0,0.0002806922420859337,530,,,0.0,-9.872019290924072e-07,60.18898558616638,36352,6.770715117454529e-07,1763260111.2135286,0.5734761953353882,35.71449279785156,0.0027676820755004883,0.00027826419682241976
,,539,133.0,133.0,,,60.828327655792236,37069,,1763260111.8528707,,,,
1062.0,0.002459704875946045,547,,,0.0,-0.0017964113503694534,61.47679948806763,37760,5.2206218242645264e-05,1763260112.5013425,0.623751163482666,32.59197998046875,0.09528869390487671,0.00027741934172809124
1062.0,-0.000798247754573822,555,,,0.0,0.0022054873406887054,62.08772373199463,38400,7.344968616962433e-05,1763260113.1122668,0.6311407089233398,38.07850646972656,0.013281106948852539,0.00027703531668521464
,,559,248.0,248.0,,,62.32008075714111,38672,,1763260113.3446238,,,,
,,568,26.0,26.0,,,62.84924602508545,39256,,1763260113.873789,,,,
,,595,500.0,500.0,,,64.71616840362549,41249,,1763260115.7407115,,,,
1064.0,0.0002986844629049301,612,,,0.0,-0.0003890395164489746,66.23305583000183,42880,1.2032687664031982e-06,1763260117.2575989,0.5812426209449768,26.279062271118164,-0.04065907001495361,0.0002743471704889089
1064.0,-0.0042502013966441154,614,,,0.0,0.006498351693153381,66.45808267593384,43136,0.00016498100012540817,1763260117.4826257,0.5402929186820984,21.564607620239258,0.48795098066329956,0.00027419356047175825
,,630,123.0,123.0,,,67.63351774215698,44441,,1763260118.6580608,,,,
1065.0,0.008495036512613297,636,,,0.001953125,0.00016076862812042236,68.21373724937439,45056,0.0037027988582849503,1763260119.2382803,0.5707671046257019,7.970226764678955,0.9360359311103821,0.00027304148534312844
,,640,293.0,293.0,,,68.47007870674133,45397,,1763260119.4946218,,,,
1066.0,-0.0039020078256726265,650,,,0.0,0.0018604621291160583,69.37301588058472,46336,0.0002497592940926552,1763260120.397559,0.5151042938232422,11.700082778930664,0.6231794953346252,0.00027227343525737524
1068.0,-0.023390483111143112,664,,,0.0,-0.002222716808319092,70.63719844818115,47744,0.0011974042281508446,1763260121.6617415,0.5322827696800232,14.17705249786377,0.4565531611442566,0.0002714285801630467
,,684,309.0,309.0,,,72.18259739875793,49462,,1763260123.2071404,,,,
1069.0,7.482711225748062e-05,689,,,0.0,-0.0009531676769256592,72.61676335334778,49920,1.1834315955638885e-05,1763260123.6413064,0.5475006699562073,12.247800827026367,0.014303386211395264,0.0002701228950172663
1069.0,0.000628654845058918,698,,,0.0,0.00305141881108284,73.43691205978394,50816,0.00015647057443857193,1763260124.461455,0.5982539653778076,15.670909881591797,-0.5285866260528564,0.00026958525995723903
1070.0,-0.002542625181376934,702,,,0.0,-0.0024623870849609375,73.77719712257385,51200,3.052968531847e-05,1763260124.8017402,0.526870846748352,14.564958572387695,-2.3585662841796875,0.00026935484493151307
1070.0,-0.0005318783223628998,707,,,0.0,0.0009213685989379883,74.11838340759277,51584,3.3471733331680298e-06,1763260125.1429265,0.5532568097114563,197.34368896484375,0.012890934944152832,0.0002691244299057871
1068.0,0.002458075061440468,729,,,0.0,0.010016697458922863,76.02456665039062,53504,0.0007022079080343246,1763260127.0491097,0.5674458742141724,11.881986618041992,0.995242178440094,0.0002679723547771573
1067.0,-0.001323373056948185,757,,,0.0,0.001989501528441906,78.46964287757874,56064,0.000182407908141613,1763260129.494186,0.5634405016899109,394.44024658203125,0.11782419681549072,0.0002664362546056509
1066.0,0.004293316043913364,762,,,0.0,-0.001987464725971222,78.85392785072327,56448,7.554609328508377e-05,1763260129.878471,0.4285493791103363,727.7762451171875,0.03460228443145752,0.00026620583957992494
1067.0,0.0015097418799996376,767,,,0.0,-0.004603669047355652,79.19350624084473,56832,4.70159575343132e-05,1763260130.2180493,0.5396997332572937,87.21748352050781,-0.0006290674209594727,0.000265975424554199
,,775,500.0,500.0,,,79.8384256362915,57586,,1763260130.8629687,,,,
