_step,losses/approx_kl,losses/explained_variance,losses/clipfrac,charts/SPS,_runtime,_timestamp,losses/entropy,charts/episodic_return,charts/learning_rate,losses/old_approx_kl,charts/episodic_length,losses/policy_loss,losses/value_loss,global_step
195,0.0001256568357348442,-0.03575432300567627,0.0,1083.0,34.39215016365051,1763260085.4710162,0.631934642791748,,0.00029454685864038765,0.00037493277341127396,,-0.0013987794518470764,230.31790161132812,9216
203,0.0004185708239674568,0.33187127113342285,0.0,1055.0,35.10058927536011,1763260086.1794553,0.573445200920105,,0.0002942396386060864,0.004687716253101826,,-0.0044584497809410095,95.37065124511719,9728
213,0.0005918843671679497,-0.01582515239715576,0.0,1039.0,35.98570942878723,1763260087.0645754,0.6307024955749512,,0.00029377880855463445,0.0026282789185643196,,-0.00932285189628601,96.54974365234375,10496
217,0.0003653988242149353,-0.01911163330078125,0.0,1040.0,36.34908390045166,1763260087.42795,0.6193515658378601,,0.0002935483935289085,0.005959171801805496,,-0.0010005086660385132,166.96859741210938,10880
228,0.0002240324392914772,0.008006870746612549,0.0,1036.0,37.12677788734436,1763260088.205644,0.603800356388092,,0.00029308756347745657,-0.002817896194756031,,0.015901554375886917,222.95330810546875,11648
233,,,,,37.52124643325806,1763260088.6001124,,328.0,,,328.0,,,12097
251,,,,,38.62108635902405,1763260089.6999524,,77.0,,,77.0,,,13219
259,4.839152097702026e-06,0.0020186901092529297,0.0,1036.0,39.22267246246338,1763260090.3015385,0.5830295085906982,,0.0002917818783316761,-7.926672697067261e-05,,-0.0009977295994758606,113.65365600585938,13824
265,,,,,39.49860596656799,1763260090.577472,,94.0,,,94.0,,,14195
273,8.4657222032547e-06,0.024006247520446777,0.0,1036.0,39.96338200569153,1763260091.042248,0.5647361278533936,,0.0002913210482802242,-7.26412981748581e-05,,0.00139608234167099,86.51069641113281,14592
274,0.00042126700282096863,0.4415662884712219,0.0,1036.0,40.08382034301758,1763260091.1626863,0.6132650971412659,,0.0002912442432716489,0.007940070703625679,,0.0004792064428329468,143.65211486816406,14720
292,0.0014819009229540825,0.5729000568389893,0.0,1039.0,41.27838492393494,1763260092.357251,0.6017268300056458,,0.0002904761931858957,0.024294784292578697,,-0.02709972858428955,87.32554626464844,16000
321,,,,,42.85666298866272,1763260093.935529,,67.0,,,67.0,,,17769
327,,,,,43.23055052757263,1763260094.3094165,,83.0,,,83.0,,,18115
330,6.340723484754562e-05,0.31024378538131714,0.0,1042.0,43.44450068473816,1763260094.5233667,0.5941304564476013,,0.0002890937030315399,-0.0004627509042620659,,0.0009592920541763306,87.27932739257812,18304
332,,,,,43.5631365776062,1763260094.6420026,,176.0,,,176.0,,,18447
337,0.0017445022240281105,0.44185519218444824,0.001953125,1044.0,43.89588260650635,1763260094.9747486,0.5464940071105957,,0.00028878648299723864,-0.015900084748864174,,0.002581290900707245,105.58785247802734,18816
340,1.4562159776687622e-05,0.5804929137229919,0.0,1045.0,44.01319456100464,1763260095.0920606,0.6132871508598328,,0.0002887096779886633,0.0002970341593027115,,-0.00047960877418518066,52.16362380981445,18944
370,,,,,45.95452427864075,1763260097.0333903,,256.0,,,256.0,,,21054
396,0.0009168526157736778,0.6760460138320923,0.0,1047.0,47.52446150779724,1763260098.6033275,0.5828589200973511,,0.00028648233273997903,0.003980926238000393,,-0.011590518057346344,98.54500579833984,22656
425,,,,,49.137120485305786,1763260100.2159865,,147.0,,,147.0,,,24342
441,,,,,50.10273814201355,1763260101.1816041,,165.0,,,165.0,,,25357
450,3.209058195352554e-05,-0.12936651706695557,0.0,1047.0,50.82257795333862,1763260101.901444,0.632455050945282,,0.0002844085975084454,-0.0008541001006960869,,-0.0013659745454788208,95.60694885253906,26112
