losses/old_approx_kl,losses/clipfrac,losses/policy_loss,global_step,_timestamp,losses/approx_kl,losses/entropy,charts/SPS,losses/value_loss,charts/episodic_return,_runtime,charts/learning_rate,losses/explained_variance,_step,charts/episodic_length
,,,0,1763260082.030421,,,,,,25.783087968826294,,,0,
,,,165,1763260083.8402653,,,,,37.0,27.59293222427368,,,7,37.0
,,,724,1763260084.433485,,,,,17.0,28.18615198135376,,,33,17.0
,,,926,1763260084.6589842,,,,,52.0,28.411651134490967,,,41,52.0
0.004638423211872578,0.0,-0.004869908094406128,1152,1763260084.8820105,0.0003480883315205574,0.6805834770202637,937.0,132.74856567382812,,28.634677410125732,0.00029938557418063283,-0.007907509803771973,47,
-0.004242223687469959,0.0,-0.0007604509592056274,1536,1763260085.3400931,0.0002840021625161171,0.6721858382225037,910.0,64.55451202392578,,29.09276008605957,0.00029915515915490687,0.02269810438156128,64,
,,,1822,1763260085.6442137,,,,,32.0,29.396880626678467,,,74,32.0
0.0037842942401766777,0.0,-0.006119199097156525,1920,1763260085.7549238,9.057391434907913e-05,0.6636263132095337,913.0,89.79716491699219,,29.507590770721436,0.0002989247441291809,0.022222042083740234,77,
,,,2267,1763260086.137238,,,,,41.0,29.889904975891113,,,88,41.0
,,,2782,1763260087.2616885,,,,,96.0,31.014355421066284,,,102,96.0
,,,2823,1763260087.4790554,,,,,41.0,31.231722354888916,,,104,41.0
0.0010354537516832352,0.0,-0.00263102725148201,3968,1763260089.9544556,0.0003285743296146393,0.6213911175727844,629.0,122.70594024658203,,33.707122564315796,0.0002976958639919758,-0.005811929702758789,133,
,,,4660,1763260091.2900388,,,,,42.0,35.04270577430725,,,147,42.0
0.004975436255335808,0.0,-0.006685897707939148,4736,1763260091.5236962,0.0016918815672397614,0.6287512183189392,601.0,66.58198547363281,,35.276363134384155,0.00029723503394052386,0.0215340256690979,149,
,,,4773,1763260091.5712469,,,,,83.0,35.32391381263733,,,150,83.0
,,,5098,1763260092.249869,,,,,146.0,36.0025360584259,,,155,146.0
,,,5132,1763260092.4132097,,,,,34.0,36.165876626968384,,,157,34.0
,,,6089,1763260094.489805,,,,,107.0,38.24247193336487,,,172,107.0
,,,7546,1763260097.9017682,,,,,74.0,41.65443515777588,,,195,74.0
,,,7896,1763260098.8491647,,,,,50.0,42.601831674575806,,,203,50.0
,,,8491,1763260100.0570464,,,,,135.0,43.80971336364746,,,213,135.0
-0.001654651015996933,0.0,0.00011598505079746246,8704,1763260100.5391662,1.821480691432953e-05,0.5736937522888184,515.0,105.15435028076172,,44.29183316230774,0.00029485407867468894,-0.00315248966217041,217,
,,,9406,1763260101.7533116,,,,,47.0,45.50597858428955,,,228,47.0
,,,9665,1763260102.272981,,,,,65.0,46.02564787864685,,,233,65.0
0.0032825814560055733,0.0,-0.0031771641224622726,11136,1763260104.718034,0.0004741707816720009,0.5490977168083191,528.0,187.34283447265625,,48.47070097923279,0.00029339478351175785,0.05681014060974121,251,
-0.00030608847737312317,0.0,-4.137307405471802e-05,11648,1763260105.6543643,1.912936568260193e-06,0.5408678650856018,529.0,67.67784118652344,,49.407031297683716,0.00029308756347745657,0.2740960121154785,259,
,,,11951,1763260106.185571,,,,,145.0,49.93823790550232,,,265,145.0
,,,12513,1763260107.1322427,,,,,126.0,50.88490962982178,,,273,126.0
-0.0018447116017341614,0.0,-0.0018107658252120018,12544,1763260107.3130155,8.972547948360443e-05,0.5553857684135437,530.0,65.27932739257812,,51.06568241119385,0.00029254992841742933,0.6491581201553345,274,
,,,13580,1763260109.247668,,,,,193.0,53.00033497810364,,,292,193.0
,,,15493,1763260112.6941345,,,,,83.0,56.44680142402649,,,321,83.0
,,,15914,1763260113.3940315,,,,,148.0,57.14669847488403,,,327,148.0
0.0007022293284535408,0.0,-0.001176491379737854,16128,1763260113.805409,4.9454160034656525e-05,0.5877295732498169,534.0,99.04036712646484,,57.55807590484619,0.00029039938817732036,0.5246214866638184,330,
-0.00013209320604801178,0.0,3.711879253387451e-05,16256,1763260114.0181541,1.1049211025238037e-05,0.5844642519950867,535.0,127.56472778320312,,57.77082109451294,0.00029032258316874504,0.15062201023101807,332,
-6.176624447107315e-05,0.0,0.0019474774599075317,16512,1763260114.518455,2.3628585040569305e-05,0.568382740020752,534.0,52.588592529296875,,58.271121978759766,0.0002901689731515944,0.11804443597793579,337,
,,,16645,1763260114.7773404,,,,,106.0,58.53000736236572,,,340,106.0
-0.003199853003025055,0.0,0.003255397081375122,18560,1763260118.4425178,5.920045077800751e-05,0.57859867811203,533.0,103.6542739868164,,62.1951847076416,0.0002889400930143893,0.2719981074333191,370,
0.0009961919859051704,0.0,0.00014314055442810059,18944,1763260119.0693343,8.148793131113052e-05,0.5805079936981201,534.0,117.4466323852539,,62.822001218795776,0.0002887096779886633,0.18795418739318848,375,
-0.005767280235886574,0.0,-0.008569091558456421,20480,1763260121.6909945,0.0009491872042417526,0.5726386308670044,538.0,92.45057678222656,,65.44366145133972,0.00028778801788575947,0.3007544279098511,396,
-0.0009214738383889198,0.0,-0.00019700825214385986,22656,1763260125.2000656,3.6386772990226746e-06,0.6070553064346313,545.0,75.23869323730469,,68.9527325630188,0.00028648233273997903,0.6613584756851196,425,
-0.0016961023211479187,0.0,-0.004283696413040161,24064,1763260127.3546326,0.0003969445824623108,0.6029372215270996,550.0,82.73979949951172,,71.10729956626892,0.0002856374776456505,0.004051566123962402,441,
,,,24847,1763260128.5943527,,,,,392.0,72.3470196723938,,,450,392.0
