_step,_runtime,global_step,_timestamp,charts/episodic_length,charts/episodic_return,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss
0,26.337159872055054,0,1763260082.3954318,,,,,,,,,,,
7,27.677181243896484,125,1763260083.7354531,16.0,16.0,,,,,,,,,
33,28.269829511642456,578,1763260084.3281014,24.0,24.0,,,,,,,,,
41,28.4323410987854,763,1763260084.490613,23.0,23.0,,,,,,,,,
47,28.55293560028076,881,1763260084.6112075,35.0,35.0,,,,,,,,,
64,29.145742416381836,1408,1763260085.2040143,,,0.0013511814177036285,-0.0017499923706054688,0.00771448016166687,0.0,-0.006643220782279968,0.6249305009841919,0.0002992319641634822,907.0,135.0460968017578
74,29.44469165802002,1690,1763260085.5029635,50.0,50.0,,,,,,,,,
77,29.587297201156616,1792,1763260085.645569,,,0.0007648235186934471,-0.03135395050048828,0.010550200007855892,0.0,-0.011328496038913727,0.5839137434959412,0.00029900154913775623,899.0,72.16875457763672
88,30.114967823028564,2398,1763260086.1732397,55.0,55.0,,,,,,,,,
102,31.66943073272705,3204,1763260087.7277026,104.0,104.0,,,,,,,,,
104,31.88464879989624,3328,1763260087.9429207,,,0.0007296688854694366,0.06985002756118774,0.0026337094604969025,0.0,-0.007242858409881592,0.6007568836212158,0.0002980798890348524,775.0,189.6812744140625
133,35.37903881072998,5371,1763260091.4373107,65.0,65.0,,,,,,,,,
147,36.918458461761475,5888,1763260092.9767303,,,0.0010154861956834793,0.23841452598571777,0.00013260357081890106,0.0,-0.014740746468305588,0.5810380578041077,0.000296543788863346,631.0,111.5542984008789
149,37.21124577522278,6016,1763260093.2695177,,,0.000155741348862648,0.14706367254257202,-0.00019191578030586243,0.0,0.00017320085316896439,0.6060695052146912,0.00029646698385477066,625.0,150.93499755859375
150,37.263049602508545,6044,1763260093.3213215,120.0,120.0,,,,,,,,,
155,38.12973952293396,6400,1763260094.1880114,,,0.0001943325623869896,0.09693801403045654,0.004714612849056721,0.0,-0.0038693584501743317,0.6103536486625671,0.0002962365688290447,607.0,245.1400909423828
157,38.45786905288696,6528,1763260094.516141,,,0.00046252086758613586,0.0732843279838562,-0.002564573660492897,0.0,0.0032249093055725098,0.6500099301338196,0.0002961597638204694,600.0,171.2858428955078
172,40.449331760406494,7326,1763260096.5076036,128.0,128.0,,,,,,,,,
195,43.624866247177124,8759,1763260099.6831381,131.0,131.0,,,,,,,,,
203,44.61029291152954,9216,1763260100.6685648,,,2.796575427055359e-05,-0.06555509567260742,-0.0005273614078760147,0.0,0.00034184008836746216,0.5935301780700684,0.00029454685864038765,541.0,98.4095230102539
