_step,_runtime,global_step,_timestamp,charts/episodic_length,charts/episodic_return,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss
0,25.807724714279175,0,1763260082.0213058,,,,,,,,,,,
7,27.51415705680847,102,1763260083.7277381,21.0,21.0,,,,,,,,,
33,28.17275643348694,619,1763260084.3863375,47.0,47.0,,,,,,,,,
41,28.41102123260498,869,1763260084.6246023,34.0,34.0,,,,,,,,,
47,28.610960721969604,1024,1763260084.8245418,,,0.0005080131813883781,-0.02212965488433838,-0.0018672449514269829,0.0,-0.007547244429588318,0.6766572594642639,0.00029946237918920815,873.0,106.6828842163086
64,29.134870052337646,1423,1763260085.3484511,28.0,28.0,,,,,,,,,
74,29.57554817199707,1792,1763260085.7891293,,,0.0002389298751950264,-0.005043148994445801,-0.0029569296166300774,0.0,-0.012319162487983704,0.6545039415359497,0.00029900154913775623,838.0,262.79742431640625
77,29.631252765655518,1905,1763260085.8448339,19.0,19.0,,,,,,,,,
88,30.591438055038452,2437,1763260086.8050191,80.0,80.0,,,,,,,,,
102,31.73318576812744,3072,1763260087.9467669,,,0.00032423343509435654,0.004289150238037109,0.001765160821378231,0.0,-0.004023119807243347,0.5807197093963623,0.000298233499052003,715.0,105.0633544921875
104,31.94867205619812,3200,1763260088.1622531,,,5.978252738714218e-05,-0.001379847526550293,7.53914937376976e-05,0.0,-0.0009640306234359741,0.5693725943565369,0.0002981566940434277,709.0,224.46424865722656
133,34.80181622505188,4823,1763260091.0153973,90.0,90.0,,,,,,,,,
147,36.39600658416748,5715,1763260092.6095877,132.0,132.0,,,,,,,,,
149,36.64270234107971,5824,1763260092.8562834,109.0,109.0,,,,,,,,,
150,36.828099966049194,5888,1763260093.041681,,,0.00034629926085472107,0.18356788158416748,0.004532789811491966,0.0,0.005007908213883638,0.5701067447662354,0.000296543788863346,627.0,133.96449279785156
155,37.408215284347534,6217,1763260093.6217964,121.0,121.0,,,,,,,,,
157,37.88685202598572,6400,1763260094.100433,,,0.0004625776782631874,0.022201478481292725,0.003971883095800877,0.0,0.0012343674898147583,0.6144890189170837,0.0002962365688290447,612.0,289.0570983886719
172,39.95633864402771,7339,1763260096.1699197,113.0,113.0,,,,,,,,,
195,43.30026340484619,9002,1763260099.5138445,199.0,199.0,,,,,,,,,
203,44.21134853363037,9472,1763260100.4249296,,,4.52529639005661e-06,0.03783881664276123,-0.0005545662716031075,0.0,-0.00047957152128219604,0.6098765730857849,0.000294393248623237,564.0,87.24309539794922
213,45.14479422569275,10062,1763260101.3583753,106.0,106.0,,,,,,,,,
217,45.70874881744385,10368,1763260101.92233,,,1.1778436601161957e-05,-0.05148005485534668,-0.00021180231124162674,0.0,0.00025744736194610596,0.6186604499816895,0.00029385561356320977,567.0,183.39324951171875
228,46.864789962768555,11122,1763260103.078371,89.0,89.0,,,,,,,,,
233,47.46479511260986,11446,1763260103.6783762,128.0,128.0,,,,,,,,,
251,49.300294160842896,12538,1763260105.5138752,85.0,85.0,,,,,,,,,
259,50.17307996749878,13040,1763260106.386661,102.0,102.0,,,,,,,,,
265,50.822370529174805,13371,1763260107.0359516,120.0,120.0,,,,,,,,,
273,51.80342173576355,14036,1763260108.0170028,176.0,176.0,,,,,,,,,
274,51.954201221466064,14080,1763260108.1677823,,,6.765127182006836e-06,0.2643256187438965,-0.0008559189736843109,0.0,0.0014550946652889252,0.5332396030426025,0.0002916282683145255,574.0,71.43571472167969
292,54.23939609527588,15488,1763260110.4529772,,,0.0020461026579141617,0.28191328048706055,-0.0006385650485754013,0.001953125,0.0049425698816776276,0.6056378483772278,0.00029078341322019696,577.0,143.09490966796875
321,58.0501127243042,18048,1763260114.2636938,,,0.003952854312956333,-0.17751121520996094,0.016606245189905167,0.0,-0.006861232221126556,0.573061466217041,0.00028924731304869056,589.0,134.4196319580078
327,58.70458126068115,18513,1763260114.9181623,139.0,139.0,,,,,,,,,
330,59.124064207077026,18688,1763260115.3376453,,,0.0014600753784179688,0.4606406092643738,-0.003371734172105789,0.0,-0.015541769564151764,0.5859024524688721,0.00028886328800581396,589.0,71.34135437011719
332,59.347588539123535,18857,1763260115.5611696,207.0,207.0,,,,,,,,,
337,59.97723841667175,19200,1763260116.1908195,,,4.5466236770153046e-05,0.05527371168136597,-0.0005309609696269035,0.0,-0.0008323639631271362,0.4801405966281891,0.0002885560679715127,590.0,111.54057312011719
340,60.4085967540741,19456,1763260116.6221778,,,8.120574057102203e-05,0.7913496494293213,-0.0013132374733686447,0.0,-0.0015440462157130241,0.5630885362625122,0.00028840245795436203,590.0,82.86540222167969
370,63.850481033325195,21376,1763260120.064062,,,0.0003515481948852539,-0.002997159957885742,-0.0015014130622148514,0.0,-0.0044296663254499435,0.49420666694641113,0.00028725038282573223,587.0,92.90888214111328
375,64.42310857772827,21760,1763260120.6366897,,,8.231028914451599e-06,-0.03660905361175537,-0.00026684999465942383,0.0,0.000686895102262497,0.577053427696228,0.00028701996780000627,588.0,102.07557678222656
396,67.05268359184265,23424,1763260123.2662647,,,0.007879619486629963,0.042520999908447266,-0.0011308267712593079,0.083984375,-0.007778082974255085,0.6012325882911682,0.0002860215026885271,591.0,166.0425262451172
425,70.10456895828247,25531,1763260126.31815,182.0,182.0,,,,,,,,,
