_step,charts/episodic_length,_runtime,losses/policy_loss,charts/learning_rate,charts/SPS,global_step,_timestamp,losses/value_loss,losses/entropy,losses/clipfrac,losses/approx_kl,losses/old_approx_kl,losses/explained_variance,charts/episodic_return
815,,132.23256945610046,-7.867813110351562e-06,0.00026205836911685765,604.0,63360,1763260188.4914064,0.26774656772613525,0.5398992300033569,0.0,1.2553296983242035e-05,0.0010776640847325325,-0.14119768142700195,
863,,139.349445104599,-0.0199149027466774,0.0002591397787909955,609.0,68224,1763260195.608282,501.0028991699219,0.4933285117149353,0.0,0.0011605527251958847,0.009510640054941177,0.09420216083526611,
872,,140.6711459159851,-0.015743382275104523,0.00025860214373096824,610.0,69120,1763260196.929983,130.17507934570312,0.5857666730880737,0.068359375,0.005227883346378803,0.00039567332714796066,0.5457210540771484,
876,,141.0763394832611,5.673617124557495e-05,0.0002584485337138176,610.0,69376,1763260197.3351765,0.008524433709681034,0.5823990106582642,0.0,9.236857295036316e-05,0.001071518287062645,-0.9752880334854126,
922,,147.6512804031372,0.008017327636480331,0.0002557603584136814,614.0,73856,1763260203.9101174,783.1861572265625,0.5373683571815491,0.0,0.00023892242461442947,-0.00043089594691991806,-0.0027246475219726562,
930,,148.86093711853027,-0.0031435303390026093,0.00025522272335365415,615.0,74752,1763260205.119774,0.00010433279385324568,0.544224202632904,0.0,0.0004472583532333374,0.0016425754874944687,-0.28296124935150146,
938,,149.99233436584473,0.0069588422775268555,0.0002547618933022022,615.0,75520,1763260206.2511714,0.011915652081370354,0.47222745418548584,0.0,0.0012686355039477348,0.00824305322021246,-8.76590347290039,
941,500.0,150.37943959236145,,,,75814,1763260206.6382766,,,,,,,500.0
942,,150.55168056488037,0.0030870437622070312,0.00025453147827647626,616.0,75904,1763260206.8105175,814.2761840820312,0.45711416006088257,0.0,0.00029342807829380035,0.0005377195775508881,0.005756974220275879,
948,,151.45017218589783,0.00031080469489097595,0.00025414745323359966,617.0,76544,1763260207.7090092,0.006165346130728722,0.4581541419029236,0.0,0.0006230529397726059,0.0033734217286109924,0.5451446771621704,
974,,155.2654504776001,-0.01931929960846901,0.00025253454805351794,619.0,79232,1763260211.5242875,0.003592808498069644,0.4591856300830841,0.013671875,0.005747407674789429,-0.0052825650200247765,-1.797410488128662,
980,500.0,156.03055119514465,,,,79814,1763260212.2893882,,,,,,,500.0
985,500.0,156.7365415096283,,,,80314,1763260212.9953785,,,,,,,500.0
995,500.0,158.17368960380554,,,,81314,1763260214.4325266,,,,,,,500.0
997,,158.51616764068604,-0.008584592491388321,0.00025115208700299263,621.0,81536,1763260214.7750046,0.0032240087166428566,0.4269093871116638,0.0,0.0016836030408740044,-0.008823529817163944,-0.09310698509216309,
1015,,161.05072116851807,0.00013409554958343506,0.00025007681688293815,623.0,83328,1763260217.3095582,911.4628295898438,0.5347559452056885,0.0,0.00011532753705978394,-0.0011104084551334381,-0.0002359151840209961,
1020,,161.78152012825012,0.0024953074753284454,0.00024976959684863687,623.0,83840,1763260218.040357,722.58935546875,0.5160269737243652,0.0,0.0001417333260178566,-0.0018355464562773705,-6.604194641113281e-05,
1031,,163.41122245788574,-0.008817382156848907,0.000249078351771459,624.0,84992,1763260219.6700594,0.007143061142414808,0.46897947788238525,0.00390625,0.0011221319437026978,-0.013820983469486237,-4.114105224609375,
1050,,166.1380636692047,-0.008050790056586266,0.0002479262766428292,626.0,86912,1763260222.3969007,748.6849975585938,0.5039207935333252,0.0,0.0005369177088141441,0.0054338062182068825,0.0005751848220825195,
1053,,166.64406895637512,-0.0023976368829607964,0.0002476958616171032,626.0,87296,1763260222.902906,0.0002880920364987105,0.5239588618278503,0.00390625,0.002766551449894905,0.004675980657339096,-0.13505959510803223,
1058,,167.3260214328766,0.0038470327854156494,0.00024738864158280194,627.0,87808,1763260223.5848584,0.00031453464180231094,0.44049906730651855,0.0,0.00037385430186986923,0.0001414092257618904,-0.3521287441253662,
1083,500.0,170.8111047744751,,,,90314,1763260227.0699418,,,,,,,500.0
1091,,172.00528573989868,0.005966931581497192,0.0002453917113598436,630.0,91136,1763260228.2641227,0.0010454201838001609,0.5024615526199341,0.001953125,0.0009834486991167068,-0.002549281343817711,-0.26281607151031494,
1106,,174.16658282279968,0.00040672533214092255,0.00024447005125693977,631.0,92672,1763260230.4254198,0.0012278619688004255,0.5040534734725952,0.0,0.0017610341310501099,-0.006457118317484856,-0.2641395330429077,
1118,,176.17259788513184,0.0021225884556770325,0.0002437788061797619,630.0,93824,1763260232.4314349,618.1334838867188,0.5297829508781433,0.0,0.0006152354180812836,-0.009593255817890167,0.00045359134674072266,
1125,,177.20927596092224,-0.010320626199245453,0.00024331797612830997,631.0,94592,1763260233.468113,0.000779094872996211,0.431341290473938,0.0,0.0025724507868289948,0.03238300234079361,0.7641888856887817,
1133,,178.287456035614,-0.00685412622988224,0.00024285714607685804,631.0,95360,1763260234.546293,443.73321533203125,0.4342646896839142,0.0,0.0004927963018417358,0.006063379347324371,0.00039380788803100586,
