losses/entropy,charts/episodic_length,_step,charts/SPS,losses/value_loss,losses/explained_variance,global_step,losses/clipfrac,losses/policy_loss,charts/learning_rate,losses/approx_kl,losses/old_approx_kl,_runtime,_timestamp,charts/episodic_return
,,0,,,,0,,,,,,26.07287073135376,1763260082.3287196,
,13.0,7,,,,124,,,,,,27.48398470878601,1763260083.7398336,13.0
,23.0,33,,,,624,,,,,,28.082597732543945,1763260084.3384466,23.0
,24.0,41,,,,879,,,,,,28.36808180809021,1763260084.6239307,24.0
,38.0,47,,,,987,,,,,,28.488853931427002,1763260084.7447028,38.0
,45.0,64,,,,1282,,,,,,28.969363927841187,1763260085.2252128,45.0
,19.0,74,,,,1682,,,,,,29.37518334388733,1763260085.6310322,19.0
0.5970566272735596,,77,849.0,104.43484497070312,-0.02292180061340332,1792,0.0,-0.001323692500591278,0.00029900154913775623,0.0006385082378983498,0.00893432553857565,29.50739598274231,1763260085.7632449,
,19.0,88,,,,2213,,,,,,30.01827359199524,1763260086.2741225,19.0
0.6134408712387085,,102,722.0,172.28408813476562,0.0698462724685669,2816,0.0,-0.0036643072962760925,0.00029838710906915367,0.0006875321269035339,-0.004420701414346695,31.295668363571167,1763260087.5515172,
,48.0,104,,,,2896,,,,,,31.375568866729736,1763260087.6314178,48.0
0.5636073350906372,,133,641.0,91.4909439086914,-0.0070449113845825195,4736,0.0,-0.0015227720141410828,0.00029723503394052386,1.377146691083908e-05,0.0005636280402541161,34.77424693107605,1763260091.0300958,
,111.0,147,,,,5515,,,,,,36.42347478866577,1763260092.6793237,111.0
,26.0,149,,,,5562,,,,,,36.52475929260254,1763260092.7806082,26.0
0.5731315016746521,,150,601.0,125.28546142578125,0.016876280307769775,5632,0.0,-0.0017570443451404572,0.0002966973988804966,9.018927812576294e-05,0.00417746789753437,36.754196882247925,1763260093.0100458,
,140.0,155,,,,5943,,,,,,37.413734436035156,1763260093.6695833,140.0
,109.0,157,,,,6052,,,,,,37.7269127368927,1763260093.9827616,109.0
0.5615429878234863,,172,551.0,107.65596008300781,-0.048906564712524414,7040,0.0,0.001434333622455597,0.0002958525437861681,3.209523856639862e-05,0.0005660988390445709,40.15084767341614,1763260096.4066966,
0.6431257128715515,,195,536.0,247.93527221679688,-0.22409451007843018,8704,0.0,0.0009028390049934387,0.00029485407867468894,3.572087734937668e-05,0.0005454430356621742,43.62699246406555,1763260099.8828413,
0.5824453830718994,,203,539.0,203.65733337402344,-0.09965777397155762,9344,0.0,0.0005983095616102219,0.00029447005363181233,7.460825145244598e-06,-7.948745042085648e-05,44.713242292404175,1763260100.9690912,
,140.0,213,,,,9908,,,,,,45.74184536933899,1763260101.9976943,140.0
,45.0,217,,,,10161,,,,,,46.18491315841675,1763260102.440762,45.0
0.5690888166427612,,228,540.0,76.56669616699219,-0.010160088539123535,10880,0.0,-0.00011333823204040527,0.0002935483935289085,1.1014752089977264e-05,0.00015959050506353378,47.537641763687134,1763260103.7934906,
0.6335167288780212,,233,539.0,74.4303970336914,-0.01250147819519043,11136,0.0,-0.000665709376335144,0.00029339478351175785,1.4860183000564575e-05,0.00100763700902462,48.03717041015625,1763260104.2930193,
,107.0,251,,,,12358,,,,,,50.126524448394775,1763260106.3823733,107.0
