_runtime,charts/learning_rate,charts/SPS,losses/entropy,losses/clipfrac,losses/policy_loss,_timestamp,charts/episodic_length,losses/explained_variance,losses/old_approx_kl,losses/value_loss,losses/approx_kl,charts/episodic_return,_step,global_step
26.30267572402954,,,,,,1763260082.5073667,,,,,,,0,0
27.62027621269226,0.0003000000142492354,742.0,0.6931447386741638,0.0,-8.542276918888092e-05,1763260083.8249671,29.0,-0.0010292530059814453,-1.8542632460594177e-05,47.62464141845703,4.470348358154297e-08,29.0,7,128
28.244960069656372,0.0002996927942149341,802.0,0.6915822625160217,0.0,-0.012281233444809914,1763260084.449651,,0.005179762840270996,0.004516420885920525,27.812034606933594,0.0005435161292552948,,33,640
28.377562999725342,,,,,,1763260084.582254,17.0,,,,,17.0,41,788
28.51217484474182,,,,,,1763260084.7168658,23.0,,,,,23.0,47,927
29.036754846572876,,,,,,1763260085.2414458,39.0,,,,,39.0,64,1282
29.369675874710083,,,,,,1763260085.5743668,45.0,,,,,45.0,74,1535
29.4954195022583,,,,,,1763260085.7001104,26.0,,,,,26.0,77,1582
30.197675466537476,,,,,,1763260086.4023664,27.0,,,,,27.0,88,2063
31.26036763191223,,,,,,1763260087.4650586,60.0,,,,,60.0,102,2633
31.467137813568115,,,,,,1763260087.6718287,145.0,,,,,145.0,104,2778
34.133339643478394,,,,,,1763260090.3380306,98.0,,,,,98.0,133,4133
35.52215886116028,,,,,,1763260091.7268498,45.0,,,,,45.0,147,4895
35.76561093330383,,,,,,1763260091.9703019,197.0,,,,,197.0,149,5092
35.91938662528992,0.0002970046189147979,604.0,0.5960279107093811,0.0,-0.001615624874830246,1763260092.1240776,,0.18549120426177979,0.005643368698656559,162.087158203125,0.00019973795861005783,,150,5120
36.528775215148926,,,,,,1763260092.7334661,174.0,,,,,174.0,155,5473
36.71276497840881,,,,,,1763260092.917456,81.0,,,,,81.0,157,5554
38.769371032714844,,,,,,1763260094.974062,120.0,,,,,120.0,172,6510
41.99948573112488,,,,,,1763260098.2041767,90.0,,,,,90.0,195,7834
42.99187874794006,0.0002950844937004149,535.0,0.6032345294952393,0.0,0.00018703937530517578,1763260099.1965697,,0.14365273714065552,-0.0004971940070390701,152.4810333251953,2.2314488887786865e-06,,203,8320
44.1568820476532,,,,,,1763260100.361573,82.0,,,,,82.0,213,8973
44.60721278190613,,,,,,1763260100.8119037,238.0,,,,,238.0,217,9285
45.88884210586548,,,,,,1763260102.093533,341.0,,,,,341.0,228,10029
46.31278705596924,0.0002939324185717851,542.0,0.6110641956329346,0.0,-0.0011105239391326904,1763260102.517478,,0.023820579051971436,-0.0009260736405849457,81.71139526367188,8.205883204936981e-05,,233,10240
48.25054168701172,0.0002932411734946072,547.0,0.5681567788124084,0.0,0.0005382820963859558,1763260104.4552326,,0.004215836524963379,5.258619785308838e-05,80.33210754394531,5.809590220451355e-05,,251,11392
49.29968523979187,0.0002928571484517306,550.0,0.5908990502357483,0.017578125,0.04232829436659813,1763260105.5043762,,0.40808963775634766,0.0010732738301157951,159.51199340820312,0.00926759373396635,,259,12032
49.92754507064819,,,,,,1763260106.132236,140.0,,,,,140.0,265,12446
50.95520281791687,,,,,,1763260107.1598938,311.0,,,,,311.0,273,13140
51.12732696533203,0.0002921659033745527,556.0,0.5852851867675781,0.0,0.0068131908774375916,1763260107.332018,,0.3487597703933716,0.00562858022749424,54.57908630371094,0.00115111842751503,,274,13184
53.41439485549927,0.0002913210482802242,561.0,0.5538427829742432,0.0,-0.0011726990342140198,1763260109.6190858,,0.060694217681884766,0.00011891312897205353,122.82418060302734,1.595728099346161e-05,,292,14592
57.00491523742676,0.00028993855812586844,571.0,0.573305606842041,0.0,-0.0033190809190273285,1763260113.2096062,,0.04622030258178711,0.0016687968745827675,108.68428039550781,0.0002587391063570976,,321,16896
57.91726517677307,0.00028955453308299184,575.0,0.5700175762176514,0.0,0.0013056062161922455,1763260114.121956,,-0.016538381576538086,-0.0001759035512804985,130.5828094482422,1.649651676416397e-05,,327,17536
58.305012464523315,,,,,,1763260114.5097034,500.0,,,,,500.0,330,17814
58.64723587036133,0.00028924731304869056,578.0,0.5825292468070984,0.0,-0.0006915219128131866,1763260114.8519268,,0.041517794132232666,0.00010325852781534195,130.62353515625,2.6979483664035797e-05,,332,18048
59.30762696266174,,,,,,1763260115.512318,300.0,,,,,300.0,337,18543
59.68651342391968,0.00028886328800581396,579.0,0.5515843629837036,0.0,-0.00485682487487793,1763260115.8912044,,0.029581427574157715,0.0025979047641158104,131.93505859375,5.165953189134598e-05,,340,18688
63.973225593566895,0.00028725038282573223,585.0,0.4785914719104767,0.02734375,0.02448686584830284,1763260120.1779165,,0.3742150664329529,-0.005811572074890137,105.4333724975586,0.0035423170775175095,,370,21376
64.57874131202698,0.00028701996780000627,586.0,0.5463137626647949,0.0,0.0029417499899864197,1763260120.7834322,,-0.00569760799407959,-0.004512690007686615,95.443603515625,0.00012689456343650818,,375,21760
67.41249203681946,0.00028586789267137647,592.0,0.4834567606449127,0.0,-0.005265805870294571,1763260123.617183,,0.008653342723846436,0.000473671592772007,79.1575927734375,0.0001953253522515297,,396,23680
70.86922717094421,0.0002844854025170207,598.0,0.5083793997764587,0.0,0.0007923543453216553,1763260127.073918,,-0.016068696975708008,0.0029639815911650658,171.808349609375,0.0003538830205798149,,425,25984
72.8661196231842,,,,,,1763260129.0708106,446.0,,,,,446.0,441,27383
74.20328569412231,0.00028317971737124026,602.0,0.5645721554756165,0.0,-0.004057183861732483,1763260130.4079766,,0.013620913028717041,0.0024738237261772156,56.302894592285156,0.00011361390352249146,,450,28160
77.4484281539917,,,,,,1763260133.653119,406.0,,,,,406.0,471,30108
79.17322564125061,,,,,,1763260135.3779166,329.0,,,,,329.0,481,31053
80.72888708114624,0.00028095237212255597,598.0,0.5663876533508301,0.0,-0.00046490319073200226,1763260136.933578,,-0.11555659770965576,-0.001347244717180729,36.89227294921875,1.7982907593250275e-05,,490,31872
82.87951993942261,0.00028010751702822745,600.0,0.5161313414573669,0.0,-2.4683773517608643e-05,1763260139.0842109,,-0.0331348180770874,0.0007261456921696663,39.29975509643555,4.9670226871967316e-05,,504,33280
84.48952531814575,0.0002794930769596249,601.0,0.505905270576477,0.0,-0.006957530975341797,1763260140.6942163,,0.2661474943161011,0.004785982891917229,152.7279510498047,0.00030363351106643677,,515,34304
86.47509360313416,0.0002787250268738717,602.0,0.5277703404426575,0.0,-0.0028417184948921204,1763260142.6797845,,0.518919825553894,-0.0004116548225283623,153.0593719482422,0.00014666933566331863,,530,35584
87.66249251365662,0.00027826419682241976,603.0,0.503890872001648,0.0,0.0009340457618236542,1763260143.8671834,,0.644577145576477,0.0023504896089434624,28.21202278137207,0.0012104427441954613,,539,36352
88.79773306846619,0.00027780336677096784,605.0,0.4959259033203125,0.0,0.000591641291975975,1763260145.002424,,0.7301809787750244,-0.00135075394064188,14.09101676940918,2.1453015506267548e-05,,547,37120
89.82373070716858,0.00027741934172809124,605.0,0.5246888995170593,0.0,0.0007619969546794891,1763260146.0284216,,0.8105647563934326,-0.0048307133838534355,73.5048828125,3.3884309232234955e-05,,555,37760
90.38752627372742,0.0002771889267023653,606.0,0.5293527245521545,0.0,0.00820887926965952,1763260146.5922172,,-1.7667551040649414,0.01277891080826521,38.47133255004883,0.0005298452451825142,,559,38144
91.54841184616089,0.00027672809665091336,607.0,0.49149587750434875,0.0,-0.006710175424814224,1763260147.7531028,,-0.37597525119781494,0.0027081798762083054,24.408967971801758,0.00041372328996658325,,568,38912
95.26982092857361,0.00027526883059181273,609.0,0.5071012377738953,0.0,7.826834917068481e-05,1763260151.4745119,,-0.308207631111145,-0.001120029017329216,19.29308319091797,7.066875696182251e-06,,595,41344
97.73960661888123,0.00027427036548033357,611.0,0.5216147303581238,0.0,-0.017543137073516846,1763260153.9442976,,0.9496694207191467,0.004643131047487259,30.20534896850586,0.003927422687411308,,612,43008
97.97259044647217,,,,,,1763260154.1772814,177.0,,,,,177.0,614,43173
100.36335849761963,0.0002732719003688544,612.0,0.5092275142669678,0.0,-0.0003309100866317749,1763260156.5680494,,-2.0047459602355957,-0.0008357614278793335,14.330650329589844,2.9657036066055298e-05,,630,44672
101.2802062034607,0.0002728878753259778,613.0,0.526505708694458,0.0,0.003326728940010071,1763260157.4848971,,0.15485501289367676,0.001776866614818573,10.40907096862793,3.545545041561127e-05,,636,45312
101.84339785575867,0.00027265746030025184,614.0,0.5173507928848267,0.0,1.6689300537109375e-05,1763260158.0480888,,-0.15292704105377197,-0.00041582342237234116,11.401834487915039,4.6817585825920105e-06,,640,45696
103.40865659713745,0.0002720430202316493,615.0,0.47352534532546997,0.0,-0.002533450722694397,1763260159.6133475,,-0.21342980861663818,0.0008446797728538513,8.669912338256836,0.00019600242376327515,,650,46720
105.51018118858337,0.00027119816513732076,616.0,0.5300223231315613,0.0,-0.00016137957572937012,1763260161.7148721,,0.007731437683105469,-0.0001618722453713417,7.082710266113281,1.62636861205101e-05,,664,48128
108.32854056358337,,,,,,1763260164.5332315,500.0,,,,,500.0,684,50118
109.10327196121216,0.00026973886997438967,619.0,0.4864186644554138,0.0,0.000317595899105072,1763260165.307963,,0.028338849544525146,-0.0014344612136483192,574.1845703125,0.0005489392206072807,,689,50560
110.47561502456665,,,,,,1763260166.680306,461.0,,,,,461.0,698,51492
111.08531212806702,,,,,,1763260167.290003,371.0,,,,,371.0,702,51863
111.83593487739563,,,,,,1763260168.0406258,500.0,,,,,500.0,707,52363
115.05906248092651,,,,,,1763260171.2637534,252.0,,,,,252.0,729,54478
119.04066944122314,,,,,,1763260175.2453604,500.0,,,,,500.0,757,57148
119.72821307182312,,,,,,1763260175.932904,500.0,,,,,500.0,762,57648
120.46951484680176,,,,,,1763260176.6742058,500.0,,,,,500.0,767,58148
121.69142889976501,0.00026466973940841854,626.0,0.5123074650764465,0.0,-0.009643930941820145,1763260177.8961198,,-0.727885365486145,0.007826389744877815,0.19922466576099396,0.0013035368174314499,,775,59008
123.50840544700623,0.00026390168932266533,627.0,0.4666841924190521,0.005859375,-0.006659559905529022,1763260179.7130964,,0.6090022921562195,0.010035921819508076,0.05894816294312477,0.0008666450157761574,,788,60288
123.67361760139465,0.00026382488431409,627.0,0.5691775679588318,0.0,-0.0031888652592897415,1763260179.8783085,,-0.8202410936355591,0.009120259433984756,0.03133176267147064,0.0005945023149251938,,789,60416
124.78175640106201,0.0002633640542626381,628.0,0.5001319050788879,0.0,0.0016698818653821945,1763260180.9864473,,0.0050733089447021484,-0.005968112498521805,671.7378540039062,0.0004250500351190567,,797,61184
125.96891212463379,,,,,,1763260182.173603,500.0,,,,,500.0,806,62109
127.25635647773743,,,,,,1763260183.4610474,423.0,,,,,423.0,815,63032
133.76522374153137,0.0002595238038338721,635.0,0.5691844820976257,0.015625,-0.009385287761688232,1763260189.9699147,,-2.6365058422088623,-0.029888968914747238,0.005927606485784054,0.005953864194452763,,863,67584
135.00814700126648,0.00025898616877384484,636.0,0.5711560249328613,0.0,-0.008401989936828613,1763260191.212838,,-0.4133046865463257,-0.008597755804657936,0.004624536260962486,0.0011481735855340958,,872,68480
135.5287163257599,0.0002587557537481189,637.0,0.5564311146736145,0.0,-0.003716081380844116,1763260191.7334073,,4.404783248901367e-05,0.001104750670492649,455.5407409667969,9.828899055719376e-05,,876,68864
141.04935145378113,0.00025629799347370863,642.0,0.5721619725227356,0.0,0.015135757625102997,1763260197.2540424,,-6.639957427978516e-05,0.018901927396655083,692.2791137695312,0.0013254676014184952,,916,72960
141.86782932281494,0.00025591396843083203,643.0,0.5566373467445374,0.0,0.0019928067922592163,1763260198.0725203,,-0.21034109592437744,-0.014672370627522469,0.003324683988466859,0.0013726744800806046,,922,73600
142.91557145118713,0.0002554531383793801,644.0,0.4789128601551056,0.0,0.0011915452778339386,1763260199.1202624,,-7.271766662597656e-05,-0.002761146053671837,489.0233459472656,0.00020151957869529724,,930,74368
144.09206247329712,0.00025491550331935287,645.0,0.5033878087997437,0.017578125,-0.03138340264558792,1763260200.2967534,,0.10963648557662964,0.01030770968645811,0.0012571425177156925,0.006581351161003113,,938,75264
144.45306491851807,0.0002547618933022022,645.0,0.5002191066741943,0.0,-0.0019709020853042603,1763260200.6577559,,-0.2824370861053467,0.0017452370375394821,0.004072807729244232,0.00013245642185211182,,941,75520
144.62257385253906,0.0002546850882936269,645.0,0.5590354204177856,0.0,-0.003431841731071472,1763260200.8272648,,-0.03312265872955322,-0.003965413197875023,0.0012159165926277637,0.0006769578903913498,,942,75648
145.43792176246643,0.0002543010632507503,646.0,0.4860435724258423,0.001953125,-0.002241801470518112,1763260201.6426127,,-0.018473505973815918,-0.0027752667665481567,0.00011696384171955287,0.0011431314051151276,,948,76288
148.84139037132263,,,,,,1763260205.0460813,500.0,,,,,500.0,974,78850
149.67676210403442,0.0002523809380363673,650.0,0.49258285760879517,0.0,-0.001072026789188385,1763260205.881453,,0.5617080926895142,3.602728247642517e-05,0.0003318453091196716,0.0001414809376001358,,980,79488
150.35113644599915,0.0002520737471058965,650.0,0.5231523513793945,0.0,-0.0004139915108680725,1763260206.5558274,,0.3443102240562439,0.00475548580288887,0.00033325396361760795,0.00022929348051548004,,985,80000
151.56974482536316,0.00025153611204586923,651.0,0.5216107368469238,0.0,-0.004430614411830902,1763260207.7744358,,0.060533761978149414,0.002559550106525421,0.0015282223466783762,0.0003947373479604721,,995,80896
151.89404940605164,0.0002513825020287186,652.0,0.5409177541732788,0.0,-0.005117245018482208,1763260208.0987403,,-2.369192123413086,-0.0025074314326047897,0.0006961564649827778,0.000606972724199295,,997,81152
154.16873955726624,0.00025038403691723943,653.0,0.531368613243103,0.0,0.003688618540763855,1763260210.3734305,,0.002499520778656006,-0.004105910658836365,624.5538330078125,7.967837154865265e-05,,1015,82816
