_timestamp,_step,_runtime,losses/value_loss,losses/old_approx_kl,charts/episodic_length,losses/approx_kl,losses/policy_loss,charts/episodic_return,charts/SPS,global_step,losses/clipfrac,charts/learning_rate,losses/entropy,losses/explained_variance
1763260106.1402955,425,55.149829387664795,165.76048278808594,0.01311453152447939,,0.0005583921447396278,-0.0051781609654426575,,1070.0,31232,0.0,0.00028133639716543257,0.5644380450248718,0.29778575897216797
1763260107.3215592,441,56.331093072891235,20.180931091308594,0.004969781264662743,,0.0006296038627624512,0.0017599835991859436,,1071.0,32512,0.0,0.00028056834707967937,0.5934329628944397,0.7260171175003052
1763260107.9984064,450,57.0079402923584,16.631683349609375,-0.015042738988995552,,0.005363699048757553,-0.013903535902500153,,1072.0,33280,0.005859375,0.00028010751702822745,0.6093019247055054,0.9275910258293152
1763260109.6118598,471,58.62139368057251,129.92149353027344,0.0015370771288871765,,4.6290457248687744e-05,-0.0032781995832920074,,1070.0,34944,0.0,0.0002791090519167483,0.5433644652366638,0.09688383340835571
1763260110.3321726,481,59.34170651435852,,,203.0,,,203.0,,35745,,,,
1763260111.0030503,490,60.01258420944214,29.25351333618164,6.609875708818436e-05,,5.336478352546692e-07,0.0001537315547466278,,1071.0,36480,0.0,0.00027818739181384444,0.5675400495529175,0.034181952476501465
1763260112.0758212,504,61.085355043411255,,,101.0,,,101.0,,37678,,,,
1763260112.8939476,515,61.90348148345947,234.73390197753906,-0.0005372846499085426,,5.010794848203659e-05,-0.002111978828907013,,1072.0,38528,0.0,0.0002769585116766393,0.5923422574996948,0.12321549654006958
1763260114.1946957,530,63.20422959327698,,,500.0,,,500.0,,39976,,,,
1763260115.008575,539,64.01810884475708,281.7886962890625,0.03990001231431961,,0.008500637486577034,-0.004008382558822632,,1073.0,40832,0.01171875,0.000275576050626114,0.470064640045166,-1.1102309226989746
1763260115.654957,547,64.66449093818665,,,342.0,,,342.0,,41585,,,,
1763260116.4043624,555,65.41389632225037,6.426794052124023,-0.0015589231625199318,,9.08607617020607e-05,-0.0006905496120452881,,1074.0,42368,0.0,0.00027465439052321017,0.5014745593070984,0.8728601932525635
1763260116.7683349,559,65.77786874771118,14.775548934936523,0.0005291169509291649,,0.00010347086936235428,-0.001178232952952385,,1074.0,42752,0.0,0.0002744239754974842,0.5382141470909119,0.30513709783554077
1763260117.5530038,568,66.5625376701355,20.425384521484375,0.03266094624996185,,0.003182194195687771,-0.04390330612659454,,1075.0,43648,0.001953125,0.00027388634043745697,0.5583688020706177,0.9365769028663635
1763260119.7776437,595,68.78717756271362,12.910823822021484,-0.0007020356133580208,,0.00033669453114271164,-0.0048242975026369095,,1076.0,46080,0.0,0.0002724270452745259,0.5477854609489441,-0.652220606803894
1763260121.1559012,612,70.16543507575989,285.70562744140625,0.0021662209182977676,,0.0001896042376756668,0.000827103853225708,,1077.0,47616,0.0,0.00027150538517162204,0.5607578754425049,-0.003623485565185547
1763260121.3774147,614,70.38694858551025,10.589302062988281,0.0012916270643472672,,0.0003581549972295761,0.007905993610620499,,1077.0,47872,0.0,0.0002713517751544714,0.5031663179397583,0.12680679559707642
1763260122.6792245,630,71.6887583732605,,,142.0,,,142.0,,49386,,,,
1763260123.2270179,636,72.2365517616272,329.70458984375,0.01162534300237894,,0.0023988233879208565,0.008696045726537704,,1079.0,49920,0.0,0.0002701228950172663,0.532299280166626,-0.0016952753067016602
1763260123.5891287,640,72.59866261482239,,,487.0,,,487.0,,50373,,,,
1763260124.500195,650,73.50972890853882,,,500.0,,,500.0,,51373,,,,
1763260125.865965,664,74.87549877166748,4.882079601287842,-0.0020241020247340202,,0.00032859016209840775,0.007165044546127319,,1081.0,52864,0.0,0.0002683563798200339,0.47358185052871704,-0.04364967346191406
1763260127.748317,684,76.75785088539124,590.022705078125,0.0008742297068238258,,2.4949200451374054e-05,0.001796947792172432,,1078.0,54784,0.0,0.0002672043046914041,0.5153388977050781,0.0025222301483154297
1763260128.269068,689,77.27860188484192,751.8348999023438,0.0001952480524778366,,4.77861613035202e-05,-0.0012976378202438354,,1077.0,55296,0.0,0.0002668970846571028,0.5325367450714111,0.0017598867416381836
1763260129.0544739,698,78.06400775909424,2.9491124153137207,-8.097849786281586e-05,,7.162056863307953e-05,-0.0013372451066970825,,1078.0,56192,0.0,0.0002663594495970756,0.5659943222999573,-0.07140481472015381
1763260129.4891436,702,78.49867749214172,2.653752088546753,0.0025693941861391068,,2.4020671844482422e-05,-0.001125570386648178,,1077.0,56576,0.0,0.0002661290345713496,0.5762256383895874,0.022879064083099365
1763260129.8676713,707,78.87720513343811,,,500.0,,,500.0,,57086,,,,
1763260131.8210406,729,80.83057451248169,306.74639892578125,0.009587460197508335,,0.0008740434423089027,-0.011935804039239883,,1078.0,59136,0.0,0.0002645929343998432,0.5345811247825623,0.001390218734741211
1763260134.1441438,757,83.15367770195007,377.1148681640625,-0.0014062589034438133,,0.0005047274753451347,0.0005620084702968597,,1079.0,61696,0.0,0.0002630568342283368,0.5471754670143127,0.12002938985824585
1763260134.6346455,762,83.64417934417725,665.47607421875,0.00024092663079500198,,6.35022297501564e-05,-0.001237034797668457,,1078.0,62208,0.0,0.00026274961419403553,0.5228524208068848,0.00033605098724365234
1763260135.0822594,767,84.09179329872131,547.6044311523438,0.0004989402368664742,,0.0003594653680920601,0.0033627040684223175,,1079.0,62720,0.0,0.00026244239415973425,0.5111235976219177,0.0012364983558654785
1763260135.9074678,775,84.91700172424316,0.18240582942962646,-0.0031107421964406967,,0.0002415962517261505,-0.00013735145330429077,,1079.0,63616,0.0,0.000261904759099707,0.5452756285667419,-0.24739885330200195
1763260137.069074,788,86.07860779762268,0.16313791275024414,0.0015832418575882912,,6.993953138589859e-05,-0.00044233351945877075,,1079.0,64896,0.0,0.0002611367090139538,0.4959336519241333,-0.17203056812286377
1763260137.1807232,789,86.19025707244873,0.10970097780227661,-0.0017030024901032448,,0.0015269750729203224,0.00216095894575119,,1079.0,65024,0.0,0.0002610599040053785,0.6039368510246277,-0.08986115455627441
1763260137.897616,797,86.90714979171753,0.07464571297168732,0.02644328586757183,,0.005766872316598892,-0.015083478763699532,,1079.0,65792,0.0234375,0.00026059907395392656,0.5600572228431702,-3.418529510498047
1763260138.5750809,806,87.58461475372314,187.41934204101562,0.0012882696464657784,,0.002034519799053669,-0.011285267770290375,,1080.0,66560,0.0078125,0.00026013824390247464,0.5523423552513123,0.34357815980911255
1763260139.4004376,815,88.4099714756012,438.73980712890625,-0.004983692429959774,,0.0008521629497408867,-0.002034306526184082,,1080.0,67456,0.0,0.0002596006088424474,0.6196585893630981,0.3435870409011841
1763260143.404144,863,92.41367793083191,0.019082415848970413,-0.0033967019990086555,,0.0006582466885447502,-0.0010575614869594574,,1080.0,71808,0.0,0.0002569892385508865,0.5613261461257935,0.0847061276435852
1763260144.2302709,872,93.23980474472046,0.006160191260278225,-0.010721545666456223,,0.006012804806232452,0.003831898793578148,,1080.0,72704,0.009765625,0.00025645160349085927,0.5611976385116577,-4.735938549041748
1763260144.4593346,876,93.46886849403381,646.453369140625,0.0004189498722553253,,5.8459118008613586e-05,-0.0014733299612998962,,1081.0,72960,0.0,0.00025629799347370863,0.5574831962585449,0.008233964443206787
1763260148.199836,916,97.20936989784241,0.0005043551791459322,0.009823057800531387,,0.0015874598175287247,-0.006864244118332863,,1081.0,77056,0.0,0.0002538402331992984,0.4268189072608948,-7.679351806640625
1763260148.664395,922,97.67392897605896,,,500.0,,,500.0,,77615,,,,
