losses/clipfrac,losses/old_approx_kl,_timestamp,charts/episodic_return,losses/entropy,losses/approx_kl,_runtime,losses/policy_loss,charts/learning_rate,charts/episodic_length,charts/SPS,losses/explained_variance,_step,global_step,losses/value_loss
,,1763260110.682529,214.0,,,54.65594291687012,,,214.0,,,274,16080,
0.0,0.00022795237600803375,1763260112.8373513,,0.5697339177131653,1.3727694749832153e-06,56.81076526641846,-8.613243699073792e-05,0.0002897081431001425,,592.0,0.6265244483947754,292,17280,37.34599304199219
,,1763260116.088872,136.0,,,60.06228590011597,,,136.0,,,321,19144,
0.0,-9.263958781957626e-05,1763260116.9456432,,0.5729690790176392,0.0009526526555418968,60.9190571308136,-0.009180165827274323,0.0002883256529457867,,588.0,0.4224933981895447,327,19584,98.03176879882812
,,1763260117.2223437,143.0,,,61.19575762748718,,,143.0,,,330,19814,
,,1763260117.479101,137.0,,,61.45251488685608,,,137.0,,,332,19951,
0.01953125,0.013729325495660305,1763260118.2889102,,0.5271555185317993,0.008529185317456722,62.26232409477234,-0.00859060138463974,0.0002878648228943348,,587.0,0.8267742395401001,337,20352,80.76776123046875
,,1763260118.579796,197.0,,,62.55321002006531,,,197.0,,,340,20568,
0.04296875,-0.0254280436784029,1763260122.8960931,,0.5286843180656433,0.008839779533445835,66.86950707435608,-0.01966116577386856,0.00028609830769710243,,593.0,0.759646475315094,370,23296,80.05073547363281
,,1763260123.521861,407.0,,,67.49527502059937,,,407.0,,,375,23803,
,,1763260126.3288639,292.0,,,70.30227780342102,,,292.0,,,396,25636,
0.0,-0.002810872159898281,1763260130.2083707,,0.5932474136352539,6.461981683969498e-05,74.18178462982178,-0.001760326325893402,0.0002832565223798156,,602.0,-0.26965177059173584,425,28032,70.33919525146484
0.0,0.0017298487946391106,1763260132.4295356,,0.5429606437683105,7.200520485639572e-05,76.4029495716095,-0.0013780221343040466,0.0002824884722940624,,600.0,0.09979498386383057,441,29312,133.0333251953125
0.0,0.0005242936313152313,1763260133.8260474,,0.5465501546859741,0.0004083607345819473,77.7994613647461,-0.0033119171857833862,0.00028202764224261045,,599.0,-0.002554178237915039,450,30080,218.65512084960938
0.0,-0.0004074741154909134,1763260137.0452406,,0.5806379914283752,9.797513484954834e-06,81.01865458488464,0.000683339312672615,0.0002810291771311313,,594.0,-0.2474585771560669,471,31744,216.0585174560547
