global_step,losses/clipfrac,charts/episodic_length,losses/entropy,losses/explained_variance,losses/approx_kl,charts/SPS,_runtime,losses/value_loss,losses/old_approx_kl,losses/policy_loss,_timestamp,charts/episodic_return,_step,charts/learning_rate
28928,0.0,,0.5471124053001404,-0.019905567169189453,0.000536537729203701,550.0,79.94178128242493,92.15997314453125,0.0030486425384879112,7.345899939537048e-05,1763260136.1962352,,490,0.00028271888731978834
29975,,145.0,,,,,81.90785527229309,,,,1763260138.1623092,145.0,504,
30757,,97.0,,,,,83.35755658149719,,,,1763260139.6120105,97.0,515,
32040,,179.0,,,,,85.476078748703,,,,1763260141.7305326,179.0,530,
32896,0.0,,0.5813985466957092,0.864620566368103,5.9380196034908295e-05,553.0,86.9116530418396,28.15049934387207,-0.0016520572826266289,0.00389089435338974,1763260143.166107,,539,0.0002803379320539534
33664,0.0,,0.5492938160896301,0.15424644947052002,2.0314007997512817e-05,554.0,88.15099835395813,46.01774597167969,-0.00018846988677978516,0.0005420632660388947,1763260144.4054523,,547,0.0002798771020025015
34455,,415.0,,,,,89.38582682609558,,,,1763260145.6402807,415.0,555,
34816,0.0,,0.5780496001243591,0.11346244812011719,8.970126509666443e-05,556.0,89.99790096282959,37.569862365722656,0.0003148578107357025,-0.00032204389572143555,1763260146.2523549,,559,0.0002791858569253236
35712,0.0,,0.6062232851982117,0.6727355718612671,7.49705359339714e-05,558.0,91.39851117134094,26.322500228881836,-0.0012745270505547523,0.0017107166349887848,1763260147.652965,,568,0.00027864822186529636
38173,,500.0,,,,,95.3860170841217,,,,1763260151.640471,500.0,595,
39680,0.0,,0.6140181422233582,-0.06710898876190186,9.066332131624222e-05,563.0,97.8316171169281,30.63346290588379,0.0006300350651144981,0.0009417086839675903,1763260154.086071,,612,0.00027626726659946144
39856,,491.0,,,,,98.09482288360596,,,,1763260154.3492768,491.0,614,
41216,0.0,,0.5769180059432983,-0.057726383209228516,9.206216782331467e-05,564.0,100.4400851726532,20.934064865112305,0.00020490121096372604,-0.0024456195533275604,1763260156.694539,,630,0.00027534563560038805
41856,0.0,,0.5817084312438965,0.5041590929031372,3.413017839193344e-05,565.0,101.42525839805603,21.81912612915039,-0.00125169288367033,-0.0008615478873252869,1763260157.6797123,,636,0.00027496161055751145
42164,,239.0,,,,,101.8415880203247,,,,1763260158.096042,239.0,640,
43049,,500.0,,,,,103.31731152534485,,,,1763260159.5717654,500.0,650,
44544,0.0,,0.5781008005142212,0.055624306201934814,4.8646703362464905e-05,568.0,105.74202799797058,18.792409896850586,0.0005727633833885193,0.0011691469699144363,1763260161.996482,,664,0.0002733487053774297
46464,0.0,,0.5375415086746216,-0.004999518394470215,1.2405216693878174e-06,571.0,108.75810551643372,14.338525772094727,-6.820447742938995e-05,0.00010006129741668701,1763260165.0125594,,684,0.0002721966302487999
46976,0.0,,0.5660053491592407,0.006362974643707275,1.2151896953582764e-05,572.0,109.51621389389038,14.448080062866211,-6.0481950640678406e-05,-0.0011767558753490448,1763260165.7706678,,689,0.00027188941021449864
47872,0.0,,0.5574093461036682,0.04645359516143799,0.0007226159796118736,573.0,110.93682527542114,248.23492431640625,-0.008062084205448627,-0.006414450705051422,1763260167.1912792,,698,0.0002713517751544714
48329,,500.0,,,,,111.56485342979431,,,,1763260167.8193073,500.0,702,
48640,0.0078125,,0.5799039602279663,0.34175342321395874,0.0018776515498757362,573.0,112.22808074951172,143.11666870117188,0.0012909555807709694,-0.014312789775431156,1763260168.4825346,,707,0.0002708909451030195
50939,,500.0,,,,,115.8753228187561,,,,1763260172.1297767,500.0,729,
53662,,500.0,,,,,120.3596842288971,,,,1763260176.6141381,500.0,757,
54162,,500.0,,,,,121.20613360404968,,,,1763260177.4605875,500.0,762,
54656,0.0,,0.5403697490692139,0.45647943019866943,0.00033265724778175354,577.0,122.00655484199524,3.686406373977661,0.0011360980570316315,-0.004733927547931671,1763260178.2610087,,767,0.0002672811096999794
55424,0.0,,0.5253549218177795,0.024143576622009277,0.0010901428759098053,578.0,123.24856567382812,578.3189697265625,-0.002743260934948921,-0.009832073003053665,1763260179.5030196,,775,0.0002668202796485275
56832,0.0,,0.5854921340942383,-0.01767897605895996,0.0005102455615997314,580.0,125.37698411941528,3.5495505332946777,-0.0021194778382778168,-0.004949215799570084,1763260181.631438,,788,0.000265975424554199
57715,,332.0,,,,,126.57259941101074,,,,1763260182.8270533,332.0,797,
58496,0.0,,0.6328207850456238,-0.08967828750610352,2.538040280342102e-05,581.0,127.95834493637085,2.997921943664551,-0.002086130902171135,0.0002590315416455269,1763260184.2127988,,806,0.0002649769594427198
59392,0.0,,0.5871810913085938,0.05746263265609741,2.497248351573944e-05,583.0,129.30431127548218,2.2895050048828125,-0.00017913244664669037,-0.0008414983749389648,1763260185.5587652,,815,0.0002644393243826926
64256,0.0,,0.560292661190033,-2.9325485229492188e-05,7.25211575627327e-05,588.0,136.67974162101746,542.07666015625,2.2086314857006073e-05,-0.00011715665459632874,1763260192.9341955,,863,0.0002615207340568304
65152,0.0,,0.5221869945526123,0.334621787071228,8.003413677215576e-05,589.0,138.0280957221985,0.08073530346155167,-0.0037484709173440933,0.0021457988768815994,1763260194.2825496,,872,0.00026098309899680316
65536,0.0,,0.5332221388816833,0.07789212465286255,0.0013990309089422226,589.0,138.60370755195618,0.11628813296556473,-0.004404868930578232,0.00781281664967537,1763260194.8581614,,876,0.0002607526839710772
70144,0.001953125,,0.46306008100509644,-4.897269248962402,0.001629694364964962,594.0,145.39104390144348,0.0006260565132834017,0.01221883948892355,-0.01089511439204216,1763260201.6454978,,922,0.0002579877036623657
70912,0.0,,0.5472933053970337,-0.04351961612701416,0.0001678466796875,595.0,146.5217366218567,0.0034488721285015345,-0.0024206265807151794,-0.0032048597931861877,1763260202.7761905,,930,0.00025752687361091375
71734,,500.0,,,,,147.6627700328827,,,,1763260203.917224,500.0,938,
72064,0.0,,0.5793664455413818,-0.9166747331619263,0.0012389011681079865,596.0,148.18267273902893,0.0005825265543535352,-0.00979333370923996,0.005866892635822296,1763260204.4371266,,941,0.00025683562853373587
72192,0.0,,0.6093721389770508,-0.4970031976699829,0.0015633981674909592,597.0,148.35315227508545,0.00010396618017693982,0.0074818432331085205,-0.009834623895585537,1763260204.6076062,,942,0.00025675882352516055
72734,,500.0,,,,,149.1324279308319,,,,1763260205.3868818,500.0,948,
75264,0.0,,0.6246229410171509,-0.027167081832885742,5.496945232152939e-05,600.0,152.86366939544678,0.0021727222483605146,0.0038273418322205544,-0.0013999156653881073,1763260209.1181233,,974,0.00025491550331935287
75648,0.0,,0.5503365993499756,0.006645560264587402,0.00210531335324049,599.0,153.52138710021973,559.783935546875,0.005642314441502094,-0.0038635190576314926,1763260209.775841,,980,0.0002546850882936269
76032,0.0,,0.5959657430648804,0.019873201847076416,0.0002452889457345009,600.0,154.0929205417633,0.06598193943500519,-0.0010254764929413795,-0.006100505590438843,1763260210.3473744,,985,0.00025445467326790094
77056,0.0,,0.5882487297058105,-0.12373518943786621,0.0006180675700306892,601.0,155.56904482841492,0.014584497548639774,-0.007310646586120129,-0.003975715488195419,1763260211.8234987,,995,0.0002538402331992984
77312,0.0,,0.5734541416168213,-1.299004077911377,3.909692168235779e-05,601.0,155.91020679473877,0.0014977959217503667,-0.0003498326987028122,-0.00023669004440307617,1763260212.1646607,,997,0.00025368662318214774
79104,0.0,,0.5580047965049744,-0.6449552774429321,0.0003556683659553528,603.0,158.47590923309326,0.00019552807498257607,0.005654273554682732,0.004317110404372215,1763260214.7303631,,1015,0.00025261135306209326
79616,0.0,,0.5181217193603516,-0.10086667537689209,0.0007328931242227554,604.0,159.16376662254333,8.1009762652684e-05,-0.006628178060054779,-0.005553804337978363,1763260215.4182205,,1020,0.000252304133027792
80700,,500.0,,,,,160.66393494606018,,,,1763260216.9183888,500.0,1031,
82688,0.0,,0.5270525813102722,0.04112231731414795,0.00033920444548130035,607.0,163.55399894714355,0.00021880154963582754,-0.0013661272823810577,0.00039663538336753845,1763260219.8084528,,1050,0.00025046084192581475
82944,0.00390625,,0.436851441860199,-1.536649465560913,0.0028324173763394356,607.0,163.90839505195618,0.005400879308581352,-0.001951628364622593,0.0026541203260421753,1763260220.162849,,1053,0.0002503072319086641
83584,0.0,,0.6130914688110352,-0.11896717548370361,0.0005699936300516129,608.0,164.82284092903137,0.00024340667005162686,-0.0029930006712675095,-0.0016242675483226776,1763260221.0772948,,1058,0.0002499232068657875
86144,0.001953125,,0.4804575741291046,0.5214359164237976,0.0020336462184786797,610.0,168.47301197052002,0.0010546897538006306,0.004065665416419506,-0.0021738633513450623,1763260224.7274659,,1083,0.0002483871066942811
86912,0.0,,0.49243953824043274,-0.027812480926513672,0.0003104573115706444,611.0,169.587016582489,0.004042878281325102,0.0015051895752549171,-0.0039396733045578,1763260225.8414705,,1091,0.0002479262766428292
88328,,253.0,,,,,171.63354206085205,,,,1763260227.887996,253.0,1106,
89472,0.0,,0.463051438331604,-0.3466033935546875,0.00025798194110393524,613.0,173.28778100013733,0.01725582405924797,-0.00027200207114219666,0.000865057110786438,1763260229.542235,,1118,0.0002463901764713228
90068,,276.0,,,,,174.06912541389465,,,,1763260230.3235793,276.0,1125,
90752,0.0,,0.4758172035217285,0.8836423754692078,0.00019215885549783707,612.0,175.48832154273987,218.59039306640625,0.001495501957833767,0.0007717683911323547,1763260231.7427754,,1133,0.00024562212638556957
91776,0.0,,0.4765220880508423,0.8420171737670898,0.00011171214282512665,613.0,177.06276655197144,115.55252838134766,-0.002829289063811302,0.004750065505504608,1763260233.3172204,,1145,0.000245007686316967
93472,,500.0,,,,,179.46771216392517,,,,1763260235.722166,500.0,1164,
93568,0.0,,0.519196629524231,0.9793449640274048,5.2910298109054565e-05,614.0,179.63296842575073,24.856407165527344,-6.918981671333313e-05,-0.0016581229865550995,1763260235.8874223,,1165,0.00024393241619691253
94208,0.0,,0.45665788650512695,0.04362457990646362,0.00025277212262153625,615.0,180.5263864994049,436.1299743652344,-0.004565590992569923,0.006967306137084961,1763260236.7808404,,1172,0.00024354839115403593
95104,0.0,,0.47953614592552185,0.8437343239784241,0.00042815878987312317,616.0,181.7589385509491,6.225338459014893,0.008166158571839333,-1.5363097190856934e-05,1763260238.0133924,,1181,0.00024301075609400868
95616,0.0,,0.5267215967178345,0.8328596949577332,0.0001470698043704033,616.0,182.47014713287354,64.72061920166016,-0.0010051103308796883,-0.003564659506082535,1763260238.724601,,1186,0.0002427035360597074
96640,0.0,,0.5129265785217285,0.24431079626083374,0.00039460789412260056,617.0,183.91452860832214,528.1226196289062,-0.0003317529335618019,0.003327764570713043,1763260240.1689825,,1197,0.00024208909599110484
98304,0.0,,0.5412034392356873,0.5079745054244995,0.00037213973701000214,619.0,186.18042612075806,0.08066140115261078,0.001677289605140686,-0.005102116614580154,1763260242.43488,,1213,0.00024109063087962568
98546,,500.0,,,,,186.4035449028015,,,,1763260242.6579988,500.0,1215,
99584,0.0,,0.5676511526107788,0.014091193675994873,0.00014000199735164642,618.0,188.34744262695312,421.08148193359375,0.009012805297970772,0.0005654394626617432,1763260244.6018965,,1226,0.00024032258079387248
100046,,500.0,,,,,188.8494577407837,,,,1763260245.1039116,500.0,1230,
100480,0.021484375,,0.5018985271453857,0.8826300501823425,0.006613563746213913,619.0,189.50410676002502,0.0013719266280531883,-0.02896776795387268,0.014018366113305092,1763260245.7585607,,1234,0.00023978494573384523
101546,,500.0,,,,,190.95037865638733,,,,1763260247.2048326,500.0,1245,
102528,0.0,,0.5286200046539307,0.8368882536888123,0.004448622465133667,621.0,192.3480930328369,0.014053933322429657,0.015680106356739998,-0.007281959056854248,1763260248.602547,,1254,0.0002385560655966401
104192,0.0,,0.5482102036476135,0.5573742389678955,0.000708150677382946,622.0,194.7275493144989,0.0013854901771992445,0.0006172368302941322,-0.0011799931526184082,1763260250.9820032,,1271,0.00023755760048516095
107046,,500.0,,,,,198.71532154083252,,,,1763260254.9697754,500.0,1299,
111104,0.0,,0.45911383628845215,0.02862471342086792,0.0003772154450416565,628.0,204.08693766593933,566.2149047851562,-0.00768609344959259,0.005146190524101257,1763260260.3413916,,1339,0.00023341014457400888
111232,0.0,,0.49142903089523315,0.9131653308868408,0.000187569297850132,629.0,204.19968795776367,0.0028098851907998323,-3.1857751309871674e-05,2.5430694222450256e-05,1763260260.4541419,,1340,0.00023333333956543356
112128,0.029296875,,0.49746501445770264,0.10807168483734131,0.004521602764725685,631.0,205.02910208702087,714.369873046875,0.011719889007508755,-0.02860432118177414,1763260261.283556,,1349,0.00023279570450540632
113546,,500.0,,,,,206.3228361606598,,,,1763260262.57729,500.0,1363,
113792,0.0,,0.5276733636856079,-0.7039810419082642,0.000779823400080204,635.0,206.54859495162964,0.002943449653685093,0.0020683975890278816,0.007608093321323395,1763260262.8030488,,1365,0.00023179723939392716
114304,0.0,,0.5386167168617249,0.6934736967086792,0.000525839626789093,635.0,207.1741123199463,0.0012648862320929766,0.006465546786785126,-0.006692824885249138,1763260263.4285662,,1370,0.00023149001935962588
115328,0.0,,0.5086414813995361,0.6280423402786255,0.0016308650374412537,637.0,208.4316704273224,0.0014461120590567589,-0.010782191529870033,0.006081517785787582,1763260264.6861243,,1380,0.00023087557929102331
115456,0.0,,0.5277169942855835,0.6775798797607422,0.0011688880622386932,637.0,208.57594394683838,0.003951773978769779,0.014300890266895294,-0.008481433615088463,1763260264.8303978,,1381,0.000230798774282448
116096,0.00390625,,0.5048955678939819,0.014691174030303955,0.000945674255490303,638.0,209.37249398231506,569.7032470703125,0.014421006664633751,-0.005678713321685791,1763260265.6269479,,1388,0.0002304147492395714
116864,0.0,,0.45449167490005493,-5.949542999267578,0.0006298143416643143,639.0,210.2345793247223,0.002418854972347617,-0.005116680637001991,0.004921309649944305,1763260266.4890332,,1395,0.00022995391918811947
117248,0.0,,0.494739830493927,0.7886832356452942,0.0006763571873307228,639.0,210.7290074825287,0.002443905919790268,0.01001738477498293,-0.010410323739051819,1763260266.9834614,,1399,0.0002297235041623935
117888,0.001953125,,0.5239566564559937,0.7056030035018921,0.0019447552040219307,640.0,211.47238898277283,0.0033678999170660973,0.0021498771384358406,-0.0054787397384643555,1763260267.7268429,,1405,0.0002293394791195169
120576,0.005859375,,0.45783543586730957,0.0008868575096130371,0.002568633295595646,643.0,214.77160263061523,514.7188720703125,-0.010750933550298214,0.015398211777210236,1763260271.0260565,,1432,0.00022772657393943518
120704,0.0,,0.55729079246521,-0.06398642063140869,0.0016444651409983635,643.0,214.8946135044098,0.010098767466843128,0.004971777088940144,0.0009529665112495422,1763260271.1490674,,1433,0.00022764976893085986
123008,0.009765625,,0.47356104850769043,-36.62845993041992,0.002649890258908272,648.0,216.99758291244507,0.0005602346500381827,-0.0038623977452516556,0.004076521843671799,1763260273.2520368,,1455,0.0002262672787765041
123046,,500.0,,,,,217.01470804214478,,,,1763260273.269162,500.0,1456,
123136,0.0,,0.43527692556381226,-0.0005289316177368164,0.0003035031259059906,649.0,217.11199736595154,811.9484252929688,-0.00013916008174419403,-0.0020575225353240967,1763260273.3664513,,1457,0.00022619047376792878
129024,0.0,,0.5147845149040222,-15.860103607177734,0.00332436989992857,655.0,224.2283992767334,0.0006199139170348644,0.0024023065343499184,-0.016276821494102478,1763260280.4828532,,1514,0.00022265744337346405
129664,0.0,,0.5137052536010742,-0.0013856887817382812,0.0001256205141544342,656.0,225.03862690925598,372.3647155761719,-0.0021004844456911087,-0.004583816975355148,1763260281.2930808,,1521,0.00022227341833058745
130048,0.0,,0.45231327414512634,0.0006070137023925781,0.00013389158993959427,656.0,225.54088687896729,657.716552734375,-0.0007907720282673836,0.001022331416606903,1763260281.7953408,,1525,0.00022204301785677671
130304,0.0,,0.5249402523040771,-0.7091346979141235,5.712360143661499e-05,656.0,225.8108367919922,0.0006068103830330074,-0.0016962476074695587,-0.0015574246644973755,1763260282.0652907,,1527,0.00022188940783962607
130546,,500.0,,,,,226.01316022872925,,,,1763260282.2676141,500.0,1529,
131046,,500.0,,,,,226.64206194877625,,,,1763260282.8965158,500.0,1534,
131200,0.0,,0.43419116735458374,-1.449371337890625,0.00043356046080589294,657.0,226.8954622745514,0.01096547581255436,-0.005003299564123154,-0.0030178725719451904,1763260283.1499162,,1536,0.00022135177277959883
131968,0.0,,0.4730147421360016,-0.8898661136627197,0.0003027757629752159,659.0,227.6794409751892,0.00039090088102966547,-0.004611297510564327,-0.007550595328211784,1763260283.9338949,,1543,0.0002208909427281469
132096,0.001953125,,0.5673694610595703,-0.0027887821197509766,0.0007210280746221542,659.0,227.79411339759827,908.8742065429688,0.006279438734054565,-0.0035391002893447876,1763260284.0485673,,1545,0.0002208141377195716
132224,0.001953125,,0.44936585426330566,-2.4919800758361816,0.001129070296883583,659.0,227.90596461296082,0.011907815933227539,-0.0013033337891101837,-0.0018439963459968567,1763260284.1604185,,1546,0.00022073733271099627
133504,0.001953125,,0.5091873407363892,-1.4986960887908936,0.003410431556403637,662.0,229.07152271270752,0.00048510695341974497,0.0020173033699393272,-0.011741984635591507,1763260285.3259766,,1558,0.00021996928262524307
133546,,500.0,,,,,229.08745336532593,,,,1763260285.3419073,500.0,1559,
134016,0.01171875,,0.486399382352829,0.00102996826171875,0.004687344655394554,663.0,229.55838012695312,0.000268535251962021,-0.002118954434990883,-0.002066381275653839,1763260285.812834,,1563,0.0002196620625909418
134272,0.0,,0.4838879108428955,-0.6598716974258423,9.754020720720291e-05,663.0,229.7852578163147,0.01172044686973095,0.0028997277840971947,-0.0013071224093437195,1763260286.0397117,,1566,0.00021950845257379115
136546,,500.0,,,,,231.80966067314148,,,,1763260288.0641146,500.0,1588,
136576,0.00390625,,0.49674856662750244,-0.0008831024169921875,0.0026607178151607513,668.0,231.88865399360657,558.18505859375,-0.0011751223355531693,-0.015013400465250015,1763260288.143108,,1589,0.00021812596241943538
137472,0.0,,0.4163036346435547,0.30048590898513794,0.0010972777381539345,669.0,232.73740530014038,0.00026529570459388196,0.0037230337038636208,-0.008342988789081573,1763260288.9918592,,1597,0.00021758832735940814
138496,0.0,,0.4811350405216217,0.2180638313293457,0.0010451115667819977,671.0,233.6697428226471,0.0002674964489415288,-0.003367166966199875,-0.005533136427402496,1763260289.9241967,,1607,0.00021697388729080558
138624,0.0,,0.44303470849990845,-0.0025801658630371094,0.0004894593730568886,671.0,233.78397274017334,704.0703735351562,0.0006766999140381813,-0.0037870220839977264,1763260290.0384266,,1609,0.00021689708228223026
138752,0.0,,0.49224770069122314,-0.06112480163574219,0.00015312526375055313,672.0,233.8940086364746,0.01016111858189106,0.001907811500132084,0.0005795024335384369,1763260290.1484625,,1610,0.00021682027727365494
139008,0.0,,0.4431779682636261,0.28572148084640503,0.00022706668823957443,672.0,234.11682605743408,0.00020178663544356823,-0.002198834903538227,-0.004701599478721619,1763260290.37128,,1612,0.0002166666672565043
140416,0.0,,0.47683459520339966,-0.9887944459915161,0.0002001691609621048,673.0,235.96517181396484,0.00047020180500112474,-0.010511090978980064,0.000667426735162735,1763260292.2196257,,1626,0.00021582181216217577
141568,0.0,,0.44399023056030273,0.0008478760719299316,0.0004337634891271591,673.0,237.48734736442566,565.5719604492188,-0.004900813102722168,-0.0024637728929519653,1763260293.7418013,,1638,0.0002151305670849979
146560,0.0,,0.4851610064506531,-0.0004342794418334961,0.001029997132718563,677.0,243.74332785606384,571.480224609375,0.006268787197768688,-0.0031647030264139175,1763260299.9977818,,1687,0.0002121351717505604
151168,0.0,,0.4687430262565613,-8.308887481689453e-05,0.00032676756381988525,683.0,248.46298003196716,246.32540893554688,0.0035030674189329147,-0.010644035413861275,1763260304.717434,,1732,0.0002093702059937641
152546,,500.0,,,,,249.6957893371582,,,,1763260305.9502432,500.0,1745,
153344,0.0,,0.46363911032676697,0.07754111289978027,0.002680232748389244,687.0,250.44540071487427,0.0013319336576387286,0.003703119233250618,0.006263580173254013,1763260306.6998546,,1753,0.00020806452084798366
153472,0.0,,0.4369128942489624,-0.8224135637283325,0.0005619572475552559,687.0,250.55859112739563,0.0004222022835165262,-0.005324923433363438,-0.007816813886165619,1763260306.813045,,1754,0.00020798771583940834
154546,,500.0,,,,,251.53406286239624,,,,1763260307.7885168,500.0,1765,
154880,0.005859375,,0.3516460061073303,-0.09302008152008057,0.0005077775567770004,690.0,251.89345455169678,0.0005145506584085524,-0.008322259411215782,-0.0007097367197275162,1763260308.1479084,,1768,0.00020714286074507982
155776,0.001953125,,0.43203482031822205,0.0889320969581604,0.0036803167313337326,691.0,252.69717860221863,0.008000120520591736,0.005556629970669746,-0.015171151608228683,1763260308.9516325,,1777,0.00020660522568505257
160000,0.001953125,,0.5366527438163757,-6.996520042419434,0.002297515980899334,698.0,256.5356111526489,0.0018705729162320495,-0.011442379094660282,-0.012380335479974747,1763260312.790065,,1818,0.000204070660402067
160512,0.0,,0.5300472378730774,-1.8899588584899902,0.000568728893995285,699.0,257.02430534362793,0.0004743044846691191,0.0005185361951589584,0.0019532199949026108,1763260313.2787592,,1823,0.00020376344036776572
163328,0.001953125,,0.513408899307251,0.3588777780532837,0.002379477024078369,703.0,259.57330656051636,0.0010628540767356753,0.018257955089211464,-0.015073470771312714,1763260315.8277605,,1851,0.00020207373017910868
163840,0.01171875,,0.5741235613822937,0.4524267315864563,0.006005178205668926,704.0,260.05465936660767,0.0019484801450744271,-0.006163095124065876,-0.00936201587319374,1763260316.3091133,,1856,0.0002017665101448074
165046,,500.0,,,,,261.33060026168823,,,,1763260317.5850542,500.0,1868,
165546,,500.0,,,,,261.91491508483887,,,,1763260318.169369,500.0,1873,
