losses/policy_loss,charts/episodic_return,_timestamp,losses/approx_kl,global_step,losses/value_loss,losses/old_approx_kl,_step,_runtime,charts/episodic_length,losses/explained_variance,charts/learning_rate,charts/SPS,losses/entropy,losses/clipfrac
,,1763260082.6415787,,0,,,0,26.38127565383911,,,,,,
,15.0,1763260083.7363436,,126,,,7,27.476040601730347,15.0,,,,,
,27.0,1763260084.3800392,,592,,,33,28.119736194610596,27.0,,,,,
0.00872802734375,,1763260084.6034153,0.0018073320388793945,768,77.48316192626953,-0.016015276312828064,41,28.343112230300903,,-0.005536675453186035,0.0002996159892063588,807.0,0.6683148145675659,0.0
,29.0,1763260084.7325702,,913,,,47,28.472267150878906,29.0,,,,,
,70.0,1763260085.3374348,,1526,,,64,29.077131748199463,70.0,,,,,
,91.0,1763260085.7661903,,1832,,,74,29.505887269973755,91.0,,,,,
,98.0,1763260085.9128242,,1993,,,77,29.65252113342285,98.0,,,,,
,38.0,1763260086.710818,,2402,,,88,30.450515031814575,38.0,,,,,
0.010750949382781982,,1763260088.3894546,0.0016087740659713745,3072,196.04025268554688,-0.011139165610074997,102,32.129151582717896,,-0.009225010871887207,0.000298233499052003,648.0,0.6116039752960205,0.005859375
0.001707620918750763,,1763260088.6603448,0.0005741165950894356,3200,174.1832733154297,-0.005520832724869251,104,32.400041818618774,,0.0991814136505127,0.0002981566940434277,639.0,0.6476485729217529,0.0
-0.0014125555753707886,,1763260091.74013,6.493553519248962e-05,4480,77.29847717285156,-0.0009155124425888062,133,35.47982692718506,,0.02000647783279419,0.0002973886439576745,553.0,0.6268432140350342,0.0
,34.0,1763260093.5091853,,5192,,,147,37.24888229370117,34.0,,,,,
,76.0,1763260093.8709283,,5268,,,149,37.61062526702881,76.0,,,,,
-0.008939564228057861,,1763260094.1543186,0.0002570664510130882,5376,208.42872619628906,0.003962173126637936,150,37.8940155506134,,0.001809537410736084,0.00029685100889764726,511.0,0.594990611076355,0.0
-0.001368863508105278,,1763260095.0883708,0.00037126895040273666,5760,113.59571838378906,-0.0028669601306319237,155,38.828067779541016,,0.14433324337005615,0.0002966205938719213,503.0,0.651076078414917,0.0
