_runtime,_timestamp,losses/policy_loss,losses/old_approx_kl,charts/SPS,global_step,_step,losses/clipfrac,charts/learning_rate,charts/episodic_return,losses/value_loss,losses/explained_variance,charts/episodic_length,losses/entropy,losses/approx_kl
26.10423707962036,1763260082.362503,,,,0,0,,,,,,,,
27.58138418197632,1763260083.8396502,,,,159,7,,,20.0,,,20.0,,
28.139678716659546,1763260084.3979447,,,,688,33,,,23.0,,,23.0,,
28.296443462371826,1763260084.5547094,,,,868,41,,,18.0,,,18.0,,
28.448299884796143,1763260084.7065659,,,,1003,47,,,26.0,,,26.0,,
28.952443838119507,1763260085.2107098,-0.004661086946725845,0.007678573951125145,903.0,1408,64,0.0,0.0002992319641634822,,61.957855224609375,0.016492903232574463,,0.6570674180984497,0.0001948270946741104
29.25978994369507,1763260085.518056,,,,1674,74,,,18.0,,,18.0,,
29.39334774017334,1763260085.6516137,,,,1807,77,,,79.0,,,79.0,,
29.781326055526733,1763260086.039592,,,,2227,88,,,68.0,,,68.0,,
30.943072080612183,1763260087.201338,,,,2879,102,,,109.0,,,109.0,,
31.170600652694702,1763260087.4288666,,,,2968,104,,,89.0,,,89.0,,
34.152461528778076,1763260090.4107275,-0.00546090304851532,-0.0003139721229672432,662.0,4480,133,0.0,0.0002973886439576745,,97.747802734375,0.06708824634552002,,0.5259547233581543,9.715836495161057e-05
35.68658924102783,1763260091.9448552,,,,5292,147,,,201.0,,,201.0,,
35.935776710510254,1763260092.1940427,,,,5386,149,,,94.0,,,94.0,,
35.97877740859985,1763260092.2370434,,,,5454,150,,,68.0,,,68.0,,
36.739487648010254,1763260092.9977536,0.010973531752824783,-0.0037506716325879097,616.0,5760,155,0.0,0.0002966205938719213,,228.5354766845703,0.2511249780654907,,0.5586385726928711,0.0004552723839879036
37.04027724266052,1763260093.2985432,-0.0006131678819656372,0.00019047223031520844,610.0,5888,157,0.0,0.000296543788863346,,114.234619140625,0.18368971347808838,,0.5470532178878784,6.3925981521606445e-06
39.223833084106445,1763260095.482099,-0.001984352245926857,0.002380925230681896,573.0,6784,172,0.0,0.00029600615380331874,,134.9251708984375,0.4819832444190979,,0.5713708996772766,4.4316984713077545e-05
42.41819667816162,1763260098.6764627,,,,8173,195,,,78.0,,,78.0,,
43.43212556838989,1763260099.6903915,-0.0030952617526054382,0.0027253758162260056,534.0,8576,203,0.0,0.00029493088368326426,,131.15109252929688,0.3261447548866272,,0.5855068564414978,2.9418617486953735e-05
44.519707441329956,1763260100.7779734,-0.0021919719874858856,0.0004343045875430107,530.0,9088,213,0.0,0.000294623663648963,,101.10675048828125,-0.03221392631530762,,0.5745877027511597,9.40915197134018e-06
44.86278748512268,1763260101.1210535,,,,9304,217,,,121.0,,,121.0,,
46.04781651496887,1763260102.3060825,,,,9876,228,,,53.0,,,53.0,,
46.55297875404358,1763260102.8112447,,,,10124,233,,,47.0,,,47.0,,
48.78625297546387,1763260105.044519,0.008115168660879135,-0.0040117911994457245,532.0,11392,251,0.0,0.0002932411734946072,,96.60869598388672,-0.0066030025482177734,,0.5938730239868164,0.00022929906845092773
49.66002058982849,1763260105.9182866,,,,11918,259,,,144.0,,,144.0,,
50.528425216674805,1763260106.7866912,0.01113150641322136,0.0400603823363781,536.0,12416,265,0.0703125,0.00029262673342600465,,88.96228790283203,0.07559937238693237,,0.5288457274436951,0.01175834983587265
51.47729706764221,1763260107.735563,0.0008345507085323334,-0.0013074623420834541,536.0,12928,273,0.0,0.00029231951339170337,,90.45670318603516,0.35044628381729126,,0.5376139879226685,1.0217539966106415e-05
51.628949880599976,1763260107.8872159,0.00019850954413414001,-7.841922342777252e-05,538.0,13056,274,0.0,0.00029224270838312805,,185.27734375,-0.0011594295501708984,,0.5642476081848145,1.866370439529419e-06
53.64964175224304,1763260109.9079077,,,,14185,292,,,186.0,,,186.0,,
57.54850745201111,1763260113.8067734,-0.00531120365485549,0.007364698685705662,543.0,16384,321,0.0,0.0002902457781601697,,47.67855453491211,0.6819134950637817,,0.5304943919181824,7.286574691534042e-05
58.39006185531616,1763260114.6483278,-0.003963448107242584,0.0020413240417838097,545.0,16896,327,0.0,0.00028993855812586844,,138.56935119628906,0.05127519369125366,,0.5788902044296265,0.00017445627599954605
58.677088022232056,1763260114.935354,,,,17076,330,,,139.0,,,139.0,,
59.069154262542725,1763260115.3274202,-0.0011679679155349731,-0.000950952060520649,545.0,17280,332,0.0,0.0002897081431001425,,132.28359985351562,-0.03455233573913574,,0.5784755349159241,6.7641958594322205e-06
59.5697238445282,1763260115.8279898,-0.0020362362265586853,0.002626079134643078,545.0,17536,337,0.0,0.00028955453308299184,,121.08386993408203,0.005027651786804199,,0.550115168094635,6.109196692705154e-05
59.83654856681824,1763260116.0948145,,,,17699,340,,,64.0,,,64.0,,
63.83173131942749,1763260120.0899973,,,,19951,370,,,197.0,,,197.0,,
67.18860030174255,1763260123.4468663,-0.003063671290874481,0.00415763258934021,550.0,21888,396,0.0,0.00028694316279143095,,50.86106491088867,0.8177972435951233,,0.594643771648407,9.240210056304932e-05
70.94393181800842,1763260127.2021978,,,,24402,425,,,486.0,,,486.0,,
73.40504789352417,1763260129.6633139,-0.013119211420416832,0.08382908254861832,561.0,25856,441,0.0859375,0.000284562207525596,,72.85102081298828,-0.00440216064453125,,0.5301663875579834,0.012927832081913948
74.57699871063232,1763260130.8352647,,,,26618,450,,,215.0,,,215.0,,
