charts/episodic_length,global_step,losses/approx_kl,_step,charts/SPS,charts/learning_rate,_timestamp,losses/policy_loss,losses/clipfrac,losses/entropy,charts/episodic_return,losses/explained_variance,_runtime,losses/value_loss,losses/old_approx_kl
,0,,0,,,1763260075.8909645,,,,,,24.80430841445923,,
10.0,107,,7,,,1763260077.0373504,,,,10.0,,25.95069432258606,,
20.0,715,,33,,,1763260077.649295,,,,20.0,,26.562638998031616,,
,896,0.0017988253384828568,41,1002.0,0.00029953918419778347,1763260077.8607528,-0.007802754640579224,0.0,0.6436011791229248,,-0.02231431007385254,26.774096727371216,60.284820556640625,-0.0012491755187511444
20.0,1017,,47,,,1763260077.915179,,,,20.0,,26.82852292060852,,
17.0,1484,,64,,,1763260078.4122593,,,,17.0,,27.325603246688843,,
,1792,0.00013444945216178894,74,1011.0,0.00029900154913775623,1763260078.7390628,0.004134977236390114,0.0,0.6417659521102905,,0.00773310661315918,27.652406692504883,106.253173828125,0.00775771401822567
,1920,2.8803013265132904e-05,77,1016.0,0.0002989247441291809,1763260078.8565936,-0.0005173981189727783,0.0,0.6179100275039673,,0.01655346155166626,27.76993751525879,136.9607696533203,-0.0003041578456759453
28.0,2320,,88,,,1763260079.2431455,,,,28.0,,28.156489372253418,,
29.0,3050,,102,,,1763260079.8498838,,,,29.0,,28.763227701187134,,
75.0,3125,,104,,,1763260079.9467666,,,,75.0,,28.86011052131653,,
174.0,4780,,133,,,1763260081.495745,,,,174.0,,30.409088850021362,,
84.0,5755,,147,,,1763260082.3405862,,,,84.0,,31.25393009185791,,
129.0,5884,,149,,,1763260082.4558914,,,,129.0,,31.369235277175903,,
,5888,1.5256926417350769e-05,150,1059.0,0.000296543788863346,1763260082.5264733,0.0001815464347600937,0.0,0.6108338832855225,,0.2772752046585083,31.439817190170288,205.35308837890625,0.00018253736197948456
49.0,6059,,155,,,1763260082.6638033,,,,49.0,,31.577147245407104,,
,6272,0.00010509323328733444,157,1061.0,0.00029631337383762,1763260082.87335,-0.0017299437895417213,0.0,0.6187100410461426,,0.009830117225646973,31.786693811416626,245.41357421875,0.0027332277968525887
,7168,0.00015524495393037796,172,1065.0,0.0002957757387775928,1763260083.6926992,0.0018442943692207336,0.0,0.6112977862358093,,0.031366586685180664,32.606043100357056,176.7984619140625,0.00010860245674848557
224.0,8666,,195,,,1763260085.0011249,,,,224.0,,33.91446876525879,,
25.0,9092,,203,,,1763260085.4361312,,,,25.0,,34.349475145339966,,
117.0,9794,,213,,,1763260086.3657775,,,,117.0,,35.27912139892578,,
37.0,10016,,217,,,1763260086.6519938,,,,37.0,,35.56533765792847,,
