episodic_return,global_step
13,13
19,32
21,53
20,73
16,89
22,111
13,124
20,144
14,158
21,179
22,201
13,214
29,243
32,275
18,293
53,346
26,372
11,383
12,395
17,412
12,424
11,435
63,498
37,535
24,559
21,580
22,602
38,640
15,655
13,668
22,690
16,706
11,717
18,735
29,764
12,776
12,788
22,810
12,822
20,842
22,864
12,876
8,884
13,897
18,915
10,925
16,941
20,961
14,975
27,1002
28,1030
9,1039
13,1052
18,1070
14,1084
13,1097
11,1108
10,1118
9,1127
19,1146
16,1162
13,1175
13,1188
9,1197
19,1216
9,1225
12,1237
14,1251
17,1268
10,1278
13,1291
13,1304
14,1318
11,1329
14,1343
14,1357
34,1391
12,1403
12,1415
12,1427
18,1445
13,1458
28,1486
21,1507
15,1522
14,1536
13,1549
10,1559
12,1571
10,1581
9,1590
10,1600
10,1610
12,1622
18,1640
12,1652
12,1664
18,1682
8,1690
20,1710
14,1724
13,1737
13,1750
12,1762
20,1782
9,1791
13,1804
12,1816
10,1826
10,1836
11,1847
11,1858
10,1868
12,1880
10,1890
16,1906
14,1920
11,1931
14,1945
10,1955
10,1965
36,2001
12,2013
12,2025
9,2034
16,2050
9,2059
11,2070
11,2081
11,2092
14,2106
10,2116
11,2127
19,2146
8,2154
12,2166
8,2174
14,2188
11,2199
19,2218
17,2235
11,2246
10,2256
14,2270
16,2286
15,2301
12,2313
9,2322
9,2331
11,2342
10,2352
11,2363
10,2373
11,2384
9,2393
14,2407
9,2416
12,2428
12,2440
10,2450
12,2462
10,2472
12,2484
10,2494
12,2506
13,2519
10,2529
14,2543
14,2557
9,2566
30,2596
9,2605
11,2616
10,2626
12,2638
10,2648
12,2660
13,2673
18,2691
12,2703
12,2715
9,2724
11,2735
16,2751
11,2762
11,2773
13,2786
14,2800
12,2812
14,2826
19,2845
11,2856
11,2867
8,2875
11,2886
11,2897
15,2912
15,2927
15,2942
10,2952
14,2966
17,2983
15,2998
9,3007
17,3024
11,3035
19,3054
12,3066
12,3078
22,3100
10,3110
14,3124
12,3136
19,3155
27,3182
14,3196
14,3210
19,3229
15,3244
13,3257
14,3271
11,3282
13,3295
17,3312
15,3327
12,3339
16,3355
22,3377
16,3393
11,3404
17,3421
20,3441
16,3457
11,3468
23,3491
12,3503
11,3514
17,3531
20,3551
14,3565
23,3588
14,3602
15,3617
13,3630
16,3646
17,3663
16,3679
18,3697
22,3719
18,3737
26,3763
17,3780
11,3791
20,3811
15,3826
22,3848
11,3859
21,3880
21,3901
36,3937
15,3952
27,3979
18,3997
17,4014
24,4038
19,4057
26,4083
18,4101
17,4118
27,4145
20,4165
21,4186
34,4220
28,4248
20,4268
38,4306
23,4329
33,4362
27,4389
37,4426
32,4458
23,4481
40,4521
21,4542
25,4567
38,4605
46,4651
22,4673
26,4699
103,4802
47,4849
38,4887
82,4969
50,5019
87,5106
90,5196
81,5277
33,5310
73,5383
40,5423
54,5477
51,5528
42,5570
75,5645
26,5671
30,5701
45,5746
27,5773
38,5811
50,5861
27,5888
44,5932
34,5966
31,5997
34,6031
32,6063
23,6086
31,6117
53,6170
29,6199
37,6236
23,6259
40,6299
22,6321
22,6343
26,6369
24,6393
23,6416
24,6440
32,6472
27,6499
31,6530
30,6560
24,6584
34,6618
40,6658
49,6707
35,6742
33,6775
33,6808
40,6848
38,6886
51,6937
28,6965
57,7022
38,7060
25,7085
34,7119
25,7144
24,7168
23,7191
21,7212
36,7248
42,7290
36,7326
25,7351
21,7372
39,7411
39,7450
33,7483
39,7522
40,7562
39,7601
30,7631
39,7670
20,7690
25,7715
34,7749
32,7781
32,7813
30,7843
26,7869
20,7889
28,7917
22,7939
30,7969
28,7997
26,8023
31,8054
24,8078
35,8113
24,8137
22,8159
33,8192
25,8217
33,8250
32,8282
28,8310
27,8337
30,8367
20,8387
27,8414
39,8453
27,8480
31,8511
28,8539
27,8566
27,8593
25,8618
42,8660
24,8684
34,8718
21,8739
30,8769
25,8794
30,8824
27,8851
35,8886
19,8905
31,8936
25,8961
32,8993
31,9024
35,9059
28,9087
27,9114
41,9155
44,9199
38,9237
28,9265
38,9303
50,9353
25,9378
39,9417
40,9457
40,9497
27,9524
60,9584
32,9616
38,9654
33,9687
39,9726
36,9762
59,9821
51,9872
41,9913
40,9953
63,10016
52,10068
51,10119
56,10175
50,10225
105,10330
52,10382
81,10463
63,10526
53,10579
86,10665
151,10816
61,10877
113,10990
74,11064
64,11128
68,11196
107,11303
66,11369
70,11439
106,11545
75,11620
72,11692
120,11812
61,11873
70,11943
57,12000
68,12068
89,12157
74,12231
84,12315
70,12385
56,12441
92,12533
79,12612
72,12684
55,12739
76,12815
65,12880
64,12944
74,13018
73,13091
77,13168
90,13258
85,13343
66,13409
193,13602
126,13728
75,13803
73,13876
48,13924
53,13977
59,14036
55,14091
69,14160
46,14206
81,14287
67,14354
50,14404
48,14452
47,14499
104,14603
46,14649
46,14695
85,14780
38,14818
72,14890
68,14958
54,15012
34,15046
48,15094
46,15140
84,15224
44,15268
65,15333
47,15380
58,15438
45,15483
37,15520
29,15549
39,15588
44,15632
40,15672
42,15714
53,15767
36,15803
68,15871
41,15912
33,15945
42,15987
37,16024
39,16063
36,16099
36,16135
50,16185
155,16340
46,16386
34,16420
34,16454
42,16496
55,16551
74,16625
33,16658
40,16698
62,16760
37,16797
59,16856
52,16908
60,16968
42,17010
49,17059
39,17098
50,17148
44,17192
32,17224
33,17257
47,17304
65,17369
59,17428
42,17470
53,17523
61,17584
55,17639
56,17695
60,17755
54,17809
43,17852
51,17903
39,17942
38,17980
59,18039
47,18086
48,18134
40,18174
38,18212
35,18247
31,18278
31,18309
48,18357
31,18388
29,18417
58,18475
29,18504
52,18556
28,18584
55,18639
42,18681
37,18718
44,18762
40,18802
36,18838
47,18885
63,18948
51,18999
34,19033
28,19061
38,19099
34,19133
32,19165
31,19196
36,19232
41,19273
43,19316
35,19351
37,19388
34,19422
45,19467
30,19497
31,19528
55,19583
48,19631
40,19671
39,19710
42,19752
43,19795
33,19828
34,19862
30,19892
32,19924
30,19954
40,19994
45,20039
46,20085
39,20124
33,20157
36,20193
54,20247
32,20279
36,20315
28,20343
30,20373
38,20411
35,20446
31,20477
27,20504
31,20535
39,20574
40,20614
56,20670
53,20723
30,20753
54,20807
27,20834
29,20863
38,20901
37,20938
35,20973
56,21029
55,21084
26,21110
30,21140
68,21208
36,21244
37,21281
36,21317
22,21339
37,21376
45,21421
46,21467
49,21516
38,21554
44,21598
39,21637
36,21673
45,21718
41,21759
62,21821
36,21857
41,21898
28,21926
44,21970
42,22012
34,22046
55,22101
47,22148
65,22213
50,22263
45,22308
26,22334
62,22396
38,22434
38,22472
26,22498
38,22536
35,22571
35,22606
30,22636
42,22678
41,22719
34,22753
65,22818
38,22856
32,22888
56,22944
30,22974
70,23044
36,23080
50,23130
30,23160
43,23203
107,23310
27,23337
46,23383
36,23419
32,23451
41,23492
53,23545
54,23599
62,23661
38,23699
79,23778
90,23868
37,23905
34,23939
51,23990
30,24020
76,24096
32,24128
34,24162
69,24231
81,24312
82,24394
42,24436
42,24478
39,24517
81,24598
53,24651
56,24707
64,24771
46,24817
63,24880
57,24937
49,24986
66,25052
71,25123
37,25160
51,25211
52,25263
57,25320
60,25380
105,25485
64,25549
81,25630
66,25696
43,25739
96,25835
55,25890
63,25953
142,26095
36,26131
112,26243
96,26339
42,26381
50,26431
46,26477
115,26592
95,26687
38,26725
38,26763
30,26793
61,26854
50,26904
90,26994
82,27076
56,27132
38,27170
31,27201
51,27252
29,27281
42,27323
84,27407
30,27437
53,27490
51,27541
48,27589
49,27638
34,27672
52,27724
34,27758
41,27799
47,27846
55,27901
48,27949
32,27981
96,28077
35,28112
35,28147
