global_step,losses/approx_kl,_step,charts/SPS,losses/value_loss,_timestamp,losses/entropy,losses/old_approx_kl,charts/episodic_return,losses/policy_loss,charts/episodic_length,charts/learning_rate,_runtime,losses/explained_variance,losses/clipfrac
23857,,922,,,1763260042.7158759,,,31.0,,31.0,,31.69986391067505,,
24163,,930,,,1763260042.9648004,,,56.0,,56.0,,31.94878840446472,,
24423,,938,,,1763260043.206177,,,30.0,,30.0,,32.1901650428772,,
24544,,941,,,1763260043.362276,,,82.0,,82.0,,32.346264123916626,,
24576,0.000681544654071331,942,971.0,1.458895206451416,1763260043.441872,0.19679999351501465,-0.008298155851662159,,-0.01692877523601055,,0.0002853302576113492,32.4258599281311,0.9926276803016663,0.0
24758,,948,,,1763260043.581679,,,46.0,,46.0,,32.565667152404785,,
25635,,974,,,1763260044.4438088,,,45.0,,45.0,,33.427796840667725,,
25861,,980,,,1763260044.6623547,,,32.0,,32.0,,33.646342754364014,,
26092,,985,,,1763260044.8142467,,,46.0,,46.0,,33.798234701156616,,
27239,,1015,,,1763260045.9022048,,,52.0,,52.0,,34.8861927986145,,
27904,0.0005870657041668892,1031,980.0,0.240453839302063,1763260046.5972738,0.2766951322555542,-0.0006655184552073479,,0.006225511431694031,,0.0002833333273883909,35.58126187324524,0.9985297322273254,0.0
28667,,1050,,,1763260047.2234094,,,68.0,,68.0,,36.2073974609375,,
28777,,1053,,,1763260047.3336818,,,46.0,,46.0,,36.31766986846924,,
28928,0.0008933683857321739,1058,983.0,0.22819125652313232,1763260047.5520601,0.19487519562244415,0.009056630544364452,,0.0012242943048477173,,0.00028271888731978834,36.53604817390442,0.8414400219917297,0.001953125
29952,0.000631965696811676,1083,987.0,44.64674758911133,1763260048.4954486,0.20248690247535706,-0.01017397828400135,,-0.015959901735186577,,0.0002821044472511858,37.47943663597107,-0.015595316886901855,0.001953125
30208,0.001219622790813446,1091,986.0,0.21788473427295685,1763260048.7700844,0.2526286840438843,-0.008865132927894592,,0.003509560599923134,,0.00028195083723403513,37.754072427749634,0.9434553980827332,0.0
30808,,1106,,,1763260049.2729466,,,33.0,,33.0,,38.25693464279175,,
31246,,1118,,,1763260049.7694418,,,69.0,,69.0,,38.753429889678955,,
31872,0.002257987856864929,1133,988.0,44.94974136352539,1763260050.390673,0.18473534286022186,-0.001742945984005928,,-0.0014787018299102783,,0.00028095237212255597,39.37466096878052,0.8403836488723755,0.015625
32354,,1145,,,1763260050.7748926,,,31.0,,31.0,,39.758880615234375,,
33156,,1164,,,1763260051.5943232,,,49.0,,49.0,,40.57831120491028,,
33500,,1172,,,1763260051.8580785,,,87.0,,87.0,,40.842066526412964,,
33818,,1181,,,1763260052.228462,,,50.0,,50.0,,41.21245002746582,,
33986,,1186,,,1763260052.3635051,,,47.0,,47.0,,41.347493171691895,,
34314,,1197,,,1763260052.6977062,,,44.0,,44.0,,41.6816942691803,,
34878,,1213,,,1763260053.2598674,,,47.0,,47.0,,42.243855476379395,,
34958,,1215,,,1763260053.358745,,,80.0,,80.0,,42.34273314476013,,
35376,,1226,,,1763260053.7349212,,,51.0,,51.0,,42.71890926361084,,
35553,,1230,,,1763260053.87292,,,69.0,,69.0,,42.856908082962036,,
35712,0.0008214479312300682,1234,994.0,45.70380783081055,1763260054.0758922,0.2576788067817688,0.003273346461355686,,-0.0016302596777677536,,0.00027864822186529636,43.05988025665283,0.9307300448417664,0.0
36145,,1245,,,1763260054.4992375,,,62.0,,62.0,,43.48322558403015,,
37199,,1271,,,1763260055.5454824,,,58.0,,58.0,,44.529470443725586,,
38315,,1299,,,1763260056.7184474,,,85.0,,85.0,,45.70243549346924,,
40070,,1339,,,1763260058.5263293,,,89.0,,89.0,,47.51031732559204,,
40126,,1340,,,1763260058.5488236,,,56.0,,56.0,,47.532811641693115,,
41216,0.000173225998878479,1363,991.0,0.14913906157016754,1763260059.7338245,0.12340161204338074,0.0031178519129753113,,0.0006903931498527527,,0.00027534563560038805,48.71781253814697,0.4788208603858948,0.0
41313,,1365,,,1763260059.7700803,,,68.0,,68.0,,48.75406837463379,,
41600,0.0019716350361704826,1370,992.0,0.20978811383247375,1763260060.0869408,0.16580523550510406,0.0124957961961627,,0.00160139799118042,,0.0002751152205746621,49.07092881202698,0.9983449578285217,0.0
42045,,1380,,,1763260060.4567046,,,47.0,,47.0,,49.44069266319275,,
42112,0.0008082222193479538,1381,992.0,0.2833344042301178,1763260060.5829232,0.16805225610733032,0.004767965525388718,,-0.0001943442039191723,,0.0002748080005403608,49.56691122055054,0.9316313862800598,0.0
42368,0.003176739439368248,1388,992.0,0.0934581309556961,1763260060.8318176,0.2319803386926651,-0.008809500373899937,,-0.02647499553859234,,0.00027465439052321017,49.81580567359924,-0.0027266740798950195,0.01953125
42752,0.0004219561815261841,1395,993.0,0.04110080748796463,1763260061.1789515,0.14212150871753693,0.0007868912070989609,,0.0030216891318559647,,0.0002744239754974842,50.16293954849243,-0.0056345462799072266,0.0
42880,0.004796678200364113,1399,993.0,0.06541337817907333,1763260061.2990818,0.2098335474729538,0.010527953505516052,,-0.018783196806907654,,0.0002743471704889089,50.28306984901428,-0.0024892091751098633,0.01953125
44260,,1432,,,1763260062.6207387,,,109.0,,109.0,,51.604726791381836,,
44288,0.0033683469519019127,1433,994.0,0.06433264911174774,1763260062.7004483,0.08612507581710815,0.012152898125350475,,-0.005522564984858036,,0.00027350231539458036,51.684436321258545,0.010498464107513428,0.025390625
45184,0.014932055957615376,1455,994.0,52.87339782714844,1763260063.5756986,0.21455559134483337,0.034208424389362335,,0.006890907883644104,,0.0002729646803345531,52.5596866607666,-0.012725830078125,0.078125
45211,,1456,,,1763260063.5869563,,,82.0,,82.0,,52.57094430923462,,
45245,,1457,,,1763260063.6015856,,,34.0,,34.0,,52.58557367324829,,
47232,0.017750512808561325,1514,995.0,0.05985715612769127,1763260065.5902197,0.16808493435382843,-0.021059725433588028,,-0.046892013400793076,,0.000271735800197348,54.57420778274536,-0.0078355073928833,0.080078125
47488,1.134537160396576e-05,1521,996.0,0.1154317855834961,1763260065.8279667,0.13531902432441711,0.0015352293848991394,,-0.0010558366775512695,,0.00027158219018019736,54.811954736709595,-0.0012067556381225586,0.0
47734,,1527,,,1763260066.0404892,,,32.0,,32.0,,55.02447724342346,,
47763,,1529,,,1763260066.1357286,,,29.0,,29.0,,55.11971664428711,,
47931,,1534,,,1763260066.2694647,,,51.0,,51.0,,55.25345277786255,,
48000,0.011962131597101688,1536,995.0,51.95405578613281,1763260066.362283,0.14279867708683014,0.03212052956223488,,0.004900053143501282,,0.0002712749701458961,55.34627103805542,-0.0008771419525146484,0.02734375
48245,,1543,,,1763260066.5262725,,,39.0,,39.0,,55.510260581970215,,
48303,,1545,,,1763260066.6183672,,,58.0,,58.0,,55.60235524177551,,
48354,,1546,,,1763260066.6369307,,,51.0,,51.0,,55.62091875076294,,
48720,,1558,,,1763260066.9897668,,,58.0,,58.0,,55.9737548828125,,
48758,,1559,,,1763260067.0032446,,,38.0,,38.0,,55.98723268508911,,
48896,0.01223224587738514,1563,995.0,51.73014831542969,1763260067.2605228,0.16409048438072205,0.05078522488474846,,0.006352679803967476,,0.00027073733508586884,56.244510889053345,-0.0005810260772705078,0.041015625
49007,,1566,,,1763260067.3034375,,,51.0,,51.0,,56.28742551803589,,
49845,,1589,,,1763260068.1620946,,,31.0,,31.0,,57.146082639694214,,
50101,,1597,,,1763260068.4126122,,,45.0,,45.0,,57.39660024642944,,
50432,0.016531523317098618,1607,996.0,50.4824333190918,1763260068.7446244,0.2710532248020172,0.0021730707958340645,,0.0565093457698822,,0.000269815674982965,57.728612422943115,-0.0003268718719482422,0.05078125
50496,,1609,,,1763260068.7713873,,,44.0,,44.0,,57.755375385284424,,
50548,,1610,,,1763260068.789087,,,52.0,,52.0,,57.773075103759766,,
51732,,1638,,,1763260069.9684224,,,103.0,,103.0,,58.95241045951843,,
55552,0.039767082780599594,1687,1008.0,0.04571445658802986,1763260073.2535107,0.3518826961517334,0.04809456318616867,,-0.05024635046720505,,0.0002667434746399522,62.23749876022339,0.9070305228233337,0.1953125
60160,0.004012799821794033,1732,1016.0,0.019634513184428215,1763260077.343213,0.25515949726104736,0.015253889374434948,,-0.0013385675847530365,,0.00026397849433124065,66.32720112800598,-0.0001227855682373047,0.03125
61564,,1745,,,1763260078.5279458,,,500.0,,500.0,,67.51193380355835,,
62336,0.0005533192306756973,1753,1019.0,0.00837706495076418,1763260079.3053157,0.2102351039648056,0.0061037857085466385,,-0.0016434863209724426,,0.0002626728091854602,68.28930377960205,0.9537039399147034,0.0
62464,0.00996240135282278,1754,1019.0,0.01189210545271635,1763260079.4152179,0.21604208648204803,-9.93087887763977e-05,,0.019015006721019745,,0.0002625960041768849,68.39920592308044,0.8819862604141235,0.03125
63872,0.000766310840845108,1768,1021.0,0.004063610918819904,1763260080.676606,0.2745569050312042,0.006811702623963356,,-0.009933099150657654,,0.00026175114908255637,69.66059398651123,0.8876116871833801,0.0
64768,0.007384761236608028,1777,1022.0,0.008010025136172771,1763260081.4942985,0.28859132528305054,-0.011005941778421402,,-0.002505086362361908,,0.0002612135140225291,70.47828650474548,0.9646986126899719,0.041015625
68992,0.006491329520940781,1818,1026.0,0.004129385109990835,1763260085.3537128,0.26177725195884705,0.008245311677455902,,-0.005571749061346054,,0.00025867894873954356,74.33770084381104,0.8626879453659058,0.087890625
