losses/entropy,global_step,losses/clipfrac,charts/learning_rate,_runtime,losses/value_loss,_step,_timestamp,losses/old_approx_kl,losses/explained_variance,charts/episodic_length,losses/approx_kl,charts/episodic_return,losses/policy_loss,charts/SPS
0.14096321165561676,32384,0.0,0.0002806451520882547,35.31140685081482,37.83676528930664,974,1763260045.9875298,0.0008942168205976486,-0.011835217475891113,,9.274110198020935e-06,,0.00011377967894077301,1004.0
,32559,,,35.45326566696167,,980,1763260046.1293886,,,41.0,,41.0,,
,32753,,,35.59359288215637,,985,1763260046.2697158,,,36.0,,36.0,,
,33107,,,35.934375047683716,,995,1763260046.610498,,,36.0,,36.0,,
,33710,,,36.56314444541931,,1015,1763260047.2392673,,,45.0,,45.0,,
0.21311965584754944,34176,0.013671875,0.0002795698819682002,37.0195631980896,0.16825556755065918,1031,1763260047.695686,-0.027590792626142502,-0.00789952278137207,,0.005333340726792812,,0.0002710858825594187,1006.0
,34695,,,37.55335450172424,,1050,1763260048.2294774,,,33.0,,33.0,,
,34789,,,37.591023683547974,,1053,1763260048.2671466,,,32.0,,32.0,,
,34889,,,37.703208208084106,,1058,1763260048.379331,,,23.0,,23.0,,
,35478,,,38.34175419807434,,1083,1763260049.017877,,,23.0,,23.0,,
,35693,,,38.496403217315674,,1091,1763260049.1725261,,,32.0,,32.0,,
0.2665283679962158,36096,0.0,0.0002784178068395704,38.93048596382141,33.40070724487305,1106,1763260049.6066089,0.00013361312448978424,-0.00462794303894043,,0.0006711799651384354,,0.0010694526135921478,1006.0
,36391,,,39.188546895980835,,1118,1763260049.8646698,,,28.0,,28.0,,
,36798,,,39.615734338760376,,1133,1763260050.2918572,,,29.0,,29.0,,
,37138,,,39.95662808418274,,1145,1763260050.632751,,,34.0,,34.0,,
,37619,,,40.42877960205078,,1164,1763260051.1049025,,,32.0,,32.0,,
,37813,,,40.74351358413696,,1172,1763260051.4196365,,,25.0,,25.0,,
0.36640313267707825,38016,0.015625,0.0002772657317109406,40.96682786941528,30.26849365234375,1181,1763260051.6429508,0.06414993107318878,-0.0017691850662231445,,0.008608296513557434,,-0.008289724588394165,1003.0
,38139,,,41.01914572715759,,1186,1763260051.6952686,,,25.0,,25.0,,
,38376,,,41.260478496551514,,1197,1763260051.9366014,,,21.0,,21.0,,
,38755,,,41.66934013366699,,1213,1763260052.345463,,,25.0,,25.0,,
,38787,,,41.781166315078735,,1215,1763260052.4572892,,,32.0,,32.0,,
,39044,,,42.03720045089722,,1226,1763260052.7133234,,,34.0,,34.0,,
,39159,,,42.08634424209595,,1230,1763260052.7624671,,,33.0,,33.0,,
,39254,,,42.198469161987305,,1234,1763260052.874592,,,35.0,,35.0,,
,39532,,,42.45620107650757,,1245,1763260053.132324,,,28.0,,28.0,,
,39787,,,42.700958490371704,,1254,1763260053.3770814,,,38.0,,38.0,,
0.23302508890628815,40192,0.064453125,0.0002759600756689906,43.2105495929718,52.11338806152344,1271,1763260053.8866725,0.02038523554801941,0.02163773775100708,,0.016160843893885612,,-0.021947287023067474,1001.0
,41087,,,44.06311845779419,,1299,1763260054.7392414,,,68.0,,68.0,,
