_runtime,losses/approx_kl,charts/learning_rate,_timestamp,charts/SPS,losses/clipfrac,charts/episodic_length,losses/policy_loss,_step,losses/value_loss,global_step,losses/old_approx_kl,losses/explained_variance,charts/episodic_return,losses/entropy
2.655754327774048,,,1763260013.6719754,,,,,0,,0,,,,
3.574127435684204,3.316998481750488e-05,0.0003000000142492354,1763260014.5903485,958.0,0.0,,-0.005480803549289703,7,0.4234888255596161,128,0.00022312812507152557,0.42949801683425903,,0.6931061148643494
4.105291366577148,,,1763260015.1215124,,,46.0,,33,,688,,,46.0,
4.250750541687012,,,1763260015.2669716,,,20.0,,41,,878,,,20.0,
4.378576040267944,,,1763260015.394797,,,36.0,,47,,1021,,,36.0,
4.958785533905029,0.004244569689035416,0.00029915515915490687,1763260015.9750066,1011.0,0.001953125,,-0.07184230536222458,64,0.294931560754776,1536,0.026194602251052856,0.01834505796432495,,0.5881205797195435
5.201568841934204,0.0011935308575630188,0.00029900154913775623,1763260016.21779,1017.0,0.0,,-0.0038656853139400482,74,0.5783681869506836,1792,0.004188712686300278,-0.002913355827331543,,0.56056147813797
5.316925048828125,0.004012689925730228,0.0002989247441291809,1763260016.333146,1023.0,0.001953125,,-0.07310639321804047,77,0.2866661846637726,1920,0.026628075167536736,0.03698545694351196,,0.5519909262657166
5.578509092330933,,,1763260016.5947301,,,41.0,,88,,2221,,,41.0,
5.837124347686768,,,1763260016.8533454,,,27.0,,102,,2505,,,27.0,
6.476922512054443,,,1763260017.4931436,,,21.0,,133,,3114,,,21.0,
6.718948602676392,,,1763260017.7351696,,,15.0,,147,,3338,,,15.0,
6.739889144897461,,,1763260017.7561102,,,27.0,,149,,3385,,,27.0,
6.747470378875732,,,1763260017.7636914,,,19.0,,150,,3404,,,19.0,
6.867378234863281,,,1763260017.8835993,,,23.0,,155,,3489,,,23.0,
6.886608839035034,,,1763260017.90283,,,19.0,,157,,3534,,,19.0,
7.665767669677734,,,1763260018.6819887,,,18.0,,195,,4280,,,18.0,
7.88342547416687,0.004079527221620083,0.0002973886439576745,1763260018.8996465,1008.0,0.005859375,,-0.004773419350385666,203,1.6196515560150146,4480,0.007589676417410374,0.41454994678497314,,0.3943604826927185
8.161317348480225,,,1763260019.1775384,,,65.0,,213,,4758,,,65.0,
8.272325277328491,0.004205035045742989,0.00029715822893194854,1763260019.2885463,1006.0,0.001953125,,-0.003306165337562561,217,1.6870783567428589,4864,0.006703102961182594,0.47927922010421753,,0.4345296621322632
8.557935953140259,,,1763260019.574157,,,75.0,,228,,5236,,,75.0,
8.765980005264282,,,1763260019.782201,,,65.0,,233,,5411,,,65.0,
9.403300762176514,,,1763260020.4195218,,,42.0,,251,,6117,,,42.0,
9.742069959640503,,,1763260020.758291,,,63.0,,259,,6462,,,63.0,
9.975318908691406,,,1763260020.99154,,,51.0,,265,,6721,,,51.0,
