losses/old_approx_kl,losses/explained_variance,losses/policy_loss,losses/value_loss,charts/episodic_return,charts/SPS,charts/episodic_length,losses/entropy,_step,global_step,losses/approx_kl,losses/clipfrac,charts/learning_rate,_runtime,_timestamp
,,,,57.0,,57.0,,265,6304,,,,10.020546197891235,1763260021.0502722
,,,,92.0,,92.0,,273,6683,,,,10.36305546760559,1763260021.3927815
,,,,61.0,,61.0,,274,6744,,,,10.386987924575806,1763260021.416714
,,,,44.0,,44.0,,292,7480,,,,11.147512912750244,1763260022.177239
-0.0022998852655291557,0.860909104347229,-0.0009903647005558014,2.0907039642333984,,1033.0,,0.251659631729126,327,8832,4.710722714662552e-05,0.0,0.0002947772736661136,12.430935382843018,1763260023.4606614
,,,,34.0,,34.0,,330,8902,,,,12.462148189544678,1763260023.4918742
0.0027852412313222885,0.8213345408439636,-2.3993663489818573e-05,1.179653286933899,,1034.0,,0.3608218729496002,332,8960,0.0001835022121667862,0.0,0.0002947004686575383,12.551791906356812,1763260023.581518
-0.006838525645434856,0.9282242655754089,-0.001914418302476406,0.809459388256073,,1032.0,,0.34935635328292847,340,9216,0.00022231880575418472,0.0,0.00029454685864038765,12.812950611114502,1763260023.8426766
0.005681862123310566,0.9910131692886353,0.0013030320405960083,0.13164788484573364,,1012.0,,0.235794335603714,370,10368,0.00031333696097135544,0.0,0.00029385561356320977,14.132277965545654,1763260025.162004
,,,,69.0,,69.0,,396,11395,,,,15.10802936553955,1763260026.1377554
,,,,137.0,,137.0,,425,12508,,,,16.192610263824463,1763260027.2223363
0.0011241482570767403,0.9815933704376221,-0.004422862082719803,0.36318787932395935,,1016.0,,0.2643853425979614,441,13056,4.4354237616062164e-05,0.0,0.00029224270838312805,16.738242626190186,1763260027.7679687
,,,,87.0,,87.0,,450,13380,,,,17.001893281936646,1763260028.0316193
,,,,92.0,,92.0,,471,14266,,,,17.8490788936615,1763260028.878805
0.008154532872140408,0.9783440232276917,-0.0064496807754039764,0.46958082914352417,,1018.0,,0.23391498625278473,481,14592,0.00047635938972234726,0.0,0.0002913210482802242,18.220460653305054,1763260029.2501867
0.0026215342804789543,0.9749599099159241,-0.0017652884125709534,0.3466631770133972,,1020.0,,0.24994638562202454,490,14976,2.79182568192482e-05,0.0,0.00029109063325449824,18.56542420387268,1763260029.5951502
,,,,53.0,,53.0,,504,15592,,,,19.07080388069153,1763260030.10053
,,,,88.0,,88.0,,515,16121,,,,19.586747646331787,1763260030.6164737
0.00103045254945755,0.8912469148635864,0.00018832366913557053,1.2423471212387085,,1025.0,,0.18660682439804077,530,16768,7.940642535686493e-05,0.0,0.00029001536313444376,20.231136322021484,1763260031.2608624
,,,,59.0,,59.0,,539,17057,,,,20.523059368133545,1763260031.5527854
,,,,64.0,,64.0,,555,17641,,,,21.017616748809814,1763260032.0473428
,,,,31.0,,31.0,,559,17739,,,,21.12680149078369,1763260032.1565275
,,,,67.0,,67.0,,568,18115,,,,21.51187491416931,1763260032.541601
,,,,40.0,,40.0,,595,19081,,,,22.466763019561768,1763260033.496489
,,,,62.0,,62.0,,614,19812,,,,23.094465732574463,1763260034.1241918
0.0025826524943113327,0.93414705991745,0.0017415042966604233,0.10983868688344955,,1029.0,,0.2221299707889557,630,20480,0.0006705876439809799,0.0,0.00028778801788575947,23.78686499595642,1763260034.816591
0.005248742178082466,0.995211660861969,-0.003238891251385212,1.0358657836914062,,1030.0,,0.23139512538909912,636,20736,0.0007740035653114319,0.001953125,0.00028763440786860883,24.01660180091858,1763260035.0463278
,,,,39.0,,39.0,,640,20911,,,,24.155844926834106,1763260035.185571
,,,,38.0,,38.0,,664,22024,,,,25.682122945785522,1763260036.711849
0.00016902294009923935,0.9316262006759644,0.0034412145614624023,0.2786228656768799,,1000.0,,0.19520747661590576,684,22912,5.286466330289841e-05,0.0,0.0002863287227228284,26.777580499649048,1763260037.8073065
,,,,41.0,,41.0,,689,23042,,,,26.930935382843018,1763260037.9606614
0.0037891948595643044,0.9468043446540833,0.0008098799735307693,0.20405054092407227,,1000.0,,0.2361847311258316,698,23424,0.00011183973401784897,0.0,0.0002860215026885271,27.293544054031372,1763260038.32327
0.01595492474734783,0.9976016283035278,-0.008904695510864258,0.33562421798706055,,999.0,,0.25541433691978455,707,23808,0.00207546167075634,0.009765625,0.00028579108766280115,27.709161043167114,1763260038.738887
-0.0013536326587200165,0.0007140040397644043,-0.0010740384459495544,0.1655672788619995,,1001.0,,0.2367582768201828,729,24704,5.8162957429885864e-05,0.0,0.0002852534526027739,28.56401824951172,1763260039.5937443
,,,,31.0,,31.0,,767,26124,,,,29.97860097885132,1763260041.008327
,,,,40.0,,40.0,,775,26395,,,,30.219000339508057,1763260041.2487264
-0.0036589205265045166,-0.012931227684020996,-0.04081635922193527,0.14681605994701385,,1003.0,,0.32482045888900757,788,26880,0.0033106226474046707,0.009765625,0.00028394776745699346,30.674835681915283,1763260041.7045617
,,,,54.0,,54.0,,797,27256,,,,31.015239715576172,1763260042.0449657
,,,,68.0,,68.0,,806,27564,,,,31.338469982147217,1763260042.368196
,,,,33.0,,33.0,,863,29852,,,,33.55033493041992,1763260044.580061
-0.0017848256975412369,0.9978981018066406,0.0027608349919319153,0.23219799995422363,,1006.0,,0.15216752886772156,872,30208,8.75275582075119e-05,0.0,0.00028195083723403513,33.88656783103943,1763260044.9162939
,,,,65.0,,65.0,,876,30383,,,,34.021170139312744,1763260045.0508962
0.007523247040808201,-0.0036919116973876953,-0.0056035639718174934,0.08396264165639877,,1011.0,,0.1817285269498825,922,32640,0.0002103140577673912,0.0,0.00028049154207110405,36.15521740913391,1763260047.1849434
0.011438040062785149,-0.001776576042175293,0.0011373944580554962,35.05708312988281,,1011.0,,0.15871810913085938,930,33024,0.004110628738999367,0.013671875,0.0002802611270453781,36.534162521362305,1763260047.5638885
,,,,70.0,,70.0,,938,33491,,,,36.90542221069336,1763260047.9351482
,,,,84.0,,84.0,,941,33657,,,,37.03378701210022,1763260048.063513
-2.8790906071662903e-05,-0.001553177833557129,-0.027033980935811996,0.09836919605731964,,1013.0,,0.17357578873634338,942,33664,0.004201415926218033,0.01171875,0.0002798771020025015,37.10583233833313,1763260048.1355584
,,,,102.0,,102.0,,948,34062,,,,37.4845974445343,1763260048.5143235
,,,,74.0,,74.0,,974,35569,,,,38.799140214920044,1763260049.8288662
,,,,77.0,,77.0,,980,35917,,,,39.13112735748291,1763260050.1608534
,,,,94.0,,94.0,,985,36170,,,,39.39595174789429,1763260050.4256778
,,,,77.0,,77.0,,1015,37790,,,,40.95219945907593,1763260051.9819255
0.07768528163433075,0.08769810199737549,-0.06522145122289658,0.060659632086753845,,1020.0,,0.19775784015655518,1031,38784,0.05084756761789322,0.052734375,0.0002768049016594887,41.88013052940369,1763260052.9098566
0.013040866702795029,0.5032442212104797,0.008230794221162796,30.747314453125,,1025.0,,0.25924593210220337,1050,40192,0.0391601137816906,0.07421875,0.0002759600756689906,43.09329557418823,1763260054.1230216
-0.019509341567754745,0.9993659257888794,-0.033724814653396606,0.17643842101097107,,1025.0,,0.19794635474681854,1053,40448,0.004720242694020271,0.046875,0.00027580646565183997,43.31497812271118,1763260054.3447042
,,,,119.0,,119.0,,1058,40831,,,,43.5540087223053,1763260054.5837348
,,,,87.0,,87.0,,1083,42310,,,,45.00338792800903,1763260056.033114
0.05567250773310661,0.6540389060974121,-0.04635832458734512,0.018913762643933296,,1028.0,,0.4698065221309662,1091,42752,0.009559474885463715,0.03515625,0.0002744239754974842,45.45056223869324,1763260056.4802883
,,,,58.0,,58.0,,1106,43442,,,,46.15333294868469,1763260057.183059
,,,,32.0,,32.0,,1118,43899,,,,46.5640344619751,1763260057.5937605
-0.0047013964504003525,-0.0018340349197387695,-0.03438462316989899,0.12102367728948593,,1025.0,,0.32875463366508484,1133,44288,0.004479300230741501,0.021484375,0.00027350231539458036,47.07677412033081,1763260058.1065001
-0.014773186296224594,-0.0007947683334350586,0.012136803939938545,110.65895080566406,,1024.0,,0.3878931403160095,1145,44544,0.010673074051737785,0.04296875,0.0002733487053774297,47.34688997268677,1763260058.376616
,,,,21.0,,21.0,,1164,44917,,,,47.6754150390625,1763260058.705141
,,,,18.0,,18.0,,1172,45047,,,,47.829402446746826,1763260058.8591285
0.020910579711198807,-0.000773310661315918,0.0026080161333084106,107.16120910644531,,1021.0,,0.4257890582084656,1181,45184,0.006853084079921246,0.013671875,0.0002729646803345531,48.120524406433105,1763260059.1502504
,,,,19.0,,19.0,,1186,45261,,,,48.16383624076843,1763260059.1935623
,,,,15.0,,15.0,,1197,45421,,,,48.31650471687317,1763260059.3462307
,,,,11.0,,11.0,,1213,45648,,,,48.567007303237915,1763260059.5967333
,,,,13.0,,13.0,,1215,45676,,,,48.57979607582092,1763260059.609522
,,,,12.0,,12.0,,1226,45817,,,,48.74612784385681,1763260059.7758539
,,,,13.0,,13.0,,1230,45854,,,,48.8404004573822,1763260059.8701265
,,,,17.0,,17.0,,1234,45907,,,,48.866562366485596,1763260059.8962884
,,,,12.0,,12.0,,1245,46051,,,,49.00773215293884,1763260060.0374582
,,,,12.0,,12.0,,1271,46349,,,,49.49832224845886,1763260060.5280483
,,,,15.0,,15.0,,1299,46688,,,,49.82802891731262,1763260060.857755
,,,,12.0,,12.0,,1339,47166,,,,50.50861620903015,1763260061.5383422
,,,,13.0,,13.0,,1340,47179,,,,50.51522660255432,1763260061.5449526
,,,,16.0,,16.0,,1363,47477,,,,50.85959076881409,1763260061.8893168
,,,,12.0,,12.0,,1365,47489,,,,50.93623065948486,1763260061.9659567
,,,,16.0,,16.0,,1370,47564,,,,50.97045588493347,1763260062.000182
,,,,15.0,,15.0,,1380,47695,,,,51.10655665397644,1763260062.1362827
,,,,17.0,,17.0,,1381,47712,,,,51.113929748535156,1763260062.1436558
,,,,16.0,,16.0,,1388,47808,,,,51.22737002372742,1763260062.257096
,,,,14.0,,14.0,,1395,47885,,,,51.35433053970337,1763260062.3840566
,,,,12.0,,12.0,,1399,47938,,,,51.37988257408142,1763260062.4096086
