_step,_runtime,global_step,_timestamp,charts/episodic_length,charts/episodic_return,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss
0,4.4156763553619385,0,1763260015.4451385,,,,,,,,,,,
7,5.327979326248169,108,1763260016.3574414,13.0,13.0,,,,,,,,,
33,6.018992900848389,768,1763260017.048455,,,0.0011456254869699478,0.44646155834198,-0.0029957126826047897,0.0,-0.022118285298347473,0.6851373910903931,0.0002996159892063588,1035.0,0.36121630668640137
41,6.150933265686035,909,1763260017.1803954,16.0,16.0,,,,,,,,,
47,6.279116153717041,1037,1763260017.3085783,22.0,22.0,,,,,,,,,
64,6.566792964935303,1371,1763260017.596255,32.0,32.0,,,,,,,,,
74,6.739402770996094,1521,1763260017.7688649,19.0,19.0,,,,,,,,,
77,6.824542999267578,1553,1763260017.854005,21.0,21.0,,,,,,,,,
88,6.9827141761779785,1745,1763260018.0121763,13.0,13.0,,,,,,,,,
102,7.21964430809021,1947,1763260018.2491064,15.0,15.0,,,,,,,,,
104,7.2289886474609375,1965,1763260018.2584507,9.0,9.0,,,,,,,,,
133,7.616020441055298,2315,1763260018.6454825,19.0,19.0,,,,,,,,,
147,7.804444789886475,2467,1763260018.833907,9.0,9.0,,,,,,,,,
149,7.8194169998168945,2497,1763260018.848879,18.0,18.0,,,,,,,,,
150,7.825786113739014,2510,1763260018.8552482,13.0,13.0,,,,,,,,,
155,7.919225692749023,2560,1763260018.9486878,,,9.930320084095001e-05,0.03475797176361084,0.0015806518495082855,0.0,-0.000964820384979248,0.5003656148910522,0.0002985407190863043,968.0,1.072816252708435
157,7.932332754135132,2583,1763260018.9617949,14.0,14.0,,,,,,,,,
195,8.364571571350098,3007,1763260019.3940337,12.0,12.0,,,,,,,,,
203,8.472981929779053,3081,1763260019.502444,11.0,11.0,,,,,,,,,
213,8.527204990386963,3184,1763260019.556667,9.0,9.0,,,,,,,,,
217,8.614373207092285,3217,1763260019.6438353,8.0,8.0,,,,,,,,,
228,8.755083799362183,3341,1763260019.784546,13.0,13.0,,,,,,,,,
233,8.787371397018433,3402,1763260019.8168335,10.0,10.0,,,,,,,,,
251,9.070982217788696,3588,1763260020.1004443,12.0,12.0,,,,,,,,,
259,9.121138334274292,3687,1763260020.1506004,10.0,10.0,,,,,,,,,
265,9.227169275283813,3763,1763260020.2566314,18.0,18.0,,,,,,,,,
273,9.350680589675903,3879,1763260020.3801427,16.0,16.0,,,,,,,,,
274,9.362598896026611,3907,1763260020.392061,28.0,28.0,,,,,,,,,
292,9.724819898605347,4257,1763260020.754282,30.0,30.0,,,,,,,,,
327,10.9184889793396,5473,1763260021.947951,33.0,33.0,,,,,,,,,
330,11.020079851150513,5558,1763260022.049542,33.0,33.0,,,,,,,,,
332,11.135215759277344,5632,1763260022.1646779,,,0.0024928199127316475,-0.060132384300231934,-0.010533261112868786,0.0,-0.04456561058759689,0.5095587372779846,0.0002966973988804966,961.0,0.24966689944267273
337,11.289129495620728,5842,1763260022.3185916,58.0,58.0,,,,,,,,,
340,11.384891510009766,5909,1763260022.4143536,32.0,32.0,,,,,,,,,
370,12.104209423065186,6656,1763260023.1336715,,,0.0006530974060297012,-0.0376511812210083,-0.0018448717892169952,0.0,-0.004300612956285477,0.45017120242118835,0.00029608295881189406,974.0,10.636398315429688
396,12.658461332321167,7237,1763260023.6879234,30.0,30.0,,,,,,,,,
425,13.322408437728882,7908,1763260024.3518705,32.0,32.0,,,,,,,,,
441,13.684170246124268,8279,1763260024.7136323,41.0,41.0,,,,,,,,,
450,13.928367853164673,8543,1763260024.95783,21.0,21.0,,,,,,,,,
