losses/old_approx_kl,charts/episodic_length,_step,charts/learning_rate,charts/episodic_return,_timestamp,losses/entropy,losses/explained_variance,losses/policy_loss,_runtime,global_step,losses/approx_kl,losses/value_loss,charts/SPS,losses/clipfrac
,99.0,689,,99.0,1763260032.1903703,,,,21.24983024597168,17776,,,,
,46.0,698,,46.0,1763260032.542581,,,,21.602041006088257,18161,,,,
,31.0,707,,31.0,1763260032.9084947,,,,21.967954635620117,18456,,,,
,65.0,729,,65.0,1763260033.6292043,,,,22.688664197921753,19230,,,,
,37.0,767,,37.0,1763260034.8957908,,,,23.95525074005127,20564,,,,
,47.0,775,,47.0,1763260035.2356257,,,,24.295085668563843,20844,,,,
,35.0,788,,35.0,1763260035.602557,,,,24.66201686859131,21240,,,,
-0.0019093388691544533,,797,0.0002871735778171569,,1763260035.9128253,0.30136871337890625,0.979242742061615,0.004950740374624729,24.972285270690918,21504,0.0021671978756785393,0.7906979918479919,969.0,0.0
,33.0,806,,33.0,1763260036.1385224,,,,25.19798231124878,21745,,,,
,40.0,863,,40.0,1763260037.980687,,,,27.040146827697754,23566,,,,
,53.0,872,,53.0,1763260038.2939875,,,,27.353447437286377,23878,,,,
,34.0,876,,34.0,1763260038.4235876,,,,27.483047485351562,23968,,,,
,38.0,922,,38.0,1763260039.7148762,,,,28.774336099624634,25272,,,,
0.005453127436339855,,930,0.000284792622551322,,1763260039.935055,0.23015235364437103,0.9869873523712158,-0.007418004795908928,28.99451494216919,25472,0.0005450034514069557,2.593845844268799,972.0,0.0
,29.0,938,,29.0,1763260040.0877292,,,,29.147189140319824,25665,,,,
,32.0,941,,32.0,1763260040.1947987,,,,29.254258632659912,25760,,,,
,45.0,942,,45.0,1763260040.210714,,,,29.270174026489258,25805,,,,
,26.0,948,,26.0,1763260040.341891,,,,29.40135097503662,25954,,,,
,35.0,974,,35.0,1763260041.1129475,,,,30.172407388687134,26628,,,,
,51.0,980,,51.0,1763260041.2590048,,,,30.318464756011963,26823,,,,
,42.0,985,,42.0,1763260041.3872967,,,,30.446756601333618,26978,,,,
,26.0,1015,,26.0,1763260042.3135312,,,,31.37299108505249,27780,,,,
,37.0,1031,,37.0,1763260042.7445805,,,,31.80404043197632,28201,,,,
,36.0,1050,,36.0,1763260043.2674994,,,,32.32695937156677,28772,,,,
,30.0,1053,,30.0,1763260043.3711874,,,,32.43064737319946,28861,,,,
0.003498777747154236,,1058,0.000282642082311213,,1763260043.5783877,0.36946702003479004,0.995846688747406,-0.014550739899277687,32.637847661972046,29056,0.00488163810223341,0.703302264213562,973.0,0.0078125
,43.0,1083,,43.0,1763260044.4751298,,,,33.534589767456055,30027,,,,
,94.0,1091,,94.0,1763260044.7626598,,,,33.82211971282959,30305,,,,
,51.0,1106,,51.0,1763260045.315504,,,,34.374963998794556,30867,,,,
