losses/entropy,losses/value_loss,losses/clipfrac,losses/policy_loss,charts/episodic_return,losses/approx_kl,charts/SPS,charts/learning_rate,losses/explained_variance,_timestamp,charts/episodic_length,global_step,_runtime,losses/old_approx_kl,_step
,,,,,,,,,1763260030.665563,,0,2.3749840259552,,0
,,,,13.0,,,,,1763260031.7211993,13.0,124,3.4306201934814453,,7
0.6790563464164734,7.023140907287598,0.0,-0.02803933620452881,,0.0017295386642217636,963.0,0.0002996927942149341,-0.17708146572113037,1763260032.3286994,,640,4.038120269775391,-9.437091648578644e-05,33
,,,,19.0,,,,,1763260032.4831638,19.0,843,4.192584753036499,,41
,,,,27.0,,,,,1763260032.5900877,27.0,925,4.299508571624756,,47
,,,,27.0,,,,,1763260032.967745,27.0,1288,4.677165985107422,,64
,,,,11.0,,,,,1763260033.299327,11.0,1592,5.008747816085815,,74
0.6655234098434448,6.357377052307129,0.0,-0.001216590404510498,,8.39410349726677e-05,958.0,0.00029907835414633155,-0.15190112590789795,1763260033.4011185,,1664,5.110539436340332,0.00025218259543180466,77
0.6595228910446167,8.011946678161621,0.0,0.00016102194786071777,,9.239837527275085e-05,970.0,0.0002989247441291809,-0.08030760288238525,1763260033.6437044,,1920,5.353125333786011,-0.0031393244862556458,88
,,,,13.0,,,,,1763260033.9158826,13.0,2218,5.625303506851196,,102
0.6014000773429871,6.678147792816162,0.0,-0.008101113140583038,,0.0007864357903599739,980.0,0.00029869432910345495,0.21721911430358887,1763260034.0138974,,2304,5.723318338394165,0.0014764191582798958,104
,,,,62.0,,,,,1763260034.9108183,62.0,3298,6.6202392578125,,133
,,,,23.0,,,,,1763260035.2879388,23.0,3653,6.997359752655029,,147
0.6327887773513794,6.86274528503418,0.0,-0.0005178451538085938,,0.00037681031972169876,998.0,0.0002978494740091264,0.06227564811706543,1763260035.3822665,,3712,7.091687440872192,0.004498477093875408,149
,,,,29.0,,,,,1763260035.3894308,29.0,3727,7.098851680755615,,150
0.6202435493469238,7.579896926879883,0.0,0.007542457431554794,,0.00020944513380527496,1005.0,0.0002976958639919758,0.3555123805999756,1763260035.6125991,,3968,7.322020053863525,-0.006688186898827553,155
,,,,16.0,,,,,1763260035.6253688,16.0,3992,7.334789752960205,,157
,,,,41.0,,,,,1763260036.2419834,41.0,4637,7.951404333114624,,172
,,,,199.0,,,,,1763260037.445824,199.0,5955,9.155244827270508,,195
,,,,250.0,,,,,1763260038.0058796,250.0,6542,9.715300559997559,,203
,,,,165.0,,,,,1763260038.618515,165.0,7253,10.327935934066772,,213
,,,,112.0,,,,,1763260038.8441546,112.0,7500,10.55357551574707,,217
