losses/old_approx_kl,losses/value_loss,charts/episodic_return,losses/policy_loss,losses/entropy,losses/approx_kl,charts/SPS,losses/clipfrac,charts/episodic_length,_runtime,_timestamp,charts/learning_rate,losses/explained_variance,_step,global_step
,,,,,,,,,2.614006519317627,1763260030.5098834,,,0,0
,,81.0,,,,,,81.0,3.771052360534668,1763260031.6669292,,,7,172
,,29.0,,,,,,29.0,4.364169597625732,1763260032.2600465,,,33,661
,,25.0,,,,,,25.0,4.515547513961792,1763260032.4114244,,,41,844
,,22.0,,,,,,22.0,4.633295059204102,1763260032.529172,,,47,951
,,28.0,,,,,,28.0,5.027055025100708,1763260032.922932,,,64,1318
,,83.0,,,,,,83.0,5.2725279331207275,1763260033.1684048,,,74,1576
,,31.0,,,,,,31.0,5.305561780929565,1763260033.2014387,,,77,1658
,,22.0,,,,,,22.0,5.538817882537842,1763260033.4346948,,,88,1879
,,29.0,,,,,,29.0,5.905944347381592,1763260033.8018212,,,102,2265
,,79.0,,,,,,79.0,6.003929615020752,1763260033.8998065,,,104,2344
0.003245851956307888,9.02916145324707,,0.004442082718014717,0.5402442216873169,0.0010522352531552315,1003.0,0.0,,7.424214601516724,1763260035.3200915,0.0002977726690005511,0.08925682306289673,133,3840
0.002117467112839222,6.714059829711914,,0.00018098019063472748,0.5734063386917114,0.00010837335139513016,1018.0,0.0,,8.250303506851196,1763260036.1461804,0.00029723503394052386,-0.014317989349365234,147,4736
,,86.0,,,,,,86.0,8.293768882751465,1763260036.1896458,,,149,4854
0.001385500654578209,7.540719985961914,,-0.01758662238717079,0.592666506767273,0.0005815345793962479,1020.0,0.0,,8.365807294845581,1763260036.2616842,0.00029715822893194854,0.08506113290786743,150,4864
,,67.0,,,,,,67.0,8.626488447189331,1763260036.5223653,,,155,5210
-0.0018069781363010406,7.787245273590088,,0.011810824275016785,0.5762256383895874,0.004111144691705704,1029.0,0.0,,8.819266319274902,1763260036.7151432,0.00029685100889764726,-0.03127288818359375,157,5376
0.0002303384244441986,6.464088439941406,,0.014456622302532196,0.5495256185531616,0.00027114152908325195,1042.0,0.0,,9.859363555908203,1763260037.7552404,0.0002961597638204694,0.685893177986145,172,6528
0.0022200364619493484,5.3700385093688965,,-0.0031314492225646973,0.521976113319397,0.00038480572402477264,1054.0,0.0,,11.487628936767578,1763260039.3835058,0.0002950844937004149,0.9301756024360657,195,8320
,,82.0,,,,,,82.0,11.885716199874878,1763260039.781593,,,203,8823
0.026985425502061844,5.198517322540283,,-0.0374298095703125,0.5484775304794312,0.006062623113393784,1059.0,0.013671875,,12.542893409729004,1763260040.4387703,0.000294393248623237,0.7611461281776428,213,9472
,,89.0,,,,,,89.0,12.797447919845581,1763260040.6933248,,,217,9726
,,92.0,,,,,,92.0,13.626099586486816,1763260041.5219765,,,228,10362
,,176.0,,,,,,176.0,14.114888668060303,1763260042.0107656,,,233,10680
0.0030773859471082687,4.943513870239258,,-0.009559951722621918,0.5042650699615479,0.00013846345245838165,986.0,0.0,,15.664461851119995,1763260043.5603387,0.00029293395346030593,0.008253693580627441,251,11904
-0.007121548987925053,2.9982988834381104,,0.005604483187198639,0.5403743386268616,0.00033467914909124374,981.0,0.0,,16.24635410308838,1763260044.142231,0.00029262673342600465,0.9380539059638977,259,12416
0.0323013998568058,3.406836748123169,,-0.04496180638670921,0.5396705865859985,0.0040812138468027115,978.0,0.0,,16.68512225151062,1763260044.5809991,0.0002923963184002787,0.9611153602600098,265,12800
0.00127387885004282,9.69847297668457,,0.0008550845086574554,0.5082021355628967,1.581478863954544e-05,981.0,0.0,,17.16909098625183,1763260045.0649679,0.0002920890983659774,0.10565513372421265,273,13312
,,118.0,,,,,,118.0,17.19130253791809,1763260045.0871794,,,274,13377
,,138.0,,,,,,138.0,18.17857575416565,1763260046.0744526,,,292,14461
0.00956129189580679,2.2133398056030273,,-0.009677574038505554,0.5343447923660278,0.00047159288078546524,996.0,0.0,,20.163121938705444,1763260048.0589988,0.0002901689731515944,0.9755417704582214,321,16512
-0.0016444353386759758,1.8049224615097046,,-0.019756807014346123,0.5228798389434814,0.0015453333035111427,999.0,0.0,,20.50706648826599,1763260048.4029434,0.00028993855812586844,0.9922630190849304,327,16896
0.03516266122460365,1.5606396198272705,,-0.020888350903987885,0.5614913105964661,0.0032176077365875244,1000.0,0.015625,,20.743191957473755,1763260048.6390688,0.0002897849481087178,0.9850403666496277,330,17152
0.003243647515773773,3.0920915603637695,,-0.0020271427929401398,0.5575425028800964,0.0002773553133010864,998.0,0.0,,20.90739679336548,1763260048.8032737,0.0002897081431001425,0.9727579355239868,332,17280
0.006407889537513256,3.3499937057495117,,0.00478353351354599,0.5644406080245972,0.00025086943060159683,1000.0,0.0,,21.246699571609497,1763260049.1425765,0.0002894777280744165,-0.048868656158447266,337,17664
,,123.0,,,,,,123.0,21.369574546813965,1763260049.2654514,,,340,17814
-0.0036829253658652306,2.781407117843628,,0.005111344158649445,0.504584789276123,0.00019572395831346512,1007.0,0.0,,23.173211097717285,1763260051.069088,0.0002882488479372114,0.9647676348686218,370,19712
0.005269158631563187,2.892651081085205,,-0.0013113506138324738,0.5516172647476196,0.0038752853870391846,1011.0,0.0,,24.603046655654907,1763260052.4989235,0.00028732718783430755,0.9871570467948914,396,21248
,,129.0,,,,,,129.0,26.32895302772522,1763260054.22483,,,425,23109
0.0029750727117061615,1.333038568496704,,0.0003903452306985855,0.6001825332641602,0.0005357023328542709,1016.0,0.0,,27.395766973495483,1763260055.2916439,0.0002855606726370752,0.9946524500846863,441,24192
0.003234422765672207,2.2182230949401855,,-0.002914026379585266,0.570141077041626,0.00016603898257017136,1019.0,0.0,,27.967098712921143,1763260055.8629756,0.0002851766475941986,0.9965702295303345,450,24832
,,195.0,,,,,,195.0,29.432682514190674,1763260057.3285594,,,471,26405
,,31.0,,,,,,31.0,30.21103048324585,1763260058.1069074,,,481,27265
,,91.0,,,,,,91.0,30.8356876373291,1763260058.7315645,,,490,27980
0.0025298725813627243,46.532047271728516,,-0.006797268986701965,0.5407748818397522,0.00032185018062591553,1026.0,0.0,,31.90802836418152,1763260059.8039052,0.000282642082311213,0.36849725246429443,504,29056
,,252.0,,,,,,252.0,32.754218101501465,1763260060.650095,,,515,30043
0.002297169528901577,1.1905241012573242,,-0.0018378868699073792,0.5490159392356873,1.729186624288559e-05,1032.0,0.0,,33.98443651199341,1763260061.8803134,0.00028125959215685725,0.1049683690071106,530,31360
,,422.0,,,,,,422.0,34.644510984420776,1763260062.5403879,,,539,32116
-0.005685650743544102,0.5375009775161743,,-0.011450335383415222,0.5902163982391357,0.000819268636405468,1034.0,0.0,,35.38830089569092,1763260063.2841778,0.0002803379320539534,0.992646336555481,547,32896
0.0697287917137146,5.1576762199401855,500.0,-0.013199107721447945,0.554651141166687,0.040720805525779724,1035.0,0.232421875,500.0,36.09418249130249,1763260063.9900594,0.0002798771020025015,0.5365801453590393,555,33664
0.0009492998942732811,0.944414496421814,,0.0005996786057949066,0.538168728351593,5.697552114725113e-05,1037.0,0.0,,36.43019723892212,1763260064.3260741,0.0002796466869767755,0.6913244724273682,559,34048
,,162.0,,,,,,162.0,37.141722679138184,1763260065.0375996,,,568,34843
,,465.0,,,,,,465.0,39.46042346954346,1763260067.3563004,,,595,37464
,,322.0,,,,,,322.0,40.89418411254883,1763260068.790061,,,612,38992
0.004289439879357815,0.4014890491962433,,-0.009999893605709076,0.4654710292816162,0.00043400656431913376,1044.0,0.0,,41.09177494049072,1763260068.9876518,0.0002765744866337627,0.9873046278953552,614,39168
0.005608607083559036,13.276128768920898,,0.000515524297952652,0.4882306456565857,5.881302058696747e-05,1046.0,0.0,,42.35749816894531,1763260070.253375,0.00027572966064326465,-0.00040853023529052734,630,40576
0.002013768069446087,0.5671334266662598,,0.002465352416038513,0.4945956766605377,0.00046099256724119186,1048.0,0.0,,42.92180848121643,1763260070.8176854,0.00027534563560038805,0.8701579570770264,636,41216
0.007555954158306122,0.3998244106769562,,-0.0093771293759346,0.4458357095718384,0.0009411722421646118,1047.0,0.0,,43.29637622833252,1763260071.192253,0.0002751152205746621,0.9500249624252319,640,41600
