losses/explained_variance,_timestamp,charts/episodic_return,_step,losses/value_loss,losses/policy_loss,charts/episodic_length,losses/entropy,_runtime,global_step,losses/clipfrac,charts/learning_rate,charts/SPS,losses/approx_kl,losses/old_approx_kl
,1763260030.7154548,,0,,,,,2.839366912841797,0,,,,,
,1763260031.811921,21.0,7,,,21.0,,3.935832977294922,138,,,,,
,1763260032.241618,17.0,33,,,17.0,,4.365530014038086,626,,,,,
0.054817795753479004,1763260032.4426432,,41,7.695372581481934,0.01301576942205429,,0.6753470301628113,4.5665552616119385,768,0.0,0.0002996159892063588,1009.0,0.000687875784933567,-0.010004171170294285
,1763260032.4947531,15.0,47,,,15.0,,4.6186652183532715,886,,,,,
,1763260032.9764569,38.0,64,,,38.0,,5.100368976593018,1320,,,,,
,1763260033.3572834,44.0,74,,,44.0,,5.481195449829102,1686,,,,,
0.15780138969421387,1763260033.4665265,,77,8.197124481201172,-0.0028519295156002045,,0.6334367394447327,5.590438604354858,1792,0.0,0.00029900154913775623,1004.0,0.00046431832015514374,0.0011420417577028275
,1763260033.8319147,34.0,88,,,34.0,,5.955826759338379,2194,,,,,
0.022926807403564453,1763260034.6856136,,102,8.31225872039795,-0.014666292816400528,,0.5512197613716125,6.809525728225708,3072,0.00390625,0.000298233499052003,1022.0,0.0064989663660526276,0.025250498205423355
0.16001784801483154,1763260034.7984416,,104,8.054093360900879,-0.002934396266937256,,0.6150779128074646,6.922353744506836,3200,0.0,0.0002981566940434277,1026.0,0.0007922407239675522,-0.00029724277555942535
0.6381576061248779,1763260036.4339685,,133,7.795722484588623,-0.00683097168803215,,0.6012642979621887,8.557880640029907,4992,0.0,0.0002970814239233732,1050.0,0.0006814608350396156,-0.004519945941865444
0.10748791694641113,1763260037.5758953,,147,7.090415000915527,0.0002924557775259018,,0.5202333927154541,9.699807405471802,6272,0.0,0.00029631337383762,1064.0,0.0002593202516436577,0.002139871008694172
0.8298231363296509,1763260037.6908526,,149,6.263995170593262,-0.0007907934486865997,,0.5908820033073425,9.814764738082886,6400,0.0,0.0002962365688290447,1065.0,0.0014042109251022339,0.00828530639410019
,1763260037.7370937,149.0,150,,,149.0,,9.861005783081055,6527,,,,,
,1763260038.059188,150.0,155,,,150.0,,10.18309998512268,6862,,,,,
0.9568455219268799,1763260038.2722802,,157,6.29469108581543,-0.0033916719257831573,,0.5563275218009949,10.3961923122406,7040,0.0,0.0002958525437861681,1068.0,0.0002746088430285454,0.001430329866707325
,1763260039.445492,253.0,172,,,253.0,,11.569404125213623,8426,,,,,
-0.1458420753479004,1763260041.5021656,,195,5.604063510894775,0.0015915408730506897,,0.5743920803070068,13.626077651977539,10368,0.0,0.00029385561356320977,1055.0,6.148964166641235e-05,4.764646291732788e-06
0.02329772710800171,1763260042.2973976,,203,16.356359481811523,-0.0017798133194446564,,0.5529866814613342,14.42130970954895,11008,0.0,0.00029347158852033317,1037.0,1.823529601097107e-05,0.0009160730987787247
,1763260043.0882258,100.0,213,,,100.0,,15.212137937545776,11712,,,,,
0.11894053220748901,1763260043.4892623,,217,17.13763427734375,0.0005693323910236359,,0.6111043691635132,15.613174438476562,12032,0.0,0.0002928571484517306,1019.0,2.7185305953025818e-05,-0.0005010198801755905
0.03015875816345215,1763260044.320261,,228,12.777509689331055,9.69618558883667e-05,,0.4952033460140228,16.444173097610474,12800,0.0,0.0002923963184002787,1012.0,5.895271897315979e-07,0.0002176659181714058
,1763260044.6075737,44.0,233,,,44.0,,16.731485843658447,13061,,,,,
0.28187501430511475,1763260045.8013496,,251,4.18130350112915,-0.0036063436418771744,,0.5497030019760132,17.925261735916138,14336,0.0,0.00029147465829737484,1015.0,3.743637353181839e-05,-0.001111338846385479
0.49483585357666016,1763260046.3619738,,259,4.046181678771973,0.0031656548380851746,,0.5445457696914673,18.485885858535767,14976,0.0,0.00029109063325449824,1020.0,0.0003772508352994919,-0.0006298571825027466
,1763260046.8763955,500.0,265,,,500.0,,19.00030755996704,15558,,,,,
0.743841290473938,1763260047.5260859,,273,3.4135169982910156,0.02128625102341175,,0.5935284495353699,19.64999794960022,16256,0.0,0.00029032258316874504,1026.0,0.0014885738492012024,0.0013280436396598816
,1763260047.5353694,207.0,274,,,207.0,,19.659281492233276,16275,,,,,
,1763260048.7374234,215.0,292,,,215.0,,20.861335515975952,17539,,,,,
,1763260050.9958434,180.0,321,,,180.0,,23.119755506515503,20074,,,,,
0.5460166931152344,1763260051.520071,,327,2.4917502403259277,0.001026161015033722,,0.5958175659179688,23.643983125686646,20608,0.0,0.00028771121287718415,1038.0,6.75329938530922e-05,0.002299661748111248
,1763260051.6566463,143.0,330,,,143.0,,23.780558347702026,20798,,,,,
0.09364771842956543,1763260051.899655,,332,2.54240083694458,0.0027042049914598465,,0.5835335850715637,24.02356719970703,20992,0.0,0.0002874807978514582,1038.0,4.275701940059662e-05,-0.0015423838049173355
,1763260052.1698377,157.0,337,,,157.0,,24.293749809265137,21370,,,,,
0.6767815351486206,1763260052.3570552,,340,1.7711790800094604,0.0034308601170778275,,0.5560197830200195,24.4809672832489,21504,0.0,0.0002871735778171569,1040.0,0.00025857891887426376,-0.0008977232500910759
0.4885311722755432,1763260054.7212584,,370,3.8927736282348633,-0.014933202415704727,,0.5202112197875977,26.845170497894287,24064,0.0,0.0002856374776456505,1044.0,0.001301795244216919,0.020194366574287415
0.43015825748443604,1763260055.1004984,,375,24.959102630615234,-0.03963406756520271,,0.5079977512359619,27.22441053390503,24448,0.0,0.00028540706261992455,1043.0,0.0016868328675627708,0.012460720725357533
0.8463696837425232,1763260056.8253446,,396,1.480993390083313,-0.03268691152334213,,0.5767038464546204,28.949256658554077,26368,0.0,0.00028425498749129474,1048.0,0.001937040127813816,0.017836395651102066
0.9762841463088989,1763260059.1493723,,425,0.9634541869163513,-0.02490498125553131,,0.5412372350692749,31.273284435272217,28928,0.00390625,0.00028271888731978834,1053.0,0.004547485150396824,-0.009295735508203506
0.9164568781852722,1763260060.3308744,,441,0.8668090105056763,0.0052674561738967896,,0.5438603162765503,32.45478653907776,30208,0.0,0.00028195083723403513,1054.0,0.0001750187948346138,-0.0018231319263577461
0.12075906991958618,1763260060.8931968,,450,0.9006876349449158,0.008522594347596169,,0.5471810102462769,33.01710891723633,30848,0.0,0.00028156681219115853,1056.0,0.00048155616968870163,0.006875473074615002
,1763260062.478661,161.0,471,,,161.0,,34.60257315635681,32587,,,,,
0.9826192259788513,1763260063.1303434,,481,3.5252914428710938,0.005321569740772247,,0.5616692900657654,35.254255533218384,33280,0.0,0.00028010751702822745,1058.0,0.00044138822704553604,-6.748642772436142e-05
,1763260063.803048,196.0,490,,,196.0,,35.92695999145508,33970,,,,,
0.9983817934989929,1763260064.7383614,,504,0.46549952030181885,0.0009136795997619629,,0.6063061356544495,36.86227345466614,34944,0.0,0.0002791090519167483,1057.0,5.368608981370926e-05,-0.0008099889382719994
,1763260065.345578,142.0,515,,,142.0,,37.46949005126953,35699,,,,,
0.4876384735107422,1763260066.36136,,530,0.3604363799095154,7.174164056777954e-05,,0.5031951665878296,38.48527216911316,36736,0.0,0.0002780337817966938,1059.0,4.7237612307071686e-05,0.002935023047029972
0.9990597367286682,1763260066.9596844,,539,0.21855869889259338,-0.0012380070984363556,,0.5842041373252869,39.0835964679718,37376,0.005859375,0.0002776497567538172,1059.0,0.0014635426923632622,-0.010118869133293629
,1763260067.4266088,214.0,547,,,214.0,,39.55052089691162,37932,,,,,
0.9052256941795349,1763260068.0099368,,555,2.1445400714874268,-0.011134549975395203,,0.5392293930053711,40.133848905563354,38528,0.0,0.0002769585116766393,1060.0,0.0010019782930612564,-0.009109057486057281
,1763260068.2863955,250.0,559,,,250.0,,40.41030764579773,38865,,,,,
0.9428508281707764,1763260068.8652267,,568,7.299724102020264,0.003615163266658783,,0.5982986688613892,40.98913884162903,39424,0.01953125,0.0002764208766166121,1060.0,0.006037628278136253,0.03604964539408684
,1763260070.724829,162.0,595,,,162.0,,42.84874105453491,41501,,,,,
0.8540374040603638,1763260072.1513493,,612,16.099225997924805,0.00619805883616209,,0.5975514054298401,44.27526140213013,43008,0.015625,0.00027427036548033357,1062.0,0.010339198634028435,-0.017588181421160698
,1763260072.2765982,169.0,614,,,169.0,,44.40051031112671,43171,,,,,
0.9194654226303101,1763260073.318149,,630,15.848747253417969,0.011574044823646545,,0.5670503377914429,45.44206118583679,44288,0.0,0.00027350231539458036,1063.0,0.0002180160954594612,-0.0006639407947659492
,1763260073.6992707,186.0,636,,,186.0,,45.823182821273804,44773,,,,,
0.9021386504173279,1763260074.007354,,640,0.14404641091823578,0.0070159900933504105,,0.5799229741096497,46.13126611709595,45056,0.0,0.00027304148534312844,1064.0,8.894503116607666e-05,-0.0016316864639520645
0.9964125752449036,1763260074.743851,,650,0.14988423883914948,-0.006316095590591431,,0.5782879590988159,46.86776304244995,45824,0.0,0.0002725806552916765,1064.0,0.00022321101278066635,0.003011622466146946
0.9495340585708618,1763260075.792337,,664,12.172432899475098,-0.034396443516016006,,0.5718664526939392,47.91624903678894,46848,0.0234375,0.00027196621522307396,1062.0,0.007819040678441525,0.009688486345112324
,1763260077.169652,178.0,684,,,178.0,,49.29356408119202,48187,,,,,
,1763260077.79798,158.0,689,,,158.0,,49.921892166137695,48518,,,,,
0.9933637976646423,1763260078.9907436,,698,1.0217006206512451,-0.004645489156246185,,0.5395095944404602,51.11465573310852,49280,0.0,0.0002705069200601429,1041.0,0.0016389843076467514,-0.006934795528650284
0.9104611277580261,1763260079.4359367,,702,7.516722679138184,0.008293680846691132,,0.5715567469596863,51.55984878540039,49536,0.0,0.00027035331004299223,1037.0,0.0005695149302482605,-0.004863481968641281
,1763260079.9967203,307.0,707,,,307.0,,52.12063241004944,50014,,,,,
0.8369243741035461,1763260083.213218,,729,0.1784764975309372,-0.019043877720832825,,0.5724063515663147,55.337130069732666,52096,0.00390625,0.00026881720987148583,1010.0,0.001714838668704033,0.003366602584719658
2.396106719970703e-05,1763260086.215401,,757,0.2643528878688812,0.005030672997236252,,0.5230304002761841,58.33931303024292,54528,0.0,0.00026735791470855474,999.0,0.0003352481871843338,-0.0006047002971172333
-0.05445516109466553,1763260086.8206358,,762,0.02230089157819748,-0.013820827007293701,,0.5793936848640442,58.94454789161682,55040,0.0,0.00026705069467425346,998.0,0.0009206626564264297,-0.008945159614086151
0.0005069375038146973,1763260087.3253016,,767,9.394021034240723,-0.03484664112329483,,0.5336794853210449,59.44921374320984,55424,0.0,0.0002668202796485275,996.0,0.0029198676347732544,0.011699510738253593
,1763260088.3300607,500.0,775,,,500.0,,60.453972816467285,56206,,,,,
0.7261154055595398,1763260090.0026708,,788,0.0044464366510510445,0.003831062465906143,,0.528851330280304,62.126582860946655,57600,0.0,0.00026551459450274706,987.0,0.00029396265745162964,-0.009555509313941002
0.6125973463058472,1763260090.9560506,,797,0.003110341727733612,-0.011823032051324844,,0.4838656187057495,63.079962730407715,58496,0.03125,0.0002649769594427198,986.0,0.0042306119576096535,0.022093666717410088
-0.022781014442443848,1763260091.8940346,,806,0.017396073788404465,0.002735404297709465,,0.5332295894622803,64.01794672012329,59392,0.0,0.0002644393243826926,986.0,4.14503738284111e-05,0.0007955702021718025
6.902217864990234e-05,1763260092.790931,,815,175.517578125,0.003915220499038696,,0.515742301940918,64.91484308242798,60288,0.0,0.00026390168932266533,986.0,0.0016487622633576393,0.005100787617266178
,1763260097.5955536,500.0,863,,,500.0,,69.71946573257446,65206,,,,,
