charts/episodic_return,losses/explained_variance,charts/learning_rate,charts/episodic_length,losses/approx_kl,losses/policy_loss,_runtime,losses/value_loss,_step,losses/clipfrac,charts/SPS,losses/entropy,_timestamp,global_step,losses/old_approx_kl
,0.0717889666557312,0.0002947004686575383,,0.00016866251826286316,0.00993134081363678,12.036186933517456,6.042472839355469,203,0.0,1070.0,0.485859751701355,1763260040.068559,8960,-0.0032232068479061127
,0.7056598663330078,0.0002943164436146617,,0.0005927132442593575,-0.009744144976139069,12.620644330978394,15.232845306396484,213,0.0,1071.0,0.5086762309074402,1763260040.6530163,9600,0.0016358988359570503
,0.7442660331726074,0.00029416283359751105,,0.001140347681939602,-0.0031683146953582764,13.060619831085205,5.324376106262207,217,0.0,1048.0,0.5219164490699768,1763260041.0929918,9856,0.0036895284429192543
93.0,,,93.0,,,13.928730249404907,,228,,,,1763260041.9611022,10575,
,0.20386022329330444,0.0002935483935289085,,0.000537714920938015,-0.0014705248177051544,14.40088415145874,7.729986667633057,233,0.0,1013.0,0.5279446244239807,1763260042.4332561,10880,0.004395925439894199
,-0.0049915313720703125,0.0002928571484517306,,0.0001837499439716339,-0.009574774652719498,15.781527042388916,11.913180351257324,251,0.0,992.0,0.5154329538345337,1763260043.813899,12032,0.013249246403574944
72.0,,,72.0,,,16.38049292564392,,259,,,,1763260044.412865,12645,
116.0,,,116.0,,,16.884257316589355,,265,,,,1763260044.9166293,13060,
115.0,,,115.0,,,17.376620531082153,,273,,,,1763260045.4089925,13693,
,0.6052131652832031,0.00029185868334025145,,0.0014551524072885513,-0.020104464143514633,17.446376085281372,12.414886474609375,274,0.0,993.0,0.4393978714942932,1763260045.478748,13696,0.0017710737884044647
116.0,,,116.0,,,18.630638122558594,,292,,,,1763260046.6630101,15011,
,0.8001893758773804,0.0002897081431001425,,0.00369992945343256,0.005349449813365936,20.739195346832275,3.8282363414764404,321,0.005859375,1011.0,0.5867683291435242,1763260048.7715673,17280,0.011079338379204273
440.0,,,440.0,,,21.250585556030273,,327,,,,1763260049.2829576,17857,
315.0,,,315.0,,,21.492689847946167,,330,,,,1763260049.5250618,18172,
,0.06729024648666382,0.0002890937030315399,,0.0024310825392603874,-0.0357978455722332,21.673651218414307,3.115321397781372,332,0.0,1016.0,0.4514034688472748,1763260049.7060232,18304,0.017008792608976364
,0.983763575553894,0.00028878648299723864,,0.026778697967529297,-0.06422466039657593,22.170206785202026,2.693835973739624,337,0.095703125,1016.0,0.45867857336997986,1763260050.2025788,18816,0.015549900010228157
150.0,,,150.0,,,22.308550596237183,,340,,,,1763260050.3409226,19004,
,0.8972489237785339,0.00028725038282573223,,0.00011236872524023056,0.000551614910364151,24.515241622924805,1.3328648805618286,370,0.0,1025.0,0.5197573304176331,1763260052.5476136,21376,-0.0012780996039509773
,0.8702369928359985,0.0002860215026885271,,1.984182745218277e-05,-0.0001622084528207779,26.40676212310791,1.655639410018921,396,0.0,1029.0,0.4955538511276245,1763260054.4391341,23424,0.0007788604125380516
99.0,,,99.0,,,27.967233657836914,,425,,,,1763260055.9996057,25179,
,0.9708560705184937,0.00028433179249987006,,0.006288515403866768,0.02844259887933731,29.004502773284912,7.7596893310546875,441,0.01953125,1035.0,0.5396373271942139,1763260057.0368748,26240,0.048596709966659546
77.0,,,77.0,,,29.515642642974854,,450,,,,1763260057.5480146,26780,
93.0,,,93.0,,,30.687134265899658,,471,,,,1763260058.7195063,28049,
64.0,,,64.0,,,31.173468351364136,,481,,,,1763260059.2058403,28655,
77.0,,,77.0,,,31.699880838394165,,490,,,,1763260059.7322528,29128,
262.0,,,262.0,,,32.37393760681152,,504,,,,1763260060.4063096,29873,
,0.9751545786857605,0.0002817972272168845,,0.00012796930968761444,-0.002812393009662628,32.95874094963074,5.468055248260498,515,0.0,1039.0,0.4995605945587158,1763260060.991113,30464,-9.700655937194824e-06
,0.7711341977119446,0.00028118278714828193,,3.1953677535057068e-06,0.0008230805397033691,33.91769051551819,0.9573333263397217,530,0.0,1040.0,0.47257864475250244,1763260061.9500625,31488,0.0005129827186465263
151.0,,,151.0,,,34.42507791519165,,539,,,,1763260062.45745,32122,
87.0,,,87.0,,,34.87584638595581,,547,,,,1763260062.9082184,32529,
95.0,,,95.0,,,35.35268998146057,,555,,,,1763260063.385062,33119,
111.0,,,111.0,,,35.56581735610962,,559,,,,1763260063.5981894,33334,
,0.20542556047439575,0.00027972349198535085,,0.0002944124862551689,0.005739033222198486,36.1450469493866,46.192623138427734,568,0.0,1044.0,0.5044864416122437,1763260064.177419,33920,-0.0022498806938529015
,0.9978120923042297,0.00027857141685672104,,0.011941321194171906,-0.02189023047685623,37.900917053222656,2.4433681964874268,595,0.0234375,1046.0,0.5662853717803955,1763260065.933289,35840,0.039691075682640076
,0.004746854305267334,0.0002776497567538172,,1.718476414680481e-05,-0.00027860328555107117,39.264968395233154,122.51407623291016,612,0.0,1049.0,0.5787715315818787,1763260067.2973404,37376,0.0010240096598863602
224.0,,,224.0,,,39.40818524360657,,614,,,,1763260067.4405572,37599,
158.0,,,158.0,,,40.57280731201172,,630,,,,1763260068.6051793,38814,
104.0,,,104.0,,,40.91475582122803,,636,,,,1763260068.9471278,39207,
117.0,,,117.0,,,41.166717767715454,,640,,,,1763260069.1990898,39443,
,0.938495397567749,0.0002759600756689906,,0.0006594490259885788,0.00461166724562645,41.83483290672302,0.3794175088405609,650,0.0,1052.0,0.46604588627815247,1763260069.867205,40192,-0.005730366334319115
,0.9956986904144287,0.00027542244060896337,,0.007577630691230297,0.025873098522424698,42.6712167263031,0.11924351006746292,664,0.015625,1053.0,0.5678043365478516,1763260070.7035887,41088,-0.0030952496454119682
173.0,,,173.0,,,43.8419771194458,,684,,,,1763260071.874349,42377,
,0.9117844700813293,0.0002744239754974842,,0.002070309594273567,0.004482880234718323,44.20757842063904,14.040626525878906,689,0.001953125,1054.0,0.5738869309425354,1763260072.2399504,42752,0.004953470081090927
200.0,,,200.0,,,44.704623222351074,,698,,,,1763260072.7369952,43390,
,0.9569565057754517,0.00027388634043745697,,0.0012944415211677551,-0.013010203838348389,44.99950456619263,2.60485577583313,702,0.0,1055.0,0.5812848806381226,1763260073.0318766,43648,-0.008372018113732338
,0.9733521342277527,0.000273655925411731,,0.00014689285308122635,-0.0036416053771972656,45.372565507888794,0.22193709015846252,707,0.0,1055.0,0.5915441513061523,1763260073.4049375,44032,-0.0012553585693240166
,0.7672538161277771,0.00027265746030025184,,2.1047890186309814e-07,0.00018547475337982178,47.02590227127075,0.15433064103126526,729,0.0,1053.0,0.5802545547485352,1763260075.0582743,45696,-0.00024723075330257416
388.0,,,388.0,,,50.14493107795715,,757,,,,1763260078.177303,48355,
114.0,,,114.0,,,50.80050230026245,,762,,,,1763260078.8328743,48663,
,0.0062217116355896,0.0002706605300772935,,0.0015501687303185463,-0.008074242621660233,51.467623233795166,160.3360137939453,767,0.0,1025.0,0.5548323392868042,1763260079.4999952,49024,0.01285372395068407
,0.9933282136917114,0.0002702765050344169,,0.0020995037630200386,0.007098183035850525,52.46499443054199,0.06432126462459564,775,0.0,1017.0,0.5647246837615967,1763260080.4973664,49664,-0.0034266309812664986
,0.9855905771255493,0.00026966206496581435,,0.002377755008637905,-0.0007068552076816559,54.23418378829956,0.38805702328681946,788,0.0,1002.0,0.5806309580802917,1763260082.2665558,50688,-0.0034412583336234093
,0.9186010360717773,0.0002691244299057871,,0.016202950850129128,0.011837748810648918,55.527442932128906,0.6773161888122559,797,0.08984375,994.0,0.5784538388252258,1763260083.559815,51584,0.05350424349308014
,0.6062361598014832,0.00026858679484575987,,0.00025211554020643234,-0.0005972087383270264,56.55821990966797,0.058954473584890366,806,0.0,992.0,0.5791511535644531,1763260084.590592,52480,0.007298027165234089
,0.28412407636642456,0.00026812596479430795,,0.00012676604092121124,-0.0043144747614860535,57.534383058547974,0.0795857310295105,815,0.0,988.0,0.5551256537437439,1763260085.566755,53248,0.0022186096757650375
,-0.0009115934371948242,0.00026551459450274706,,0.00019685272127389908,-0.01265379786491394,62.88533878326416,35.501617431640625,863,0.0,972.0,0.5537258982658386,1763260090.9177108,57600,-0.0005321232602000237
,0.010866641998291016,0.00026505376445129514,,0.0011235205456614494,-0.006979212164878845,63.7099244594574,1.559701681137085,872,0.0,972.0,0.5207745432853699,1763260091.7422965,58368,-0.008056017570197582
,0.40858691930770874,0.0002648233494255692,,0.00016669835895299911,-0.008305560797452927,64.11826205253601,0.03390182554721832,876,0.0,971.0,0.5842955112457275,1763260092.150634,58752,-0.0001287134364247322
500.0,,,500.0,,,68.65760946273804,,922,,,,1763260096.6899815,63182,
,0.49205654859542847,0.00026167434407398105,,0.001756897196173668,0.011643540114164352,69.61484980583191,0.0003568718093447387,930,0.01171875,970.0,0.49540138244628906,1763260097.6472218,64000,-0.004318874329328537
,0.0005783438682556152,0.0002612135140225291,,0.0001502055674791336,0.0007627233862876892,70.54038739204407,80.91797637939453,938,0.0,968.0,0.4688129127025604,1763260098.5727594,64768,0.010439928621053696
,0.027034878730773926,0.00026098309899680316,,0.003132123500108719,-0.007351621985435486,70.95085024833679,0.00013241574924904853,941,0.01171875,968.0,0.5048604011535645,1763260098.9832222,65152,-0.018731897696852684
500.0,,,500.0,,,70.98184537887573,,942,,,,1763260099.0142174,65182,
,0.0008383989334106445,0.00026059907395392656,,0.00035915523767471313,-0.007665256038308144,71.78149557113647,150.01414489746094,948,0.0,965.0,0.46790432929992676,1763260099.8138676,65792,-0.0069954171776771545
,0.2163623571395874,0.00025898616877384484,,0.00328759104013443,-0.012406961992383003,75.27384901046753,0.00020092165505047888,974,0.005859375,956.0,0.4573863744735718,1763260103.306221,68480,-0.0008027032017707825
,-0.2740497589111328,0.00025860214373096824,,0.02535761147737503,-0.02353294938802719,76.36578059196472,0.00013210935867391527,980,0.1484375,950.0,0.4727174937725067,1763260104.3981526,69120,-0.021852610632777214
,0.08333820104598999,0.00025829492369666696,,0.004915110766887665,-0.027177855372428894,77.30740904808044,0.00013138126814737916,985,0.01953125,945.0,0.44175854325294495,1763260105.339781,69632,0.003087356686592102
,0.1514582633972168,0.0002576804836280644,,0.0012221923097968102,-0.001477174460887909,79.27476334571838,2.7674337616190314e-05,995,0.0,934.0,0.4417772889137268,1763260107.3071353,70656,0.006317620165646076
,0.0005269050598144531,0.0002576036786194891,,0.0002584243193268776,0.002236027270555496,79.55467915534973,252.81202697753906,997,0.0,932.0,0.4618382453918457,1763260107.5870512,70784,-0.00025558192282915115
500.0,,,500.0,,,82.96646881103516,,1015,,,,1763260110.9988408,72682,
500.0,,,500.0,,,83.94212341308594,,1020,,,,1763260111.9744954,73182,
,7.94529914855957e-05,0.00025552994338795543,,0.0003970954567193985,0.0018918588757514954,86.10323882102966,219.30760192871094,1031,0.0,900.0,0.43932822346687317,1763260114.1356108,74240,0.010960523039102554
500.0,,,500.0,,,89.83822989463806,,1050,,,,1763260117.870602,76182,
,-0.10382473468780518,0.00025414745323359966,,0.00027982983738183975,-0.0008716569282114506,90.6050636768341,1.0801680218719412e-05,1053,0.0,880.0,0.524029016494751,1763260118.6374357,76544,0.00016480591148138046
,0.25645583868026733,0.0002538402331992984,,0.005615769885480404,0.009520743042230606,91.64898610115051,0.00045443017734214664,1058,0.017578125,875.0,0.38420701026916504,1763260119.681358,77056,0.01587885618209839
,0.00953221321105957,0.000252304133027792,,0.01213178038597107,-0.03980518877506256,96.05790877342224,4.042364889755845e-05,1083,0.05859375,861.0,0.47460880875587463,1763260124.0902808,79616,0.03723476082086563
,0.10938519239425659,0.0002518433320801705,,0.015899397432804108,-0.04051806777715683,97.42727851867676,0.007162663619965315,1091,0.04296875,857.0,0.47743740677833557,1763260125.4596505,80384,0.023018423467874527
,0.28327226638793945,0.00025092167197726667,,0.0010550543665885925,-0.025132622569799423,100.04082250595093,0.008879825472831726,1106,0.0,849.0,0.41348138451576233,1763260128.0731945,81920,0.01976645737886429
500.0,,,500.0,,,102.0724549293518,,1118,,,,1763260130.104827,83182,
,0.6070823669433594,0.00024976959684863687,,4.700757563114166e-05,-0.0017914772033691406,103.33405542373657,0.007258522789925337,1125,0.0,841.0,0.4408271908760071,1763260131.3664274,83840,-0.00036209821701049805
500.0,,,500.0,,,104.60280179977417,,1133,,,,1763260132.6351738,84682,
,0.5283377170562744,0.00024854071671143174,,0.0016160709783434868,-0.0015036612749099731,106.63888096809387,0.011408230289816856,1145,0.00390625,834.0,0.3553149104118347,1763260134.671253,85888,-0.004430127330124378
,0.000994563102722168,0.00024738864158280194,,0.0009475685656070709,0.0030243396759033203,109.68319368362427,0.0029766426887363195,1164,0.0,828.0,0.3202497959136963,1763260137.7155657,87808,0.007782965898513794
,0.09248590469360352,0.0002473118365742266,,0.0031045908108353615,-0.014274582266807556,109.87571811676025,0.00028755684616044164,1165,0.00390625,827.0,0.3902777433395386,1763260137.90809,87936,0.014940337277948856
500.0,,,500.0,,,110.8793957233429,,1172,,,,1763260138.9117677,88682,
,0.16999316215515137,0.00024631337146274745,,0.0010382318869233131,-0.002825424075126648,112.40410947799683,6.814747030148283e-05,1181,0.0,823.0,0.32021838426589966,1763260140.4364815,89600,0.014947702176868916
,0.3142118453979492,0.0002460061514284462,,0.00495747197419405,0.0008925460278987885,113.15082573890686,0.00010046392708318308,1186,0.01953125,823.0,0.3744409382343292,1763260141.1831977,90112,0.00570825207978487
500.0,,,500.0,,,114.72145771980286,,1197,,,,1763260142.7538297,91182,
,0.0013551712036132812,0.00024439324624836445,,0.00015005189925432205,-0.010820865631103516,117.15041851997375,59.13328552246094,1213,0.0,817.0,0.41600707173347473,1763260145.1827905,92800,-0.0011264020577073097
,-0.1278684139251709,0.0002442396362312138,,0.005069824866950512,0.008347176015377045,117.53969216346741,0.00029472995083779097,1215,0.00390625,817.0,0.46581169962882996,1763260145.5720642,93056,0.009979704394936562
500.0,,,500.0,,,119.16682982444763,,1226,,,,1763260147.1992018,94182,
,-0.26584434509277344,0.00024331797612830997,,0.008903675712645054,-0.01469644159078598,119.94426155090332,3.689104050863534e-05,1230,0.01953125,813.0,0.42415493726730347,1763260147.9766335,94592,0.007563549093902111
,0.20762622356414795,0.000243087561102584,,0.0013273907825350761,0.006699826568365097,120.6028528213501,6.811112689319998e-05,1234,0.0,812.0,0.38147932291030884,1763260148.6352248,94976,0.007677924819290638
,-0.1926584243774414,0.00024239631602540612,,0.001011056825518608,-0.0005325302481651306,122.63165402412415,0.0003505575587041676,1245,0.0,808.0,0.3458132743835449,1763260150.664026,96128,0.00691322423517704
,-0.2347010374069214,0.00024185868096537888,,0.02301883138716221,-0.018261011689901352,124.24456000328064,0.0005304533988237381,1254,0.091796875,804.0,0.3988634943962097,1763260152.276932,97024,0.09980201721191406
,0.0007392764091491699,0.00024086021585389972,,0.001432826742529869,-0.010262776166200638,127.15981459617615,23.36867904663086,1271,0.0,799.0,0.3951561450958252,1763260155.1921866,98688,0.014087967574596405
,0.31593984365463257,0.00023909370065666735,,0.013544321060180664,-0.03231903165578842,131.99242639541626,0.0002097688557114452,1299,0.03515625,791.0,0.38673722743988037,1763260160.0247984,101632,0.04479110985994339
500.0,,,500.0,,,138.65593910217285,,1339,,,,1763260166.688311,105682,
,0.0005820393562316895,0.0002366359403822571,,0.001310017891228199,-0.0072761476039886475,138.8626823425293,162.3701629638672,1340,0.0,782.0,0.376928448677063,1763260166.8950543,105728,-0.013715867884457111
500.0,,,500.0,,,140.3779399394989,,1349,,,,1763260168.410312,106682,
,0.24938297271728516,0.00023517664521932602,,0.006510267965495586,-0.02288905903697014,142.89598965644836,0.00011256575089646503,1363,0.017578125,776.0,0.38074344396591187,1763260170.9283617,108160,0.023333491757512093
,0.002294778823852539,0.0002350998402107507,,0.005097194574773312,-0.006672978401184082,143.14242267608643,64.10372924804688,1365,0.03515625,776.0,0.3341580927371979,1763260171.1747947,108288,-0.016934361308813095
,0.0017624497413635254,0.00023479262017644942,,0.0017699440941214561,-0.0023884549736976624,143.99838376045227,73.25578308105469,1370,0.00390625,775.0,0.3429372012615204,1763260172.0307558,108800,0.00729446392506361
,0.9239845275878906,0.00023417819465976208,,0.010095524601638317,-0.035661712288856506,145.7049686908722,0.009408339858055115,1380,0.0234375,773.0,0.3682442307472229,1763260173.7373407,109824,0.004449688829481602
,0.7796783447265625,0.00023410138965118676,,0.0015163654461503029,-0.013000315055251122,145.9027979373932,0.0009819443803280592,1381,0.001953125,773.0,0.2911919355392456,1763260173.93517,109952,0.009076179005205631
500.0,,,500.0,,,146.9849569797516,,1388,,,,1763260175.017329,110682,
,0.862072765827179,0.00023325653455685824,,0.00021132919937372208,0.0016208887100219727,148.23101019859314,0.0198274627327919,1395,0.0,770.0,0.27513107657432556,1763260176.2633822,111360,-0.005665854550898075
,0.0024017691612243652,0.00023302611953113228,,8.610449731349945e-05,-0.008629456162452698,148.88468027114868,15.216882705688477,1399,0.0,769.0,0.2529124915599823,1763260176.9170523,111744,0.005836617201566696
,0.7564419507980347,0.00023264209448825568,,0.018592387437820435,0.004793236963450909,149.91611981391907,0.009255832061171532,1405,0.05078125,768.0,0.3216947317123413,1763260177.9484918,112384,0.012383624911308289
500.0,,,500.0,,,154.2646245956421,,1432,,,,1763260182.2969966,115182,
,-0.0001380443572998047,0.00023095238429959863,,6.837770342826843e-05,-0.00028304290026426315,154.43263602256775,97.68220520019531,1433,0.0,764.0,0.29531848430633545,1763260182.465008,115200,-0.0008128415793180466
,-0.11505687236785889,0.00022956989414524287,,0.0001853443682193756,-0.0028353165835142136,158.01482796669006,0.0013973431196063757,1455,0.0,761.0,0.3515239357948303,1763260186.0472,117504,-0.0009656418114900589
,0.45206815004348755,0.00022949308913666755,,0.013821196742355824,0.010280191898345947,158.20116639137268,0.00044944521505385637,1456,0.078125,761.0,0.2950291037559509,1763260186.2335384,117632,-0.021750397980213165
500.0,,,500.0,,,158.24614810943604,,1457,,,,1763260186.27852,117682,
,0.4413568377494812,0.00022596005874220282,,0.03210344910621643,0.006773144006729126,167.48298740386963,0.0006514140986837447,1514,0.19921875,754.0,0.3101085424423218,1763260195.5153594,123520,-0.01699138805270195
500.0,,,500.0,,,168.51498246192932,,1521,,,,1763260196.5473545,124182,
,0.7568574547767639,0.00022526881366502494,,0.005663747899234295,0.03789126127958298,169.27496647834778,0.00018724342226050794,1525,0.1171875,752.0,0.3157496750354767,1763260197.3073385,124672,-0.012303425930440426
,0.012735188007354736,0.00022519200865644962,,0.0030031418427824974,0.008162453770637512,169.52680325508118,91.80709838867188,1527,0.005859375,752.0,0.30008649826049805,1763260197.5591753,124800,-0.023141462355852127
,0.653302013874054,0.00022503839863929898,,0.008067144080996513,-0.003235854208469391,169.87575435638428,0.0005909813335165381,1529,0.009765625,752.0,0.2628594636917114,1763260197.9081264,125056,0.0008799787610769272
,0.6877475380897522,0.0002247311786049977,,0.004540344700217247,0.006389535963535309,170.6512107849121,0.00047438021283596754,1534,0.01171875,751.0,0.29218149185180664,1763260198.6835828,125568,0.023400571197271347
,0.0015448331832885742,0.00022465437359642237,,0.00039782095700502396,0.00575290247797966,170.90182876586914,254.0281524658203,1536,0.0,751.0,0.3392062187194824,1763260198.9342008,125696,0.005884050391614437
,0.7358203530311584,0.00022419354354497045,,0.007992592640221119,-0.020116690546274185,172.0854353904724,0.00027528806822374463,1543,0.0390625,750.0,0.297451913356781,1763260200.1178074,126464,0.03546268865466118
500.0,,,500.0,,,172.31117749214172,,1545,,,,1763260200.3435495,126682,
,0.010902345180511475,0.0002240399335278198,,0.0010696370154619217,-0.0004874616861343384,172.5017397403717,69.87281036376953,1546,0.0,750.0,0.2622153162956238,1763260200.5341117,126720,-0.0027118101716041565
,0.7103725671768188,0.0002232718834420666,,0.00254146009683609,-0.01121038943529129,174.4868824481964,0.0010093094315379858,1558,0.04296875,749.0,0.29232409596443176,1763260202.5192544,128000,0.01198224350810051
,0.4113394021987915,0.0002231950784334913,,0.010252858512103558,-0.023423925042152405,174.68709588050842,0.000579505693167448,1559,0.0234375,749.0,0.3260267674922943,1763260202.7194679,128128,0.024776747450232506
,0.8542035818099976,0.00022296466340776533,,0.0044158222153782845,0.018002349883317947,175.3055214881897,0.0016531676519662142,1563,0.078125,748.0,0.20244714617729187,1763260203.3378935,128512,-0.02345970831811428
,0.02290421724319458,0.0002228110533906147,,0.0037375586107373238,0.037685249000787735,175.7678189277649,17.985322952270508,1566,0.01953125,748.0,0.29576706886291504,1763260203.800191,128768,-0.011585758067667484
,0.49685680866241455,0.00022142857778817415,,0.0017954688519239426,0.017209023237228394,179.5056688785553,0.0009102181065827608,1588,0.009765625,745.0,0.24988622963428497,1763260207.5380409,131072,-0.0032578688114881516
500.0,,,500.0,,,179.5612063407898,,1589,,,,1763260207.5935783,131182,
,0.9533367156982422,0.0002208909427281469,,0.0031997403129935265,-0.022129328921437263,180.96092295646667,0.001300834002904594,1597,0.013671875,744.0,0.2873288094997406,1763260208.993295,131968,0.0223686583340168
,0.8571015000343323,0.00022027650265954435,,0.014768329448997974,-0.010443262755870819,182.64361310005188,0.00233811279758811,1607,0.0703125,743.0,0.2756292223930359,1763260210.675985,132992,-0.017121829092502594
500.0,,,500.0,,,182.8871328830719,,1609,,,,1763260210.919505,133182,
,0.022850334644317627,0.0002201228926423937,,0.0012212581932544708,-0.0007749814540147781,183.09831523895264,45.03874969482422,1610,0.0078125,742.0,0.2176477611064911,1763260211.1306872,133248,-0.005216237157583237
,0.832619845867157,0.00021996928262524307,,0.009425943717360497,-0.0014925897121429443,183.52711391448975,0.0010519929928705096,1612,0.0078125,742.0,0.25800442695617676,1763260211.559486,133504,0.04143526405096054
,0.9527517557144165,0.00021912442753091455,,0.004095503129065037,-0.010866469703614712,185.88513278961182,0.0006950893439352512,1626,0.021484375,740.0,0.13943436741828918,1763260213.9175048,134912,0.03170199692249298
500.0,,,500.0,,,187.8649091720581,,1638,,,,1763260215.8972812,136182,
500.0,,,500.0,,,196.06454038619995,,1687,,,,1763260224.0969124,141182,
500.0,,,500.0,,,203.45253205299377,,1732,,,,1763260231.484904,145682,
,0.9504311084747314,0.00021182795171625912,,0.006906297989189625,-0.026465624570846558,205.56493973731995,0.0007271529175341129,1745,0.1171875,728.0,0.2095327377319336,1763260233.5973117,147072,0.032118264585733414
,0.9974129796028137,0.0002113671216648072,,0.009578119032084942,-0.03042696788907051,206.78612446784973,0.0009824354201555252,1753,0.060546875,727.0,0.34825024008750916,1763260234.8184965,147840,0.0038142530247569084
,0.9774840474128723,0.00021129031665623188,,0.008150272071361542,-0.014306381344795227,206.97592210769653,0.00040061736945062876,1754,0.015625,727.0,0.2608517110347748,1763260235.008294,147968,0.006060929968953133
,0.9608644843101501,0.000210599071579054,,5.682278424501419e-05,0.0023822560906410217,208.8185772895813,0.001017858972772956,1765,0.0,726.0,0.2644447684288025,1763260236.8509493,149120,-0.00031026918441057205
,0.994945764541626,0.00021044546156190336,,0.012907496653497219,-0.04465390741825104,209.22558069229126,0.0004347366339061409,1768,0.0625,726.0,0.30025070905685425,1763260237.2579527,149376,0.017566610127687454
,0.05923640727996826,0.00020990784105379134,,0.0010318662971258163,0.00016138702630996704,210.62190055847168,147.03477478027344,1777,0.001953125,726.0,0.23261240124702454,1763260238.6542726,150272,0.0010061413049697876
,0.9743199944496155,0.00020737327577080578,,0.0065103862434625626,-0.01773887127637863,217.24560713768005,0.0006174932350404561,1818,0.029296875,723.0,0.30106374621391296,1763260245.2779791,154496,-0.0009620338678359985
,0.7154800891876221,0.0002070660557365045,,0.007786190137267113,-0.019034888595342636,218.0683832168579,0.0018287599086761475,1823,0.02734375,722.0,0.32628026604652405,1763260246.1007552,155008,0.006682440638542175
,0.9949464797973633,0.00020537634554784745,,0.009520714171230793,0.007812377065420151,222.53191471099854,0.0008869990124367177,1851,0.025390625,721.0,0.2620270252227783,1763260250.5642867,157824,0.031653981655836105
,0.9928686022758484,0.00020506912551354617,,0.0017192428931593895,-0.0030504129827022552,223.33826875686646,0.0003778756072279066,1856,0.021484375,720.0,0.20802754163742065,1763260251.3706408,158336,-0.001332930289208889
,0.6461166143417358,0.00020430107542779297,,0.0010810624808073044,-0.005513351410627365,225.4013795852661,0.0016207706648856401,1868,0.04296875,719.0,0.3859465718269348,1763260253.4337516,159616,0.0013838261365890503
,0.6376377940177917,0.00020399385539349169,,4.2951665818691254e-05,0.0004468001425266266,226.24865102767944,0.0008782920194789767,1873,0.0,719.0,0.2854371964931488,1763260254.281023,160128,-0.0006814012303948402
,0.9502379894256592,0.00020376344036776572,,0.000905115157365799,0.0028215497732162476,226.89765214920044,0.0005358116468414664,1877,0.0,719.0,0.269915372133255,1763260254.9300241,160512,0.0033947397023439407
,0.9905458688735962,0.00020322580530773848,,0.017174135893583298,-0.015890484675765038,228.35481595993042,0.0005716879386454821,1886,0.109375,718.0,0.25568687915802,1763260256.387188,161408,-0.0003946535289287567
,0.05742979049682617,0.00020268817024771124,,0.00380583293735981,-0.023137621581554413,229.7394597530365,35.58945083618164,1895,0.01171875,717.0,0.28229832649230957,1763260257.7718318,162304,0.002906631678342819
500.0,,,500.0,,,231.0448977947235,,1903,,,,1763260259.0772698,163182,
,0.9503186345100403,0.00020199692517053336,,0.00031361356377601624,0.004011821001768112,231.64689540863037,0.0017641119193285704,1906,0.0,716.0,0.16764993965625763,1763260259.6792674,163456,-0.0012519881129264832
500.0,,,500.0,,,233.5261595249176,,1918,,,,1763260261.5585315,164682,
,0.990614652633667,0.00020115207007620484,,0.005544266663491726,-0.024470075964927673,233.92289423942566,0.0006771023035980761,1920,0.013671875,715.0,0.2067335546016693,1763260261.9552662,164864,-0.01712239533662796
