losses/entropy,losses/policy_loss,charts/episodic_return,_step,_runtime,charts/SPS,_timestamp,losses/clipfrac,losses/explained_variance,losses/old_approx_kl,charts/learning_rate,global_step,charts/episodic_length,losses/approx_kl,losses/value_loss
,,,0,2.409111976623535,,1763260030.701674,,,,,0,,,
,,22.0,7,3.5271692276000977,,1763260031.8197312,,,,,167,22.0,,
0.6883721947669983,-0.008240358904004097,,33,4.153558731079102,1003.0,1763260032.4461207,0.0,0.3314509391784668,0.0004398152232170105,0.0002996159892063588,768,,0.00010488927364349365,8.811690330505371
,,26.0,41,4.288369178771973,,1763260032.5809312,,,,,915,26.0,,
,,14.0,47,4.406827211380005,,1763260032.6993892,,,,,1034,14.0,,
,,19.0,64,4.812316417694092,,1763260033.1048784,,,,,1450,19.0,,
,,14.0,74,5.0443336963653564,,1763260033.3368957,,,,,1676,14.0,,
,,39.0,77,5.160397529602051,,1763260033.4529595,,,,,1806,39.0,,
,,92.0,88,5.536208152770996,,1763260033.8287702,,,,,2243,92.0,,
,,61.0,102,6.177507400512695,,1763260034.4700694,,,,,2830,61.0,,
0.6259722113609314,-0.008854661136865616,,104,6.292217969894409,1013.0,1763260034.58478,0.0,0.28393542766571045,-0.0021907342597842216,0.00029831030406057835,2944,,0.00036215875297784805,8.536121368408203
,,98.0,133,7.491972923278809,,1763260035.784535,,,,,4281,98.0,,
0.6164191961288452,0.002792228013277054,,147,8.17147445678711,1043.0,1763260036.4640365,0.0,0.3729463219642639,0.0028320616111159325,0.0002970814239233732,4992,,0.0002348264679312706,7.596992015838623
0.5404216647148132,-0.0034234225749969482,,149,8.285454034805298,1045.0,1763260036.578016,0.0,0.5275325775146484,0.005028071813285351,0.0002970046189147979,5120,,0.0007305676117539406,6.709835529327393
,,46.0,150,8.289284706115723,,1763260036.5818467,,,,,5124,46.0,,
0.5628190040588379,-0.005199797451496124,,155,8.62498688697815,1050.0,1763260036.917549,0.017578125,0.06460654735565186,-0.012153309769928455,0.00029677420388907194,5504,,0.002401539124548435,6.922924995422363
