_runtime,global_step,losses/entropy,losses/clipfrac,losses/approx_kl,charts/episodic_length,losses/policy_loss,charts/SPS,losses/value_loss,charts/learning_rate,_step,charts/episodic_return,_timestamp,losses/explained_variance,losses/old_approx_kl
34.14048767089844,0,,,,,,,,,0,,1763260064.0818186,,
35.09469509124756,174,,,,27.0,,,,,7,27.0,1763260065.036026,,
35.85156512260437,768,0.6676446795463562,0.0,0.0016578380018472672,,-0.02384607493877411,845.0,24.136516571044922,0.0002996159892063588,33,,1763260065.792896,-0.027298927307128906,0.007218323647975922
36.025702714920044,920,,,,17.0,,,,,41,17.0,1763260065.9670336,,
36.178884744644165,1058,,,,28.0,,,,,47,28.0,1763260066.1202157,,
36.69135236740112,1547,,,,22.0,,,,,64,22.0,1763260066.6326833,,
37.595595598220825,1955,,,,63.0,,,,,74,63.0,1763260067.5369265,,
37.882941484451294,2048,0.6229946613311768,0.0,0.00041131675243377686,,-0.006130799651145935,696.0,25.33197784423828,0.0002988479391206056,77,,1763260067.8242724,0.06991571187973022,0.003390831872820854
38.71947526931763,2496,,,,85.0,,,,,88,85.0,1763260068.6608062,,
39.80868411064148,3004,,,,52.0,,,,,102,52.0,1763260069.750015,,
40.00862717628479,3072,0.650259792804718,0.0,7.003545761108398e-07,,-0.0005004322156310081,606.0,33.06509780883789,0.000298233499052003,104,,1763260069.949958,0.06765091419219971,0.00029371678829193115
42.42990493774414,4342,,,,58.0,,,,,133,58.0,1763260072.3712358,,
43.632495164871216,4919,,,,75.0,,,,,147,75.0,1763260073.573826,,
43.77137637138367,4994,,,,75.0,,,,,149,75.0,1763260073.7127073,,
43.90401363372803,5120,0.6361182928085327,0.0,1.0842457413673401e-05,,0.0007176622748374939,571.0,37.65887451171875,0.0002970046189147979,150,,1763260073.8453445,0.24135363101959229,-0.000515645369887352
44.163607358932495,5322,,,,28.0,,,,,155,28.0,1763260074.1049383,,
44.37666654586792,5416,,,,94.0,,,,,157,94.0,1763260074.3179975,,
45.48379349708557,6251,,,,19.0,,,,,172,19.0,1763260075.4251244,,
47.170960903167725,7320,,,,220.0,,,,,195,220.0,1763260077.1122918,,
47.85138773918152,7723,,,,83.0,,,,,203,83.0,1763260077.7927186,,
48.781266927719116,8320,0.628240704536438,0.0,0.0034495824947953224,,0.025354810059070587,601.0,32.888572692871094,0.0002950844937004149,213,,1763260078.7225978,0.18386036157608032,-0.027613218873739243
49.12758684158325,8576,0.5929296016693115,0.0,0.0003618188202381134,,0.014569031074643135,604.0,21.876596450805664,0.00029493088368326426,217,,1763260079.0689178,0.5949797034263611,-0.014712976291775703
50.104758501052856,9247,,,,229.0,,,,,228,229.0,1763260080.0460894,,
50.547276973724365,9600,0.5795788764953613,0.0,8.272100239992142e-05,,0.004673689603805542,615.0,24.705631256103516,0.0002943164436146617,233,,1763260080.488608,0.41985517740249634,-0.0007583992555737495
51.84280967712402,10639,,,,25.0,,,,,251,25.0,1763260081.7841406,,
52.57363986968994,11264,0.5988409519195557,0.0,0.0002844966948032379,,0.007167071104049683,638.0,28.761072158813477,0.00029331797850318253,259,,1763260082.5149708,0.50519198179245,0.0015970394015312195
53.00225806236267,11648,0.6069490313529968,0.0,0.002755500376224518,,-0.020354866981506348,645.0,27.159912109375,0.00029308756347745657,265,,1763260082.943589,0.13818120956420898,-0.01550455391407013
53.635037899017334,12275,,,,263.0,,,,,273,263.0,1763260083.5763688,,
53.73928689956665,12288,0.5973570942878723,0.0,0.00011284835636615753,,0.0033230427652597427,653.0,24.51280403137207,0.00029270353843457997,274,,1763260083.6806178,-0.012174725532531738,0.003953138366341591
55.226311683654785,13792,,,,57.0,,,,,292,57.0,1763260085.1676426,,
57.52665305137634,15882,,,,214.0,,,,,321,214.0,1763260087.467984,,
58.10923504829407,16256,0.5577905178070068,0.0,8.13603401184082e-06,,-0.0009570606052875519,701.0,20.35874366760254,0.00029032258316874504,327,,1763260088.050566,0.6987603902816772,0.00010210275650024414
58.47712731361389,16640,0.5642800331115723,0.0,0.00131220743060112,,0.006065072491765022,707.0,20.877315521240234,0.0002900921681430191,330,,1763260088.4184582,0.05901449918746948,0.007901748642325401
58.658167600631714,16768,0.5933891534805298,0.0,0.00025789346545934677,,-0.0064506977796554565,707.0,16.59417724609375,0.00029001536313444376,332,,1763260088.5994985,0.7180032730102539,0.00043144170194864273
59.100032567977905,17182,,,,262.0,,,,,337,262.0,1763260089.0413635,,
59.56651473045349,17536,0.5834829807281494,0.0,0.00013089459389448166,,-0.001648908481001854,712.0,17.94114112854004,0.00028955453308299184,340,,1763260089.5078456,0.622026264667511,0.0013224082067608833
62.517844438552856,19733,,,,201.0,,,,,370,201.0,1763260092.4591753,,
63.142484188079834,20204,,,,322.0,,,,,375,322.0,1763260093.083815,,
66.41322326660156,21760,0.5933374762535095,0.0,7.561873644590378e-05,,-0.0039931051433086395,691.0,32.54084396362305,0.00028701996780000627,396,,1763260096.3545542,-0.0025099515914916992,0.002910665236413479
71.71074604988098,24364,,,,229.0,,,,,425,229.0,1763260101.652077,,
74.70167088508606,25760,,,,136.0,,,,,441,136.0,1763260104.6430018,,
76.1438205242157,26409,,,,193.0,,,,,450,193.0,1763260106.0851514,,
79.64681577682495,28023,,,,142.0,,,,,471,142.0,1763260109.5881467,,
81.48983407020569,28928,0.6141720414161682,0.0,0.0008762925863265991,,0.004704099148511887,621.0,5.454684257507324,0.00028271888731978834,481,,1763260111.431165,0.9142518043518066,0.007355133071541786
82.75931358337402,29669,,,,149.0,,,,,490,149.0,1763260112.7006445,,
84.96644282341003,30720,0.5805675983428955,0.0,0.00046767015010118484,,-0.01748911663889885,614.0,9.264110565185547,0.00028164361719973385,504,,1763260114.9077737,0.7450852394104004,0.0007685152813792229
86.37212562561035,31581,,,,111.0,,,,,515,111.0,1763260116.3134565,,
88.5657639503479,32640,0.5910905599594116,0.0,0.00027183257043361664,,-0.00032116472721099854,608.0,6.192502498626709,0.00028049154207110405,530,,1763260118.5070949,0.4889206886291504,-0.005193047225475311
89.98251581192017,33408,0.5647044777870178,0.001953125,0.004174189642071724,,0.03668219596147537,606.0,67.08619689941406,0.00028003071201965213,539,,1763260119.9238467,0.7211136817932129,0.008830143138766289
91.30796504020691,34176,0.5146181583404541,0.0,0.0012678513303399086,,0.003991585224866867,606.0,118.888671875,0.0002795698819682002,547,,1763260121.249296,0.11396646499633789,0.005271620117127895
92.51983499526978,34816,0.5648336410522461,0.0,6.239861249923706e-06,,-0.0007127821445465088,604.0,5.9158244132995605,0.0002791858569253236,555,,1763260122.461166,-0.019090652465820312,-0.001061800867319107
93.02043390274048,35100,,,,132.0,,,,,559,132.0,1763260122.9617648,,
94.51333618164062,35968,0.5601681470870972,0.0,5.8288685977458954e-05,,-0.0013579055666923523,603.0,5.287843704223633,0.0002784946118481457,568,,1763260124.454667,0.11582905054092407,0.0030150609090924263
98.61229181289673,38400,0.5844932198524475,0.0,6.224401295185089e-05,,0.000429593026638031,603.0,4.533545017242432,0.00027703531668521464,595,,1763260128.5536227,-0.07721054553985596,0.0032737404108047485
101.26750683784485,40064,0.5774447321891785,0.0,0.0001300722360610962,,0.0031409747898578644,604.0,4.119776725769043,0.00027603688067756593,612,,1763260131.2088377,-0.12331223487854004,-0.006406648084521294
101.50873970985413,40264,,,,500.0,,,,,614,500.0,1763260131.4500706,,
104.00812649726868,41856,0.5277947187423706,0.0,0.001842697151005268,,0.0004395991563796997,606.0,2.8498644828796387,0.00027496161055751145,630,,1763260133.9494574,0.8835368156433105,-0.006545408628880978
104.84970593452454,42368,0.5555206537246704,0.0,0.00021118763834238052,,-0.004451565444469452,606.0,3.3770008087158203,0.00027465439052321017,636,,1763260134.7910368,0.03497719764709473,-0.00012147519737482071
105.50074243545532,42752,0.52074134349823,0.0,0.0008767014369368553,,-0.01043904572725296,605.0,47.0705680847168,0.0002744239754974842,640,,1763260135.4420733,0.7900799512863159,0.011180107481777668
107.05212187767029,43738,,,,283.0,,,,,650,283.0,1763260136.9934528,,
109.72208714485168,45184,0.5900251269340515,0.0,0.001244381070137024,,-0.012365903705358505,604.0,2.1602978706359863,0.0002729646803345531,664,,1763260139.663418,-0.01958179473876953,0.014320096001029015
113.22238993644714,46976,0.5195319056510925,0.0,0.0010314416140317917,,-0.00871226005256176,600.0,106.05216979980469,0.00027188941021449864,684,,1763260143.1637208,-0.00021791458129882812,0.005494618788361549
114.15008854866028,47488,0.5615581274032593,0.0,0.0001476295292377472,,-0.006780620664358139,599.0,166.2954559326172,0.00027158219018019736,689,,1763260144.0914195,-0.0007828474044799805,0.0028059128671884537
115.62600755691528,48295,,,,500.0,,,,,698,500.0,1763260145.5673385,,
116.47963690757751,48768,0.5549074411392212,0.0,0.0001238761469721794,,-0.0009760260581970215,598.0,1.4932286739349365,0.00027081414009444416,702,,1763260146.4209678,-0.01655733585357666,-0.0012114187702536583
117.23868370056152,49270,,,,475.0,,,,,707,475.0,1763260147.1800146,,
121.21087002754211,51456,0.5765804648399353,0.0,0.0009588887915015221,,-0.006150290369987488,596.0,1.0120958089828491,0.00026920123491436243,729,,1763260151.152201,-0.014808177947998047,-0.005199099890887737
125.77932977676392,54104,,,,500.0,,,,,757,500.0,1763260155.7206607,,
126.67692422866821,54528,0.5066880583763123,0.0,6.88815489411354e-05,,0.0003286600112915039,594.0,1.005371332168579,0.00026735791470855474,762,,1763260156.6182551,0.03834730386734009,-0.000851673074066639
127.58666181564331,55040,0.4910537004470825,0.0,0.0013745250180363655,,-0.008706241846084595,594.0,0.7010255455970764,0.00026705069467425346,767,,1763260157.5279927,-0.05413532257080078,0.005201197229325771
128.91794538497925,55808,0.5261139869689941,0.0,0.0007083369418978691,,-0.004487736150622368,593.0,80.85627746582031,0.00026658986462280154,775,,1763260158.8592763,-0.0016961097717285156,0.006710194982588291
131.1290900707245,57088,0.5081911087036133,0.00390625,0.005091002210974693,,-0.0061387233436107635,593.0,0.7039772272109985,0.00026582181453704834,788,,1763260161.070421,-0.6282771825790405,0.001166030764579773
132.67277669906616,57984,0.4700292944908142,0.0,0.0016445545479655266,,-0.0047732871025800705,593.0,10.963949203491211,0.0002652841794770211,797,,1763260162.6141076,0.44487810134887695,-0.005607345141470432
134.02300143241882,58752,0.47961944341659546,0.12109375,0.016629472374916077,,-0.03447224199771881,592.0,21.55557632446289,0.0002648233494255692,806,,1763260163.9643323,0.9458805918693542,0.028032124042510986
135.56347513198853,59648,0.43678808212280273,0.0,0.0008003134280443192,,-0.00028340891003608704,592.0,51.53428649902344,0.00026428571436554193,815,,1763260165.504806,0.19303244352340698,0.0035451482981443405
143.1279423236847,64191,,,,193.0,,,,,863,193.0,1763260173.0692732,,
144.47648072242737,64896,0.5734773278236389,0.0,0.0007508667185902596,,3.1191855669021606e-05,592.0,0.1218399852514267,0.0002611367090139538,872,,1763260174.4178116,-0.36180388927459717,0.013954880647361279
145.12467789649963,65280,0.5133245587348938,0.001953125,0.002040386199951172,,-0.021689962595701218,592.0,253.46385192871094,0.00026090629398822784,876,,1763260175.0660088,0.0037259459495544434,0.010480346158146858
152.4831244945526,69672,,,,239.0,,,,,922,239.0,1763260182.4244554,,
153.77401757240295,70442,,,,500.0,,,,,930,500.0,1763260183.7153485,,
155.18318891525269,71296,0.5460733771324158,0.0078125,0.002530171535909176,,0.011296242475509644,592.0,1.3020684719085693,0.0002572964585851878,938,,1763260185.1245198,0.8970199823379517,0.018602710217237473
155.64023113250732,71552,0.5477575063705444,0.025390625,0.011591753922402859,,-0.00755537673830986,592.0,2.0925090312957764,0.00025714284856803715,941,,1763260185.581562,0.9288066625595093,-0.021210715174674988
155.68607783317566,71559,,,,204.0,,,,,942,204.0,1763260185.6274087,,
156.57088804244995,72064,0.509488582611084,0.0,0.002291017211973667,,-0.008964378386735916,592.0,25.81696319580078,0.00025683562853373587,948,,1763260186.512219,0.8101071119308472,1.6598962247371674e-05
160.82787013053894,74624,0.5312528014183044,0.0,0.0005554677918553352,,-0.0007416456937789917,592.0,0.0020851525478065014,0.00025529952836222947,974,,1763260190.769201,-0.4607294797897339,-0.011807489208877087
161.70636701583862,75180,,,,500.0,,,,,980,500.0,1763260191.647698,,
162.55088567733765,75648,0.5876297950744629,0.0,0.00022428669035434723,,-0.003940105438232422,592.0,0.008754471316933632,0.0002546850882936269,985,,1763260192.4922166,0.2338505983352661,0.011486049741506577
164.23556971549988,76672,0.514174222946167,0.005859375,0.0031224777922034264,,0.000971134752035141,593.0,0.0027186055667698383,0.00025407064822502434,995,,1763260194.1769006,0.09987342357635498,0.015089410357177258
164.488703250885,76804,,,,500.0,,,,,997,500.0,1763260194.4300342,,
167.72039437294006,78720,0.5081636905670166,0.0,0.0015465663745999336,,-0.011562924832105637,592.0,0.00029473641188815236,0.0002528417680878192,1015,,1763260197.6617253,-0.11163496971130371,-0.009067161940038204
168.57844352722168,79232,0.46830153465270996,0.0,0.000273984856903553,,-0.005849521607160568,592.0,0.00013243959983810782,0.00025253454805351794,1020,,1763260198.5197744,0.1144784688949585,-0.005693045444786549
170.35528755187988,80304,,,,500.0,,,,,1031,500.0,1763260200.2966185,,
173.90935444831848,82304,0.485300749540329,0.0,0.0004608314484357834,500.0,-0.00415551383048296,592.0,495.0962829589844,0.0002506912569515407,1050,500.0,1763260203.8506854,0.000920712947845459,0.006632344797253609
174.54300832748413,82688,0.4853866994380951,0.00390625,0.0029021939262747765,,-0.013071391731500626,592.0,0.00043911367538385093,0.00025046084192581475,1053,,1763260204.4843392,-0.13664937019348145,0.004111642949283123
175.44298934936523,83200,0.404437780380249,0.00390625,0.0033416524529457092,,-0.017389722168445587,592.0,0.00021088073845021427,0.00025015362189151347,1058,,1763260205.3843203,-0.11016237735748291,0.008501414209604263
179.803302526474,85760,0.49273592233657837,0.017578125,0.008861962705850601,,-0.0019630827009677887,592.0,7.975367043400183e-05,0.00024861752172000706,1083,,1763260209.7446334,0.15227222442626953,-0.010123981162905693
181.0967869758606,86528,0.45538610219955444,0.00390625,0.0011594202369451523,,-0.004997417330741882,592.0,0.0034223732072860003,0.00024815669166855514,1091,,1763260211.038118,0.6065546274185181,0.0031207893043756485
183.67656111717224,88064,0.3622537851333618,0.0,8.063390851020813e-05,,-0.0017266497015953064,592.0,0.0009381342097185552,0.0002472350315656513,1106,,1763260213.617892,0.09054416418075562,0.002360258251428604
185.6177568435669,89304,,,,500.0,,,,,1118,500.0,1763260215.5590878,,
186.8307225704193,89984,0.42584171891212463,0.0,0.0010098172351717949,,0.011113651096820831,592.0,0.0040252599865198135,0.0002460829564370215,1125,,1763260216.7720535,0.4264204502105713,0.014724739827215672
188.1164150238037,90804,,,,500.0,,,,,1133,500.0,1763260218.057746,,
190.2203118801117,92032,0.41874033212661743,0.0,0.0014089541509747505,,-0.006000559777021408,592.0,0.004539438057690859,0.00024485407629981637,1145,,1763260220.1616428,-0.35114288330078125,0.008377299644052982
193.34531259536743,93952,0.46574777364730835,0.009765625,0.0020739994943141937,,-0.0028420761227607727,593.0,0.003901203628629446,0.00024370200117118657,1164,,1763260223.2866435,-0.1591283082962036,0.014721475541591644
193.54025959968567,94080,0.4602324366569519,0.0,0.00030260346829891205,,-0.003506585955619812,593.0,0.0007023041252978146,0.00024362519616261125,1165,,1763260223.4815905,0.23441380262374878,-0.0017365273088216782
194.61492371559143,94804,,,,500.0,,,,,1172,500.0,1763260224.5562546,,
196.19261622428894,95744,0.5121514201164246,0.00390625,0.00444445013999939,,0.007903672754764557,593.0,5.107998367748223e-05,0.00024262673105113208,1181,,1763260226.1339471,0.3178480863571167,-0.018526453524827957
197.02759861946106,96256,0.46501171588897705,0.0,0.000578438863158226,,-0.009720250964164734,593.0,0.00027615739963948727,0.0002423195110168308,1186,,1763260226.9689295,0.2701709270477295,0.0066117774695158005
198.6906979084015,97304,,,,500.0,,,,,1197,500.0,1763260228.6320288,,
201.6235535144806,99072,0.47828319668769836,0.0,0.00026502087712287903,,0.0024707186967134476,594.0,0.00015177160094026476,0.00024062980082817376,1213,,1763260231.5648844,0.19997000694274902,1.5271827578544617e-05
201.8658845424652,99304,,,,500.0,,,,,1215,500.0,1763260231.8072155,,
203.72174453735352,100352,0.49707069993019104,0.0,0.0027556270360946655,,-0.004888065159320831,594.0,198.22715759277344,0.00023986175074242055,1226,,1763260233.6630754,0.00014889240264892578,0.007233181968331337
204.3604052066803,100804,,,,500.0,,,,,1230,500.0,1763260234.301736,,
205.17277264595032,101248,0.4164932072162628,0.0,0.0002601686865091324,,0.0013464894145727158,594.0,0.00010623388516250998,0.0002393241156823933,1234,,1763260235.1141036,0.16912662982940674,0.0051741283386945724
206.87045192718506,102304,,,,500.0,,,,,1245,500.0,1763260236.8117828,,
208.46126127243042,103296,0.438015878200531,0.0,0.0016425950452685356,,-0.01587200164794922,595.0,0.00010395695426268503,0.0002380952355451882,1254,,1763260238.4025922,-0.4330538511276245,0.005114707164466381
211.2150456905365,104960,0.40917760133743286,0.00390625,0.003225076012313366,,-0.0075508723966777325,595.0,0.004908148664981127,0.00023709677043370903,1271,,1763260241.1563766,0.37779873609542847,0.009405963122844696
215.85550022125244,107804,,,,500.0,,,,,1299,500.0,1763260245.7968311,,
