_runtime,losses/approx_kl,losses/clipfrac,_step,global_step,losses/entropy,charts/episodic_return,charts/learning_rate,charts/episodic_length,losses/explained_variance,_timestamp,losses/old_approx_kl,losses/policy_loss,charts/SPS,losses/value_loss
36.76635265350342,,,0,0,,,,,,1763260066.8372357,,,,
37.70529317855835,0.0003696233034133911,0.0,7,128,0.692765474319458,,0.0003000000142492354,,0.01656198501586914,1763260067.7761762,-0.005143988877534866,-0.0028811031952500343,960.0,23.812103271484375
39.01419186592102,,,33,612,,20.0,,20.0,,1763260069.085075,,,,
39.556901931762695,,,41,890,,57.0,,57.0,,1763260069.627785,,,,
39.87591743469238,,,47,976,,19.0,,19.0,,1763260069.9468005,,,,
41.331408977508545,,,64,1540,,68.0,,68.0,,1763260071.402292,,,,
42.037697076797485,,,74,1890,,22.0,,22.0,,1763260072.10858,,,,
42.30428743362427,,,77,1967,,49.0,,49.0,,1763260072.3751705,,,,
43.239731550216675,0.0005810894072055817,0.0,88,2432,0.6556338667869568,,0.00029861752409487963,,0.11414843797683716,1763260073.3106146,-0.000982692465186119,0.007572293281555176,429.0,41.19187545776367
44.08071160316467,,,102,2995,,31.0,,31.0,,1763260074.1515946,,,,
44.233104944229126,,,104,3085,,90.0,,90.0,,1763260074.303988,,,,
46.41102361679077,,,133,4664,,131.0,,131.0,,1763260076.4819067,,,,
47.914950132369995,,,147,5695,,124.0,,124.0,,1763260077.9858332,,,,
48.12070107460022,,,149,5878,,183.0,,183.0,,1763260078.191584,,,,
48.26616907119751,7.164198905229568e-05,0.0,150,5888,0.6297425031661987,,0.000296543788863346,,0.21654623746871948,1763260078.337052,-0.00048650894314050674,-0.002576734870672226,550.0,36.97071075439453
48.79778456687927,1.628883183002472e-05,0.0,155,6272,0.5895423293113708,,0.00029631337383762,,-0.1652083396911621,1763260078.8686676,-0.0007010344415903091,0.0024563930928707123,558.0,36.54811477661133
48.8734073638916,,,157,6364,,82.0,,82.0,,1763260078.9442904,,,,
50.266685962677,0.00019471440464258194,0.0,172,7296,0.6073981523513794,,0.00029569893376901746,,0.27866530418395996,1763260080.337569,0.002357020042836666,-0.008579697459936142,574.0,36.25691223144531
52.138349294662476,,,195,8946,,130.0,,130.0,,1763260082.2092323,,,,
52.84065079689026,0.001635432243347168,0.0,203,9472,0.595402181148529,,0.000294393248623237,,0.4124497175216675,1763260082.9115338,-0.0038993656635284424,0.00896470621228218,620.0,30.471881866455078
53.582993030548096,0.0001708734780550003,0.0,213,10112,0.6366904973983765,,0.0002940092235803604,,0.6745254993438721,1763260083.653876,0.0036308635026216507,-0.01202966645359993,631.0,19.2202205657959
53.80886363983154,,,217,10315,,80.0,,80.0,,1763260083.8797467,,,,
54.64028263092041,0.0002712532877922058,0.0,228,11008,0.6232783794403076,,0.00029347158852033317,,0.5387434363365173,1763260084.7111657,0.0018097441643476486,0.004010975360870361,644.0,21.255626678466797
54.94040298461914,,,233,11319,,178.0,,178.0,,1763260085.011286,,,,
56.321699142456055,,,251,12525,,143.0,,143.0,,1763260086.3925822,,,,
56.953614473342896,,,259,13139,,274.0,,274.0,,1763260087.0244975,,,,
57.533616065979004,0.00016140099614858627,0.0,265,13568,0.5924359560012817,,0.00029193548834882677,,0.18092352151870728,1763260087.604499,-0.003586077131330967,-0.0017941147089004517,679.0,54.050174713134766
58.253491163253784,,,273,14197,,205.0,,205.0,,1763260088.3243742,,,,
58.36657214164734,4.163384437561035e-05,0.0,274,14208,0.6041269898414612,,0.00029155146330595016,,0.009160459041595459,1763260088.4374552,0.0009542685002088547,-0.0015342235565185547,683.0,29.113950729370117
59.999024629592896,,,292,15609,,272.0,,272.0,,1763260090.0699077,,,,
63.13537359237671,,,321,17707,,266.0,,266.0,,1763260093.2062566,,,,
64.03350019454956,,,327,18225,,254.0,,254.0,,1763260094.1043832,,,,
64.51983308792114,5.328003317117691e-05,0.0,330,18432,0.5722751617431641,,0.0002890168980229646,,0.18767237663269043,1763260094.5907161,0.0016633355990052223,-0.004129227250814438,683.0,26.044971466064453
64.80447721481323,2.6319175958633423e-06,0.0,332,18560,0.6110643148422241,,0.0002889400930143893,,0.05037003755569458,1763260094.8753603,-0.0005984511226415634,0.0008847042918205261,681.0,40.14274978637695
65.41063809394836,,,337,18939,,119.0,,119.0,,1763260095.4815211,,,,
65.89857387542725,3.473833203315735e-05,0.0,340,19072,0.5509289503097534,,0.000288632872980088,,0.532904863357544,1763260095.969457,-0.002755727618932724,0.0012352606281638145,673.0,22.323970794677734
70.24831509590149,0.003233586438000202,0.001953125,370,21120,0.5065500736236572,,0.00028740399284288287,,-0.00025463104248046875,1763260100.3191981,0.027379795908927917,-0.006338257342576981,646.0,86.15806579589844
71.05066275596619,,,375,21566,,120.0,,120.0,,1763260101.1215458,,,,
74.5940797328949,,,396,23382,,331.0,,331.0,,1763260104.6649628,,,,
79.08376359939575,,,425,25406,,207.0,,207.0,,1763260109.1546466,,,,
81.50233435630798,0.0001550242304801941,0.0,441,26624,0.5587266087532043,,0.0002841013774741441,,0.046934306621551514,1763260111.5732174,-0.005642825737595558,0.0006986632943153381,606.0,60.193946838378906
82.71905994415283,3.169756382703781e-05,0.0,450,27264,0.5592833757400513,,0.0002837173524312675,,0.9451242089271545,1763260112.789943,-0.0022398168221116066,0.0022534430027008057,603.0,7.1309123039245605
85.56988024711609,2.735201269388199e-05,0.0,471,28800,0.5464516282081604,,0.00028279569232836366,,0.9097332954406738,1763260115.6407633,-0.0005894871428608894,-0.0016479268670082092,600.0,6.774877548217773
