charts/episodic_return,_step,losses/approx_kl,losses/clipfrac,losses/explained_variance,_runtime,losses/value_loss,charts/learning_rate,losses/policy_loss,_timestamp,losses/entropy,charts/SPS,losses/old_approx_kl,global_step,charts/episodic_length
,203,3.404822200536728e-05,0.0,0.3389412760734558,54.496102809906006,28.177127838134766,0.0002932411734946072,0.0020487764850258827,1763260084.604467,0.5601824522018433,672.0,0.00038424599915742874,11392,
195.0,213,,,,55.197359800338745,,,,1763260085.305724,,,,12159,195.0
,217,0.0003905743360519409,0.0,0.31303876638412476,55.56527781486511,32.707763671875,0.00029262673342600465,-0.00698017468675971,1763260085.673642,0.5599775314331055,689.0,0.00028743594884872437,12416,
263.0,228,,,,56.58573532104492,,,,1763260086.6940994,,,,13426,263.0
,233,2.99820676445961e-05,0.0,-0.1608818769454956,57.064993381500244,24.89251708984375,0.0002917818783316761,-0.0021703243255615234,1763260087.1733575,0.49881377816200256,708.0,-0.0019686101004481316,13824,
,251,0.002024051733314991,0.001953125,-0.0032224655151367188,58.93659543991089,44.580833435058594,0.0002908602182287723,0.005616120994091034,1763260089.0449595,0.5033586025238037,718.0,0.0008160090073943138,15360,
,259,0.000451110303401947,0.0,-0.004086017608642578,59.76222109794617,49.46159362792969,0.0002904761931858957,0.0021609030663967133,1763260089.8705852,0.5145415663719177,720.0,0.005500113591551781,16000,
,265,0.0006026672199368477,0.0,-0.02843618392944336,60.618735790252686,20.25113868713379,0.0002900921681430191,0.0025225114077329636,1763260090.7271,0.5406849384307861,721.0,-0.0049937935546040535,16640,
323.0,273,,,,61.41437363624573,,,,1763260091.5227377,,,,17361,323.0
,274,6.519164890050888e-05,0.0,0.21455878019332886,61.56570625305176,36.860389709472656,0.00028963133809156716,-0.0006274431943893433,1763260091.6740704,0.4838413596153259,724.0,-0.002162535674870014,17408,
332.0,292,,,,64.29760527610779,,,,1763260094.4059694,,,,19174,332.0
,321,0.0002477513626217842,0.0,0.6884697675704956,70.04397249221802,11.120726585388184,0.00028686635778285563,-0.005398377776145935,1763260100.1523366,0.5466529726982117,677.0,-2.9525719583034515e-05,22016,
182.0,327,,,,70.92140769958496,,,,1763260101.0297718,,,,22468,182.0
224.0,330,,,,71.46103358268738,,,,1763260101.5693977,,,,22692,224.0
151.0,332,,,,71.76710510253906,,,,1763260101.8754692,,,,22843,151.0
199.0,337,,,,72.60443663597107,,,,1763260102.7128007,,,,23213,199.0
,340,4.5658089220523834e-05,0.0,0.8494126200675964,73.11715960502625,17.571819305419922,0.0002860215026885271,-3.968179225921631e-05,1763260103.2255237,0.5487086176872253,658.0,-0.00046096649020910263,23424,
,370,0.00019792187958955765,0.0,0.8530464172363281,79.12181997299194,11.806824684143066,0.00028433179249987006,-0.0028555840253829956,1763260109.230184,0.5690470337867737,631.0,0.0031708674505352974,26240,
,375,1.6829930245876312e-05,0.0,0.7828697562217712,80.10253071784973,21.003150939941406,0.0002840245724655688,-0.0016644354909658432,1763260110.2108948,0.5911051034927368,628.0,0.003047158010303974,26752,
184.0,396,,,,83.40267896652222,,,,1763260113.511043,,,,28584,184.0
,425,0.00022991187870502472,0.0,0.5943632125854492,87.78599214553833,5.366721153259277,0.00028156681219115853,-0.005133140832185745,1763260117.8943563,0.5617316961288452,614.0,0.0026533156633377075,30848,
220.0,441,,,,90.03759837150574,,,,1763260120.1459625,,,,32002,220.0
150.0,450,,,,91.27578520774841,,,,1763260121.3841493,,,,32708,150.0
355.0,471,,,,94.55019736289978,,,,1763260124.6585615,,,,34453,355.0
183.0,481,,,,95.95091843605042,,,,1763260126.0592825,,,,35268,183.0
151.0,490,,,,97.0859375,,,,1763260127.1943016,,,,35855,151.0
201.0,504,,,,98.89431023597717,,,,1763260129.0026743,,,,36990,201.0
,515,4.534609615802765e-05,0.0,0.9765030741691589,100.37711191177368,3.557432174682617,0.00027741934172809124,-0.0019427835941314697,1763260130.485476,0.6278743147850037,600.0,0.0023757033050060272,37760,
,530,1.8825754523277283e-05,0.0,0.9800276160240173,102.46472430229187,7.316583156585693,0.00027665129164233804,-0.002597060054540634,1763260132.5730884,0.5945690274238586,601.0,0.0007040426135063171,39040,
,539,3.147963434457779e-05,0.0,0.48220521211624146,103.61908888816833,67.22040557861328,0.00027619049069471657,0.0001303553581237793,1763260133.727453,0.5972535014152527,602.0,0.0017549367621541023,39808,
,547,0.0015296312049031258,0.0,0.8442118763923645,104.67263960838318,27.766803741455078,0.00027580646565183997,-0.014517918229103088,1763260134.7810037,0.5907384753227234,602.0,-0.006385701708495617,40448,
,555,1.8580816686153412e-05,0.0,-0.3034658432006836,105.94405770301819,2.099318504333496,0.00027534563560038805,0.001618117094039917,1763260136.0524218,0.6149101257324219,602.0,-0.002078344114124775,41216,
,559,0.0015703793615102768,0.0,-0.06580197811126709,106.5700364112854,2.045271873474121,0.0002751152205746621,0.0020889565348625183,1763260136.6784005,0.570800244808197,602.0,0.001132972538471222,41600,
,568,0.00011977832764387131,0.0,0.18400335311889648,108.12217259407043,1.503777027130127,0.00027457758551463485,0.004197560250759125,1763260138.2305367,0.5322868824005127,602.0,0.0014857584610581398,42496,
,595,0.000828075222671032,0.0,0.002858281135559082,113.17778658866882,123.7417221069336,0.0002729646803345531,0.010519050061702728,1763260143.2861507,0.5234342217445374,597.0,-0.015585062094032764,45184,
500.0,612,,,,116.18885827064514,,,,1763260146.2972224,,,,46882,500.0
,614,0.0006474284455180168,0.0,-0.1190110445022583,116.64102745056152,0.8589299321174622,0.0002718126052059233,0.004636634141206741,1763260146.7493916,0.507283627986908,595.0,0.004440006799995899,47104,
,630,0.00018626824021339417,0.0,-0.0011360645294189453,119.30965924263,0.6542951464653015,0.0002708909451030195,0.0005179131403565407,1763260149.4180233,0.5016767382621765,594.0,-0.00012934207916259766,48640,
