losses/old_approx_kl,global_step,_timestamp,losses/clipfrac,charts/episodic_length,charts/learning_rate,losses/explained_variance,_runtime,losses/approx_kl,losses/policy_loss,charts/episodic_return,losses/value_loss,_step,charts/SPS,losses/entropy
,0,1763260064.5482538,,,,,34.60693073272705,,,,,0,,
,107,1763260065.4154475,,10.0,,,35.47412443161011,,,10.0,,7,,
-0.007269637659192085,640,1763260066.2096274,0.0,,0.0002996927942149341,0.0032725930213928223,36.26830434799194,0.0007801894098520279,-0.004123404622077942,,25.813045501708984,33,759.0,0.6785641312599182
,857,1763260066.4236114,,14.0,,,36.4822883605957,,,14.0,,41,,
,990,1763260066.6080916,,29.0,,,36.6667685508728,,,29.0,,47,,
,1512,1763260067.924852,,24.0,,,37.98352885246277,,,24.0,,64,,
0.0033118296414613724,1920,1763260068.8095553,0.0,,0.0002989247441291809,0.003893136978149414,38.86823225021362,0.0009201522916555405,-0.011279977858066559,,32.832679748535156,74,557.0,0.5870789885520935
,2080,1763260069.0745733,,101.0,,,39.13325023651123,,,101.0,,77,,
,2672,1763260070.0619829,,164.0,,,40.120659828186035,,,164.0,,88,,
-0.006935247220098972,3584,1763260071.8369186,0.001953125,,0.00029792627901770175,0.26981788873672485,41.89559555053711,0.001331397332251072,0.0032606124877929688,,38.376163482666016,102,553.0,0.6015564799308777
0.0013415208086371422,3712,1763260072.0667593,0.0,,0.0002978494740091264,0.08981221914291382,42.125436305999756,0.00013544317334890366,-0.0007532015442848206,,35.138153076171875,104,554.0,0.6091395020484924
,5763,1763260074.8819532,,97.0,,,44.940630197525024,,,97.0,,133,,
,6802,1763260076.182439,,124.0,,,46.24111604690552,,,124.0,,147,,
,6998,1763260076.3589094,,196.0,,,46.41758632659912,,,196.0,,149,,
0.006429802626371384,7040,1763260076.48303,0.0,,0.0002958525437861681,-0.06167125701904297,46.541707038879395,0.0004951227456331253,-0.004752606153488159,,33.347198486328125,150,633.0,0.530651867389679
,7368,1763260076.885594,,135.0,,,46.944270849227905,,,135.0,,155,,
,7486,1763260077.0465622,,118.0,,,47.105239152908325,,,118.0,,157,,
,8525,1763260078.6195889,,220.0,,,48.67826581001282,,,220.0,,172,,
-0.0006488552317023277,10240,1763260080.9030356,0.0,,0.0002939324185717851,0.8418372273445129,50.96171259880066,7.744599133729935e-05,0.0004953891038894653,,30.531627655029297,195,659.0,0.583305835723877
-0.006053289398550987,10880,1763260081.6432405,0.015625,,0.0002935483935289085,0.5426239967346191,51.70191740989685,0.002583695575594902,0.0023124292492866516,,25.39725112915039,203,668.0,0.542377769947052
-0.0006483672186732292,11392,1763260082.3395898,0.0,,0.0002932411734946072,0.12689423561096191,52.39826679229736,2.1393410861492157e-05,-0.001822490245103836,,42.650821685791016,213,671.0,0.5036593675613403
,11638,1763260082.5543056,,78.0,,,52.612982511520386,,,78.0,,217,,
-0.00016053859144449234,12288,1763260083.4358642,0.0,,0.00029270353843457997,0.32310402393341064,53.49454116821289,3.754161298274994e-06,0.0005639567971229553,,26.00711441040039,228,680.0,0.5384904146194458
-0.0017969151958823204,12544,1763260083.8045022,0.0,,0.00029254992841742933,0.33951449394226074,53.863179206848145,0.0002369871363043785,-0.0036429762840270996,,32.58063507080078,233,680.0,0.576657772064209
,13816,1763260085.1739166,,127.0,,,55.23259353637695,,,127.0,,251,,
,14313,1763260085.7533522,,90.0,,,55.812029123306274,,,90.0,,259,,
0.00022570230066776276,14592,1763260086.2638676,0.0,,0.0002913210482802242,0.12840193510055542,56.32254457473755,2.6131048798561096e-05,-0.0012559257447719574,,40.69242858886719,265,698.0,0.5092393159866333
0.003954226151108742,15104,1763260086.819894,0.0,,0.0002910138282459229,0.4512729048728943,56.87857103347778,2.6943162083625793e-05,-0.0011457176879048347,,21.246383666992188,273,704.0,0.5132870674133301
,15105,1763260086.8476458,,215.0,,,56.906322717666626,,,215.0,,274,,
0.0022466937080025673,16256,1763260088.4257193,0.0,,0.00029032258316874504,0.8904697895050049,58.48439621925354,0.0002779560163617134,-0.007077682763338089,,11.49981689453125,292,704.0,0.5051640868186951
,18309,1763260091.1260767,,463.0,,,61.18475365638733,,,463.0,,321,,
,18796,1763260091.7302861,,25.0,,,61.788963079452515,,,25.0,,327,,
-0.000343850813806057,18944,1763260092.0413294,0.0,,0.0002887096779886633,0.971599817276001,62.100006341934204,3.488082438707352e-05,-0.002129003405570984,,6.736709117889404,330,710.0,0.4963878095149994
,19066,1763260092.151257,,117.0,,,62.20993399620056,,,117.0,,332,,
-0.006410407833755016,19456,1763260092.9592886,0.009765625,,0.00028840245795436203,0.7228338718414307,63.01796555519104,0.005153045058250427,-0.011875882744789124,,14.321329116821289,337,705.0,0.608119785785675
,19616,1763260093.2399318,,113.0,,,63.29860877990723,,,113.0,,340,,
0.002697954885661602,22272,1763260098.4029596,0.0,,0.000286712747765705,0.7014123201370239,68.46163654327393,0.0018920795992016792,-0.009538497775793076,,12.704667091369629,370,674.0,0.6361624598503113
-0.0005475673824548721,22656,1763260099.2249718,0.0,,0.00028648233273997903,0.06743782758712769,69.28364872932434,8.76355916261673e-05,0.0014999434351921082,,12.805527687072754,375,669.0,0.6168354153633118
,24244,1763260102.596734,,139.0,,,72.65541100502014,,,139.0,,396,,
,26276,1763260107.157399,,245.0,,,77.2160758972168,,,245.0,,425,,
,27728,1763260110.0956569,,500.0,,,80.15433382987976,,,500.0,,441,,
,28451,1763260111.5109916,,346.0,,,81.56966853141785,,,346.0,,450,,
-0.004108321852982044,30336,1763260115.004684,0.0,,0.0002818740322254598,0.7840489149093628,85.06336092948914,0.000369989313185215,0.0009548366069793701,,6.9284234046936035,471,611.0,0.5678103566169739
,31191,1763260116.4591732,,310.0,,,86.51785016059875,,,310.0,,481,,
-0.0039494941011071205,32000,1763260118.0146494,0.0,,0.00028087556711398065,0.09474009275436401,88.07332634925842,0.00042883027344942093,0.008521482348442078,,62.3126220703125,490,607.0,0.5410535335540771
-0.003560975193977356,33408,1763260120.4437668,0.0078125,,0.00028003071201965213,0.15613394975662231,90.50244379043579,0.0010094381868839264,0.002753913402557373,,32.33397674560547,504,606.0,0.5514364838600159
0.002725190483033657,34560,1763260122.3583074,0.0,,0.00027933946694247425,0.9207980632781982,92.41698431968689,4.2525120079517365e-05,-0.00034365616738796234,,3.310933828353882,515,606.0,0.5426300168037415
0.0030557289719581604,35968,1763260124.7056327,0.0,,0.0002784946118481457,0.001053452491760254,94.7643096446991,0.001194637268781662,-0.008070975542068481,,36.261661529541016,530,606.0,0.5425949096679688
,36886,1763260126.202975,,500.0,,,96.26165199279785,,,500.0,,539,,
,37689,1763260127.4815416,,500.0,,,97.54021859169006,,,500.0,,547,,
0.002672327682375908,38400,1763260128.7247036,0.0,,0.00027703531668521464,0.08232486248016357,98.78338050842285,0.0001861676573753357,0.001319941133260727,,89.47716522216797,555,606.0,0.48628103733062744
0.0024052485823631287,38784,1763260129.36346,0.0,,0.0002768049016594887,0.10460329055786133,99.42213702201843,0.00014763511717319489,-0.0011329948902130127,,3.453000068664551,559,606.0,0.5019213557243347
-0.004787934944033623,39680,1763260130.7733054,0.0,,0.00027626726659946144,0.8798422813415527,100.83198237419128,0.00025660358369350433,0.004632690921425819,,2.8221890926361084,568,606.0,0.49246570467948914
0.02551967278122902,41856,1763260134.3056068,0.04296875,,0.00027496161055751145,0.977928638458252,104.36428380012512,0.00448580551892519,-0.016181156039237976,,4.7353363037109375,595,607.0,0.5129181742668152
0.016280261799693108,43392,1763260136.8408864,0.00390625,,0.0002740399504546076,-0.03527510166168213,106.89956331253052,0.004270872101187706,0.003124590963125229,,209.54026794433594,612,607.0,0.49277371168136597
0.0017138822004199028,43648,1763260137.256175,0.0,,0.00027388634043745697,0.6936963796615601,107.31485199928284,0.0001591155305504799,0.0016994364559650421,,1.8369852304458618,614,607.0,0.4517737329006195
,45168,1763260139.8758557,,228.0,,,109.9345326423645,,,228.0,,630,,
,45629,1763260140.894589,,214.0,,,110.95326590538025,,,214.0,,636,,
,45964,1763260141.6486762,,335.0,,,111.70735311508179,,,335.0,,640,,
0.06192006915807724,46848,1763260143.3261747,0.05078125,,0.00027196621522307396,0.6224100589752197,113.38485169410706,0.009306502528488636,-0.04015251249074936,,122.90819549560547,650,600.0,0.47126317024230957
,48334,1763260145.8079035,,500.0,,,115.86658048629761,,,500.0,,664,,
-0.0030041299760341644,50176,1763260149.1984112,0.0,,0.00026996928500011563,-0.11368083953857422,119.25708818435669,0.0006297696381807327,-0.002232816070318222,,0.6273635625839233,684,598.0,0.4218687117099762
0.004395563155412674,50688,1763260150.0791924,0.001953125,,0.00026966206496581435,0.2980499267578125,120.13786935806274,0.002220887690782547,0.005878079682588577,,0.616716742515564,689,598.0,0.4412529468536377
0.009699388407170773,51456,1763260151.4858353,0.001953125,,0.00026920123491436243,0.9683387279510498,121.5445122718811,0.0018040360882878304,-0.008596368134021759,,1.8529746532440186,698,597.0,0.3831560015678406
,51732,1763260151.9802017,,242.0,,,122.03887867927551,,,242.0,,702,,
-0.00014405325055122375,52224,1763260152.8658457,0.0,,0.0002687404048629105,-0.15901362895965576,122.92452263832092,0.00014907121658325195,0.0012213345617055893,,0.427042692899704,707,596.0,0.38176095485687256
0.0021065939217805862,54400,1763260156.662207,0.0,,0.00026743471971713006,0.9449869990348816,126.72088384628296,0.0013299193233251572,-0.006589375436306,,0.5950325131416321,729,595.0,0.45372262597084045
,56942,1763260161.0481994,,332.0,,,131.10687637329102,,,332.0,,757,,
0.00044553540647029877,57344,1763260161.9014769,0.0,,0.0002656682045198977,-0.28231918811798096,131.9601538181305,8.417293429374695e-05,-0.0029932521283626556,,0.11559107899665833,762,594.0,0.37775561213493347
-0.0012185191735625267,57856,1763260162.7450793,0.0,,0.0002653609844855964,-0.6374456882476807,132.80375623703003,0.0007282188162207603,-0.0047226399183273315,,0.0710868388414383,767,594.0,0.40002912282943726
