losses/policy_loss,losses/explained_variance,losses/entropy,charts/learning_rate,_runtime,losses/old_approx_kl,_step,losses/approx_kl,charts/episodic_length,global_step,charts/episodic_return,charts/SPS,losses/clipfrac,losses/value_loss,_timestamp
,,,,36.754584312438965,,0,,,0,,,,,1763260066.8453233
-0.00281715951859951,0.0891348123550415,0.6927346587181091,0.0003000000142492354,37.67863631248474,-0.00058714859187603,7,0.00046442262828350067,,128,,1007.0,0.0,21.613677978515625,1763260067.7693753
,,,,39.0258424282074,,33,,16.0,594,16.0,,,,1763260069.1165814
-0.0011140108108520508,0.04148596525192261,0.6906686425209045,0.0002996159892063588,39.59725284576416,-0.0012801382690668106,41,2.948753535747528e-05,,768,,375.0,0.0,26.322938919067383,1763260069.6879919
,,,,39.92173171043396,,47,,9.0,902,9.0,,,,1763260070.0124707
-0.023776620626449585,0.04068648815155029,0.6621924638748169,0.0002993087691720575,41.06722593307495,0.005050824023783207,64,0.005232052877545357,,1280,,364.0,0.005859375,23.83153533935547,1763260071.157965
-0.021207744255661964,-0.00837695598602295,0.6323615908622742,0.00029907835414633155,41.92832541465759,-0.0030779968947172165,74,0.0014312323182821274,,1664,,380.0,0.0,36.756229400634766,1763260072.0190644
-0.029612883925437927,-0.04026651382446289,0.6248204708099365,0.00029900154913775623,42.20074486732483,0.0046162474900484085,77,0.0013989321887493134,,1792,,385.0,0.0,42.20588684082031,1763260072.2914839
,,,,43.14146637916565,,88,,143.0,2424,143.0,,,,1763260073.2322054
,,,,44.08572816848755,,102,,22.0,3004,22.0,,,,1763260074.1764672
-0.0015297569334506989,0.0052024126052856445,0.6148427724838257,0.000298233499052003,44.26542687416077,-0.0009771138429641724,104,0.00025832466781139374,,3072,,457.0,0.0,25.787939071655273,1763260074.356166
,,,,46.33800911903381,,133,,255.0,4536,255.0,,,,1763260076.4287481
,,,,47.57713532447815,,147,,180.0,5259,180.0,,,,1763260077.6678743
,,,,47.66065430641174,,149,,46.0,5367,46.0,,,,1763260077.7513933
-0.00023665279150009155,0.1372075080871582,0.5746724605560303,0.00029685100889764726,47.80773091316223,0.000632978044450283,150,1.8338672816753387e-05,,5376,,524.0,0.0,19.66446304321289,1763260077.89847
-0.010676242411136627,0.5485703945159912,0.613237738609314,0.0002966973988804966,48.231635332107544,0.0068914033472537994,155,0.00039671920239925385,,5632,,527.0,0.0,28.574268341064453,1763260078.3223743
,,,,48.30460548400879,,157,,34.0,5745,34.0,,,,1763260078.3953445
,,,,49.79805517196655,,172,,224.0,6782,224.0,,,,1763260079.8887942
,,,,51.55410313606262,,195,,86.0,8086,86.0,,,,1763260081.6448421
0.0018096156418323517,-0.030462145805358887,0.6016018390655518,0.00029485407867468894,52.28224802017212,-0.002056397497653961,203,5.3668394684791565e-05,,8704,,590.0,0.0,38.63652801513672,1763260082.372987
,,,,53.073880672454834,,213,,129.0,9370,129.0,,,,1763260083.1646197
-0.003663409501314163,0.3646507263183594,0.5693609714508057,0.0002942396386060864,53.492730140686035,-0.011146281845867634,217,0.000940403901040554,,9728,,610.0,0.0,31.282920837402344,1763260083.5834692
0.006768152117729187,-0.010205268859863281,0.5549430251121521,0.00029370200354605913,54.48395371437073,-0.009056680835783482,228,0.0005181459710001945,,10624,,627.0,0.0,25.603471755981445,1763260084.5746927
,,,,54.76591348648071,,233,,114.0,10914,114.0,,,,1763260084.8566525
,,,,56.155651569366455,,251,,175.0,12148,175.0,,,,1763260086.2463906
-0.019624169915914536,0.8517841100692749,0.5953813791275024,0.0002923963184002787,56.84837532043457,0.003148299641907215,259,0.0021269330754876137,,12800,,663.0,0.0,14.568499565124512,1763260086.9391143
-0.000768544152379036,0.09187012910842896,0.5800231099128723,0.0002920890983659774,57.41627764701843,-0.0009565018117427826,265,3.455020487308502e-05,,13312,,670.0,0.0,25.985708236694336,1763260087.5070167
,,,,58.18563151359558,,273,,92.0,13957,92.0,,,,1763260088.2763705
-0.004754706285893917,0.07654190063476562,0.5524839162826538,0.0002916282683145255,58.32598352432251,0.0015983693301677704,274,2.3419037461280823e-05,,14080,,677.0,0.0,31.49282455444336,1763260088.4167225
,,,,60.05864667892456,,292,,271.0,15521,271.0,,,,1763260090.1493857
-0.001129351556301117,0.3987356424331665,0.5559318661689758,0.0002893241180572659,63.3327476978302,0.011210774071514606,321,0.0013068104162812233,,17920,,695.0,0.0,17.912761688232422,1763260093.4234867
