losses/clipfrac,_runtime,_timestamp,charts/episodic_length,losses/explained_variance,losses/entropy,losses/approx_kl,losses/value_loss,losses/policy_loss,losses/old_approx_kl,charts/SPS,charts/episodic_return,_step,global_step,charts/learning_rate
,35.91926050186157,1763260126.0903754,,,,,,,,,,0,0,
,37.0301079750061,1763260127.201223,17.0,,,,,,,,17.0,7,148,
,39.77556920051575,1763260129.9466841,17.0,,,,,,,,17.0,33,714,
0.0,40.67855215072632,1763260130.849667,,-0.046520233154296875,0.6774102449417114,0.0003865854814648628,81.97528076171875,-0.01224483735859394,-0.0009078057482838631,228.0,,41,896,0.00029953918419778347
,41.18048453330994,1763260131.3515995,121.0,,,,,,,,121.0,47,1130,
0.0,43.12877535820007,1763260133.2998903,,0.008020758628845215,0.6313273906707764,0.0007602572441101074,50.14588928222656,0.00463389977812767,0.003051815554499626,261.0,,64,1664,0.00029907835414633155
,44.10629868507385,1763260134.2774136,27.0,,,,,,,,27.0,74,1974,
,44.47288942337036,1763260134.6440043,121.0,,,,,,,,121.0,77,2133,
,45.86291694641113,1763260136.0340319,47.0,,,,,,,,47.0,88,2589,
0.0,47.48184680938721,1763260137.6529617,,0.06679755449295044,0.6202625036239624,0.001057446002960205,73.90911102294922,0.004689380526542664,0.010060736909508705,286.0,,102,3072,0.000298233499052003
,47.574546337127686,1763260137.7456613,68.0,,,,,,,,68.0,104,3146,
,51.21703219413757,1763260141.388147,85.0,,,,,,,,85.0,133,4477,
,53.20276474952698,1763260143.3738797,124.0,,,,,,,,124.0,147,5145,
,53.50591492652893,1763260143.6770298,126.0,,,,,,,,126.0,149,5271,
,53.565107583999634,1763260143.7362225,83.0,,,,,,,,83.0,150,5354,
,54.2368803024292,1763260144.4079952,116.0,,,,,,,,116.0,155,5590,
0.0,54.54326939582825,1763260144.7143843,,-0.03533351421356201,0.5782063007354736,0.0005063842982053757,85.79561614990234,0.0016968697309494019,0.009260278195142746,316.0,,157,5632,0.0002966973988804966
0.0078125,56.928691387176514,1763260147.0998063,,0.28793811798095703,0.5847232341766357,0.0067634545266628265,151.19287109375,-0.02459382824599743,0.024839283898472786,329.0,,172,6656,0.00029608295881189406
0.0,59.88715314865112,1763260150.058268,,0.02321755886077881,0.549175500869751,0.00015020649880170822,84.97916412353516,0.0005342662334442139,-0.0009472882375121117,343.0,,195,7936,0.00029531490872614086
0.0,60.997228145599365,1763260151.168343,,0.810526967048645,0.5792280435562134,6.418675184249878e-06,66.78587341308594,-0.0013958513736724854,0.0009786095470190048,348.0,,203,8448,0.0002950076886918396
,62.25345277786255,1763260152.4245677,98.0,,,,,,,,98.0,213,8962,
0.0,63.01335835456848,1763260153.1844733,,0.15204370021820068,0.5591589212417603,0.0013571660965681076,111.09615325927734,0.011747434735298157,-0.0038907304406166077,355.0,,217,9344,0.00029447005363181233
,64.35375738143921,1763260154.5248723,57.0,,,,,,,,57.0,228,10108,
0.0,65.47177934646606,1763260155.6428943,,0.01862812042236328,0.5739649534225464,0.00021703727543354034,132.03013610839844,-0.005663730204105377,0.005002720281481743,370.0,,233,10624,0.00029370200354605913
0.0,68.50461053848267,1763260158.6757255,,-0.020307540893554688,0.5454148650169373,0.0021760743111371994,124.93097686767578,-0.029202912002801895,0.008977007120847702,387.0,,251,12288,0.00029270353843457997
,69.39592862129211,1763260159.5670435,107.0,,,,,,,,107.0,259,12825,
0.0,70.45742297172546,1763260160.628538,,0.015390515327453613,0.5536603927612305,3.0153430998325348e-05,101.4074935913086,0.00031327083706855774,0.0024770619347691536,395.0,,265,13312,0.0002920890983659774
0.009765625,71.86816596984863,1763260162.039281,,0.035667240619659424,0.49016645550727844,0.003323027864098549,90.38948822021484,-0.027597244828939438,0.023826036602258682,397.0,,273,13952,0.0002917050733231008
,71.90265107154846,1763260162.073766,57.0,,,,,,,,57.0,274,13976,
0.0,74.94867134094238,1763260165.1197863,,0.030241727828979492,0.507714033126831,2.345070242881775e-06,102.89260864257812,0.00017395615577697754,9.137764573097229e-05,398.0,,292,15232,0.0002909370232373476
,80.05562233924866,1763260170.2267373,162.0,,,,,,,,162.0,321,17173,
,80.94713973999023,1763260171.1182547,143.0,,,,,,,,143.0,327,17548,
0.001953125,81.48159599304199,1763260171.652711,,0.1427077054977417,0.5212730169296265,0.002094399183988571,72.49446105957031,0.027593620121479034,-0.0014182962477207184,397.0,,330,17792,0.0002894009230658412
,81.77537822723389,1763260171.9464931,214.0,,,,,,,,214.0,332,17951,
,82.45149445533752,1763260172.6226094,152.0,,,,,,,,152.0,337,18293,
0.0,82.99096584320068,1763260173.1620808,,0.7216451168060303,0.562065839767456,0.00010910071432590485,42.57473373413086,-0.0009971195831894875,0.0018877778202295303,398.0,,340,18432,0.0002890168980229646
,87.99848103523254,1763260178.169596,184.0,,,,,,,,184.0,370,20759,
,88.828861951828,1763260178.9999769,148.0,,,,,,,,148.0,375,21198,
0.0,92.78840041160583,1763260182.9595153,,0.000796973705291748,0.5573516488075256,0.001002705655992031,133.55209350585938,-0.009018391370773315,-0.003297894261777401,411.0,,396,23040,0.00028625191771425307
0.0,98.35238456726074,1763260188.5234995,,-0.08111381530761719,0.5739736557006836,0.00017514731734991074,46.533302307128906,-0.006942916661500931,0.00023754965513944626,417.0,,425,25728,0.00028463901253417134
0.0,101.1859142780304,1763260191.3570292,,0.004071354866027832,0.5244665741920471,7.759314030408859e-05,45.4468994140625,0.0010664984583854675,0.000691794790327549,421.0,,441,27136,0.0002837941574398428
0.0,102.93268060684204,1763260193.1037955,,0.6724545955657959,0.5804109573364258,5.083531141281128e-05,35.366634368896484,-0.0013052970170974731,-0.00020651891827583313,423.0,,450,28032,0.0002832565223798156
0.0,106.74787783622742,1763260196.9189928,,0.4484331011772156,0.5770648717880249,3.574695438146591e-05,33.516204833984375,0.0015909308567643166,0.0011159861460328102,426.0,,471,29824,0.0002821812522597611
0.0,108.39475893974304,1763260198.5658739,,0.8827028274536133,0.5746268630027771,0.0028350288048386574,36.792938232421875,-0.012741699814796448,0.016932591795921326,427.0,,481,30592,0.0002817204222083092
0.0,110.0393590927124,1763260200.210474,,0.17703741788864136,0.5032283067703247,0.00028366222977638245,31.522993087768555,0.002959422767162323,0.0035201460123062134,427.0,,490,31360,0.00028125959215685725
0.0,112.53909826278687,1763260202.7102132,,0.8786378502845764,0.5698916912078857,1.4903023838996887e-05,26.819252014160156,-0.0003458783030509949,-0.0006893165409564972,429.0,,504,32512,0.00028056834707967937
0.0,114.67096710205078,1763260204.842082,,0.18289637565612793,0.5772672891616821,0.0011826502159237862,29.096677780151367,-0.006965935230255127,-0.005697106011211872,430.0,,515,33536,0.0002799539070110768
0.0,117.17518258094788,1763260207.3462975,,0.05970406532287598,0.5468693971633911,3.6388635635375977e-05,139.8247833251953,1.5016645193099976e-05,-0.0002224799245595932,431.0,,530,34688,0.0002792626619338989
0.0,119.01434183120728,1763260209.1854568,,0.05126827955245972,0.594403862953186,0.0019392957910895348,21.3157901763916,0.010127559304237366,0.015960965305566788,432.0,,539,35584,0.0002787250268738717
