losses/clipfrac,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,_timestamp,losses/entropy,charts/episodic_length,losses/value_loss,global_step,charts/learning_rate,charts/episodic_return,_runtime,_step,charts/SPS,losses/approx_kl
,,,,1763260115.7618542,,,,0,,,24.75669026374817,0,,
,,,,1763260120.3378472,,10.0,,107,,10.0,29.332683324813843,7,,
,,,,1763260122.9426448,,20.0,,715,,20.0,31.937480926513672,33,,
0.0,-0.0023488029837608337,-0.005588174797594547,-0.02778935432434082,1763260123.782578,0.6415349245071411,,49.596839904785156,896,0.00029953918419778347,,32.777414083480835,41,206.0,0.0014687469229102135
,,,,1763260124.1198475,,20.0,,1017,,20.0,33.114683628082275,47,,
,,,,1763260126.2715373,,26.0,,1513,,26.0,35.2663733959198,64,,
0.0,-0.0001141279935836792,-0.00832782220095396,-0.005803823471069336,1763260128.133111,0.5748178362846375,,80.22715759277344,1920,0.0002989247441291809,,37.127947092056274,74,220.0,0.0009883241727948189
,,,,1763260128.3146513,,54.0,,2039,,54.0,37.30948734283447,77,,
,,,,1763260130.113566,,142.0,,2662,,142.0,39.10840201377869,88,,
0.0,0.00418052077293396,-0.001624436117708683,-0.009368658065795898,1763260131.9930654,0.6287546753883362,,36.518768310546875,3328,0.0002980798890348524,,40.98790144920349,102,264.0,0.00026056449860334396
0.0,0.00030326470732688904,0.00024087633937597275,-0.03039729595184326,1763260132.3077595,0.6272720098495483,,121.91322326660156,3456,0.00029800308402627707,,41.30259561538696,104,268.0,1.0775402188301086e-06
0.0,-0.0007544886320829391,0.001036565750837326,0.033155858516693115,1763260135.9659731,0.5982531905174255,,96.03492736816406,4864,0.00029715822893194854,,44.96080923080444,133,294.0,5.5225566029548645e-05
,,,,1763260137.9000528,,158.0,,5713,,158.0,46.89488887786865,147,,
,,,,1763260138.1771288,,54.0,,5767,,54.0,47.17196488380432,149,,
,,,,1763260138.2383723,,59.0,,5826,,59.0,47.233208417892456,150,,
,,,,1763260138.9265747,,37.0,,6031,,37.0,47.92141079902649,155,,
,,,,1763260139.2187126,,178.0,,6209,,178.0,48.21354866027832,157,,
,,,,1763260141.417585,,181.0,,7139,,181.0,50.412420988082886,172,,
0.0,-0.0022114738821983337,-0.00038114842027425766,-0.0061408281326293945,1763260145.3308878,0.6115409135818481,,155.14491271972656,8832,0.0002947772736661136,,54.32572388648987,195,341.0,4.215072840452194e-05
0.0,-0.002092648297548294,0.0017399564385414124,0.0777735710144043,1763260146.4807265,0.5613569617271423,,86.90874481201172,9344,0.00029447005363181233,,55.47556257247925,203,345.0,8.376501500606537e-05
,,,,1763260147.7200875,,135.0,,9933,,135.0,56.714923620224,213,,
0.0,-0.0194145105779171,0.011250738985836506,0.11686897277832031,1763260148.4744065,0.6140514612197876,,107.44588470458984,10240,0.0002939324185717851,,57.469242572784424,217,352.0,0.002044930122792721
0.0,0.0022484809160232544,0.0013563008978962898,0.08169257640838623,1763260150.246251,0.5860046744346619,,76.72613525390625,11136,0.00029339478351175785,,59.241087198257446,228,361.0,5.088839679956436e-05
0.0,-0.0035564228892326355,0.007141517475247383,0.011037468910217285,1763260150.9848495,0.5756516456604004,,122.4659423828125,11520,0.0002931643684860319,,59.97968554496765,233,365.0,0.0001620892435312271
0.0,-0.0009636767208576202,-0.000605815090239048,0.25125718116760254,1763260153.5955338,0.5396865606307983,,71.10227966308594,12800,0.0002923963184002787,,62.59036993980408,251,374.0,4.1215680539608e-05
,,,,1763260154.4337356,,95.0,,13295,,95.0,63.428571701049805,259,,
0.0,-0.004977032542228699,0.004046136513352394,0.5602793097496033,1763260155.3297231,0.5738250613212585,,56.574195861816406,13696,0.00029185868334025145,,64.32455921173096,265,381.0,0.00014898739755153656
0.0,-0.00024035200476646423,-0.0006056725978851318,0.5114812254905701,1763260156.3289592,0.6160226464271545,,32.827640533447266,14208,0.00029155146330595016,,65.32379531860352,273,385.0,2.5015324354171753e-06
,,,,1763260156.3717659,,109.0,,14269,,109.0,65.36660194396973,274,,
0.0,-0.00014819204807281494,-0.0011830627918243408,0.0066117048263549805,1763260158.883313,0.5466488599777222,,102.6852035522461,15488,0.00029078341322019696,,67.87814903259277,292,392.0,2.3908913135528564e-05
0.0,0.0020307116210460663,3.181584179401398e-05,0.049363017082214355,1763260163.6802466,0.6031184792518616,,63.05928039550781,17792,0.0002894009230658412,,72.67508268356323,321,402.0,5.0609931349754333e-05
0.0,-0.002694368362426758,-0.0011227233335375786,0.25701379776000977,1763260164.8707013,0.5579039454460144,,95.60308074951172,18304,0.0002890937030315399,,73.86553740501404,327,402.0,0.0003096098080277443
0.0,-0.01364830881357193,0.0029175616800785065,0.5602939128875732,1763260165.5013888,0.5799167156219482,,83.4213638305664,18560,0.0002889400930143893,,74.4962248802185,330,402.0,0.0013151243329048157
0.0,-0.0017930716276168823,0.0013576820492744446,0.005565822124481201,1763260165.867879,0.5451146960258484,,99.38860321044922,18688,0.00028886328800581396,,74.86271500587463,332,402.0,0.00015921145677566528
0.0,-0.004106093198060989,-0.005127636715769768,0.4796314835548401,1763260166.9435499,0.5905736088752747,,69.68456268310547,19072,0.000288632872980088,,75.93838596343994,337,401.0,0.0007626526057720184
,,,,1763260167.3773983,,188.0,,19279,,188.0,76.37223434448242,340,,
0.0,0.0009218379855155945,0.0012803729623556137,0.18493753671646118,1763260172.9366395,0.5903269648551941,,60.403228759765625,21760,0.00028701996780000627,,81.93147563934326,370,406.0,2.8869137167930603e-05
