losses/approx_kl,losses/clipfrac,losses/explained_variance,charts/episodic_length,losses/value_loss,charts/learning_rate,_step,global_step,losses/entropy,losses/policy_loss,_timestamp,charts/episodic_return,_runtime,charts/SPS,losses/old_approx_kl
4.527997225522995e-05,0.0,0.08294075727462769,,73.65908813476562,0.0002961597638204694,172,6528,0.6130307912826538,-0.004125438630580902,1763260141.692336,,51.44036912918091,293.0,0.00044568348675966263
,,,147.0,,,195,8325,,,1763260145.8510382,147.0,55.59907126426697,,
,,,201.0,,,203,8982,,,1763260147.3213453,201.0,57.06937837600708,,
0.00029539503157138824,0.0,0.058007001876831055,,92.03264617919922,0.0002942396386060864,213,9728,0.5783039331436157,-0.0012367814779281616,1763260149.0131178,,58.76115083694458,328.0,0.0016694404184818268
0.00013554375618696213,0.0,-0.0251389741897583,,125.80738067626953,0.0002940092235803604,217,10112,0.5801161527633667,0.0025594308972358704,1763260149.7882674,,59.53630042076111,333.0,-0.000767693854868412
0.0005768910050392151,0.0,0.010805845260620117,,85.67446899414062,0.00029347158852033317,228,11008,0.5767712593078613,-0.013035207986831665,1763260151.6058524,,61.35388541221619,342.0,0.00012868084013462067
0.000875541940331459,0.0,0.5919713377952576,,101.64827728271484,0.0002931643684860319,233,11520,0.5941910743713379,0.008115880191326141,1763260152.6027622,,62.35079526901245,347.0,-0.01800685003399849
,,,107.0,,,251,12841,,,1763260155.217853,107.0,64.96588611602783,,
0.0007322505116462708,0.0,0.5228074193000793,,43.41536331176758,0.00029193548834882677,259,13568,0.5554781556129456,-0.0031047724187374115,1763260156.66297,,66.41100311279297,364.0,0.0024266317486763
,,,207.0,,,265,14079,,,1763260157.5128865,207.0,67.26091957092285,,
,,,237.0,,,273,14679,,,1763260158.7827988,237.0,68.53083181381226,,
0.0007942486554384232,0.0,-0.1623750925064087,,99.90143585205078,0.0002912442432716489,274,14720,0.5192990899085999,0.00011231005191802979,1763260158.962405,,68.71043801307678,372.0,-0.004572533071041107
,,,185.0,,,292,16042,,,1763260161.7955005,185.0,71.54353356361389,,
1.9817613065242767e-05,0.0,-0.17106103897094727,,133.01846313476562,0.0002890937030315399,321,18304,0.5750651359558105,0.00026491284370422363,1763260167.6424637,,77.39049673080444,379.0,0.0016261758282780647
0.00012813974171876907,0.0,0.2865212559700012,,89.0972900390625,0.00028878648299723864,327,18816,0.5256621241569519,0.0037550311535596848,1763260168.9231536,,78.67118668556213,380.0,9.507406502962112e-05
0.0030645057559013367,0.005859375,0.12180304527282715,,109.62101745605469,0.000288632872980088,330,19072,0.5371147990226746,0.0377955324947834,1763260169.5029726,,79.25100564956665,380.0,-0.0014163460582494736
5.4809264838695526e-05,0.0,0.3896937370300293,,64.82073974609375,0.0002885560679715127,332,19200,0.5880072116851807,-0.001361612230539322,1763260169.8248534,,79.57288646697998,381.0,0.0014274707064032555
