charts/learning_rate,charts/episodic_return,_runtime,_timestamp,losses/explained_variance,global_step,losses/clipfrac,losses/approx_kl,losses/value_loss,losses/entropy,losses/old_approx_kl,losses/policy_loss,charts/episodic_length,charts/SPS,_step
,,24.566024780273438,1763260115.5188148,,0,,,,,,,,,0
0.0003000000142492354,,29.996501207351685,1763260120.9492912,0.00837796926498413,128,0.0,0.00036653876304626465,49.78824996948242,0.6927686333656311,-0.005094787105917931,-0.00270155631005764,,84.0,7
,25.0,31.81904911994934,1763260122.7718391,,602,,,,,,,25.0,,33
0.0002996159892063588,,32.655218839645386,1763260123.6080089,0.005048096179962158,768,0.0,0.00015738792717456818,60.129634857177734,0.6828395128250122,-0.0033173542469739914,-0.0029397206380963326,,183.0,41
,22.0,33.25199246406555,1763260124.2047825,,947,,,,,,,22.0,,47
,35.0,35.206541538238525,1763260126.1593316,,1383,,,,,,,35.0,,64
,33.0,37.00128531455994,1763260127.9540753,,1805,,,,,,,33.0,,74
,19.0,37.23290967941284,1763260128.1856997,,1894,,,,,,,19.0,,77
,21.0,38.80196142196655,1763260129.7547514,,2244,,,,,,,21.0,,88
,50.0,40.237876176834106,1763260131.1906662,,2682,,,,,,,50.0,,102
,80.0,40.54638910293579,1763260131.4991791,,2762,,,,,,,80.0,,104
0.0002978494740091264,,43.6246862411499,1763260134.5774763,0.01420283317565918,3712,0.0,0.00046780891716480255,54.16769790649414,0.6394327878952026,0.003980977460741997,-0.00025423429906368256,,245.0,133
,116.0,45.315441608428955,1763260136.2682316,,4415,,,,,,,116.0,,147
,115.0,45.61125111579895,1763260136.5640411,,4530,,,,,,,115.0,,149
,59.0,45.66864466667175,1763260136.6214347,,4589,,,,,,,59.0,,150
0.0002970814239233732,,46.70089912414551,1763260137.6536891,0.16482728719711304,4992,0.0078125,0.004351940006017685,173.49331665039062,0.6328104138374329,-0.0013577882200479507,0.02754608541727066,,273.0,155
,79.0,46.81339168548584,1763260137.7661817,,5075,,,,,,,79.0,,157
,116.0,48.99707221984863,1763260139.9498622,,5907,,,,,,,116.0,,172
0.0002955453237518668,,52.831690549850464,1763260143.7844806,0.10346031188964844,7552,0.0078125,0.004297840408980846,131.2245635986328,0.5741324424743652,0.008973709307610989,-0.030892428010702133,,310.0,195
,50.0,53.670082807540894,1763260144.6228728,,7846,,,,,,,50.0,,203
0.0002950076886918396,,55.2482852935791,1763260146.2010753,0.047119200229644775,8448,0.0,1.0817311704158783e-05,71.44991302490234,0.5583834648132324,-0.0003071026876568794,-0.002355974167585373,,315.0,213
,85.0,55.65229892730713,1763260146.605089,,8696,,,,,,,85.0,,217
0.00029454685864038765,,57.165178537368774,1763260148.1179686,0.06864988803863525,9216,0.0,3.8236379623413086e-05,60.650733947753906,0.5724889636039734,-0.0002169255167245865,-0.0020279251039028168,,321.0,228
0.000294393248623237,,57.77265667915344,1763260148.7254467,0.018554747104644775,9472,0.0,1.9758008420467377e-05,92.98148345947266,0.5620054006576538,-9.770411998033524e-05,-0.002351091243326664,,323.0,233
0.00029370200354605913,,60.227479457855225,1763260151.1802695,0.008671820163726807,10624,0.005859375,0.0021058088168501854,88.66065979003906,0.5764337778091431,0.009711346589028835,-0.026733964681625366,,334.0,251
,191.0,61.377010107040405,1763260152.3298001,,11250,,,,,,,191.0,,259
,194.0,62.38468360900879,1763260153.3374736,,11663,,,,,,,194.0,,265
0.00029270353843457997,,63.504069089889526,1763260154.456859,0.01744401454925537,12288,0.0,0.00027537252753973007,69.97407531738281,0.5966240167617798,0.0004376238211989403,-0.006945595145225525,,350.0,273
0.00029262673342600465,,63.69964265823364,1763260154.6524327,-0.022932887077331543,12416,0.0,2.4306587874889374e-05,118.33763122558594,0.5644158124923706,0.0004993481561541557,-0.0013990327715873718,,352.0,274
0.0002917050733231008,,66.53273344039917,1763260157.4855235,-0.015739083290100098,13952,0.0,0.0002492237836122513,109.6536636352539,0.5788447856903076,-0.004910850897431374,0.004060201346874237,,366.0,292
0.00029032258316874504,,71.1353349685669,1763260162.088125,0.020061731338500977,16256,0.0,1.0994262993335724e-05,94.34223937988281,0.5923908948898315,-0.0013267947360873222,-0.0005036871880292892,,381.0,321
0.00029001536313444376,,72.2596583366394,1763260163.2124484,0.028545796871185303,16768,0.0,9.696464985609055e-05,105.20860290527344,0.5428544282913208,0.0033775391057133675,-0.0009503532201051712,,383.0,327
