losses/value_loss,charts/episodic_return,losses/entropy,losses/approx_kl,charts/learning_rate,_runtime,_timestamp,global_step,losses/clipfrac,charts/episodic_length,charts/SPS,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,_step
,,,,,24.407970190048218,1763260115.4131582,0,,,,,,,0
,21.0,,,,29.330892324447632,1763260120.3360803,102,,21.0,,,,,7
,47.0,,,,31.671335697174072,1763260122.6765237,619,,47.0,,,,,33
,34.0,,,,32.456029653549194,1763260123.4612176,869,,34.0,,,,,41
85.4197998046875,,0.6770644187927246,0.0004381779581308365,0.00029946237918920815,33.30223894119263,1763260124.307427,1024,0.0,,210.0,-0.008706245571374893,-0.0005044583231210709,-0.03450584411621094,47
,51.0,,,,35.62049746513367,1763260126.6256855,1547,,51.0,,,,,64
,33.0,,,,37.00544762611389,1763260128.0106356,1914,,33.0,,,,,74
,71.0,,,,37.506099700927734,1763260128.5112877,2013,,71.0,,,,,77
86.59635162353516,,0.574245035648346,0.00031170807778835297,0.00029861752409487963,39.21841335296631,1763260130.2236013,2432,0.0,,225.0,-0.004563909024000168,-0.001811109483242035,0.01910710334777832,88
158.45977783203125,,0.6009674072265625,0.0006604017689824104,0.000298233499052003,41.06955432891846,1763260132.0747423,3072,0.0,,243.0,0.0003949292004108429,-0.006658482365310192,0.1556382179260254,102
124.2857666015625,,0.5799290537834167,0.0004307366907596588,0.0002981566940434277,41.401578187942505,1763260132.4067662,3200,0.0,,246.0,-0.0024379417300224304,0.0029342658817768097,-0.0058623552322387695,104
,252.0,,,,46.117857694625854,1763260137.1230457,5127,,252.0,,,,,133
99.89983367919922,,0.5727609992027283,7.796287536621094e-05,0.00029631337383762,48.73055624961853,1763260139.7357442,6272,0.0,,308.0,-0.002934824675321579,-0.0004493575543165207,0.08180022239685059,147
,184.0,,,,49.01328134536743,1763260140.0184693,6406,,184.0,,,,,149
128.28567504882812,,0.5228794813156128,0.001518026925623417,0.0002961597638204694,49.27332520484924,1763260140.2785132,6528,0.0078125,,313.0,-0.000979650765657425,0.004704306833446026,0.3873829245567322,150
,72.0,,,,50.03657150268555,1763260141.0417595,6864,,72.0,,,,,155
,71.0,,,,50.33003258705139,1763260141.3352206,6935,,71.0,,,,,157
,197.0,,,,52.89508867263794,1763260143.9002767,8007,,197.0,,,,,172
,214.0,,,,57.194523334503174,1763260148.1997113,9980,,214.0,,,,,195
,225.0,,,,58.51968812942505,1763260149.524876,10537,,225.0,,,,,203
68.47846984863281,,0.6194183230400085,8.731149137020111e-06,0.00029339478351175785,59.93455648422241,1763260150.9397445,11136,0.0,,353.0,0.0001213178038597107,0.0011764662340283394,0.19721370935440063,213
108.89329528808594,,0.5851945877075195,0.0007259370759129524,0.0002931643684860319,60.72839546203613,1763260151.7335835,11520,0.0,,356.0,-0.00846932828426361,0.013605817221105099,0.18814492225646973,217
,152.0,,,,62.22996711730957,1763260153.235155,12268,,152.0,,,,,228
,62.0,,,,62.81284141540527,1763260153.8180294,12534,,62.0,,,,,233
107.70075988769531,,0.6413154602050781,2.2930093109607697e-05,0.0002917050733231008,65.75127363204956,1763260156.7564616,13952,0.0,,373.0,0.0005101636052131653,-0.0010427096858620644,0.049379587173461914,251
71.55375671386719,,0.6207403540611267,1.2213364243507385e-05,0.0002913210482802242,67.0491578578949,1763260158.0543458,14592,0.0,,377.0,0.0011611059308052063,-0.0014029666781425476,-0.16144394874572754,259
,219.0,,,,67.88019609451294,1763260158.885384,15082,,219.0,,,,,265
92.76494598388672,,0.5251343250274658,1.5348196029663086e-05,0.0002906298032030463,69.30329370498657,1763260160.3084817,15744,0.0,,385.0,0.0007806867361068726,0.00017235428094863892,-0.004799604415893555,273
84.094970703125,,0.5641369819641113,7.434748113155365e-06,0.000290552998194471,69.56606340408325,1763260160.5712514,15872,0.0,,385.0,4.867464303970337e-05,-0.00016131717711687088,0.23475110530853271,274
66.75983428955078,,0.5598782300949097,0.003583362326025963,0.00028963133809156716,73.0315465927124,1763260164.0367346,17408,0.00390625,,390.0,0.023503948003053665,-0.018526889383792877,0.34938037395477295,292
,108.0,,,,78.97908973693848,1763260169.9842777,19807,,108.0,,,,,321
103.94033813476562,,0.5581053495407104,0.0001779245212674141,0.0002879416279029101,80.07184863090515,1763260171.0770366,20224,0.00390625,,391.0,-0.008715497329831123,0.006770831532776356,0.0004177689552307129,327
59.313575744628906,,0.574641764163971,0.000309845432639122,0.00028778801788575947,80.63715529441833,1763260171.6423433,20480,0.0,,392.0,0.01228976622223854,-0.013436907902359962,0.012057244777679443,330
,74.0,,,,80.74939060211182,1763260171.7545786,20561,,74.0,,,,,332
70.195068359375,,0.5564432144165039,0.00128953717648983,0.0002874807978514582,81.83223843574524,1763260172.8374264,20992,0.0,,393.0,-0.013637326657772064,0.008821366354823112,-0.0808953046798706,337
69.06684112548828,,0.5596087574958801,3.304891288280487e-05,0.00028732718783430755,82.42427444458008,1763260173.4294624,21248,0.0,,393.0,-0.00036806613206863403,0.0016976799815893173,-0.42234230041503906,340
55.42195510864258,,0.5323643088340759,0.002038157545030117,0.00028586789267137647,87.76688027381897,1763260178.7720683,23680,0.009765625,,399.0,0.027751751244068146,-0.004749356769025326,0.7801405787467957,370
56.16912078857422,,0.5335015058517456,2.1103769540786743e-06,0.0002856374776456505,88.66750574111938,1763260179.6726937,24064,0.0,,399.0,0.0004613623023033142,-0.00047402456402778625,0.2606508135795593,375
