losses/clipfrac,charts/episodic_length,_step,charts/episodic_return,losses/policy_loss,losses/explained_variance,losses/approx_kl,losses/old_approx_kl,global_step,charts/SPS,charts/learning_rate,losses/entropy,_runtime,_timestamp,losses/value_loss
,,0,,,,,,0,,,,24.254040241241455,1763260114.5074193,
,19.0,7,19.0,,,,,216,,,,30.749457120895386,1763260121.0028362,
,39.0,33,39.0,,,,,770,,,,32.961451053619385,1763260123.2148302,
,110.0,41,110.0,,,,,1068,,,,33.85039162635803,1763260124.1037707,
0.0,,47,,0.0011932477355003357,0.0700533390045166,0.00044646766036748886,-0.0046348487958312035,1280,230.0,0.0002993087691720575,0.6557676792144775,34.74555492401123,1763260124.998934,141.9800567626953
,45.0,64,45.0,,,,,1901,,,,37.22644376754761,1763260127.4798229,
,177.0,74,177.0,,,,,2427,,,,38.94264507293701,1763260129.1960242,
,164.0,77,164.0,,,,,2591,,,,39.59203624725342,1763260129.8454154,
0.0,,88,,0.00420418381690979,-0.019042491912841797,0.00013300683349370956,-0.0020755482837557793,3200,265.0,0.0002981566940434277,0.5890769958496094,41.241493940353394,1763260131.494873,134.81680297851562
0.0,,102,,-0.0007696151733398438,0.07726967334747314,0.0002343393862247467,0.0021605603396892548,4096,287.0,0.00029761905898340046,0.5874740481376648,43.42947506904602,1763260133.6828542,74.28557586669922
0.0,,104,,-0.0009531863033771515,0.1763870120048523,0.00021015480160713196,0.0015643555670976639,4224,289.0,0.00029754225397482514,0.5881713032722473,43.76161050796509,1763260134.0149896,104.36412048339844
0.0,,133,,-0.0027307216078042984,0.4447733163833618,0.0008518481627106667,0.00042782071977853775,6528,327.0,0.0002961597638204694,0.5954736471176147,49.08988857269287,1763260139.3432677,155.72251892089844
0.0,,147,,-0.006023630499839783,0.27318423986434937,0.0016217613592743874,0.004849453456699848,7680,340.0,0.0002954685187432915,0.6196874380111694,51.75086951255798,1763260142.0042486,129.52627563476562
0.01953125,,149,,0.013762099668383598,0.21807384490966797,0.0021582748740911484,-0.010800115764141083,7808,341.0,0.0002953917137347162,0.5471829175949097,52.017706871032715,1763260142.271086,123.54946899414062
,205.0,150,205.0,,,,,7903,,,,52.07521080970764,1763260142.32859,
0.0,,155,,0.0006436258554458618,0.04922020435333252,2.0833685994148254e-06,0.00041978713124990463,8320,346.0,0.0002950844937004149,0.5506098866462708,53.22393274307251,1763260143.4773118,151.17269897460938
0.0,,157,,-0.009472586214542389,0.07928168773651123,0.0005129082128405571,0.005916488356888294,8448,346.0,0.0002950076886918396,0.5599585771560669,53.54986214637756,1763260143.8032413,135.30718994140625
,168.0,172,168.0,,,,,9544,,,,56.000086069107056,1763260146.2534652,
,80.0,195,80.0,,,,,11143,,,,59.75198173522949,1763260150.0053608,
,231.0,203,231.0,,,,,11792,,,,61.10565185546875,1763260151.359031,
0.0,,213,,0.0015471763908863068,-0.007150769233703613,0.0001521855592727661,0.0008067116141319275,12416,371.0,0.00029262673342600465,0.5992138981819153,62.601651668548584,1763260152.8550308,99.7995834350586
,152.0,217,152.0,,,,,12730,,,,63.175676107406616,1763260153.4290552,
,117.0,228,117.0,,,,,13337,,,,64.57877254486084,1763260154.8321517,
0.0,,233,,0.0009692087769508362,0.09587067365646362,0.00027506984770298004,-0.002511942759156227,13696,378.0,0.00029185868334025145,0.6090613603591919,65.32637476921082,1763260155.5797539,78.23693084716797
,89.0,251,89.0,,,,,14897,,,,67.808340549469,1763260158.0617197,
,91.0,259,91.0,,,,,15475,,,,68.85134482383728,1763260159.104724,
,28.0,265,28.0,,,,,15776,,,,69.63749098777771,1763260159.89087,
0.0,,273,,-0.0019249282777309418,0.02374333143234253,8.947588503360748e-05,0.00042052939534187317,16512,392.0,0.0002901689731515944,0.5946798324584961,71.29921054840088,1763260161.5525897,94.63401794433594
0.0,,274,,0.004563456401228905,0.008922696113586426,0.00025552231818437576,-0.0050582317635416985,16640,392.0,0.0002900921681430191,0.6045099496841431,71.56388282775879,1763260161.817262,86.73082733154297
0.0,,292,,0.006727438420057297,0.8372071981430054,0.0012317486107349396,0.0008517708629369736,18176,394.0,0.00028917050804011524,0.5688987374305725,75.26351404190063,1763260165.5168931,51.1883430480957
0.0,,321,,0.000822853296995163,0.17695903778076172,0.00013650767505168915,9.381584823131561e-05,20736,396.0,0.00028763440786860883,0.5663517713546753,81.44353342056274,1763260171.6969125,66.81595611572266
0.0,,327,,-0.0010550692677497864,0.3280714154243469,7.141660898923874e-05,0.0004885261878371239,21120,396.0,0.00028740399284288287,0.5260387063026428,82.3796317577362,1763260172.6330109,73.23435974121094
0.001953125,,330,,-0.021987833082675934,0.08351075649261475,0.0013911938294768333,0.01285966020077467,21376,397.0,0.00028725038282573223,0.5540524125099182,82.94888091087341,1763260173.20226,127.48382568359375
,289.0,332,289.0,,,,,21563,,,,83.25455236434937,1763260173.5079315,
0.0,,337,,-1.704692840576172e-05,0.1802428960800171,2.5384128093719482e-05,-0.0011259634047746658,22016,399.0,0.00028686635778285563,0.5758578777313232,84.303062915802,1763260174.556442,104.80403137207031
0.0,,340,,-0.005073130130767822,0.1873096227645874,0.0006017070263624191,-0.00230223685503006,22272,400.0,0.000286712747765705,0.614129364490509,84.85383725166321,1763260175.1072164,79.35499572753906
,368.0,370,368.0,,,,,25065,,,,90.66183257102966,1763260180.9152117,
0.0,,375,,9.895116090774536e-05,0.08503872156143188,5.7202763855457306e-05,-0.0002690562978386879,25472,407.0,0.000284792622551322,0.6007921099662781,91.74385738372803,1763260181.9972365,46.35065460205078
