losses/entropy,_step,charts/episodic_length,global_step,losses/approx_kl,losses/policy_loss,losses/value_loss,losses/clipfrac,_runtime,_timestamp,losses/old_approx_kl,charts/learning_rate,losses/explained_variance,charts/SPS,charts/episodic_return
,0,,0,,,,,24.283779621124268,1763260114.5002296,,,,,
,7,32.0,142,,,,,30.7401704788208,1763260120.9566205,,,,,32.0
,33,23.0,754,,,,,32.752727031707764,1763260122.969177,,,,,23.0
,41,41.0,914,,,,,33.60816812515259,1763260123.824618,,,,,41.0
,47,20.0,1029,,,,,34.203619956970215,1763260124.42007,,,,,20.0
,64,22.0,1558,,,,,36.51313352584839,1763260126.7295835,,,,,22.0
,74,44.0,1915,,,,,37.80613303184509,1763260128.022583,,,,,44.0
0.6275408864021301,77,,2048,0.00016024615615606308,0.0018192939460277557,151.4873046875,0.0,38.50423979759216,1763260128.7206898,-0.009533467702567577,0.0002988479391206056,-0.048891663551330566,220.0,
,88,62.0,2456,,,,,39.882731437683105,1763260130.0991814,,,,,62.0
,102,114.0,3129,,,,,41.63269352912903,1763260131.8491435,,,,,114.0
0.6209503412246704,104,,3200,6.067473441362381e-05,0.0009878799319267273,83.30683135986328,0.0,41.94253063201904,1763260132.1589806,-0.0011189738288521767,0.0002981566940434277,-0.006744503974914551,251.0,
,133,53.0,4528,,,,,45.427443981170654,1763260135.643894,,,,,53.0
0.6188280582427979,147,,5248,5.937740206718445e-05,-0.0002678781747817993,115.57876586914062,0.0,47.32524752616882,1763260137.5416975,0.0008880700916051865,0.0002969278139062226,-0.004748106002807617,289.0,
,149,44.0,5319,,,,,47.43339276313782,1763260137.6498427,,,,,44.0
0.606545090675354,150,,5376,3.0538998544216156e-05,-0.0009143725037574768,55.97117614746094,0.0,47.627564430236816,1763260137.8440144,-0.0007891831919550896,0.00029685100889764726,0.037609994411468506,292.0,
0.6283972859382629,155,,5632,3.960728645324707e-05,-0.0033486858010292053,113.84593200683594,0.0,48.29393768310547,1763260138.5103877,0.003500400111079216,0.0002966973988804966,0.04615050554275513,295.0,
0.6055905222892761,157,,5760,0.00011046137660741806,-0.0021224413067102432,121.61929321289062,0.0,48.60896134376526,1763260138.8254113,-0.0013343775644898415,0.0002966205938719213,0.054984331130981445,297.0,
,172,52.0,6513,,,,,50.36236643791199,1763260140.5788164,,,,,52.0
0.6164249181747437,195,,8064,0.0021969499066472054,0.0056134555488824844,111.18604278564453,0.0,54.08328819274902,1763260144.2997382,-0.008206876926124096,0.00029523810371756554,0.43129080533981323,324.0,
0.5673626661300659,203,,8448,1.4755874872207642e-05,-0.0008865222334861755,98.66996765136719,0.0,55.07119679450989,1763260145.2876468,0.0005929190665483475,0.0002950076886918396,0.007140100002288818,326.0,
0.5841183662414551,213,,9216,0.004679732955992222,0.013584284111857414,136.96246337890625,0.01953125,56.80369782447815,1763260147.0201478,0.010349511168897152,0.00029454685864038765,0.08309322595596313,334.0,
,217,65.0,9499,,,,,57.38015055656433,1763260147.5966005,,,,,65.0
0.6457367539405823,228,,10368,0.00107585359364748,-0.0006629228591918945,94.75080108642578,0.0,59.14233112335205,1763260149.358781,-0.008798141963779926,0.00029385561356320977,0.17099624872207642,346.0,
0.606156587600708,233,,10752,0.0011397702619433403,0.012583784759044647,89.76106262207031,0.0,59.88177251815796,1763260150.0982225,0.0017460295930504799,0.0002936251985374838,0.11109954118728638,350.0,
0.6247519850730896,251,,12032,7.5660645961761475e-06,-0.0010029319673776627,86.33544921875,0.0,62.52416253089905,1763260152.7406125,0.00011808611452579498,0.0002928571484517306,0.5097922682762146,361.0,
,259,360.0,12660,,,,,63.61821699142456,1763260153.834667,,,,,360.0
,265,164.0,13164,,,,,64.53092885017395,1763260154.7473788,,,,,164.0
0.6119363307952881,273,,13696,6.963685154914856e-05,-0.001151949167251587,95.6461410522461,0.0,65.66044998168945,1763260155.8769,0.0003672633320093155,0.00029185868334025145,0.43269383907318115,375.0,
,274,147.0,13697,,,,,65.70489358901978,1763260155.9213436,,,,,147.0
,292,198.0,15174,,,,,68.40228939056396,1763260158.6187394,,,,,198.0
0.6198315620422363,321,,17280,8.455384522676468e-05,0.0017671510577201843,86.3302001953125,0.0,72.72708201408386,1763260162.943532,-0.0013246992602944374,0.0002897081431001425,0.2578299045562744,397.0,
0.5780308246612549,327,,17792,3.753043711185455e-05,0.0006116926670074463,65.59441375732422,0.0,73.77911186218262,1763260163.9955618,0.000777173787355423,0.0002894009230658412,0.6362261772155762,399.0,
,330,147.0,18004,,,,,74.15309429168701,1763260164.3695443,,,,,147.0
,332,124.0,18128,,,,,74.48847842216492,1763260164.7049284,,,,,124.0
0.5794340968132019,337,,18560,0.00024195201694965363,-0.004253940656781197,58.90528869628906,0.0,75.6190972328186,1763260165.8355472,0.0028114356100559235,0.0002889400930143893,0.5444704294204712,399.0,
,340,196.0,18786,,,,,76.06691908836365,1763260166.283369,,,,,196.0
0.49972987174987793,370,,21248,0.0001457585021853447,-0.00703861378133297,87.19184112548828,0.0,81.71953749656677,1763260171.9359875,0.002188541926443577,0.00028732718783430755,0.002975285053253174,404.0,
0.5883031487464905,396,,23552,1.7397105693817139e-06,0.00032869353890419006,62.54655075073242,0.0,86.29865431785583,1763260176.5151043,0.00019805878400802612,0.0002859446976799518,0.005030989646911621,412.0,
0.5727108716964722,425,,26112,0.0002079196274280548,-0.004174370318651199,54.604793548583984,0.0,91.47922372817993,1763260181.6956737,0.0022419318556785583,0.0002844085975084454,0.3713552951812744,419.0,
