_timestamp,charts/episodic_length,charts/SPS,losses/clipfrac,losses/approx_kl,losses/explained_variance,charts/episodic_return,losses/entropy,losses/value_loss,losses/policy_loss,_runtime,losses/old_approx_kl,_step,global_step,charts/learning_rate
1763260115.1383154,,,,,,,,,,24.3095383644104,,0,0,
1763260120.3435578,15.0,,,,,15.0,,,,29.5147807598114,,7,126,
1763260122.7132514,27.0,,,,,27.0,,,,31.884474277496338,,33,592,
1763260123.4352734,,191.0,0.0,0.0018513379618525505,-0.005802035331726074,,0.6678143739700317,64.70361328125,0.009007751941680908,32.60649633407593,-0.01610078662633896,41,768,0.0002996159892063588
1763260124.0459404,29.0,,,,,29.0,,,,33.21716332435608,,47,913,
1763260126.0612478,60.0,,,,,60.0,,,,35.232470750808716,,64,1399,
1763260127.7409825,83.0,,,,,83.0,,,,36.91220545768738,,74,1791,
1763260128.4714813,,212.0,0.0,5.5052340030670166e-05,-0.07074522972106934,,0.6468237042427063,144.80035400390625,0.0005280375480651855,37.642704248428345,-0.0007288288325071335,77,1920,0.0002989247441291809
1763260129.9781547,75.0,,,,,75.0,,,,39.1493775844574,,88,2368,
1763260132.0749726,,243.0,0.0,0.00020970124751329422,0.021552741527557373,,0.5839134454727173,85.11137390136719,-0.005200080573558807,41.246195554733276,-0.0015471065416932106,102,3072,0.000298233499052003
1763260132.4069383,147.0,,,,,147.0,,,,41.57816123962402,,104,3205,
1763260136.6923654,,281.0,0.0,0.0022484492510557175,0.17301523685455322,,0.5963007807731628,79.65834045410156,-0.004424978047609329,45.86358833312988,0.004584686830639839,133,4864,0.00029715822893194854
1763260138.9372425,301.0,,,,,301.0,,,,48.10846543312073,,147,5859,
1763260139.2550602,150.0,,,,,150.0,,,,48.42628312110901,,149,6009,
1763260139.5099254,,299.0,0.0,0.0008941749110817909,0.09853672981262207,,0.6168701648712158,145.86160278320312,0.004878036677837372,48.681148290634155,-0.0028154952451586723,150,6016,0.00029646698385477066
1763260140.433258,,304.0,0.0,0.00027047935873270035,0.07673239707946777,,0.5769760012626648,80.60303497314453,-0.0052368175238370895,49.60448098182678,-0.00012195762246847153,155,6400,0.0002962365688290447
1763260140.736966,,306.0,0.0,4.286877810955048e-06,0.17090284824371338,,0.6007198691368103,104.8104019165039,5.2712857723236084e-05,49.908188819885254,-0.00020937900990247726,157,6528,0.0002961597638204694
1763260143.4368577,,319.0,0.0,0.002972850576043129,0.011566698551177979,,0.5890728831291199,127.3354721069336,-0.017310842871665955,52.60808062553406,-0.01799251139163971,172,7680,0.0002954685187432915
1763260146.9166343,168.0,,,,,168.0,,,,56.087857246398926,,195,9136,
1763260148.5118704,,338.0,0.0,7.687043398618698e-05,0.413904070854187,,0.5695216655731201,114.06788635253906,-0.0003114454448223114,57.683093309402466,0.0030764592811465263,203,9856,0.00029416283359751105
1763260149.971593,,343.0,0.0,0.000272311270236969,-0.09119558334350586,,0.537342369556427,81.79015350341797,-0.0019374173134565353,59.142815828323364,0.0017937235534191132,213,10496,0.00029377880855463445
1763260150.6856704,,348.0,0.0,0.0009632157161831856,-0.08260667324066162,,0.57110995054245,120.20707702636719,-0.0036531612277030945,59.85689330101013,-0.0004605976864695549,217,10880,0.0002935483935289085
1763260152.7636077,,357.0,0.0,0.0005842391401529312,0.26548677682876587,,0.5966070294380188,57.82735061645508,-0.011258691549301147,61.93483066558838,0.004363156855106354,228,11904,0.00029293395346030593
1763260153.578775,205.0,,,,,205.0,,,,62.74999785423279,,233,12301,
1763260156.297199,,371.0,0.0,0.0011094631627202034,0.17458510398864746,,0.5544869899749756,73.69737243652344,-0.004492189735174179,65.46842193603516,0.004570105113089085,251,13696,0.00029185868334025145
1763260157.376087,,374.0,0.0,1.4227814972400665e-05,0.07227599620819092,,0.5328389406204224,68.97063446044922,-0.00035445764660835266,66.54730987548828,-0.00031790975481271744,259,14208,0.00029155146330595016
1763260158.4393594,,377.0,0.0,8.606817573308945e-05,0.23732155561447144,,0.5614224076271057,72.81794738769531,0.002414383925497532,67.61058235168457,0.0011602556332945824,265,14720,0.0002912442432716489
1763260159.5876446,,382.0,0.0,6.216578185558319e-06,-0.0029844045639038086,,0.5795962810516357,79.462890625,-0.00020371563732624054,68.75886750221252,-0.00010411720722913742,273,15360,0.0002908602182287723
1763260159.8175766,,383.0,0.0,7.323268800973892e-05,-0.001857757568359375,,0.5535071492195129,100.14238739013672,-0.0024474221281707287,68.98879957199097,-0.0028830571100115776,274,15488,0.00029078341322019696
1763260163.2440467,258.0,,,,,258.0,,,,72.41526961326599,,292,17104,
1763260169.4607363,,388.0,0.0,9.062793105840683e-05,0.014663994312286377,,0.5892407894134521,82.3894271850586,-0.0008393675088882446,78.6319591999054,0.0004809098318219185,321,19456,0.00028840245795436203
1763260170.4053724,125.0,,,,,125.0,,,,79.57659530639648,,327,19906,
1763260170.9547684,,390.0,0.0,0.0001939302310347557,-0.001551985740661621,,0.5202633738517761,97.59092712402344,-0.004649670794606209,80.1259913444519,0.002519947476685047,330,20096,0.00028801843291148543
1763260171.4428058,,391.0,0.0,0.00017305370420217514,-0.4275420904159546,,0.5967817902565002,72.99322509765625,-0.0026201140135526657,80.61402869224548,-0.0007118517532944679,332,20352,0.0002878648228943348
1763260172.3078048,,392.0,0.0,9.472854435443878e-05,0.09539520740509033,,0.5150802731513977,61.13188171386719,0.0028891079127788544,81.47902774810791,-0.002498053014278412,337,20736,0.00028763440786860883
