global_step,losses/entropy,charts/episodic_return,losses/explained_variance,_runtime,_timestamp,losses/old_approx_kl,charts/episodic_length,losses/approx_kl,losses/policy_loss,charts/learning_rate,losses/clipfrac,losses/value_loss,_step,charts/SPS
0,,,,25.045363664627075,1763260116.0986438,,,,,,,,0,
128,0.6923494935035706,,-0.0021572113037109375,29.896676778793335,1763260120.949957,0.010228198021650314,,0.0007582567632198334,-0.014473173767328262,0.0003000000142492354,0.0,40.48654556274414,7,84.0
640,0.6866928935050964,,-0.008896231651306152,31.850217580795288,1763260122.9034977,0.00044915080070495605,,5.4193660616874695e-05,-0.0024878978729248047,0.0002996927942149341,0.0,122.91102600097656,33,184.0
839,,47.0,,32.40363645553589,1763260123.4569166,,47.0,,,,,,41,
1014,,25.0,,32.931880474090576,1763260123.9851606,,25.0,,,,,,47,
1559,,30.0,,35.19015717506409,1763260126.2434373,,30.0,,,,,,64,
1920,0.6441517472267151,,-0.003399968147277832,36.71974444389343,1763260127.7730246,0.0013218624517321587,,5.2704475820064545e-05,0.002457279711961746,0.0002989247441291809,0.0,69.05142974853516,74,230.0
2002,,23.0,,36.93334078788757,1763260127.986621,,23.0,,,,,,77,
2373,,91.0,,38.352513790130615,1763260129.405794,,91.0,,,,,,88,
3012,,26.0,,40.12283992767334,1763260131.17612,,26.0,,,,,,102,
3085,,73.0,,40.39543628692627,1763260131.4487164,,73.0,,,,,,104,
4340,,53.0,,43.495192527770996,1763260134.5484726,,53.0,,,,,,133,
4868,,55.0,,45.1170973777771,1763260136.1703775,,55.0,,,,,,147,
4976,,33.0,,45.22789025306702,1763260136.2811704,,33.0,,,,,,149,
4992,0.563152551651001,,0.07718223333358765,45.437169313430786,1763260136.4904494,-0.0005537718534469604,,3.4382566809654236e-05,0.0012413468211889267,0.0002970814239233732,0.0,55.891090393066406,150,292.0
5219,,60.0,,45.88278412818909,1763260136.9360642,,60.0,,,,,,155,
5279,,60.0,,46.16141939163208,1763260137.2146995,,60.0,,,,,,157,
5888,0.580070436000824,,0.16264468431472778,47.848501682281494,1763260138.9017818,-6.766710430383682e-05,,7.859431207180023e-06,0.0003010556101799011,0.000296543788863346,0.0,58.117698669433594,172,302.0
