losses/clipfrac,losses/policy_loss,_runtime,charts/episodic_return,_step,global_step,losses/old_approx_kl,losses/approx_kl,losses/value_loss,charts/episodic_length,charts/learning_rate,_timestamp,charts/SPS,losses/explained_variance,losses/entropy
,,24.252159357070923,,0,0,,,,,,1763260114.3916354,,,
,,30.81993532180786,25.0,7,152,,,,25.0,,1763260120.9594114,,,
,,32.894832134246826,17.0,33,699,,,,17.0,,1763260123.0343082,,,
0.0,-0.004511002451181412,33.718400955200195,,41,896,-0.005132494494318962,0.0003215167671442032,66.28437805175781,,0.00029953918419778347,1763260123.857877,202.0,-0.010241985321044922,0.6880508661270142
,,34.35070013999939,22.0,47,1037,,,,22.0,,1763260124.4901762,,,
,,36.607749223709106,32.0,64,1616,,,,32.0,,1763260126.7472253,,,
,,37.956812143325806,49.0,74,1898,,,,49.0,,1763260128.0962882,,,
,,38.427229166030884,32.0,77,1957,,,,32.0,,1763260128.5667052,,,
,,39.87134575843811,117.0,88,2420,,,,117.0,,1763260130.0108218,,,
0.0,0.0019085034728050232,41.96131706237793,,102,3200,-0.009296600706875324,0.0010302932932972908,167.20025634765625,,0.0002981566940434277,1763260132.1007931,252.0,0.04079794883728027,0.5878157615661621
0.0,0.004712358117103577,42.277015924453735,,104,3328,0.02199425920844078,0.0036472370848059654,100.39020538330078,,0.0002980798890348524,1763260132.416492,256.0,0.09855055809020996,0.5944772362709045
0.0,-0.00033940374851226807,46.653881311416626,,133,5120,0.0003391588106751442,2.161134034395218e-05,160.0543670654297,,0.0002970046189147979,1763260136.7933574,294.0,0.15847766399383545,0.612575888633728
,,48.86400246620178,122.0,147,6138,,,,122.0,,1763260139.0034785,,,
,,49.17084980010986,133.0,149,6271,,,,133.0,,1763260139.3103259,,,
0.0,0.005550285801291466,49.38893389701843,,150,6272,-0.004792734980583191,0.00023532100021839142,140.51959228515625,,0.00029631337383762,1763260139.52841,312.0,0.03449279069900513,0.6228252053260803
0.0,0.008755315095186234,50.26810669898987,,155,6656,-0.006943892687559128,0.0013773385435342789,107.55178833007812,,0.00029608295881189406,1763260140.4075828,317.0,0.17619669437408447,0.6055641174316406
,,50.36370658874512,52.0,157,6722,,,,52.0,,1763260140.5031826,,,
,,52.79337000846863,196.0,172,7686,,,,196.0,,1763260142.932846,,,
0.0,0.00216791033744812,56.77722668647766,,195,9472,0.0004913061857223511,5.075708031654358e-05,143.188720703125,,0.000294393248623237,1763260146.9167027,344.0,0.015304028987884521,0.6000374555587769
0.0,-0.00043462589383125305,58.161171197891235,,203,10112,0.0004645194858312607,1.2889504432678223e-06,125.33804321289062,,0.0002940092235803604,1763260148.3006473,350.0,0.06766742467880249,0.5739002823829651
,,59.74719738960266,293.0,213,11004,,,,293.0,,1763260149.8866735,,,
0.0,-0.003430500626564026,60.60670757293701,,217,11392,0.0070435842499136925,0.0003527151420712471,115.37417602539062,,0.0002932411734946072,1763260150.7461836,363.0,0.07744866609573364,0.6082081198692322
0.0,-0.0036512892693281174,62.292786598205566,,228,12160,0.0011837705969810486,5.145929753780365e-05,92.58222961425781,,0.0002927803434431553,1763260152.4322627,368.0,0.12490224838256836,0.5525137782096863
0.0,-0.00018239952623844147,63.079445600509644,,233,12544,-0.00015442539006471634,4.0726736187934875e-06,106.19943237304688,,0.00029254992841742933,1763260153.2189217,371.0,0.002825796604156494,0.5724053382873535
0.0,-0.007466014474630356,65.92179560661316,,251,14080,-0.003950952552258968,0.0003147656098008156,94.15375518798828,,0.0002916282683145255,1763260156.0612717,384.0,-0.035822510719299316,0.6161195039749146
