losses/value_loss,losses/old_approx_kl,losses/approx_kl,_runtime,charts/episodic_return,charts/learning_rate,charts/SPS,charts/episodic_length,losses/entropy,_timestamp,global_step,losses/clipfrac,_step,losses/policy_loss,losses/explained_variance
55.04072189331055,0.0022899340838193893,0.00029205717146396637,60.366270780563354,,0.0002932411734946072,356.0,,0.609461784362793,1763260151.3714647,11392,0.0,228,-0.002239702269434929,0.32504165172576904
75.86927795410156,-0.0010055294260382652,2.0765699446201324e-05,61.20070958137512,,0.00029301075846888125,359.0,,0.6207032799720764,1763260152.2059035,11776,0.0,233,-0.0002430453896522522,0.010853052139282227
,,,63.69209694862366,197.0,,,197.0,,1763260154.697291,13074,,251,,
,,,64.70015859603882,124.0,,,124.0,,1763260155.7053525,13601,,259,,
,,,65.50064277648926,200.0,,,200.0,,1763260156.5058367,14026,,265,,
52.05451202392578,0.0014612432569265366,0.00017005018889904022,66.5865170955658,,0.0002913978532887995,379.0,,0.6111685633659363,1763260157.591711,14464,0.0,273,-0.008780624717473984,0.1663413643836975
,,,66.63288712501526,105.0,,,105.0,,1763260157.638081,14530,,274,,
,,,69.2581353187561,253.0,,,253.0,,1763260160.2633293,15899,,292,,
,,,74.49193930625916,320.0,,,320.0,,1763260165.4971333,18283,,321,,
,,,75.59894943237305,246.0,,,246.0,,1763260166.6041434,18657,,327,,
,,,76.27140283584595,220.0,,,220.0,,1763260167.2765968,18877,,330,,
,,,76.66129994392395,149.0,,,149.0,,1763260167.666494,19026,,332,,
98.48492431640625,0.0010023564100265503,0.0006358698010444641,77.84825778007507,,0.00028840245795436203,393.0,,0.5899224877357483,1763260168.8534517,19456,0.0,337,-0.019411027431488037,0.02465379238128662
,,,78.22466516494751,92.0,,,92.0,,1763260169.229859,19605,,340,,
,,,83.76273131370544,234.0,,,234.0,,1763260174.7679253,22393,,370,,
,,,88.10999035835266,107.0,,,107.0,,1763260179.1151843,24375,,396,,
19.914554595947266,0.025588173419237137,0.004211436957120895,93.35408282279968,,0.0002840245724655688,412.0,,0.5657544732093811,1763260184.3592768,26752,0.001953125,425,-0.017058618366718292,0.8930481672286987
27.32012176513672,0.002598748542368412,0.0006696144118905067,95.83897399902344,,0.0002833333273883909,413.0,,0.5179923176765442,1763260186.844168,27904,0.0,441,-0.003581669181585312,0.8171957731246948
69.4822769165039,-0.0011302120983600616,3.483891487121582e-05,97.05570530891418,,0.0002830261073540896,414.0,,0.5639799237251282,1763260188.0608993,28416,0.0,450,-0.00017245858907699585,0.6462453603744507
10.094944953918457,0.002086600288748741,0.000882437452673912,100.61476874351501,,0.00028202764224261045,416.0,,0.5818593502044678,1763260191.6199627,30080,0.0,471,0.012913808226585388,0.9156779646873474
22.49802589416504,0.010879432782530785,0.001828836277127266,102.42584609985352,,0.0002814900071825832,418.0,,0.5698067545890808,1763260193.43104,30976,0.0,481,0.005065612494945526,0.9117786884307861
22.632770538330078,-0.0010252483189105988,3.297068178653717e-05,104.07289505004883,,0.0002810291771311313,419.0,,0.5095269680023193,1763260195.078089,31744,0.0,490,-0.0013180263340473175,0.8843055963516235
12.399184226989746,0.0010388297960162163,6.583426147699356e-05,106.5451877117157,,0.0002803379320539534,421.0,,0.48307448625564575,1763260197.5503817,32896,0.0,504,0.000574454665184021,0.9733877182006836
31.90674591064453,-0.0202920101583004,0.0007442515343427658,108.4407331943512,,0.00027980029699392617,422.0,,0.46403074264526367,1763260199.4459271,33792,0.0,515,-0.005907721817493439,0.929688572883606
21.218154907226562,-0.001338733360171318,2.0947307348251343e-05,111.49410772323608,,0.0002788786368910223,425.0,,0.4928662180900574,1763260202.4993017,35328,0.0,530,0.00033958256244659424,-0.014166116714477539
,,,113.1223955154419,368.0,,,368.0,,1763260204.1275895,36220,,539,,
93.37773132324219,0.009906455874443054,0.000957198441028595,114.67275881767273,,0.0002779569767881185,427.0,,0.4966074228286743,1763260205.6779528,36864,0.0,547,-0.004013657569885254,-0.0004049539566040039
231.85354614257812,0.003258572891354561,0.00019115954637527466,116.19598841667175,,0.00027749614673666656,428.0,,0.5135459899902344,1763260207.2011824,37632,0.0,555,-0.003284890204668045,0.0032523274421691895
,,,116.96564030647278,500.0,,,500.0,,1763260207.9708343,38049,,559,,
300.1185607910156,-0.0020755575969815254,0.00018251780420541763,118.82385063171387,,0.00027672809665091336,430.0,,0.4735453724861145,1763260209.8290446,38912,0.0,568,0.0013943444937467575,5.7220458984375e-06
,,,124.21082782745361,500.0,,,500.0,,1763260215.2160218,41678,,595,,
260.0314636230469,-0.003970923833549023,0.00014930497854948044,127.65198063850403,,0.0002741167554631829,436.0,,0.5113965272903442,1763260218.6571746,43264,0.0,612,0.0007121022790670395,0.0014123916625976562
,,,127.9690454006195,290.0,,,290.0,,1763260218.9742393,43480,,614,,
8.868877410888672,0.0014116587117314339,5.4243020713329315e-05,131.36614656448364,,0.00027304148534312844,437.0,,0.5396785736083984,1763260222.3713405,45056,0.0,630,-0.0007326751947402954,0.013228535652160645
11.833969116210938,-0.0037853289395570755,0.0021507628262043,132.6728596687317,,0.00027265746030025184,438.0,,0.5636494159698486,1763260223.6780536,45696,0.0078125,636,0.01599704846739769,-0.9633216857910156
4.942281246185303,-0.0015847673639655113,0.00016680452972650528,133.47893500328064,,0.0002724270452745259,438.0,,0.5266496539115906,1763260224.484129,46080,0.0,640,-0.0032026581466197968,0.7256788015365601
,,,135.42880868911743,469.0,,,469.0,,1763260226.4340026,47031,,650,,
6.521795272827148,-0.0014191530644893646,4.025362432003021e-05,138.1730535030365,,0.00027112136012874544,439.0,,0.5834055542945862,1763260229.1782475,48256,0.0,664,0.0004074312746524811,0.008870601654052734
,,,141.63421893119812,105.0,,,105.0,,1763260232.6394129,49861,,684,,
,,,142.7292959690094,500.0,,,500.0,,1763260233.73449,50361,,689,,
352.51165771484375,-0.0041675809770822525,0.0010078102350234985,144.39661765098572,,0.0002694316499400884,440.0,,0.5284809470176697,1763260235.4018116,51072,0.0,698,-0.007858416065573692,0.37304770946502686
,,,145.17760491371155,465.0,,,465.0,,1763260236.1827989,51527,,702,,
,,,146.15696096420288,500.0,,,500.0,,1763260237.162155,52027,,707,,
3.8296761512756348,0.009140556678175926,0.0005912631750106812,150.86470985412598,,0.0002675115247257054,443.0,,0.5337321162223816,1763260241.8699038,54272,0.0,729,-0.0033862069249153137,-0.0085374116897583
