global_step,losses/old_approx_kl,_runtime,losses/value_loss,losses/clipfrac,losses/explained_variance,_step,losses/policy_loss,charts/learning_rate,charts/episodic_length,_timestamp,losses/approx_kl,charts/SPS,charts/episodic_return,losses/entropy
0,,24.38738775253296,,,,0,,,,1763260114.6354067,,,,
128,0.002528466284275055,30.70080018043518,31.779191970825195,0.0,-0.020604610443115234,7,-0.0028387457132339478,0.0003000000142492354,,1763260120.9488192,5.519203841686249e-05,84.0,,0.6930761933326721
617,,32.409385442733765,,,,33,,,13.0,1763260122.6574044,,,13.0,
768,0.011828983202576637,33.21098208427429,56.767738342285156,0.0,0.00928962230682373,41,-0.019385334104299545,0.0002996159892063588,,1763260123.459001,0.00085422582924366,190.0,,0.6874321103096008
896,0.017882611602544785,33.75057888031006,45.59846496582031,0.0,-0.013162612915039062,47,-0.02705705165863037,0.00029953918419778347,,1763260123.9985979,0.0018111849203705788,196.0,,0.678737998008728
1410,,35.78039860725403,,,,64,,,42.0,1763260126.0284176,,,42.0,
1713,,36.996127128601074,,,,74,,,66.0,1763260127.244146,,,66.0,
1792,-0.0006682761013507843,37.38408970832825,69.61886596679688,0.0,0.011104762554168701,77,-0.005955200642347336,0.00029900154913775623,,1763260127.6321087,0.00024263188242912292,218.0,,0.6235390901565552
2141,,38.60115051269531,,,,88,,,35.0,1763260128.8491695,,,35.0,
2814,,40.4072687625885,,,,102,,,147.0,1763260130.6552877,,,147.0,
2840,,40.65778946876526,,,,104,,,26.0,1763260130.9058084,,,26.0,
4736,-0.0016788598150014877,44.75884127616882,154.41944885253906,0.0,0.14300262928009033,133,-0.004322342574596405,0.00029723503394052386,,1763260135.0068603,0.0005214568227529526,304.0,,0.5906182527542114
5685,,46.717318534851074,,,,147,,,22.0,1763260136.9653375,,,22.0,
5888,0.002668025903403759,47.18349361419678,170.25369262695312,0.0,-0.010654807090759277,149,0.0009757047519087791,0.000296543788863346,,1763260137.4315126,2.30325385928154e-05,327.0,,0.6063346266746521
5910,,47.235299825668335,,,,150,,,225.0,1763260137.4833188,,,225.0,
6144,0.0014196597039699554,47.82545781135559,62.20460510253906,0.0,0.02829563617706299,155,-0.003923727199435234,0.00029639017884619534,,1763260138.0734768,6.237998604774475e-05,329.0,,0.5833382606506348
6220,,47.92592668533325,,,,157,,,61.0,1763260138.1739457,,,61.0,
7021,,49.80326509475708,,,,172,,,49.0,1763260140.051284,,,49.0,
8448,-0.003720387816429138,53.13668370246887,133.96011352539062,0.0,0.03991490602493286,195,0.0009507983922958374,0.0002950076886918396,,1763260143.3847027,5.4566189646720886e-05,352.0,,0.6277673244476318
9083,,54.21940565109253,,,,203,,,212.0,1763260144.4674246,,,212.0,
9856,-0.007154102437198162,55.89403796195984,129.76919555664062,0.0,0.07678443193435669,213,0.0043789297342300415,0.00029416283359751105,,1763260146.142057,0.0002175392583012581,369.0,,0.5902935266494751
10112,0.0011137407273054123,56.46048355102539,76.28278350830078,0.0,0.12839770317077637,217,-0.0006918124854564667,0.0002940092235803604,,1763260146.7085025,9.57585871219635e-06,370.0,,0.5846961736679077
