global_step,losses/old_approx_kl,_runtime,losses/value_loss,losses/clipfrac,losses/explained_variance,_step,losses/policy_loss,charts/learning_rate,charts/episodic_length,_timestamp,losses/approx_kl,charts/SPS,charts/episodic_return,losses/entropy
10880,-0.0007243463769555092,58.017348289489746,82.27124786376953,0.0,0.056182265281677246,228,0.0004518739879131317,0.0002935483935289085,,1763260148.2653673,6.408430635929108e-06,377.0,,0.5765388011932373
11264,0.0006945980712771416,58.77913689613342,123.5945053100586,0.0,-0.06926417350769043,233,-0.0011788271367549896,0.00029331797850318253,,1763260149.0271559,8.956529200077057e-06,380.0,,0.6309988498687744
12740,,61.37944483757019,,,,251,,,209.0,1763260151.6274638,,,209.0,
13465,,62.71033596992493,,,,259,,,225.0,1763260152.958355,,,225.0,
13989,,63.59279990196228,,,,265,,,340.0,1763260153.840819,,,340.0,
14744,,64.87267470359802,,,,273,,,304.0,1763260155.1206937,,,304.0,
14848,0.006133642978966236,65.06622409820557,91.0818099975586,0.0,0.12397569417953491,274,-0.0068107470870018005,0.00029116743826307356,,1763260155.314243,0.0012051137164235115,413.0,,0.6109569072723389
16200,,67.40048170089722,,,,292,,,216.0,1763260157.6485007,,,216.0,
18432,0.0025688335299491882,71.54628849029541,77.73602294921875,0.0,0.408677339553833,321,-0.004732264205813408,0.0002890168980229646,,1763260161.7943075,0.00022902712225914001,435.0,,0.5785222053527832
18879,,72.41581964492798,,,,327,,,107.0,1763260162.6638386,,,107.0,
19072,0.018353430554270744,72.91573452949524,73.0835189819336,0.0,0.37594449520111084,330,-0.0033970028162002563,0.000288632872980088,,1763260163.1637535,0.0009611761197447777,436.0,,0.5255627632141113
19201,,73.20026922225952,,,,332,,,176.0,1763260163.4482882,,,176.0,
19456,-0.0016914112493395805,73.84514021873474,147.35455322265625,0.0,0.00469517707824707,337,0.0034852325916290283,0.00028840245795436203,,1763260164.0931592,6.244610995054245e-05,435.0,,0.5490455627441406
19622,,74.1803343296051,,,,340,,,120.0,1763260164.4283533,,,120.0,
21632,0.000167076475918293,79.21240782737732,104.63642883300781,0.0,0.16951227188110352,370,-0.001446843147277832,0.0002870967728085816,,1763260169.4604268,2.7422793209552765e-05,432.0,,0.5604490637779236
22016,-0.004080083221197128,79.99810981750488,36.28145980834961,0.0,0.8566980957984924,375,0.005139194428920746,0.00028686635778285563,,1763260170.2461288,0.00012901797890663147,433.0,,0.5704728364944458
23680,-0.0014765569940209389,83.30153775215149,34.763946533203125,0.0,0.9304509162902832,396,-0.003186400979757309,0.00028586789267137647,,1763260173.5495567,0.0001441696658730507,437.0,,0.5973877906799316
26020,,87.755939245224,,,,425,,,500.0,1763260178.0039582,,,500.0,
27354,,90.22277307510376,,,,441,,,102.0,1763260180.470792,,,102.0,
28032,0.005110166966915131,91.69146013259888,37.73332214355469,0.0,0.043308913707733154,450,-0.0017713233828544617,0.0002832565223798156,,1763260181.939479,0.00032665953040122986,448.0,,0.5892844200134277
29952,-0.002875290811061859,95.27005887031555,34.03185272216797,0.0,-0.07322549819946289,471,-0.0016209147870540619,0.0002821044472511858,,1763260185.5180779,7.565505802631378e-05,453.0,,0.580234706401825
30848,-0.028635093942284584,96.91056084632874,35.418121337890625,0.01171875,0.07141607999801636,481,-0.0001653730869293213,0.00028156681219115853,,1763260187.1585798,0.0023047812283039093,455.0,,0.5669294595718384
31616,0.006644112057983875,98.36423897743225,8.629470825195312,0.0,0.9789801836013794,490,-0.0004004891961812973,0.0002811059821397066,,1763260188.612258,0.0004675155505537987,457.0,,0.6040571331977844
32896,0.0019845515489578247,100.73864388465881,28.451154708862305,0.0,0.020093083381652832,504,-0.0023150332272052765,0.0002803379320539534,,1763260190.9866629,1.965835690498352e-05,459.0,,0.5471335053443909
33920,0.0005956543609499931,102.60325956344604,16.41629981994629,0.0,0.8508667945861816,515,-0.0010493732988834381,0.00027972349198535085,,1763260192.8512785,1.894589513540268e-05,462.0,,0.5791712999343872
35328,-0.0014582425355911255,105.22855567932129,19.783960342407227,0.0,-0.008083581924438477,530,-0.004380464553833008,0.0002788786368910223,,1763260195.4765747,0.00011731497943401337,464.0,,0.5907273888587952
36224,0.00011110212653875351,106.87773394584656,17.718460083007812,0.0,0.056713998317718506,539,-8.918344974517822e-05,0.0002783410018309951,,1763260197.125753,1.0961666703224182e-06,466.0,,0.5661445260047913
37060,,108.29334115982056,,,,547,,,500.0,1763260198.5413601,,,500.0,
37760,-0.0009621931239962578,109.76365637779236,203.91908264160156,0.0,0.02350473403930664,555,-0.0020317956805229187,0.00027741934172809124,,1763260200.0116754,3.9058737456798553e-05,468.0,,0.566837728023529
38257,,110.5011556148529,,,,559,,,500.0,1763260200.7491746,,,500.0,
39040,-2.750847488641739e-05,112.14188265800476,17.129568099975586,0.0,-0.0024194717407226562,568,-0.00032262131571769714,0.00027665129164233804,,1763260202.3899016,1.9529834389686584e-06,470.0,,0.5660960674285889
41728,0.004016480408608913,117.103586435318,11.642722129821777,0.0,0.0041397809982299805,595,-0.005763068795204163,0.00027503841556608677,,1763260207.3516054,0.00015322957187891006,474.0,,0.48543059825897217
43239,,119.89090919494629,,,,612,,,212.0,1763260210.1389282,,,212.0,
43392,0.00686563178896904,120.34567666053772,6.580039024353027,0.0,0.5711338520050049,614,-0.004992175847291946,0.0002740399504546076,,1763260210.5936956,0.0004789978265762329,475.0,,0.4846366047859192
44544,0.005020393058657646,122.67142105102539,31.161083221435547,0.0078125,0.9436770677566528,630,-0.024431370198726654,0.0002733487053774297,,1763260212.91944,0.0022459905594587326,476.0,,0.4470100998878479
45056,-0.0020012585446238518,123.66118335723877,8.590341567993164,0.0,-0.11690318584442139,636,-0.001642376184463501,0.00027304148534312844,,1763260213.9092023,6.910134106874466e-05,476.0,,0.47234463691711426
45440,0.03719085454940796,124.35027503967285,88.75761413574219,0.033203125,0.31799888610839844,640,-0.0004664398729801178,0.0002728110703174025,,1763260214.598294,0.005655290558934212,477.0,,0.4926072955131531
46282,,125.95166349411011,,,,650,,,425.0,1763260216.1996825,,,425.0,
47488,-0.01403871551156044,128.40323519706726,7.553901195526123,0.001953125,0.9773594737052917,664,0.0053495727479457855,0.00027158219018019736,,1763260218.6512542,0.00286759901791811,478.0,,0.5284327864646912
49152,-0.005854039452970028,131.73583459854126,11.878671646118164,0.0,0.8536131381988525,684,-0.002818867564201355,0.0002705837250687182,,1763260221.9838536,0.0005655502900481224,479.0,,0.5080533623695374
49536,0.005644271150231361,132.53354859352112,14.11124038696289,0.0,0.8777107000350952,689,0.0011449120938777924,0.00027035331004299223,,1763260222.7815676,0.00038319267332553864,479.0,,0.4543030261993408
50304,-0.007990322075784206,134.05528211593628,13.004551887512207,0.0,0.670894980430603,698,0.00012249499559402466,0.0002698924799915403,,1763260224.303301,0.0006751874461770058,479.0,,0.47511598467826843
50688,0.003874470479786396,134.7855999469757,15.354097366333008,0.0,-4.2650837898254395,702,-0.005064273253083229,0.00026966206496581435,,1763260225.033619,0.0013440558686852455,480.0,,0.4013736844062805
51200,-0.000596371479332447,135.75954866409302,7.506130695343018,0.0,-0.10544097423553467,707,0.0007818453013896942,0.00026935484493151307,,1763260226.0075676,0.00037597957998514175,480.0,,0.4913291931152344
53376,0.021549221128225327,139.882746219635,203.5161590576172,0.0,0.26000332832336426,729,-0.03260228410363197,0.0002680491597857326,,1763260230.1307652,0.0019492106512188911,482.0,,0.5139096975326538
55808,-0.007192354649305344,144.5661301612854,2.246431350708008,0.0,0.29115188121795654,757,0.014092057943344116,0.00026658986462280154,,1763260234.8141491,0.0004456043243408203,483.0,,0.5588526129722595
56219,,145.3029043674469,,,,762,,,268.0,1763260235.5509233,,,268.0,
56690,,146.03321981430054,,,,767,,,342.0,1763260236.2812388,,,342.0,
57344,-0.00021841656416654587,147.39560651779175,321.33197021484375,0.0,0.12301766872406006,775,-0.0003780536353588104,0.0002656682045198977,,1763260237.6436255,2.297479659318924e-05,485.0,,0.43455770611763
58624,0.00026144273579120636,149.65827631950378,1.3034417629241943,0.0,0.6468398571014404,788,0.0030894875526428223,0.0002649001544341445,,1763260239.9062953,0.00012018345296382904,486.0,,0.4709745943546295
59520,0.0030259648337960243,151.23283648490906,0.7273303866386414,0.0,0.6706970930099487,797,0.0017658025026321411,0.00026436251937411726,,1763260241.4808555,0.0005249446257948875,487.0,,0.5366542339324951
60416,-0.0022728191688656807,152.81914830207825,0.7890554070472717,0.0,-0.12155318260192871,806,0.0014184936881065369,0.00026382488431409,,1763260243.0671673,8.355546742677689e-05,488.0,,0.528252124786377
61312,-0.001865423284471035,154.3682906627655,0.5985375046730042,0.0,0.04458951950073242,815,-0.00363936647772789,0.00026328724925406277,,1763260244.6163096,0.00020419713109731674,489.0,,0.5384017825126648
66048,0.002375507727265358,162.74369883537292,0.02215397357940674,0.001953125,-1.7605934143066406,863,-0.005060561001300812,0.0002604454639367759,,1763260252.9917178,0.002088962122797966,494.0,,0.6009691953659058
66616,,163.89585089683533,,,,872,,,44.0,1763260254.1438699,,,44.0,
66816,-0.0011416422203183174,164.4599621295929,229.8149871826172,0.0,-0.00015151500701904297,876,-0.00837775319814682,0.000259984633885324,,1763260254.707981,0.0013689761981368065,493.0,,0.5883032083511353
70912,0.0037226714193820953,172.024178981781,369.0186767578125,0.00390625,-0.0013312101364135742,922,0.01072230190038681,0.00025752687361091375,,1763260262.272198,0.0014300476759672165,496.0,,0.4590453505516052
71808,-0.007828954607248306,173.63027548789978,0.0008526740712113678,0.017578125,0.05214959383010864,930,-0.027501806616783142,0.0002569892385508865,,1763260263.8782945,0.010836413130164146,497.0,,0.5314885377883911
72576,0.0003001289442181587,175.00085520744324,0.007133524864912033,0.001953125,-0.3085986375808716,938,-0.002343781292438507,0.0002565284084994346,,1763260265.2488742,0.0014141639694571495,497.0,,0.5460819005966187
72841,,175.46889472007751,,,,941,,,500.0,1763260265.7169137,,,500.0,
72960,0.0024693654850125313,175.6867332458496,274.901611328125,0.0,0.0011487007141113281,942,-0.006202235817909241,0.00025629799347370863,,1763260265.9347522,0.00012259650975465775,498.0,,0.5685551762580872
73472,-0.0037992456927895546,176.60784769058228,848.383056640625,0.0,-0.0018169879913330078,948,-0.003269091248512268,0.00025599077343940735,,1763260266.8558667,0.00013758335262537003,498.0,,0.5644850730895996
76106,,181.1237416267395,,,,974,,,500.0,1763260271.3717606,,,500.0,
76672,0.012518704868853092,182.25602006912231,595.7059326171875,0.0,0.012051880359649658,980,-0.012706130743026733,0.00025407064822502434,,1763260272.504039,0.0007633483037352562,500.0,,0.5291851758956909
77184,-0.0014876844361424446,183.20418310165405,653.9100341796875,0.0,0.0015090107917785645,985,0.005933605134487152,0.00025376342819072306,,1763260273.452202,0.0006640786305069923,501.0,,0.5310932397842407
78208,-0.002391261048614979,185.0214705467224,497.1657409667969,0.0,-0.0008476972579956055,995,0.0015959665179252625,0.0002531489881221205,,1763260275.2694895,0.00010478217154741287,501.0,,0.5560355186462402
78464,0.06115978583693504,185.46115708351135,0.0005730389384552836,0.03515625,-1.8170535564422607,997,0.02833966538310051,0.00025299537810496986,,1763260275.709176,0.011699260212481022,502.0,,0.5066080689430237
80256,0.0033321669325232506,188.6958622932434,0.003572559915482998,0.001953125,-0.3662130832672119,1015,-0.004081942141056061,0.00025192013708874583,,1763260278.9438813,0.0005720192566514015,503.0,,0.5279375910758972
80768,0.0020358748733997345,189.62914419174194,0.005530931521207094,0.0,0.17096221446990967,1020,0.002513706684112549,0.00025161291705444455,,1763260279.8771632,0.00022518634796142578,503.0,,0.5485278367996216
81920,0.0016079507768154144,191.67444038391113,0.00077915342990309,0.0,0.07317888736724854,1031,-0.0004967488348484039,0.00025092167197726667,,1763260281.9224594,3.040023148059845e-05,504.0,,0.5359768271446228
83840,-7.23227858543396e-05,195.1353952884674,0.004338749218732119,0.0,0.52278071641922,1050,-0.0005345344543457031,0.00024976959684863687,,1763260285.3834143,9.954161942005157e-05,505.0,,0.5169175863265991
84106,,195.62936806678772,,,,1053,,,500.0,1763260285.877387,,,500.0,
84608,0.007923628203570843,196.54143595695496,310.79351806640625,0.0,0.00023216009140014648,1058,-0.004104485735297203,0.00024930876679718494,,1763260286.789455,0.0009627873077988625,505.0,,0.5125264525413513
87168,-0.013609365560114384,200.30535411834717,436.2298583984375,0.0,-9.083747863769531e-05,1083,0.007207915186882019,0.00024777266662567854,,1763260290.553373,0.001619379036128521,509.0,,0.5023269057273865
88064,0.0015759635716676712,201.3853886127472,0.0002003184490604326,0.0,0.09423434734344482,1091,-0.011790969409048557,0.0002472350315656513,,1763260291.6334076,0.001856943592429161,511.0,,0.43232977390289307
89600,-0.001979982480406761,203.77414965629578,0.00011432692554080859,0.0,-0.12958812713623047,1106,0.0033668838441371918,0.00024631337146274745,,1763260294.0221686,0.0007617771625518799,513.0,,0.4760766327381134
90752,-0.008718093857169151,205.65428948402405,0.006065154913812876,0.0,0.12666559219360352,1118,-0.0036936700344085693,0.00024562212638556957,,1763260295.9023085,0.0008934382349252701,514.0,,0.44279274344444275
91520,-0.001362794078886509,206.887047290802,0.000257009087363258,0.01953125,-0.015380501747131348,1125,0.0078263059258461,0.00024516129633411765,,1763260297.1350663,0.002656773664057255,515.0,,0.39951249957084656
92288,-0.0031397053971886635,208.1499264240265,0.004747993312776089,0.0,-0.008578896522521973,1133,-0.0014471113681793213,0.00024470046628266573,,1763260298.3979454,0.00012226123362779617,515.0,,0.4296887516975403
93568,0.017400644719600677,210.2225742340088,0.00021464006567839533,0.048828125,-0.1260777711868286,1145,-0.015900548547506332,0.00024393241619691253,,1763260300.4705932,0.009863903746008873,516.0,,0.38428795337677
95488,0.011890243738889694,212.6007764339447,0.00015774079656694084,0.0,-0.007858633995056152,1164,0.008029326796531677,0.00024278034106828272,,1763260302.8487954,0.0035794004797935486,520.0,,0.4802457094192505
95606,,212.6562376022339,,,,1165,,,500.0,1763260302.9042566,,,500.0,
96256,-0.0022110585123300552,213.57954359054565,0.005505749024450779,0.0,-0.15176963806152344,1172,-0.003990299068391323,0.0002423195110168308,,1763260303.8275626,9.804405272006989e-05,522.0,,0.5019952654838562
97152,0.001062937080860138,215.1248641014099,564.8837280273438,0.0,-0.00042629241943359375,1181,0.001623600721359253,0.00024178187595680356,,1763260305.372883,4.9501657485961914e-05,522.0,,0.4805786907672882
97664,0.0010968996211886406,215.98941349983215,291.5253601074219,0.005859375,5.3822994232177734e-05,1186,0.003439284861087799,0.00024147465592250228,,1763260306.2374325,0.0004839422181248665,522.0,,0.5154476165771484
98816,-0.002223593182861805,217.86530900001526,0.0040718866512179375,0.0,-0.11601698398590088,1197,-0.0182955265045166,0.0002407834108453244,,1763260308.113328,0.0011658119037747383,523.0,,0.4764801859855652
100480,-0.00037616584450006485,220.35628700256348,0.0006375713855959475,0.001953125,0.062116146087646484,1213,0.005465000867843628,0.00023978494573384523,,1763260310.604306,0.0014174999669194221,525.0,,0.56614089012146
100608,-0.0002026781439781189,220.55913257598877,675.4458618164062,0.0,-5.7816505432128906e-05,1215,0.003985527902841568,0.00023970814072526991,,1763260310.8071516,0.00026247650384902954,525.0,,0.5795204639434814
101760,0.0012058457359671593,222.25053000450134,0.005331006832420826,0.0,0.0016017556190490723,1226,-0.0036066733300685883,0.00023901689564809203,,1763260312.498549,8.650403469800949e-05,527.0,,0.47922852635383606
102144,0.0025258027017116547,222.77224159240723,329.2124938964844,0.0,7.2479248046875e-05,1230,0.0016108453273773193,0.00023878648062236607,,1763260313.0202606,0.00012458302080631256,527.0,,0.5058228373527527
102606,,223.24935698509216,,,,1234,,,500.0,1763260313.497376,,,500.0,
103680,0.0056676119565963745,224.68686485290527,183.63949584960938,0.0,-3.266334533691406e-05,1245,0.0003180205821990967,0.00023786482051946223,,1763260314.9348838,0.00023408979177474976,530.0,,0.4938899278640747
104606,,225.86832070350647,,,,1254,,,500.0,1763260316.1163397,,,500.0,
106368,0.0008070738986134529,228.09902596473694,0.00042248988756909966,0.0,0.14973759651184082,1271,-0.0032218191772699356,0.0002362519153393805,,1763260318.347045,0.0011384645476937294,534.0,,0.4335843324661255
109184,-0.0022547049447894096,232.5583198070526,662.1221923828125,0.0,-0.00046813488006591797,1299,-0.004772469401359558,0.00023456220515072346,,1763260322.8063388,0.0004994971677660942,536.0,,0.48192885518074036
113280,0.00914450641721487,239.21188044548035,0.004692230839282274,0.00390625,0.18128007650375366,1339,-0.006111104041337967,0.00023210445942822844,,1763260329.4598994,0.002714374102652073,539.0,,0.4631379246711731
113408,0.009020480327308178,239.38947248458862,0.0005593165406025946,0.0,-0.21607768535614014,1340,-0.002498934045433998,0.00023202765441965312,,1763260329.6374915,0.0007940037176012993,539.0,,0.43971920013427734
114304,0.0024730488657951355,240.84648776054382,0.005088591016829014,0.0,0.021978378295898438,1349,-0.0003504902124404907,0.00023149001935962588,,1763260331.0945067,0.0003117769956588745,540.0,,0.4935538172721863
115712,0.003984197974205017,242.78992247581482,406.1747741699219,0.0,9.006261825561523e-05,1363,-0.003138582222163677,0.00023064516426529735,,1763260333.0379415,0.0004315301775932312,541.0,,0.4812130928039551
115968,0.002017885446548462,243.10641884803772,0.0004977814969606698,0.0,-0.05785417556762695,1365,0.006567791104316711,0.0002304915542481467,,1763260333.3544378,0.0008272156119346619,542.0,,0.4230080544948578
116480,0.0008431943133473396,243.7941234111786,0.0009029281791299582,0.0,-0.4007554054260254,1370,0.00011872313916683197,0.00023018433421384543,,1763260334.0421424,1.6343779861927032e-05,542.0,,0.45422616600990295
117504,-0.00019487086683511734,245.14253950119019,0.00019021947809960693,0.0,0.04167753458023071,1380,0.0006204098463058472,0.00022956989414524287,,1763260335.3905585,1.5822239220142365e-05,544.0,,0.4714386463165283
117606,,245.19107341766357,,,,1381,,,500.0,1763260335.4390924,,,500.0,
118272,-0.0006417511031031609,246.1889624595642,0.005975665058940649,0.0,0.11887842416763306,1388,-0.00042805634438991547,0.00022910906409379095,,1763260336.4369814,0.0010521160438656807,545.0,,0.49547821283340454
119040,0.007083752192556858,247.11737871170044,0.00010468452819623053,0.0,-0.16202592849731445,1395,-0.00019340217113494873,0.00022864823404233903,,1763260337.3653977,0.00040678028017282486,546.0,,0.5198000073432922
119424,0.021353013813495636,247.58330464363098,0.0009478749707341194,0.0,0.08189147710800171,1399,-0.012277670204639435,0.00022841781901661307,,1763260337.8313236,0.0015175575390458107,546.0,,0.5156925916671753
120064,-0.0022155391052365303,248.34638786315918,0.00022042331693228334,0.0,-0.12176334857940674,1405,-0.0012185294181108475,0.00022803379397373646,,1763260338.5944068,6.266776472330093e-05,547.0,,0.5720652341842651
122752,0.0033906083554029465,251.7550184726715,0.0037852111272513866,0.00390625,-0.05437731742858887,1432,0.0004436001181602478,0.00022642088879365474,,1763260342.0030375,0.0028194114565849304,551.0,,0.6138061881065369
122875,,251.80778002738953,,,,1433,,,269.0,1763260342.055799,,,269.0,
124558,,254.02435612678528,,,,1455,,,44.0,1763260344.272375,,,44.0,
124630,,254.06494855880737,,,,1456,,,72.0,1763260344.3129675,,,72.0,
124672,-0.0005589108914136887,254.19557905197144,1041.1806640625,0.0,0.002086162567138672,1457,0.00020709633827209473,0.00022526881366502494,,1763260344.443598,2.2543594241142273e-05,554.0,,0.4642557203769684
130432,0.001763845793902874,262.76139402389526,481.5707092285156,0.0078125,-0.0001169443130493164,1514,-0.0023028142750263214,0.00022181260283105075,,1763260353.009413,0.0009970283135771751,558.0,,0.4660520851612091
131200,-0.02098703384399414,263.9289746284485,0.0005642750766128302,0.0,-0.08894944190979004,1521,-0.02051972597837448,0.00022135177277959883,,1763260354.1769936,0.0027946513146162033,558.0,,0.4447982907295227
131584,0.0014640409499406815,264.5336902141571,0.004242789000272751,0.0,0.20837652683258057,1525,-0.0016688406467437744,0.00022112135775387287,,1763260354.7817092,1.9194558262825012e-05,559.0,,0.4455987513065338
131840,0.013198860920965672,264.8996376991272,0.00016469090769533068,0.03515625,-0.09663605690002441,1527,-0.0045111775398254395,0.00022096774773672223,,1763260355.1476567,0.010632362216711044,559.0,,0.5064228773117065
131968,-0.0011801905930042267,265.1403012275696,811.6326293945312,0.0,4.76837158203125e-05,1529,-0.015583086758852005,0.0002208909427281469,,1763260355.3883202,0.0011945497244596481,559.0,,0.48997628688812256
132480,0.007090246304869652,265.87066864967346,140.3538818359375,0.0,-0.00010752677917480469,1534,-0.009457740932703018,0.00022058372269384563,,1763260356.1186876,0.000431722030043602,559.0,,0.44761762022972107
132736,0.01302017830312252,266.2049345970154,0.0001794499985408038,0.0,0.24889910221099854,1536,-0.005276110023260117,0.000220430112676695,,1763260356.4529536,0.0008945222944021225,560.0,,0.441661536693573
133376,-0.0008072070777416229,266.99663496017456,485.3260498046875,0.0,8.58306884765625e-05,1543,-8.951127529144287e-05,0.0002200460876338184,,1763260357.244654,0.00019987672567367554,560.0,,0.42496636509895325
133632,-0.005809221416711807,267.32024598121643,0.0006440776051022112,0.001953125,-0.11314058303833008,1545,0.007059900090098381,0.00021989247761666775,,1763260357.568265,0.0016175489872694016,561.0,,0.48929521441459656
133760,0.00010546110570430756,267.49343514442444,0.00018290728621650487,0.0,0.04933738708496094,1546,0.00178581103682518,0.00021981567260809243,,1763260357.7414541,3.60049307346344e-05,561.0,,0.4352210760116577
134912,-0.005776586942374706,269.2980408668518,470.27227783203125,0.0,2.1755695343017578e-05,1558,-0.0052245184779167175,0.00021912442753091455,,1763260359.5460598,0.0003078645095229149,561.0,,0.46832898259162903
135040,0.01218979712575674,269.502149105072,0.007711370475590229,0.00390625,-0.1532585620880127,1559,-0.0024149157106876373,0.00021904762252233922,,1763260359.750168,0.001280047930777073,561.0,,0.475577175617218
135424,-0.0018135253340005875,270.08489894866943,392.7778015136719,0.0,-0.00026094913482666016,1563,-0.0012796670198440552,0.00021881720749661326,,1763260360.332918,2.7280300855636597e-05,562.0,,0.5109537243843079
135808,-0.0020566843450069427,270.59308409690857,0.00016587450227234513,0.0,-0.6568396091461182,1566,-0.013979483395814896,0.0002185867924708873,,1763260360.841103,0.001607825979590416,562.0,,0.519747257232666
137984,-0.002830774523317814,273.49296617507935,0.00627801101654768,0.0,-0.09238708019256592,1588,-0.007894225418567657,0.00021728110732510686,,1763260363.7409852,0.0004410119727253914,564.0,,0.5616514086723328
138112,-0.010662456974387169,273.6530587673187,0.0004331762611400336,0.0,-0.1450577974319458,1589,-0.0016023777425289154,0.00021720430231653154,,1763260363.9010777,0.0010804496705532074,564.0,,0.5982091426849365
138880,0.001914042979478836,274.6038165092468,465.1483154296875,0.0,-0.00016999244689941406,1597,0.0014344826340675354,0.00021674347226507962,,1763260364.8518355,0.0005525760352611542,565.0,,0.49573493003845215
139904,-0.0031556906178593636,275.87062096595764,498.1877136230469,0.0,7.748603820800781e-07,1607,-0.0016421489417552948,0.00021612903219647706,,1763260366.11864,0.0001041097566485405,567.0,,0.45263510942459106
140160,-0.0025844601914286613,276.15675020217896,0.00021045768517069519,0.0,0.01916569471359253,1609,-0.0056573450565338135,0.00021597542217932642,,1763260366.4047692,0.0002215290442109108,567.0,,0.5130470991134644
140288,0.007738640531897545,276.29500579833984,0.0002550501376390457,0.00390625,0.2403090000152588,1610,-0.022348837926983833,0.0002158986171707511,,1763260366.5430248,0.0046169813722372055,567.0,,0.49313241243362427
140416,0.0254597757011652,276.46909856796265,586.6104736328125,0.0,-0.00019359588623046875,1612,0.0024254322052001953,0.00021582181216217577,,1763260366.7171175,0.0013400586321949959,567.0,,0.45281800627708435
141855,,278.11973237991333,,,,1626,,,500.0,1763260368.3677514,,,500.0,
143104,-0.011578342877328396,280.0592803955078,0.005684336181730032,0.0,-0.25170183181762695,1638,-0.004778146743774414,0.00021420890698209405,,1763260370.3072994,0.0021435217931866646,570.0,,0.517767071723938
148096,0.011114057153463364,287.43730068206787,0.000383732229238376,0.0,-0.19441020488739014,1687,-0.011511802673339844,0.00021121351164765656,,1763260377.6853197,0.0005865432322025299,573.0,,0.5603531002998352
152576,-0.0020228829234838486,293.6135597229004,0.006359966471791267,0.0,-0.09164154529571533,1732,0.00026729702949523926,0.00020852535089943558,,1763260383.8615787,0.000483877956867218,577.0,,0.538211464881897
153861,,295.5843915939331,,,,1745,,,500.0,1763260385.8324106,,,500.0,
154752,0.00015017762780189514,296.6559245586395,0.00012073723337380216,0.0,-0.14105820655822754,1753,-0.0008462471887469292,0.00020721966575365514,,1763260386.9039435,5.301833152770996e-05,578.0,,0.5821918845176697
154861,,296.7083156108856,,,,1754,,,500.0,1763260386.9563346,,,500.0,
155904,-0.0010821372270584106,297.9843463897705,363.89892578125,0.0,-2.2649765014648438e-06,1765,0.0019334740936756134,0.00020652842067647725,,1763260388.2323654,0.0003359820693731308,580.0,,0.5552777051925659
