_runtime,losses/approx_kl,losses/value_loss,global_step,losses/old_approx_kl,charts/episodic_return,losses/explained_variance,losses/entropy,losses/clipfrac,charts/episodic_length,_timestamp,losses/policy_loss,charts/SPS,_step,charts/learning_rate
24.629074573516846,,,0,,,,,,,1763260115.6086516,,,0,
29.992743968963623,,,196,,105.0,,,,105.0,1763260120.972321,,,7,
32.15156149864197,,,803,,58.0,,,,58.0,1763260123.1311386,,,33,
33.033087968826294,,,1038,,26.0,,,,26.0,1763260124.012665,,,41,
33.6070020198822,,,1261,,25.0,,,,25.0,1763260124.586579,,,47,
36.16363978385925,5.568936467170715e-05,85.70639038085938,1792,-0.00044425763189792633,,-0.0029108524322509766,0.6137509942054749,0.0,,1763260127.1432168,0.0009145587682723999,232.0,64,0.00029900154913775623
37.640950441360474,,,2265,,97.0,,,,97.0,1763260128.6205275,,,74,
38.27776908874512,,,2447,,182.0,,,,182.0,1763260129.2573462,,,77,
39.96179509162903,,,3187,,90.0,,,,90.0,1763260130.9413722,,,88,
42.17803168296814,,,4168,,99.0,,,,99.0,1763260133.1576087,,,102,
42.46187353134155,0.0012869350612163544,88.19654846191406,4224,0.0015800818800926208,,-0.10811007022857666,0.5673011541366577,0.0,,1763260133.4414506,-0.012690261006355286,301.0,104,0.00029754225397482514
47.07300305366516,0.00011827889829874039,118.00772857666016,6272,0.004143877886235714,,0.2951909899711609,0.5862805247306824,0.0,,1763260138.05258,-0.001958131790161133,336.0,133,0.00029631337383762
49.327515602111816,,,7357,,105.0,,,,105.0,1763260140.3070927,,,147,
49.79961681365967,6.632506847381592e-05,150.59646606445312,7552,-0.0012194477021694183,,-0.022224068641662598,0.5785552263259888,0.0,,1763260140.7791939,-0.00022299587726593018,353.0,149,0.0002955453237518668
50.025635719299316,0.0006353650242090225,149.70547485351562,7680,0.008275479078292847,,0.2888464331626892,0.5851237773895264,0.0,,1763260141.0052128,-0.008694197982549667,356.0,150,0.0002954685187432915
50.67429733276367,,,7971,,138.0,,,,138.0,1763260141.6538744,,,155,
50.96583294868469,,,8130,,159.0,,,,159.0,1763260141.94541,,,157,
53.52189779281616,0.00015702471137046814,83.00760650634766,9216,0.0025686416774988174,,0.038504958152770996,0.5101799964904785,0.0,,1763260144.5014749,-0.001203717663884163,367.0,172,0.00029454685864038765
57.34465050697327,0.0001498134806752205,106.46665954589844,11008,0.001967241056263447,,0.03337275981903076,0.6028785705566406,0.0,,1763260148.3242276,0.001055847853422165,381.0,195,0.00029347158852033317
58.42624616622925,1.780688762664795e-05,88.47695922851562,11520,0.0010402277112007141,,0.23470354080200195,0.5854249596595764,0.0,,1763260149.4058232,0.001875823363661766,384.0,203,0.0002931643684860319
59.77295446395874,,,12228,,172.0,,,,172.0,1763260150.7525315,,,213,
60.32079815864563,,,12459,,66.0,,,,66.0,1763260151.3003752,,,217,
62.12844443321228,,,13381,,150.0,,,,150.0,1763260153.1080215,,,228,
62.84385108947754,4.387460649013519e-06,87.66437530517578,13696,8.226372301578522e-06,,0.014688313007354736,0.5649693608283997,0.0,,1763260153.8234282,0.00021605566143989563,398.0,233,0.00029185868334025145
65.29472303390503,,,15012,,306.0,,,,306.0,1763260156.2743,,,251,
66.49987483024597,0.0001377630978822708,73.14446258544922,15616,0.002154383808374405,,-0.009123802185058594,0.5920059084892273,0.0,,1763260157.479452,-0.00483366847038269,410.0,259,0.00029070660821162164
67.44949507713318,0.00041543319821357727,96.00926971435547,16128,0.0029565095901489258,,0.05748337507247925,0.5912138223648071,0.0,,1763260158.4290721,-0.007126841694116592,413.0,265,0.00029039938817732036
68.38310146331787,2.1755695343017578e-05,60.84081268310547,16640,-0.0008091982454061508,,0.1239975094795227,0.589910089969635,0.0,,1763260159.3626785,-0.0007918328046798706,416.0,273,0.0002900921681430191
68.57675647735596,6.104819476604462e-05,77.52574920654297,16768,0.0011862125247716904,,0.09354609251022339,0.6054907441139221,0.0,,1763260159.5563335,-0.00279785692691803,417.0,274,0.00029001536313444376
70.99449872970581,,,17857,,157.0,,,,157.0,1763260161.9740758,,,292,
75.97053503990173,,,19960,,213.0,,,,213.0,1763260166.950112,,,321,
77.2306125164032,,,20407,,118.0,,,,118.0,1763260168.2101896,,,327,
77.8349552154541,0.0024588564410805702,42.91828918457031,20608,0.02498568221926689,,0.7813286781311035,0.5896663069725037,0.013671875,,1763260168.8145323,-0.026128577068448067,417.0,330,0.00028771121287718415
78.1355299949646,6.390083581209183e-05,35.25333786010742,20736,-0.0018846793100237846,,0.014979302883148193,0.5482032895088196,0.0,,1763260169.115107,0.002907171845436096,417.0,332,0.00028763440786860883
78.9730658531189,,,21167,,244.0,,,,244.0,1763260169.952643,,,337,
79.5108654499054,1.433584839105606e-05,18.55949592590332,21376,0.0004837131127715111,,0.8641719818115234,0.5536819100379944,0.0,,1763260170.4904425,-0.00027408823370933533,418.0,340,0.00028725038282573223
84.22283554077148,6.034970283508301e-07,55.96564483642578,23552,9.704194962978363e-05,,0.6396065950393677,0.5649181604385376,0.0,,1763260175.2024126,-0.00022330693900585175,422.0,370,0.0002859446976799518
84.85810661315918,,,23880,,107.0,,,,107.0,1763260175.8376837,,,375,
88.12618923187256,2.2882595658302307e-05,64.85492706298828,25344,-0.001468488946557045,,0.07195419073104858,0.5597938299179077,0.0,,1763260179.1057663,0.0008547529578208923,424.0,396,0.0002848694275598973
93.03170204162598,6.183981895446777e-07,17.479894638061523,27648,0.00016919150948524475,,0.8961894512176514,0.5748214721679688,0.0,,1763260184.011279,-2.4007633328437805e-05,428.0,425,0.00028348693740554154
95.46336531639099,,,28807,,109.0,,,,109.0,1763260186.4429424,,,441,
96.97608590126038,9.855721145868301e-05,33.11799621582031,29568,0.002313178963959217,,0.14216238260269165,0.5659570693969727,0.0,,1763260187.955663,-0.0036719273775815964,431.0,450,0.00028233486227691174
100.71380233764648,,,31545,,500.0,,,,500.0,1763260191.6933794,,,471,
102.21462178230286,,,32373,,191.0,,,,191.0,1763260193.1941988,,,481,
103.79057693481445,,,33041,,322.0,,,,322.0,1763260194.770154,,,490,
106.5389928817749,2.8060749173164368e-05,22.48967170715332,34432,-0.0005377456545829773,,0.10610562562942505,0.5691037178039551,0.0,,1763260197.51857,0.0004058629274368286,440.0,504,0.00027941627195104957
108.38696670532227,,,35358,,325.0,,,,325.0,1763260199.3665438,,,515,
111.03113293647766,,,36716,,311.0,,,,311.0,1763260202.01071,,,530,
112.78245830535889,0.0008069342002272606,15.289505958557129,37504,0.0042969705536961555,,0.46936941146850586,0.5782269835472107,0.0,,1763260203.7620354,-0.0010623261332511902,444.0,539,0.0002775729517452419
114.10851812362671,8.622556924819946e-05,31.73740577697754,38144,-0.00394231453537941,,0.8213406205177307,0.5700305700302124,0.0,,1763260205.0880952,-0.000328846275806427,445.0,547,0.0002771889267023653
115.45932674407959,,,38884,,213.0,,,,213.0,1763260206.4389038,,,555,
116.16956520080566,,,39219,,335.0,,,,335.0,1763260207.1491423,,,559,
117.75982785224915,,,39968,,313.0,,,,313.0,1763260208.739405,,,568,
122.67146754264832,0.0002910308539867401,289.66485595703125,42368,0.004882911220192909,,0.36443787813186646,0.5873576402664185,0.0,,1763260213.6510446,-0.010999538004398346,449.0,595,0.00027465439052321017
125.96299290657043,,,44149,,445.0,,,,445.0,1763260216.94257,,,612,
126.4394805431366,0.00024715811014175415,6.778916358947754,44288,0.00738351047039032,,0.04859209060668945,0.5611389875411987,0.0,,1763260217.4190576,-0.004420660436153412,451.0,614,0.00027350231539458036
129.5758626461029,0.00010522641241550446,6.115785121917725,45824,-0.00019210204482078552,,0.09547692537307739,0.5420916080474854,0.0,,1763260220.5554397,-0.00015178322792053223,453.0,630,0.0002725806552916765
130.83607149124146,0.00019450299441814423,5.341708183288574,46464,0.0013792607933282852,,0.298001766204834,0.5663266181945801,0.0,,1763260221.8156486,0.0016444213688373566,453.0,636,0.0002721966302487999
131.5963921546936,5.392637103796005e-05,4.834729194641113,46848,0.0011126110330224037,,0.03787219524383545,0.5707615613937378,0.0,,1763260222.5759692,0.001697571948170662,454.0,640,0.00027196621522307396
133.44630789756775,3.096088767051697e-05,554.3218383789062,47744,0.0001542959362268448,,0.04438871145248413,0.5182682871818542,0.0,,1763260224.425885,-0.0012375246733427048,454.0,650,0.0002714285801630467
136.14645886421204,3.179069608449936e-05,4.881189823150635,49024,-0.001098531298339367,,0.0009725093841552734,0.5869827270507812,0.0,,1763260227.126036,-0.00034916773438453674,455.0,664,0.0002706605300772935
140.07376766204834,0.001518205739557743,3.2791647911071777,50944,0.0033954111859202385,,0.6973289251327515,0.5653052926063538,0.0,,1763260231.0533447,0.016220904886722565,456.0,684,0.0002695084549486637
141.09566378593445,0.022832106798887253,17.610475540161133,51456,0.07273652404546738,,0.8340157270431519,0.5499444603919983,0.173828125,,1763260232.0752409,0.0364898256957531,456.0,689,0.00026920123491436243
142.7479510307312,2.255849540233612e-05,331.5074768066406,52224,0.0007430780678987503,,0.027247369289398193,0.5348114371299744,0.0,,1763260233.727528,-0.0027044713497161865,456.0,698,0.0002687404048629105
143.51565957069397,1.62515789270401e-06,2.547117233276367,52608,-2.95368954539299e-05,,0.042952001094818115,0.5581267476081848,0.0,,1763260234.4952366,0.0006666108965873718,457.0,702,0.00026850998983718455
144.51987719535828,0.0009400369599461555,2.1823179721832275,53120,-0.005560652352869511,,-0.08532273769378662,0.5388998985290527,0.0,,1763260235.4994543,-0.002737194299697876,457.0,707,0.00026820276980288327
148.49616694450378,,,55080,,200.0,,,,200.0,1763260239.475744,,,729,
153.6149525642395,,,57742,,500.0,,,,500.0,1763260244.5945296,,,757,
154.54333972930908,,,58242,,500.0,,,,500.0,1763260245.5229168,,,762,
155.51639533042908,7.067155092954636e-05,0.6295843124389648,58752,0.0006394470110535622,,-0.06330156326293945,0.5591108798980713,0.0,,1763260246.4959724,0.002423100173473358,462.0,767,0.0002648233494255692
156.9853332042694,0.00012557022273540497,0.38927018642425537,59520,-0.0010521654039621353,,0.1797991394996643,0.6063306927680969,0.0,,1763260247.9649103,0.0004852600395679474,463.0,775,0.00026436251937411726
159.0209357738495,,,60622,,355.0,,,,355.0,1763260250.0005128,,,788,
160.68908143043518,0.0009591970592737198,554.9146728515625,61440,0.0035076476633548737,,0.010214745998382568,0.5386916995048523,0.0,,1763260251.6686585,-0.00859011709690094,464.0,797,0.00026321044424548745
162.4286026954651,,,62360,,500.0,,,,500.0,1763260253.4081798,,,806,
164.16096329689026,4.503689706325531e-05,593.0760498046875,63232,0.0010024458169937134,,-0.00035178661346435547,0.546299159526825,0.0,,1763260255.1405404,0.001597285270690918,465.0,815,0.00026213517412543297
173.14966106414795,0.00590748805552721,0.020441165193915367,67968,-0.0012564295902848244,,0.6590138673782349,0.5296419858932495,0.01171875,,1763260264.1292381,-0.02604043297469616,469.0,863,0.0002592933888081461
174.84633612632751,0.000666346400976181,667.9678344726562,68864,0.004063593223690987,,-0.0015854835510253906,0.5100400447845459,0.0,,1763260265.8259132,-0.0052884723991155624,470.0,872,0.0002587557537481189
175.58976197242737,,,69305,,500.0,,,,500.0,1763260266.569339,,,876,
183.30478620529175,0.0016144150868058205,0.0006122360937297344,73344,0.002549494616687298,,-5.387793064117432,0.5289273262023926,0.0078125,,1763260274.2843633,-0.005030125379562378,473.0,916,0.00025606757844798267
184.11470937728882,,,73808,,256.0,,,,256.0,1763260275.0942864,,,922,
185.6106674671173,0.002400224097073078,0.0015811616322025657,74496,-0.005464059300720692,,0.18785959482192993,0.551763117313385,0.0078125,,1763260276.5902445,0.006174847483634949,474.0,930,0.0002553763333708048
187.12008357048035,0.0007033050060272217,152.09837341308594,75264,-0.004524907097220421,,-3.9696693420410156e-05,0.5547090768814087,0.0,,1763260278.0996606,-0.0021711159497499466,474.0,938,0.00025491550331935287
187.6294083595276,,,75563,,426.0,,,,426.0,1763260278.6089854,,,941,
187.68411493301392,,,75641,,78.0,,,,78.0,1763260278.663692,,,942,
188.85858368873596,0.0020886166021227837,311.5738220214844,76160,0.012960891239345074,,0.0003051161766052246,0.5178705453872681,0.0,,1763260279.8381608,-0.015439167618751526,474.0,948,0.0002543778682593256
193.98973441123962,0.002891414798796177,0.00011617412383202463,78848,0.03310849517583847,,0.5115243196487427,0.5377539992332458,0.001953125,,1763260284.9693115,0.00845886766910553,476.0,974,0.0002527649630792439
194.99494051933289,,,79445,,500.0,,,,500.0,1763260285.9745176,,,980,
195.89070987701416,0.002404172904789448,0.004478974733501673,79872,-0.022068656980991364,,-0.3378525972366333,0.49000343680381775,0.001953125,,1763260286.870287,-0.0020887907594442368,477.0,985,0.0002521505521144718
197.795245885849,0.0039042113348841667,0.007724642753601074,80896,-0.012195483781397343,,-4.917781352996826,0.5645490288734436,0.00390625,,1763260288.774823,0.008956477046012878,477.0,995,0.00025153611204586923
198.18170499801636,0.0018865428864955902,0.0005628701765090227,81152,0.017608871683478355,,-0.9387263059616089,0.4802228510379791,0.001953125,,1763260289.161282,5.853921175003052e-05,478.0,997,0.0002513825020287186
200.5027837753296,0.0001966673880815506,0.0023645812179893255,82944,0.0027164462953805923,,0.34395915269851685,0.49992305040359497,0.0,,1763260291.4823608,0.004962451756000519,482.0,1015,0.0002503072319086641
201.19791269302368,0.001057235524058342,0.00043492723489180207,83456,0.0036046095192432404,,-0.8211004734039307,0.48933714628219604,0.0,,1763260292.1774898,-0.0007944107055664062,483.0,1020,0.0002500000118743628
