_step,losses/policy_loss,charts/episodic_length,charts/episodic_return,global_step,losses/approx_kl,losses/old_approx_kl,_runtime,charts/SPS,losses/entropy,losses/clipfrac,charts/learning_rate,losses/explained_variance,losses/value_loss,_timestamp
0,,,,0,,,24.49486541748047,,,,,,,1763260115.4476414
7,-0.0030897408723831177,,,128,0.000514492392539978,-0.0006193984299898148,29.998621940612793,84.0,0.6926870346069336,0.0,0.0003000000142492354,0.053222596645355225,40.266075134277344,1763260120.951398
33,,34.0,34.0,613,,,31.811360120773315,,,,,,,1763260122.764136
41,,18.0,18.0,793,,,32.59888434410095,,,,,,,1763260123.5516603
47,,12.0,12.0,893,,,32.987345933914185,,,,,,,1763260123.940122
64,-0.016726257279515266,,,1280,0.0025124680250883102,0.007106095552444458,35.20075702667236,190.0,0.6689314842224121,0.00390625,0.0002993087691720575,0.02627784013748169,74.5615005493164,1763260126.153533
74,,45.0,45.0,1717,,,36.766775131225586,,,,,,,1763260127.719551
77,-0.003345634788274765,,,1792,0.00017234589904546738,-0.00040422286838293076,37.219016313552856,205.0,0.6264809966087341,0.0,0.00029900154913775623,0.01322704553604126,59.274600982666016,1763260128.1717923
88,,120.0,120.0,2199,,,38.69890785217285,,,,,,,1763260129.6516838
102,,102.0,102.0,2778,,,40.39623522758484,,,,,,,1763260131.3490112
104,,135.0,135.0,2913,,,40.66611289978027,,,,,,,1763260131.6188889
133,,74.0,74.0,4359,,,44.586817502975464,,,,,,,1763260135.5395935
147,0.0012392550706863403,,,5248,0.0009622108191251755,-0.009885914623737335,46.68012833595276,288.0,0.6204990148544312,0.0,0.0002969278139062226,0.03796803951263428,97.79905700683594,1763260137.6329043
149,0.004021570086479187,,,5376,0.00022034253925085068,-0.006490926258265972,46.97482991218567,290.0,0.6143130660057068,0.0,0.00029685100889764726,0.06362777948379517,119.21351623535156,1763260137.9276059
150,,233.0,233.0,5500,,,47.04992341995239,,,,,,,1763260138.0026994
155,-6.066262722015381e-05,,,5888,0.0015909820795059204,0.011411638930439949,48.0403835773468,301.0,0.5932807922363281,0.0,0.000296543788863346,0.027965128421783447,161.50595092773438,1763260138.9931595
157,,35.0,35.0,5949,,,48.15983486175537,,,,,,,1763260139.1126108
172,,71.0,71.0,6916,,,50.503472089767456,,,,,,,1763260141.456248
195,0.006214715540409088,,,8704,0.0005497513338923454,0.0010847030207514763,54.444143533706665,335.0,0.5758233666419983,0.0,0.00029485407867468894,0.07788354158401489,85.91777038574219,1763260145.3969195
203,,119.0,119.0,9372,,,55.83633041381836,,,,,,,1763260146.7891064
213,-0.011231735348701477,,,9984,0.00040329713374376297,0.007918923161923885,57.24643111228943,347.0,0.5041060447692871,0.0,0.00029408602858893573,0.006213128566741943,81.5955810546875,1763260148.199207
217,0.001462198793888092,,,10368,5.6220218539237976e-05,-0.0010879077017307281,57.98775839805603,351.0,0.5306798219680786,0.0,0.00029385561356320977,0.06368857622146606,125.69752502441406,1763260148.9405344
228,0.016788173466920853,,,11264,0.00917869247496128,0.008143939077854156,59.71465730667114,360.0,0.5774664878845215,0.0625,0.00029331797850318253,0.12388288974761963,88.78366088867188,1763260150.6674333
233,-0.005986884236335754,,,11648,0.0017900960519909859,-0.009549147449433804,60.51126432418823,363.0,0.5081629753112793,0.001953125,0.00029308756347745657,0.0059833526611328125,118.68447875976562,1763260151.4640403
251,-0.0005686841905117035,,,12928,1.672562211751938e-05,-6.076879799365997e-06,63.13312792778015,373.0,0.5759382843971252,0.0,0.00029231951339170337,0.2513464093208313,81.9878921508789,1763260154.085904
259,-0.00047652795910835266,,,13568,6.975606083869934e-07,0.0001790197566151619,64.37761116027832,377.0,0.5826730132102966,0.0,0.00029193548834882677,0.014703810214996338,119.90689086914062,1763260155.330387
265,-0.0037479326128959656,,,13952,7.92965292930603e-05,-0.0011919084936380386,65.12864685058594,380.0,0.5752941966056824,0.0,0.0002917050733231008,0.003513932228088379,78.89631652832031,1763260156.0814228
273,,186.0,186.0,14496,,,66.20609045028687,,,,,,,1763260157.1588664
