losses/clipfrac,losses/entropy,charts/learning_rate,losses/explained_variance,losses/approx_kl,charts/episodic_return,charts/SPS,_runtime,losses/old_approx_kl,losses/policy_loss,_step,global_step,_timestamp,losses/value_loss,charts/episodic_length
0.0,0.5691617131233215,0.00029646698385477066,0.08259034156799316,1.540686935186386e-05,,284.0,50.06323575973511,-0.00046074483543634415,-0.0012554153800010681,155,6016,1763260140.5474818,50.207008361816406,
0.0,0.5829548239707947,0.00029639017884619534,0.22572457790374756,9.378418326377869e-06,,286.0,50.3773467540741,0.0016615688800811768,6.203353404998779e-05,157,6144,1763260140.8615928,100.79447937011719,
,,,,,83.0,,52.54597020149231,,,172,6935,1763260143.0302162,,83.0
,,,,,106.0,,55.9320969581604,,,195,8177,1763260146.416343,,106.0
0.0,0.5387447476387024,0.0002950076886918396,0.1815841794013977,0.00012609362602233887,,301.0,56.99182152748108,0.006399627774953842,-0.010542668402194977,203,8448,1763260147.4760675,37.40198516845703,
0.0,0.537720799446106,0.0002947004686575383,0.3015354871749878,2.0490959286689758e-05,,305.0,58.27953290939331,0.000524153932929039,-0.0008351663127541542,213,8960,1763260148.763779,76.39299774169922,
,,,,,77.0,,58.704140186309814,,,217,9161,1763260149.1883862,,77.0
,,,,,80.0,,60.035231590270996,,,228,9693,1763260150.5194776,,80.0
0.0,0.5700203776359558,0.00029408602858893573,0.6564061641693115,8.124858140945435e-06,,312.0,60.881991386413574,0.0010144822299480438,-0.0011704079806804657,233,9984,1763260151.3662374,61.88468551635742,
0.0,0.6118541955947876,0.00029347158852033317,-0.029758453369140625,5.4533593356609344e-05,,319.0,63.375566244125366,-0.0004567122086882591,-0.0004297494888305664,251,11008,1763260153.8598123,121.42170715332031,
0.0,0.5551296472549438,0.0002932411734946072,0.027940571308135986,0.00022119376808404922,,322.0,64.30334043502808,-0.004072857089340687,0.004284203052520752,259,11392,1763260154.7875865,57.97709274291992,
0.0,0.5673762559890747,0.00029301075846888125,0.023011744022369385,0.0001304522156715393,,325.0,65.11962652206421,-0.00382840633392334,0.00437299907207489,265,11776,1763260155.6038725,76.58985137939453,
,,,,,111.0,,66.10401511192322,,,273,12235,1763260156.5882611,,111.0
0.0,0.5613458752632141,0.00029270353843457997,0.04779559373855591,0.00015897303819656372,,328.0,66.34675979614258,-0.0003236047923564911,-0.006581395864486694,274,12288,1763260156.8310058,63.77873229980469,
,,,,,173.0,,68.84834170341492,,,292,13559,1763260159.3325877,,173.0
0.0,0.5705114603042603,0.00029078341322019696,0.35270339250564575,0.00048433616757392883,,344.0,73.94530820846558,-0.006015842780470848,0.012280438095331192,321,15488,1763260164.4295542,100.876953125,
,,,,,155.0,,75.01816773414612,,,327,15988,1763260165.5024137,,155.0
,,,,,203.0,,75.75446462631226,,,330,16191,1763260166.2387106,,203.0
0.0,0.617189884185791,0.0002902457781601697,-0.0134202241897583,0.00010365992784500122,,345.0,76.43341302871704,0.0033699218183755875,0.004064697772264481,332,16384,1763260166.917659,83.13978576660156,
0.0,0.5908934473991394,0.00028993855812586844,0.016842126846313477,5.3647905588150024e-05,,346.0,77.78193664550781,0.00443074107170105,-0.0021546930074691772,337,16896,1763260168.2661827,80.44248962402344,
,,,,,110.0,,78.21459650993347,,,340,17092,1763260168.6988425,,110.0
0.0,0.5765936374664307,0.00028840245795436203,0.04815572500228882,0.00030505377799272537,,353.0,83.92595529556274,-0.010812272317707539,0.002460673451423645,370,19456,1763260174.4102013,79.33811950683594,
,,,,,141.0,,84.59181714057922,,,375,19816,1763260175.0760632,,141.0
0.0,0.5493475794792175,0.00028725038282573223,0.2000146508216858,5.727261304855347e-05,,359.0,88.45421242713928,0.001453028991818428,-0.005754992365837097,396,21376,1763260178.9384584,107.55198669433594,
0.0,0.6036149263381958,0.0002856374776456505,-0.01927781105041504,6.282422691583633e-05,,367.0,94.46147060394287,-0.003336598165333271,-0.0013536876067519188,425,24064,1763260184.9457166,52.505096435546875,
0.0,0.5513561367988586,0.000284792622551322,0.47165071964263916,3.8661062717437744e-05,,370.0,97.61342978477478,-0.0005535222589969635,-0.001939631998538971,441,25472,1763260188.0976758,95.39498138427734,
0.0,0.6008492112159729,0.0002844085975084454,0.08989399671554565,0.0001601874828338623,,372.0,99.09908819198608,0.003822591155767441,-0.006289079785346985,450,26112,1763260189.5833342,90.94073486328125,
0.0,0.5971070528030396,0.0002832565223798156,-0.0971376895904541,0.0007861824706196785,,377.0,103.11082673072815,0.008498179726302624,-0.007919549942016602,471,28032,1763260193.5950727,42.035797119140625,
0.0,0.5694054365158081,0.00028271888731978834,-0.016045093536376953,0.0005753571167588234,,379.0,105.13490629196167,0.0008894177153706551,-0.019023440778255463,481,28928,1763260195.6191523,42.6579475402832,
0.0,0.5819438099861145,0.0002821812522597611,0.0009219646453857422,0.00035647302865982056,,381.0,107.13271713256836,-0.001140667125582695,0.0025826729834079742,490,29824,1763260197.6169631,39.96738052368164,
,,,,,337.0,,110.03025102615356,,,504,31198,1763260200.514497,,337.0
