global_step,losses/value_loss,charts/episodic_length,charts/learning_rate,losses/explained_variance,_timestamp,charts/SPS,losses/clipfrac,losses/policy_loss,_runtime,charts/episodic_return,losses/entropy,losses/approx_kl,losses/old_approx_kl,_step
0,,,,,1763260114.6536026,,,,24.40958261489868,,,,,0
128,83.30050659179688,,0.0003000000142492354,-0.0011268854141235352,1763260120.9482663,84.0,0.0,-0.004683308303356171,30.704246282577515,,0.6929121017456055,0.00026329606771469116,-0.0046713687479496,7
715,,31.0,,,1763260122.9578297,,,,32.71380972862244,31.0,,,,33
871,,17.0,,,1763260123.6118224,,,,33.3678023815155,17.0,,,,41
990,,16.0,,,1763260124.2182171,,,,33.97419714927673,16.0,,,,47
1437,,53.0,,,1763260126.4411707,,,,36.19715070724487,53.0,,,,64
1809,,70.0,,,1763260128.0340195,,,,37.78999948501587,70.0,,,,74
1889,,18.0,,,1763260128.2643313,,,,38.02031135559082,18.0,,,,77
2285,,82.0,,,1763260129.7605193,,,,39.516499280929565,82.0,,,,88
2816,73.86492919921875,,0.00029838710906915367,-0.0020918846130371094,1763260131.597205,231.0,0.0,-0.00041710585355758667,41.353184938430786,,0.5726592540740967,0.00014910101890563965,0.001630835235118866,102
2944,139.6773681640625,,0.00029831030406057835,0.13187670707702637,1763260131.891901,236.0,0.0,-0.00876636803150177,41.64788103103638,,0.6116344928741455,0.0018702354282140732,-0.008590346202254295,104
4736,127.97630310058594,,0.00029723503394052386,0.24634450674057007,1763260136.27221,281.0,0.046875,0.010075259953737259,46.02818989753723,,0.5718995332717896,0.00946748536080122,0.046287864446640015,133
5760,89.09337615966797,,0.0002966205938719213,-0.021169304847717285,1763260138.5528076,301.0,0.0,0.00647842139005661,48.30878758430481,,0.5734087228775024,0.00037359166890382767,-0.0011494895443320274,147
5857,,84.0,,,1763260138.6784263,,,,48.43440628051758,84.0,,,,149
5885,,28.0,,,1763260138.737448,,,,48.493427991867065,28.0,,,,150
6272,122.27973937988281,,0.00029631337383762,0.17640161514282227,1763260139.7494183,308.0,0.044921875,-0.026376202702522278,49.50539827346802,,0.6061745882034302,0.010137309320271015,0.028097178786993027,155
6400,155.86607360839844,,0.0002962365688290447,0.05504155158996582,1763260140.0707633,310.0,0.0,-0.0007964633405208588,49.826743364334106,,0.5639596581459045,9.772088378667831e-05,0.003545130603015423,157
7168,97.13383483886719,,0.0002957757387775928,0.059176862239837646,1763260142.0194306,317.0,0.0,-0.0020012017339468002,51.775410652160645,,0.5851556062698364,0.00011793896555900574,-0.004938572645187378,172
8666,,125.0,,,1763260145.4374037,,,,55.19338369369507,125.0,,,,195
9216,115.95806884765625,,0.00029454685864038765,0.4913907051086426,1763260146.8199334,336.0,0.0,0.01141408085823059,56.575913429260254,,0.5915677547454834,0.0003235507756471634,-0.008066525682806969,203
9984,124.61601257324219,,0.00029408602858893573,-0.04369819164276123,1763260148.4789972,343.0,0.001953125,-0.0016460046172142029,58.23497724533081,,0.614690899848938,0.0012264158576726913,0.003011450171470642,213
10209,,44.0,,,1763260148.871553,,,,58.627532958984375,44.0,,,,217
10954,,150.0,,,1763260150.4267755,,,,60.18275547027588,150.0,,,,228
11159,,66.0,,,1763260151.0326924,,,,60.78867244720459,66.0,,,,233
12288,125.05944061279297,,0.00029270353843457997,0.018924176692962646,1763260153.543064,360.0,0.0,-0.0011890754103660583,63.299044132232666,,0.5880150198936462,3.1274743378162384e-05,0.0006737085059285164,251
12800,40.86980056762695,,0.0002923963184002787,0.7801589369773865,1763260154.532661,364.0,0.0,0.002736438065767288,64.28864097595215,,0.629997968673706,1.9058585166931152e-05,-0.0020408444106578827,259
13184,59.56707000732422,,0.0002921659033745527,-0.007662653923034668,1763260155.3053844,367.0,0.0,0.007863029837608337,65.06136441230774,,0.5987162590026855,0.0002605486661195755,-0.00010223127901554108,265
13696,66.2131576538086,,0.00029185868334025145,0.11222052574157715,1763260156.3579025,370.0,0.0,-0.0011170059442520142,66.1138825416565,,0.6075942516326904,0.00010309554636478424,0.0017332583665847778,273
13742,,110.0,,,1763260156.4074285,,,,66.16340851783752,110.0,,,,274
15104,100.55802154541016,,0.0002910138282459229,0.2099972367286682,1763260159.041622,381.0,0.0,0.011017389595508575,68.79760193824768,,0.6377211809158325,0.0007858788594603539,0.009485120885074139,292
