losses/policy_loss,charts/episodic_length,losses/entropy,losses/clipfrac,losses/approx_kl,charts/episodic_return,_timestamp,losses/value_loss,global_step,_step,_runtime,charts/learning_rate,losses/explained_variance,charts/SPS,losses/old_approx_kl
-0.0002875030040740967,,0.5252586603164673,0.0,9.001512080430984e-05,,1763260237.6403453,535.6907958984375,52736,698,147.51889038085938,0.00026843318482860923,-0.016240477561950684,446.0,0.0009750640019774437
-0.0025213658809661865,,0.5678918957710266,0.0,4.043802618980408e-05,,1763260238.4267573,49.520729064941406,53120,702,148.3053023815155,0.00026820276980288327,-2.6331534385681152,446.0,0.00020747818052768707
-0.0037215501070022583,,0.5326179265975952,0.0,0.00012737512588500977,,1763260239.271967,5.820496082305908,53504,707,149.15051198005676,0.0002679723547771573,-3.990736961364746,446.0,-0.002834128215909004
-0.0005846284329891205,,0.5775375962257385,0.0,6.529316306114197e-05,,1763260243.591189,216.71041870117188,55552,729,153.46973395347595,0.0002667434746399522,-0.01516735553741455,447.0,0.00013634748756885529
-0.007061664015054703,,0.5184406042098999,0.0,0.0006781592965126038,,1763260249.3217905,2.434574842453003,58496,757,159.2003355026245,0.0002649769594427198,-0.4602673053741455,450.0,0.0045350417494773865
-0.007793009281158447,,0.4809040427207947,0.0,0.00019886624068021774,,1763260250.3047943,1.6704721450805664,59008,762,160.1833393573761,0.00026466973940841854,0.14907914400100708,450.0,0.0012488635256886482
,500.0,,,,500.0,1763260251.136629,,59516,767,161.01517415046692,,,,
0.0028745457530021667,,0.5995796322822571,0.0,0.00024253316223621368,,1763260252.7048936,1.6551287174224854,60160,775,162.58343863487244,0.00026397849433124065,-0.22522473335266113,451.0,0.006837174296379089
0.0038009947165846825,,0.5839446187019348,0.0,0.00018279533833265305,,1763260255.065873,234.44747924804688,61312,788,164.9444179534912,0.00026328724925406277,0.024218618869781494,452.0,0.0032147960737347603
-0.0009870678186416626,,0.6093241572380066,0.0,1.9514933228492737e-05,,1763260255.3327744,1.1546646356582642,61440,789,165.21131944656372,0.00026321044424548745,0.09403747320175171,452.0,0.00033431127667427063
-0.0005322583019733429,,0.5781261920928955,0.0,1.210533082485199e-05,,1763260256.5383832,527.9735717773438,61952,797,166.4169282913208,0.00026290322421118617,-0.0026357173919677734,451.0,0.0002784896641969681
,191.0,,,,191.0,1763260257.9732442,,62627,806,167.85178923606873,,,,
,448.0,,,,448.0,1763260259.7651126,,63575,815,169.64365768432617,,,,
,463.0,,,,463.0,1763260269.0337257,,68125,863,178.91227078437805,,,,
-0.0010701864957809448,,0.5203422904014587,0.0,0.00034576188772916794,,1763260270.8303423,0.24345001578330994,68992,872,180.7088873386383,0.00025867894873954356,0.1366150975227356,455.0,0.0004507796838879585
0.004069127142429352,,0.5055947303771973,0.0,0.0013343570753932,,1763260271.6226175,215.28158569335938,69376,876,181.5011625289917,0.0002584485337138176,0.3399770259857178,455.0,0.00849860068410635
1.961737871170044e-05,,0.48023682832717896,0.0,0.00037304777652025223,,1763260279.715764,0.004998301155865192,73472,916,189.594309091568,0.00025599077343940735,-2.0572245121002197,458.0,-0.001828840933740139
0.00896994024515152,,0.5240958333015442,0.013671875,0.008899062871932983,,1763260281.0177326,0.0006577316671609879,74112,922,190.89627766609192,0.00025560674839653075,0.0740213394165039,458.0,0.0006101829931139946
-0.018261637538671494,,0.522473156452179,0.001953125,0.0018049953505396843,,1763260282.5838,0.002529814839363098,74880,930,192.46234512329102,0.0002551459183450788,0.18881529569625854,458.0,-0.014184093102812767
-0.0035237669944763184,,0.4815477728843689,0.0,0.0003908155485987663,,1763260284.1439953,549.8431396484375,75648,938,194.02254033088684,0.0002546850882936269,-0.002017498016357422,459.0,0.0015988154336810112
0.012425631284713745,,0.45265504717826843,0.001953125,0.00589405931532383,,1763260284.8828287,0.00023395466268993914,76032,941,194.76137375831604,0.00025445467326790094,0.07002431154251099,459.0,0.0017753243446350098
,500.0,,,,500.0,1763260284.9430187,,76134,942,194.82156372070312,,,,
0.004758603870868683,,0.4834662973880768,0.0,0.0009292978793382645,,1763260286.2215302,375.965576171875,76672,948,196.10007524490356,0.00025407064822502434,0.013126134872436523,459.0,0.009804798290133476
0.0020863935351371765,,0.3801896870136261,0.00390625,0.002120519056916237,,1763260290.5027676,0.004752291366457939,79360,974,200.38131260871887,0.0002524577430449426,-0.24440157413482666,463.0,-0.00569254532456398
-0.016091689467430115,,0.4688825309276581,0.0,0.0011783391237258911,,1763260291.2494566,0.0005652277613990009,80000,980,201.1280016899109,0.0002520737471058965,-1.3078525066375732,465.0,0.012750493362545967
-0.0208720862865448,,0.32943111658096313,0.01171875,0.0015647010877728462,,1763260291.8264625,0.0006518738227896392,80512,985,201.7050075531006,0.0002517665270715952,-2.632032632827759,467.0,0.018842138350009918
-0.04940725117921829,,0.48580512404441833,0.111328125,0.01937762275338173,,1763260293.6030385,0.0003141791094094515,81536,995,203.48158359527588,0.00025115208700299263,0.3274497389793396,468.0,0.012482445687055588
-0.015172138810157776,,0.44142842292785645,0.0,0.0004909178242087364,,1763260293.8754108,636.2048950195312,81664,997,203.75395584106445,0.0002510752819944173,0.0005966424942016602,468.0,0.011264066211879253
0.009377986192703247,,0.4399440884590149,0.0234375,0.006912476383149624,,1763260297.325817,0.0003180046915076673,83584,1015,207.20436215400696,0.0002499232068657875,-0.14826130867004395,469.0,0.004999065771698952
-0.004701893776655197,,0.4303637742996216,0.0,0.0002981368452310562,,1763260298.2897909,0.00013054984447080642,84096,1020,208.16833591461182,0.0002496159868314862,-0.09444165229797363,470.0,-0.00403921864926815
,500.0,,,,500.0,1763260300.230221,,85134,1031,210.10876607894897,,,,
,500.0,,,,500.0,1763260302.4809065,,87134,1050,212.3594515323639,,,,
0.0006725974380970001,,0.4695253074169159,0.015625,0.004038015380501747,,1763260302.8748136,0.0006984845385886729,87424,1053,212.7533586025238,0.0002476190566085279,-1.105093002319336,476.0,0.004529155790805817
-0.022129148244857788,,0.4588191509246826,0.013671875,0.007926580496132374,,1763260303.4428332,0.000884113076608628,87936,1058,213.32137823104858,0.0002473118365742266,0.14194512367248535,477.0,0.04026488959789276
-0.01225847564637661,,0.4616304934024811,0.015625,0.004199976101517677,,1763260308.1345637,0.0008555298554711044,90496,1083,218.01310873031616,0.0002457757364027202,-0.17374670505523682,479.0,-0.007629783824086189
0.004983849823474884,,0.4327428340911865,0.0,0.0006137080490589142,,1763260309.528791,0.005617824383080006,91264,1091,219.4073359966278,0.0002453149063512683,-0.027684330940246582,480.0,-0.0009167008101940155
-0.0043512433767318726,,0.421606183052063,0.009765625,0.005423948168754578,,1763260311.932826,0.005232477094978094,92800,1106,221.81137108802795,0.00024439324624836445,-0.23056316375732422,482.0,0.019596286118030548
-0.0009496286511421204,,0.4856676459312439,0.001953125,0.0012113703414797783,,1763260313.6748095,0.00028108159312978387,94080,1118,223.55335450172424,0.00024362519616261125,-0.2843819856643677,484.0,0.024355990812182426
0.0026042386889457703,,0.4762675166130066,0.0,5.9392303228378296e-05,,1763260314.4474618,314.49066162109375,94720,1125,224.32600688934326,0.00024324117111973464,0.0006818175315856934,485.0,0.0007302053272724152
-0.0017185620963573456,,0.5271608829498291,0.0,0.00036758650094270706,,1763260315.45457,0.00013902565115131438,95616,1133,225.3331151008606,0.0002427035360597074,-0.21428430080413818,487.0,0.004611107520759106
-0.0028635412454605103,,0.4483186900615692,0.0,0.00263165682554245,,1763260316.746454,0.008080131374299526,96768,1145,226.62499904632568,0.00024201229098252952,0.14347952604293823,490.0,-0.007606737315654755
-0.002207709476351738,,0.5171072483062744,0.0,0.00022348575294017792,,1763260318.8410144,545.5972290039062,98688,1164,228.71955943107605,0.00024086021585389972,0.00015097856521606445,494.0,0.007363459095358849
-0.013696655631065369,,0.5064115524291992,0.0,0.0006879279389977455,,1763260318.9706485,0.005745594389736652,98816,1165,228.84919357299805,0.0002407834108453244,-0.02769148349761963,495.0,0.008314269594848156
-0.0006035752594470978,,0.5082046389579773,0.0,0.00022543221712112427,,1763260319.9803572,0.00023251658421941102,99584,1172,229.85890221595764,0.00024032258079387248,-0.11760032176971436,496.0,0.0039893947541713715
-0.006471492350101471,,0.48087722063064575,0.0,0.00020657852292060852,,1763260321.7470188,0.00045368983410298824,100480,1181,231.62556385993958,0.00023978494573384523,0.014364838600158691,496.0,0.005816778168082237
-0.024473633617162704,,0.5532900094985962,0.0,0.002198285423219204,,1763260322.7203555,0.0009183791116811335,100992,1186,232.59890055656433,0.00023947772569954395,-0.15825963020324707,496.0,0.00909831840544939
,500.0,,,,500.0,1763260324.6626863,,102134,1197,234.5412313938141,,,,
0.002837800420820713,,0.4051109850406647,0.0,0.00014334451407194138,,1763260327.6435869,509.5537414550781,103680,1213,237.52213191986084,0.00023786482051946223,0.0002478957176208496,497.0,0.0015840111300349236
-0.0011784881353378296,,0.3922402262687683,0.0,1.9067898392677307e-05,,1763260328.0625072,0.0005185337504372001,103936,1215,237.94105219841003,0.0002377112105023116,-0.3163644075393677,498.0,0.0010472647845745087
0.0020377254113554955,,0.3558851182460785,0.0,0.0012511266395449638,,1763260330.1486442,0.00016382643661927432,105088,1226,240.02718925476074,0.0002370199654251337,-0.3795684576034546,498.0,-0.011183728463947773
-0.011614061892032623,,0.47023481130599976,0.005859375,0.0035569975152611732,,1763260330.8556373,0.00028082611970603466,105472,1230,240.7341823577881,0.00023678955039940774,0.04598480463027954,498.0,0.0003012465313076973
-0.0009922794997692108,,0.38117676973342896,0.0,0.0014587249606847763,,1763260331.5511372,0.004545068368315697,105856,1234,241.42968225479126,0.00023655913537368178,0.05890345573425293,499.0,-0.012679200619459152
-0.017646268010139465,,0.5288275480270386,0.015625,0.004188054241240025,,1763260332.9437213,0.0006338865496218204,107008,1245,242.82226634025574,0.0002358678902965039,0.1893673539161682,501.0,0.04334520921111107
-0.007097594439983368,,0.517204225063324,0.001953125,0.002172393724322319,,1763260333.994944,0.000616738514509052,107904,1254,243.87348914146423,0.00023533025523647666,0.0235711932182312,502.0,-0.004583943635225296
,500.0,,,,500.0,1763260336.0570662,,109634,1271,245.93561124801636,,,,
-0.057535476982593536,,0.511460542678833,0.01953125,0.0055733490735292435,,1763260339.3724093,0.0005749179399572313,112512,1299,249.25095438957214,0.00023256528947968036,-0.728339672088623,511.0,-0.04356326162815094
-0.0005966052412986755,,0.480437308549881,0.0,0.0003167828544974327,,1763260344.0317976,0.00020958896493539214,116608,1339,253.91034269332886,0.0002301075292052701,-0.48600780963897705,519.0,-0.0011354414746165276
