_runtime,_timestamp,losses/value_loss,losses/clipfrac,charts/episodic_length,charts/episodic_return,global_step,losses/old_approx_kl,_step,losses/policy_loss,losses/approx_kl,losses/explained_variance,losses/entropy,charts/SPS,charts/learning_rate
24.33668279647827,1763260115.2906377,,,,,0,,0,,,,,,
30.067267656326294,1763260121.0212226,,,27.0,27.0,174,,7,,,,,,
32.22795653343201,1763260123.1819115,,,16.0,16.0,762,,33,,,,,,
33.098214626312256,1763260124.0521696,,,17.0,17.0,920,,41,,,,,,
33.66160225868225,1763260124.6155572,,,28.0,28.0,1058,,47,,,,,,
35.95070123672485,1763260126.9046562,,,34.0,34.0,1555,,64,,,,,,
37.456998109817505,1763260128.410953,,,75.0,75.0,1941,,74,,,,,,
37.90117025375366,1763260128.8551252,,,46.0,46.0,2066,,77,,,,,,
39.19863486289978,1763260130.1525898,83.2069091796875,0.0,,,2432,-0.002395549789071083,88,0.0026603639125823975,0.00026882998645305634,0.06898468732833862,0.6237090826034546,226.0,0.00029861752409487963
41.17632842063904,1763260132.1302834,130.08226013183594,0.0,,,3200,-0.011937284842133522,102,0.004156635142862797,0.00048637576401233673,0.1047893762588501,0.605741560459137,252.0,0.0002981566940434277
41.2994863986969,1763260132.2534413,,,85.0,85.0,3316,,104,,,,,,
45.16121435165405,1763260136.1151693,91.99835205078125,0.0,,,4736,0.0036224136129021645,133,-0.003041353076696396,0.0002458421513438225,-0.09039628505706787,0.5598524808883667,283.0,0.00029723503394052386
46.97103238105774,1763260137.9249873,,,23.0,23.0,5534,,147,,,,,,
47.2657687664032,1763260138.2197237,,,131.0,131.0,5665,,149,,,,,,
47.52076983451843,1763260138.4747248,101.99690246582031,0.0,,,5760,-0.0045023830607533455,150,0.003591436892747879,3.346521407365799e-05,-0.037235260009765625,0.6202874779701233,302.0,0.0002966205938719213
48.14883589744568,1763260139.1027908,79.58183288574219,0.001953125,,,6016,0.0006623789668083191,155,0.00836670957505703,0.001273801550269127,0.125502347946167,0.5734469890594482,305.0,0.00029646698385477066
48.4438738822937,1763260139.3978288,104.18545532226562,0.0,,,6144,0.0027547404170036316,157,0.0008111000061035156,0.00011770427227020264,0.0409998893737793,0.5455694794654846,307.0,0.00029639017884619534
50.39932298660278,1763260141.353278,,,57.0,57.0,6975,,172,,,,,,
53.822970390319824,1763260144.7769253,,,38.0,38.0,8528,,195,,,,,,
54.97462177276611,1763260145.9285767,,,72.0,72.0,9049,,203,,,,,,
56.37858438491821,1763260147.3325393,,,126.0,126.0,9648,,213,,,,,,
56.95553779602051,1763260147.9094927,,,134.0,134.0,9859,,217,,,,,,
58.20576548576355,1763260149.1597204,,,138.0,138.0,10389,,228,,,,,,
58.80542993545532,1763260149.7593849,,,77.0,77.0,10641,,233,,,,,,
60.9357545375824,1763260151.8897095,,,73.0,73.0,11632,,251,,,,,,
62.033015966415405,1763260152.986971,75.92009735107422,0.0,,,12032,-0.00738106295466423,259,0.0028488673269748688,0.0015213973820209503,0.27897071838378906,0.6022390723228455,358.0,0.0002928571484517306
62.824034214019775,1763260153.7779891,52.204315185546875,0.0,,,12416,-0.0020174412056803703,265,0.0005079098045825958,3.539863973855972e-05,0.00013887882232666016,0.5708868503570557,361.0,0.00029262673342600465
63.6655375957489,1763260154.6194925,,,115.0,115.0,12866,,273,,,,,,
63.86440181732178,1763260154.8183568,68.89472961425781,0.0,,,12928,-0.0032209521159529686,274,0.0006528869271278381,4.7451816499233246e-05,0.037634849548339844,0.599288821220398,365.0,0.00029231951339170337
66.28077721595764,1763260157.2347322,90.20672607421875,0.0,,,14208,0.008632805198431015,292,0.007378526031970978,0.00021811015903949738,0.4033200740814209,0.5888695120811462,375.0,0.00029155146330595016
69.82892346382141,1763260160.7828784,,,53.0,53.0,16088,,321,,,,,,
70.722407579422,1763260161.6763625,,,88.0,88.0,16410,,327,,,,,,
71.27695274353027,1763260162.2309077,81.91516876220703,0.0,,,16640,0.002137388102710247,330,-0.0052304379642009735,0.00018636975437402725,0.3351977467536926,0.5648431181907654,388.0,0.0002900921681430191
71.58766555786133,1763260162.5416205,23.63694953918457,0.0,,,16768,0.003019539639353752,332,0.0012280922383069992,0.0008516442030668259,0.9023171067237854,0.5811671614646912,388.0,0.00029001536313444376
72.2377073764801,1763260163.1916623,,,187.0,187.0,17058,,337,,,,,,
72.61514973640442,1763260163.5691047,,,132.0,132.0,17275,,340,,,,,,
78.61059069633484,1763260169.5645456,68.82880401611328,0.0,,,19712,0.0013528438284993172,370,-0.002841368317604065,3.8108788430690765e-05,0.6486206650733948,0.5477529764175415,393.0,0.0002882488479372114
79.22056102752686,1763260170.174516,,,170.0,170.0,20036,,375,,,,,,
83.04908299446106,1763260174.003038,72.56231689453125,0.009765625,,,21888,0.012672705575823784,396,-0.0003001578152179718,0.0036956854164600372,-1.061880111694336,0.5206208229064941,401.0,0.00028694316279143095
88.15479946136475,1763260179.1087544,46.48429870605469,0.0,,,24448,0.010405676439404488,425,-0.004123583436012268,0.00045264139771461487,0.5479335188865662,0.5390591621398926,409.0,0.00028540706261992455
90.97589015960693,1763260181.929845,63.83897399902344,0.0,,,25856,0.00010412000119686127,441,-0.000273142009973526,3.8743019104003906e-07,0.5477726459503174,0.5185104012489319,413.0,0.000284562207525596
92.34579253196716,1763260183.2997475,,,77.0,77.0,26525,,450,,,,,,
95.86377477645874,1763260186.8177297,31.12029266357422,0.0,,,28288,0.0025538066402077675,471,-0.005425933748483658,0.0006767502054572105,0.7119474411010742,0.5751428008079529,419.0,0.00028310291236266494
97.6194965839386,1763260188.5734515,,,418.0,418.0,29209,,481,,,,,,
99.08843755722046,1763260190.0423925,33.7047233581543,0.0,,,29952,-0.0019209841266274452,490,-0.0012560933828353882,0.0001299520954489708,0.011862099170684814,0.5699288249015808,424.0,0.0002821044472511858
101.78639698028564,1763260192.740352,28.93419647216797,0.0,,,31360,0.00568684097379446,504,0.0007784031331539154,0.0006819805130362511,-0.05240309238433838,0.6233129501342773,427.0,0.00028125959215685725
103.6188292503357,1763260194.5727842,25.056835174560547,0.0,,,32256,-0.0014806464314460754,515,0.0004260540008544922,2.1319836378097534e-05,-0.001954317092895508,0.5993736386299133,429.0,0.00028072195709683
106.22568416595459,1763260197.179639,,,168.0,168.0,33593,,530,,,,,,
107.95227646827698,1763260198.9062314,198.84707641601562,0.0,,,34432,0.0012901565060019493,539,0.0020993873476982117,7.557403296232224e-05,0.00571054220199585,0.5534735918045044,433.0,0.00027941627195104957
109.46200561523438,1763260200.4159606,27.104209899902344,0.0,,,35200,8.693244308233261e-05,547,0.0004604831337928772,5.078501999378204e-06,0.10457873344421387,0.5648536682128906,434.0,0.00027895544189959764
110.802481174469,1763260201.756436,24.92186737060547,0.0,,,35840,0.0005299383774399757,555,-0.002425268292427063,0.00013003963977098465,0.13320684432983398,0.5335136651992798,435.0,0.00027857141685672104
111.38794040679932,1763260202.3418953,124.23783111572266,0.0,,,36096,-0.0014918996021151543,559,-0.009213197976350784,0.00031768251210451126,0.24619060754776,0.5504596829414368,435.0,0.0002784178068395704
112.96452760696411,1763260203.9184825,,,432.0,432.0,36971,,568,,,,,,
117.6475989818573,1763260208.601554,12.996003150939941,0.0,,,39168,-0.003491874784231186,595,0.004264591261744499,0.00031357817351818085,0.9701484441757202,0.5058770179748535,439.0,0.0002765744866337627
120.72554898262024,1763260211.679504,17.85125160217285,0.00390625,,,40704,0.011413323692977428,612,0.0004400014877319336,0.0011362815275788307,0.09684789180755615,0.5574142336845398,441.0,0.00027565285563468933
120.99783420562744,1763260211.9517891,19.479990005493164,0.0,,,40832,0.019526861608028412,614,-0.0027087703347206116,0.0011844001710414886,0.952709436416626,0.5863012671470642,441.0,0.000275576050626114
123.97926378250122,1763260214.9332187,38.945655822753906,0.0,,,42368,0.0014068502932786942,630,8.493661880493164e-06,3.5118311643600464e-05,0.920181930065155,0.49620187282562256,443.0,0.00027465439052321017
125.05542778968811,1763260216.0093827,,,364.0,364.0,42923,,636,,,,,,
125.80048441886902,1763260216.7544394,158.96397399902344,0.0078125,,,43264,-0.006248180754482746,640,0.0015644021332263947,0.0008053751662373543,-0.00035643577575683594,0.5278703570365906,444.0,0.0002741167554631829
127.6479184627533,1763260218.6018734,,,500.0,500.0,44231,,650,,,,,,
130.47808694839478,1763260221.432042,240.5662384033203,0.0,,,45568,-0.0031790314242243767,664,0.003115803934633732,0.000300445593893528,0.2976232171058655,0.4620552062988281,446.0,0.00027273426530882716
134.30831813812256,1763260225.262273,,,188.0,188.0,47554,,684,,,,,,
135.36717128753662,1763260226.3211262,177.34364318847656,0.0,,,48000,0.013298822566866875,689,0.00530063733458519,0.0018062368035316467,-0.007628917694091797,0.508022665977478,449.0,0.0002712749701458961
137.2332501411438,1763260228.187205,,,500.0,500.0,48940,,698,,,,,,
138.20097589492798,1763260229.1549308,16.395612716674805,0.001953125,,,49408,0.010852448642253876,702,0.00503428652882576,0.005765262991189957,-0.02588212490081787,0.5802868008613586,450.0,0.00027043011505156755
