losses/approx_kl,losses/explained_variance,charts/episodic_return,losses/clipfrac,losses/value_loss,charts/learning_rate,losses/old_approx_kl,global_step,charts/episodic_length,_step,charts/SPS,_timestamp,losses/policy_loss,losses/entropy,_runtime
,,,,,,,0,,0,,1763260115.2219474,,,24.26465344429016
,,13.0,,,,,108,13.0,7,,1763260120.3388855,,,29.38159155845642
0.0010602911934256554,0.0018858909606933594,,0.0,53.89936828613281,0.0002996927942149341,0.0018620779737830162,640,,33,180.0,1763260122.970363,-0.0007283911108970642,0.6783456206321716,32.01306891441345
,,31.0,,,,,816,31.0,41,,1763260123.6265361,,,32.66924214363098
,,57.0,,,,,975,57.0,47,,1763260124.2866054,,,33.32931137084961
0.00013695377856492996,-0.026369094848632812,,0.0,117.10164642333984,0.0002992319641634822,-0.0015790080651640892,1408,,64,192.0,1763260126.7399905,0.0005167759954929352,0.6630216836929321,35.78269648551941
0.0004790397360920906,0.010130047798156738,,0.0,130.2492218017578,0.00029900154913775623,0.0028877565637230873,1792,,74,199.0,1763260128.405975,-0.007728144526481628,0.6270928978919983,37.448681116104126
0.000752544030547142,0.026544392108917236,,0.0,79.64729309082031,0.0002989247441291809,0.00857236422598362,1920,,77,202.0,1763260128.9053864,-0.00039489567279815674,0.6076119542121887,37.948092460632324
0.00011338945478200912,-0.020953655242919922,,0.0,108.71945190429688,0.00029861752409487963,0.0015922999009490013,2432,,88,217.0,1763260130.5919223,0.0009293630719184875,0.6506915092468262,39.63462829589844
,,87.0,,,,,3170,87.0,102,,1763260132.5444746,,,41.587180614471436
,,93.0,,,,,3263,93.0,104,,1763260132.8627286,,,41.90543460845947
0.0007401714101433754,0.11034923791885376,,0.0,58.006256103515625,0.00029715822893194854,-0.002807910554111004,4864,,133,271.0,1763260137.3246832,0.007879212498664856,0.5760038495063782,46.36738920211792
1.7189420759677887e-05,-0.005152583122253418,,0.0,146.56788635253906,0.0002966205938719213,-0.0007190285250544548,5760,,147,284.0,1763260139.6893473,7.199496030807495e-05,0.6143845915794373,48.73205327987671
,,59.0,,,,,5861,59.0,149,,1763260139.8241873,,,48.86689329147339
0.00018418114632368088,0.09003251791000366,,0.0,54.776947021484375,0.000296543788863346,-0.0008562011644244194,5888,,150,284.0,1763260140.1009486,-0.00332845002412796,0.6103770732879639,49.143654584884644
,,96.0,,,,,6185,96.0,155,,1763260140.8287077,,,49.871413707733154
2.832990139722824e-05,0.0009710788726806641,,0.0,143.1224365234375,0.0002962365688290447,0.001672179438173771,6400,,157,292.0,1763260141.3374977,-0.0018870122730731964,0.63135826587677,50.38020372390747
0.00011718738824129105,0.32111209630966187,,0.0,134.61070251464844,0.00029562212876044214,0.0011975904926657677,7424,,172,302.0,1763260143.9798915,-0.0004765652120113373,0.6102826595306396,53.022597551345825
2.40374356508255e-06,0.0399707555770874,,0.0,135.34446716308594,0.000294623663648963,-8.11917707324028e-05,9088,,195,317.0,1763260148.0137296,0.0002577193081378937,0.6342739462852478,57.05643558502197
0.0003708554431796074,-0.00567173957824707,,0.0,59.18662643432617,0.000294393248623237,0.004532636143267155,9472,,203,319.0,1763260149.0597625,-0.00484011135995388,0.5321890115737915,58.102468490600586
,,95.0,,,,,10170,95.0,213,,1763260150.5365279,,,59.5792338848114
,,105.0,,,,,10449,105.0,217,,1763260151.1442413,,,60.18694734573364
,,256.0,,,,,11373,256.0,228,,1763260153.0606158,,,62.10332179069519
,,205.0,,,,,11689,205.0,233,,1763260153.8670828,,,62.909788846969604
,,287.0,,,,,13010,287.0,251,,1763260156.5494223,,,65.59212827682495
,,58.0,,,,,13439,58.0,259,,1763260157.5128894,,,66.55559539794922
,,242.0,,,,,13850,242.0,265,,1763260158.591949,,,67.6346549987793
7.102265954017639e-06,-0.004324078559875488,,0.0,97.74030303955078,0.0002913210482802242,0.0007286164909601212,14592,,273,359.0,1763260159.9932928,0.0004204302094876766,0.5768089294433594,69.03599882125854
0.00016953889280557632,0.25229889154434204,372.0,0.0,96.43826293945312,0.0002912442432716489,-0.000929870642721653,14720,372.0,274,360.0,1763260160.3211238,7.592141628265381e-06,0.6457346677780151,69.36382985115051
1.7461366951465607e-05,0.023017585277557373,,0.0,76.8255615234375,0.00029039938817732036,-0.0014611044898629189,16128,,292,363.0,1763260163.76757,0.0012686550617218018,0.5625829100608826,72.81027603149414
0.00536874495446682,0.4455857276916504,,0.017578125,47.98065185546875,0.00028886328800581396,0.01094583235681057,18688,,321,366.0,1763260170.3562062,-0.02146376669406891,0.5613462328910828,79.39891219139099
,,125.0,,,,,19104,125.0,327,,1763260171.3245265,,,80.36723256111145
0.0015720445662736893,0.5438087582588196,,0.0,60.96992492675781,0.00028847926296293736,0.0051854681223630905,19328,,330,368.0,1763260171.8898299,-0.006097741425037384,0.56663978099823,80.93253588676453
0.0023103002458810806,0.6695066690444946,,0.00390625,37.75005340576172,0.00028840245795436203,-0.005086943507194519,19456,,332,368.0,1763260172.2158341,0.006214149296283722,0.568266749382019,81.25854015350342
0.0006357971578836441,0.5120086669921875,,0.0,55.04041290283203,0.0002881720429286361,0.006798597052693367,19840,,337,369.0,1763260173.1545153,-0.004882596433162689,0.5844704508781433,82.19722127914429
,,167.0,,,,,20055,167.0,340,,1763260173.534527,,,82.57723307609558
0.00011906400322914124,0.026130080223083496,,0.0,62.68968200683594,0.00028648233273997903,0.001243889331817627,22656,,370,377.0,1763260179.482025,0.00012292154133319855,0.558405339717865,88.52473092079163
0.0002517327666282654,0.5464602708816528,,0.0,65.29521179199219,0.00028625191771425307,-0.0032470915466547012,23040,,375,378.0,1763260180.3711483,0.003276906907558441,0.5216367244720459,89.41385436058044
0.00012267660349607468,0.23297691345214844,,0.0,50.88823318481445,0.00028502303757704794,-0.00044782180339097977,25088,,396,383.0,1763260184.9019082,-0.0014593899250030518,0.553757905960083,93.94461417198181
0.0028662914410233498,0.1419302225112915,,0.01171875,175.8291473388672,0.00028348693740554154,-0.004328637383878231,27648,,425,388.0,1763260190.6544042,0.026059893891215324,0.5483901500701904,99.69711017608643
,,190.0,,,,,28868,190.0,441,,1763260193.3399718,,,102.38267779350281
0.003335554152727127,-0.7374864816665649,,0.0,30.43993377685547,0.0002822580572683364,-0.002973521128296852,29696,,450,391.0,1763260195.3303347,-0.0024055764079093933,0.5333033204078674,104.37304067611694
7.503386586904526e-05,0.08877897262573242,,0.0,128.48951721191406,0.0002811059821397066,-0.0005654161795973778,31616,,471,394.0,1763260199.5992122,-0.003954669460654259,0.5549126863479614,108.64191818237305
,,450.0,,,,,32632,450.0,481,,1763260201.688571,,,110.73127698898315
0.0009119603782892227,0.020820677280426025,,0.0,23.485294342041016,0.0002799539070110768,0.0012298356741666794,33536,,490,397.0,1763260203.842655,-0.0016804486513137817,0.5243930816650391,112.88536095619202
3.121420741081238e-05,0.0069290995597839355,,0.0,18.123390197753906,0.0002791858569253236,-0.0024501141160726547,34816,,504,398.0,1763260206.7360036,-0.001555275171995163,0.5341008305549622,115.77870965003967
1.6521662473678589e-06,0.821874737739563,,0.0,11.652270317077637,0.0002784946118481457,-0.00024292059242725372,35968,,515,400.0,1763260209.2397792,0.0003803744912147522,0.5634227395057678,118.28248524665833
0.0008968589827418327,-0.005898714065551758,,0.0,181.3590545654297,0.0002776497567538172,-0.00782985519617796,37376,,530,402.0,1763260212.373804,-0.001093439757823944,0.5633198022842407,121.41651010513306
0.0005644941702485085,0.09141778945922852,,0.0,13.194643020629883,0.00027711212169378996,-0.0015812711790204048,38272,,539,403.0,1763260214.2735786,-0.004365595057606697,0.5681820511817932,123.31628465652466
0.0002727629616856575,-0.07142841815948486,,0.0,12.6353759765625,0.00027665129164233804,-0.001396377570927143,39040,,547,404.0,1763260215.9630458,0.007988963276147842,0.6080605983734131,125.00575184822083
0.0001970520243048668,0.806942880153656,,0.0,8.646830558776855,0.00027619049069471657,0.0019716592505574226,39808,,555,405.0,1763260217.6752229,-0.0018368884921073914,0.5872111320495605,126.71792888641357
0.00015099719166755676,0.8669692277908325,,0.0,4.729486465454102,0.0002759600756689906,0.0010903645306825638,40192,,559,405.0,1763260218.5432532,0.0006336048245429993,0.5858861207962036,127.5859591960907
0.004601970314979553,0.3609943389892578,,0.00390625,222.10150146484375,0.000275576050626114,0.008130110800266266,40832,,568,405.0,1763260220.1083448,-0.02183988317847252,0.5293053984642029,129.15105080604553
0.005146794952452183,0.48168283700942993,,0.001953125,226.10794067382812,0.00027419356047175825,0.016989396885037422,43136,,595,406.0,1763260225.5050628,-0.04497063532471657,0.5673819184303284,134.54776883125305
0.00022183824330568314,0.7508138418197632,,0.0,4.58200216293335,0.0002733487053774297,0.0026971744373440742,44544,,612,407.0,1763260228.8746278,0.0036197230219841003,0.5283932685852051,137.91733384132385
