_timestamp,losses/value_loss,global_step,losses/approx_kl,charts/episodic_return,_step,charts/SPS,charts/episodic_length,losses/policy_loss,losses/old_approx_kl,losses/entropy,losses/clipfrac,charts/learning_rate,_runtime,losses/explained_variance
1763260142.0757334,93.70062255859375,7424,1.8030405044555664e-06,,172,327.0,,0.00030961260199546814,-3.8854777812957764e-05,0.5981075167655945,0.0,0.00029562212876044214,51.78701138496399,0.30716192722320557
1763260145.4373212,,8873,,104.0,195,,104.0,,,,,,55.14859914779663,
1763260146.8188424,141.65286254882812,9472,0.0008530318737030029,,203,345.0,,-0.010342203080654144,0.007864812389016151,0.5801545977592468,0.0,0.000294393248623237,56.53012037277222,-0.013892650604248047
1763260148.415782,,10275,,178.0,213,,178.0,,,,,,58.12705993652344,
1763260149.0003233,,10592,,198.0,217,,198.0,,,,,,58.71160125732422,
1763260150.5078762,73.66471862792969,11264,0.0018026018515229225,,228,362.0,,-0.00021188706159591675,-0.005015811882913113,0.509034276008606,0.001953125,0.00029331797850318253,60.21915411949158,0.16795331239700317
1763260151.2357063,120.43292236328125,11648,0.0013579903170466423,,233,366.0,,0.003611922264099121,0.001258370466530323,0.5409936904907227,0.00390625,0.00029308756347745657,60.94698429107666,0.02397310733795166
1763260153.723926,61.46730422973633,12800,0.0001099221408367157,,251,373.0,,-0.0009676851332187653,0.001261809840798378,0.5135387778282166,0.0,0.0002923963184002787,63.43520402908325,0.24713242053985596
1763260155.0750647,97.46653747558594,13568,0.0015961332246661186,,259,380.0,,0.010432355105876923,-0.005734113045036793,0.6011267900466919,0.0,0.00029193548834882677,64.78634262084961,0.41866761445999146
1763260155.8420444,70.16537475585938,13952,7.061194628477097e-05,,265,383.0,,-0.0030017411336302757,-0.0015870211645960808,0.5727324485778809,0.0,0.0002917050733231008,65.55332231521606,0.19196480512619019
1763260156.7416527,,14338,,86.0,273,,86.0,,,,,,66.45293068885803,
1763260156.9624321,98.96568298339844,14464,2.99699604511261e-06,,274,385.0,,-1.987069845199585e-05,-0.00010071881115436554,0.5885773301124573,0.0,0.0002913978532887995,66.67371010780334,0.17175209522247314
1763260159.1566951,48.087257385253906,15616,8.211471140384674e-06,,292,393.0,,-0.0010800659656524658,-0.00010996777564287186,0.5490608811378479,0.0,0.00029070660821162164,68.86797308921814,0.04930359125137329
1763260163.514965,54.45189666748047,17664,3.350432962179184e-05,,321,400.0,,-0.0008716210722923279,0.0010508140549063683,0.5039418339729309,0.0,0.0002894777280744165,73.226243019104,0.2140166163444519
1763260164.6211922,82.7128677368164,18176,0.0015507899224758148,,327,402.0,,0.012559499591588974,0.02656002715229988,0.5745154023170471,0.0,0.00028917050804011524,74.33247017860413,-0.13926935195922852
1763260165.026354,,18398,,201.0,330,,201.0,,,,,,74.7376320362091,
1763260165.3716257,,18440,,42.0,332,,42.0,,,,,,75.08290362358093,
1763260166.590073,94.75607299804688,18944,0.005026086233556271,,337,401.0,,-0.022593434900045395,-0.0006427103653550148,0.5611922740936279,0.015625,0.0002887096779886633,76.30135107040405,-0.039441704750061035
1763260167.4748583,93.83464813232422,19328,0.0062508853152394295,,340,402.0,,-0.017350878566503525,0.03580707684159279,0.5491507053375244,0.06640625,0.00028847926296293736,77.18613624572754,0.11336272954940796
1763260172.6322238,49.37958526611328,21632,0.0002930751070380211,,370,406.0,,0.0041063278913497925,-0.002856469713151455,0.5254778265953064,0.0,0.0002870967728085816,82.34350180625916,0.7489100694656372
1763260173.469658,,22068,,216.0,375,,216.0,,,,,,83.18093585968018,
1763260176.985715,165.93853759765625,23680,0.00013190880417823792,,396,411.0,,-0.002323109656572342,0.002765251323580742,0.47632622718811035,0.0,0.00028586789267137647,86.69699287414551,0.0009917020797729492
1763260181.6943336,8.84853458404541,25856,0.0005598366260528564,,425,415.0,,0.004011558368802071,-0.0010266564786434174,0.5413438677787781,0.0,0.000284562207525596,91.40561151504517,0.9578340649604797
1763260184.5937054,39.83960723876953,27264,0.0003163916990160942,,441,418.0,,-0.01256880909204483,0.0055261822417378426,0.4913345277309418,0.0,0.0002837173524312675,94.30498337745667,0.1629563570022583
