losses/old_approx_kl,losses/value_loss,charts/episodic_length,charts/learning_rate,charts/SPS,losses/policy_loss,losses/explained_variance,_timestamp,global_step,charts/episodic_return,_runtime,_step,losses/entropy,losses/approx_kl,losses/clipfrac
,,,,,,,1763260114.6023223,0,,24.316168308258057,0,,,
,,29.0,,,,,1763260120.963272,161,29.0,30.677118062973022,7,,,
,,15.0,,,,,1763260123.0351903,651,15.0,32.74903631210327,33,,,
,,49.0,,,,,1763260123.6734955,882,49.0,33.38734149932861,41,,,
,,69.0,,,,,1763260124.4788496,1087,69.0,34.19269561767578,47,,,
,,20.0,,,,,1763260126.7853613,1662,20.0,36.49920725822449,64,,,
,,79.0,,,,,1763260128.3792105,2022,79.0,38.093056440353394,74,,,
,,225.0,,,,,1763260129.0565832,2247,225.0,38.7704291343689,77,,,
-0.013900762423872948,81.46756744384766,,0.000298463914077729,240.0,-0.00588507205247879,0.03151947259902954,1763260130.609533,2688,,40.323379039764404,88,0.5924662351608276,0.004433895461261272,0.0078125
0.014697480946779251,118.4819564819336,,0.00029800308402627707,264.0,-0.0024690665304660797,0.0017154812812805176,1763260132.5064008,3456,,42.2202467918396,102,0.567679226398468,0.0011858940124511719,0.0
0.0027442025020718575,115.53693389892578,,0.00029792627901770175,267.0,0.003276340663433075,-0.08666527271270752,1763260132.8194447,3584,,42.53329062461853,104,0.594109058380127,0.0008177896961569786,0.0
0.00650077685713768,100.98350524902344,,0.00029677420388907194,308.0,-0.0012545706704258919,0.02600318193435669,1763260137.2555325,5504,,46.96937847137451,133,0.5840245485305786,0.00032552704215049744,0.0
0.0116338562220335,116.41446685791016,,0.0002961597638204694,324.0,-0.008173182606697083,0.139884352684021,1763260139.5741324,6528,,49.287978410720825,147,0.5887521505355835,0.0014926176518201828,0.0
0.001711040735244751,107.60063934326172,,0.00029608295881189406,325.0,-0.011951971799135208,0.05627000331878662,1763260139.8970623,6656,,49.6109082698822,149,0.5702825784683228,0.0005446504801511765,0.0
-0.0005418062210083008,172.5226593017578,,0.00029600615380331874,327.0,0.00033552199602127075,-0.05368471145629883,1763260140.1455429,6784,,49.85938882827759,150,0.5802892446517944,0.00031048431992530823,0.0
-0.0022466816008090973,140.12432861328125,,0.0002957757387775928,332.0,0.001278504729270935,0.16468524932861328,1763260140.982416,7168,,50.69626188278198,155,0.5863155722618103,7.757917046546936e-05,0.0
0.0013906294479966164,72.88066864013672,,0.00029569893376901746,333.0,-0.004262704402208328,-0.0287630558013916,1763260141.284035,7296,,50.997880935668945,157,0.5433634519577026,0.00016437750309705734,0.0
,,202.0,,,,,1763260143.7094462,8424,202.0,53.42329216003418,172,,,
0.003761742264032364,97.10309600830078,,0.0002940092235803604,359.0,-0.014147177338600159,0.009574294090270996,1763260147.5366735,10112,,57.25051951408386,195,0.5748404264450073,0.00035969726741313934,0.0
0.054048337042331696,133.3415985107422,,0.0002935483935289085,367.0,-0.006707429885864258,0.03028339147567749,1763260149.0413568,10880,,58.755202770233154,203,0.5764120817184448,0.01785394176840782,0.05859375
-0.0027120355516672134,61.93549346923828,,0.00029308756347745657,374.0,-0.0007200166583061218,0.0355372428894043,1763260150.5255358,11648,,60.23938179016113,213,0.5809932947158813,0.0001579001545906067,0.0
-0.0006951158866286278,100.41899871826172,,0.00029293395346030593,376.0,0.0007436648011207581,0.11102205514907837,1763260151.0931804,11904,,60.807026386260986,217,0.6175770163536072,1.4045275747776031e-05,0.0
0.0013768812641501427,113.84647369384766,,0.000292473123408854,380.0,0.0007995367050170898,-0.03561890125274658,1763260152.7456827,12672,,62.45952868461609,228,0.593938946723938,0.00014191027730703354,0.0
0.004027117043733597,68.97486114501953,,0.00029224270838312805,383.0,-0.008572537451982498,0.1697608232498169,1763260153.4532127,13056,,63.16705870628357,233,0.5699381232261658,0.00048182904720306396,0.0
,,38.0,,,,,1763260155.90193,14421,38.0,65.61577606201172,251,,,
-0.0025589996948838234,93.19269561767578,,0.00029109063325449824,397.0,-0.006295766681432724,0.2032155990600586,1763260157.1042643,14976,,66.81811022758484,259,0.6050137877464294,0.0003074677661061287,0.0
,,67.0,,,,,1763260157.688179,15247,67.0,67.40202498435974,265,,,
-0.00590132549405098,68.29683685302734,,0.000290552998194471,402.0,0.012714430689811707,0.05468565225601196,1763260158.8598235,15872,,68.57366943359375,273,0.5913752913475037,0.0009318776428699493,0.0
,,186.0,,,,,1763260158.914235,15974,186.0,68.62808108329773,274,,,
0.00022833235561847687,120.44110870361328,,0.0002897081431001425,408.0,0.007431685924530029,0.024564087390899658,1763260161.7773685,17280,,71.49121451377869,292,0.5987557172775269,0.00035531632602214813,0.0
-0.00237475149333477,77.67950439453125,,0.0002882488479372114,410.0,-0.004142260178923607,0.010402560234069824,1763260167.511905,19712,,77.22575092315674,321,0.5250265598297119,0.00018400326371192932,0.0
0.0005591623485088348,73.55021667480469,,0.0002879416279029101,410.0,-0.0009529963135719299,-0.012397050857543945,1763260168.7350562,20224,,78.44890213012695,327,0.5975713133811951,8.224695920944214e-05,0.0
,,500.0,,,,,1763260169.315421,20588,500.0,79.02926707267761,330,,,
-0.0014062076807022095,71.83983612060547,,0.00028763440786860883,411.0,-0.0004802495241165161,0.006751656532287598,1763260169.7948546,20736,,79.50870060920715,332,0.6148850917816162,1.220405101776123e-05,0.0
,,201.0,,,,,1763260170.6314101,21194,201.0,80.34525609016418,337,,,
-0.0011442052200436592,62.00270080566406,,0.0002871735778171569,414.0,-0.0023609399795532227,0.7186387777328491,1763260171.370799,21504,,81.08464503288269,340,0.6519105434417725,6.21965155005455e-05,0.0
,,500.0,,,,,1763260176.5297525,24061,500.0,86.24359846115112,370,,,
0.007858575321733952,217.7256317138672,116.0,0.00028540706261992455,420.0,-0.020741980522871017,0.026195287704467773,1763260177.5307236,24448,116.0,87.2445695400238,375,0.5322302579879761,0.0019385209307074547,0.0
0.0003002779558300972,50.08740234375,,0.00028433179249987006,424.0,-0.00018480047583580017,0.048437416553497314,1763260181.2919993,26240,,91.00584530830383,396,0.5311747789382935,2.7688220143318176e-06,0.0
0.006408706307411194,41.384613037109375,,0.000282642082311213,430.0,-0.0025052689015865326,-0.08438980579376221,1763260186.8537347,29056,,96.56758069992065,425,0.5446012020111084,0.0005084369331598282,0.0
-0.002733670175075531,38.028656005859375,,0.0002817972272168845,433.0,0.00036638975143432617,-0.3267173767089844,1763260189.6865013,30464,,99.4003472328186,441,0.5245971083641052,8.012168109416962e-05,0.0
-0.004278162494301796,36.27631378173828,,0.00028133639716543257,434.0,0.006665125489234924,-0.15292584896087646,1763260191.2328012,31232,,100.94664716720581,450,0.5564091205596924,0.0001640133559703827,0.0
0.017245188355445862,24.743690490722656,,0.0002803379320539534,436.0,-0.020072877407073975,0.2704229950904846,1763260194.79425,32896,,104.50809597969055,471,0.5290771126747131,0.003247915767133236,0.0
,,120.0,,,,,1763260196.2769504,33545,120.0,105.99079632759094,481,,,
-0.0009205881506204605,24.907867431640625,,0.0002795698819682002,436.0,0.00036855414509773254,0.11490178108215332,1763260197.7306583,34176,,107.44450426101685,490,0.49033230543136597,6.757676601409912e-05,0.0
,,128.0,,,,,1763260199.847592,35134,128.0,109.56143808364868,504,,,
,,85.0,,,,,1763260201.419408,35810,85.0,111.1332540512085,515,,,
0.007651873864233494,5.412339210510254,,0.0002779569767881185,436.0,-0.0039520300924777985,0.9582462310791016,1763260203.8526466,36864,,113.56649255752563,530,0.5363025069236755,0.0005091661587357521,0.0
-0.0032996833324432373,20.154621124267578,,0.00027749614673666656,437.0,-0.0011348612606525421,0.11711186170578003,1763260205.4907775,37632,,115.20462346076965,539,0.5051780343055725,4.655495285987854e-05,0.0
,,500.0,,,,,1763260207.0520082,38479,500.0,116.76585412025452,547,,,
-0.0014035310596227646,16.55790138244629,,0.0002764976816251874,439.0,0.003827802836894989,-0.06290912628173828,1763260208.8351758,39296,,118.54902172088623,555,0.5822299122810364,0.00012649782001972198,0.0
,,135.0,,,,,1763260209.437429,39614,135.0,119.15127491950989,559,,,
,,168.0,,,,,1763260211.0817094,40443,168.0,120.79555535316467,568,,,
-0.00024309661239385605,12.350131034851074,,0.00027419356047175825,444.0,0.0028763562440872192,0.005266308784484863,1763260216.5807118,43136,,126.29455780982971,595,0.5251298546791077,0.00017999205738306046,0.0
